X: (V*s),Y: (Hits)
2.50379e-08,0
2.51281e-08,0
2.52183e-08,1
2.53084e-08,0
2.53986e-08,0
2.54888e-08,0
2.55789e-08,0
2.56691e-08,0
2.57593e-08,0
2.58495e-08,0
2.59396e-08,0
2.60298e-08,1
2.612e-08,0
2.62101e-08,0
2.63003e-08,0
2.63905e-08,0
2.64807e-08,0
2.65708e-08,0
2.6661e-08,0
2.67512e-08,0
2.68413e-08,0
2.69315e-08,0
2.70217e-08,0
2.71119e-08,0
2.7202e-08,1
2.72922e-08,0
2.73824e-08,0
2.74726e-08,0
2.75627e-08,0
2.76529e-08,0
2.77431e-08,0
2.78332e-08,0
2.79234e-08,0
2.80136e-08,0
2.81038e-08,0
2.81939e-08,1
2.82841e-08,0
2.83743e-08,0
2.84644e-08,0
2.85546e-08,0
2.86448e-08,1
2.8735e-08,0
2.88251e-08,0
2.89153e-08,0
2.90055e-08,0
2.90956e-08,0
2.91858e-08,0
2.9276e-08,0
2.93662e-08,1
2.94563e-08,0
2.95465e-08,0
2.96367e-08,0
2.97268e-08,0
2.9817e-08,0
2.99072e-08,0
2.99974e-08,0
3.00875e-08,0
3.01777e-08,1
3.02679e-08,0
3.0358e-08,0
3.04482e-08,0
3.05384e-08,0
3.06286e-08,0
3.07187e-08,0
3.08089e-08,0
3.08991e-08,0
3.09892e-08,1
3.10794e-08,0
3.11696e-08,0
3.12598e-08,0
3.13499e-08,0
3.14401e-08,0
3.15303e-08,0
3.16204e-08,0
3.17106e-08,0
3.18008e-08,1
3.1891e-08,0
3.19811e-08,0
3.20713e-08,1
3.21615e-08,0
3.22517e-08,0
3.23418e-08,0
3.2432e-08,0
3.25222e-08,1
3.26123e-08,0
3.27025e-08,0
3.27927e-08,0
3.28829e-08,0
3.2973e-08,0
3.30632e-08,0
3.31534e-08,0
3.32435e-08,0
3.33337e-08,0
3.34239e-08,0
3.35141e-08,0
3.36042e-08,0
3.36944e-08,0
3.37846e-08,0
3.38747e-08,0
3.39649e-08,0
3.40551e-08,0
3.41453e-08,0
3.42354e-08,0
3.43256e-08,0
3.44158e-08,0
3.45059e-08,0
3.45961e-08,0
3.46863e-08,0
3.47765e-08,0
3.48666e-08,0
3.49568e-08,0
3.5047e-08,0
3.51371e-08,0
3.52273e-08,0
3.53175e-08,0
3.54077e-08,0
3.54978e-08,0
3.5588e-08,0
3.56782e-08,0
3.57683e-08,0
3.58585e-08,0
3.59487e-08,0
3.60389e-08,0
3.6129e-08,0
3.62192e-08,0
3.63094e-08,0
3.63996e-08,0
3.64897e-08,0
3.65799e-08,0
3.66701e-08,0
3.67602e-08,1
3.68504e-08,0
3.69406e-08,0
3.70308e-08,0
3.71209e-08,0
3.72111e-08,0
3.73013e-08,0
3.73914e-08,0
3.74816e-08,0
3.75718e-08,0
3.7662e-08,0
3.77521e-08,0
3.78423e-08,0
3.79325e-08,1
3.80226e-08,0
3.81128e-08,0
3.8203e-08,0
3.82932e-08,0
3.83833e-08,0
3.84735e-08,0
3.85637e-08,0
3.86538e-08,0
3.8744e-08,0
3.88342e-08,0
3.89244e-08,0
3.90145e-08,0
3.91047e-08,0
3.91949e-08,0
3.9285e-08,1
3.93752e-08,1
3.94654e-08,0
3.95556e-08,0
3.96457e-08,0
3.97359e-08,0
3.98261e-08,0
3.99162e-08,0
4.00064e-08,0
4.00966e-08,0
4.01868e-08,0
4.02769e-08,0
4.03671e-08,0
4.04573e-08,0
4.05474e-08,0
4.06376e-08,0
4.07278e-08,0
4.0818e-08,0
4.09081e-08,0
4.09983e-08,0
4.10885e-08,0
4.11787e-08,0
4.12688e-08,0
4.1359e-08,0
4.14492e-08,0
4.15393e-08,0
4.16295e-08,0
4.17197e-08,0
4.18099e-08,0
4.19e-08,0
4.19902e-08,0
4.20804e-08,0
4.21705e-08,0
4.22607e-08,0
