"CdS 50sec - RawData"
"Wavelength nm.","Abs."
522.00,-0.015549
523.00,-0.015350
524.00,-0.014633
525.00,-0.013931
526.00,-0.013290
527.00,-0.012939
528.00,-0.012497
529.00,-0.012039
530.00,-0.011627
531.00,-0.010956
532.00,-0.010605
533.00,-0.010056
534.00,-0.009583
535.00,-0.009003
536.00,-0.008652
537.00,-0.007904
538.00,-0.007233
539.00,-0.006790
540.00,-0.006271
541.00,-0.005829
542.00,-0.005325
543.00,-0.004852
544.00,-0.004349
545.00,-0.003922
546.00,-0.003479
547.00,-0.003021
548.00,-0.002548
549.00,-0.002151
550.00,-0.001678
551.00,-0.000977
552.00,-0.000626
553.00,-0.000214
554.00,0.000336
555.00,0.000671
556.00,0.001022
557.00,0.001556
558.00,0.002029
559.00,0.002411
560.00,0.002945
561.00,0.003296
562.00,0.003738
563.00,0.004318
564.00,0.004791
565.00,0.005188
566.00,0.005554
567.00,0.006134
568.00,0.006454
569.00,0.006866
570.00,0.007416
571.00,0.007843
572.00,0.008209
573.00,0.008636
574.00,0.009155
575.00,0.009613
576.00,0.009964
577.00,0.010422
578.00,0.010757
579.00,0.011139
580.00,0.011490
581.00,0.012085
582.00,0.012360
583.00,0.012741
584.00,0.013260
585.00,0.013687
586.00,0.014053
587.00,0.014526
588.00,0.014908
589.00,0.015350
590.00,0.015762
591.00,0.016205
592.00,0.016571
593.00,0.017044
594.00,0.017471
595.00,0.017883
596.00,0.018311
597.00,0.018692
598.00,0.019073
599.00,0.019363
600.00,0.020035
601.00,0.021255
602.00,0.021957
603.00,0.022308
604.00,0.022659
605.00,0.023148
606.00,0.023407
607.00,0.023941
608.00,0.024307
609.00,0.024734
610.00,0.025055
611.00,0.025543
612.00,0.025833
613.00,0.026169
614.00,0.026718
615.00,0.027176
616.00,0.027420
617.00,0.027771
618.00,0.028122
619.00,0.028519
620.00,0.028931
621.00,0.029343
622.00,0.029755
623.00,0.030090
624.00,0.030426
625.00,0.030823
626.00,0.031082
627.00,0.031525
628.00,0.031952
629.00,0.032349
630.00,0.032700
631.00,0.033203
632.00,0.033585
633.00,0.033951
634.00,0.034409
635.00,0.034714
636.00,0.035049
637.00,0.035324
638.00,0.035629
639.00,0.035904
640.00,0.036270
641.00,0.036606
642.00,0.037003
643.00,0.037369
644.00,0.037689
645.00,0.038010
646.00,0.038437
647.00,0.038834
648.00,0.039215
649.00,0.039612
650.00,0.039871
