MEAS1,MEAS2,MEAS3,MEAS4,MEAS5,MEAS6,MEAS7,MEAS8,MEAS9
9.91e+37,5.63117261761178e-08,0.0071783502252252,0.2821987769019019,-7.6383866330637e-09,9.91e+37,9.91e+37,0.00195674950896,0.0107591090326088
1.6525650044648e-09,5.63117261761178e-08,0.0071783502252252,0.2821987769019019,-7.6383866330637e-09,9.91e+37,9.91e+37,0.00195674950896,0.0107591090326088
2.5471250155506e-09,1.3885339567515e-08,0.0104529154154154,0.0586210116366366,9.91e+37,6.0393198910242e-09,9.91e+37,0.0023356420919589,0.0021272358354928
2.4170048905549e-09,2.4074617691099e-08,0.0104094125375375,0.156984375,-4.2706803622524e-09,2.16012027371824e-08,9.91e+37,0.002306997421968,0.0038471697790679
3.0914310006933e-09,2.11203239876251e-08,0.01891875,0.132390625,9.91e+37,1.21708702137746e-08,9.91e+37,0.0024047387047914,0.0028405080696028
1.7266924988356e-09,2.22853092939894e-08,0.0073025525525526,0.1207214245495495,9.91e+37,9.91e+37,9.91e+37,0.0020790634436661,0.0036502160255455
2.8332050225937e-09,1.26530795176094e-08,0.0112118712462462,0.0558079485735736,9.91e+37,5.2618120684055e-09,9.91e+37,0.0023831771801565,0.0019458676364443
1.1619597197787e-09,9.1401114091911e-09,0.0064562562562563,0.093375,9.91e+37,9.91e+37,9.91e+37,0.0015011043236014,0.0017148839027348
2.4765295127765e-09,2.41360091423942e-08,0.0095108108108108,0.1536875,-3.8251651138741e-09,7.1523817288692e-09,9.91e+37,0.0022981304591293,0.0036224803146226
2.2428341876213e-09,1.05104039822894e-08,0.0094019894894895,0.08165625,9.91e+37,3.26676962651566e-08,9.91e+37,0.0021452788495435,0.0016376879919853
3.6569105518221e-09,2.74033856680315e-08,0.02095,0.1221611768018018,-4.3494839350609e-09,5.7405884112941e-09,3.6716225310724e-09,0.0027352464256876,0.0033700772376663
4.6839008861263e-09,2.05142208866562e-08,0.0191701201201201,0.133453125,-3.6602615251681e-09,6.0843111138631e-09,2.8795355054975e-09,0.003078499270574,0.00240229422939
7.5789401400082e-09,2.41804466742575e-08,0.039040625,0.151890625,-2.7740824366692e-09,4.0011657872586e-09,1.18810705638625e-08,0.0034675341827461,0.00232999379868
1.90113162993e-09,1.2474122861398e-08,0.0091468468468468,0.0604391579079079,9.91e+37,9.91e+37,9.91e+37,0.002147709115401,0.0018573786537281
2.402337039098e-09,1.2224471159195e-08,0.0094898742492492,0.091578125,9.91e+37,9.91e+37,9.91e+37,0.0023290708553691,0.0017760596975655
2.5899021869326e-09,7.428134499515e-09,0.0121354886136136,0.0330568068068068,9.91e+37,9.91e+37,9.91e+37,0.00293047146409,0.0013840914719574
2.7334203438833e-09,2.55793455820734e-08,0.0087274774774775,0.153453125,-4.2878310364412e-09,9.91e+37,4.00940011669e-09,0.00224234946379,0.0036096273817111
2.9078048767355e-09,2.03139365882274e-08,0.018003125,0.0953203828828829,9.91e+37,9.91e+37,9.91e+37,0.002571448972977,0.0026488030675061
1.7713088315523e-09,7.4154049423453e-09,0.0065089339339339,0.0206012887887888,9.91e+37,9.91e+37,9.91e+37,0.0021181772227656,0.0013216055633929
2.3186063485537e-09,1.8847658683022e-08,0.01560625,0.1005267454954955,7.9661940050236e-09,4.9167854050667e-09,9.91e+37,0.0023326188957365,0.0033561822249083
3.1246508767066e-09,1.5092631180075e-08,0.018215625,0.0612057995495495,9.91e+37,9.91e+37,9.91e+37,0.0023451386334782,0.0021255593243676
2.766887455848e-09,1.3770516387498e-08,0.0111924924924925,0.096140625,9.91e+37,3.7581057518877e-08,9.91e+37,0.0023128975588051,0.0017255271908526
6.6590442601832e-09,2.82107462358586e-08,0.035628125,0.1238611111111111,-2.133370976601053e-10,3.908512863344e-09,6.4522452425173e-09,0.0035927470014893,0.0022603791039506
2.9161516838865e-09,2.22834845052898e-08,0.01262002002002,0.14353125,-3.3847170024807e-09,6.7778468620313e-09,1.34947158885111e-08,0.002415576368607,0.00308522851912
3.87013168065e-09,8.7836445878775e-09,0.02455,0.0359000563063063,9.91e+37,9.91e+37,9.91e+37,0.0041373257273339,0.00139718756407
2.5736211895637e-09,1.17943764894801e-08,0.0112058683683684,0.0476043074324324,9.91e+37,1.05239274165091e-08,9.91e+37,0.0022757363635906,0.0018456654105862
2.5415806943514e-09,2.0274865649701e-08,0.017596875,0.102073948948949,9.91e+37,1.53606076994257e-08,9.91e+37,0.00209418929659,0.0027951152993527
2.7100905494667e-09,2.326164136658e-08,0.01778125,0.159703125,-4.1704009968225e-09,1.47154718837613e-08,9.91e+37,0.0023967657621409,0.0036038543757331
1.1435298118269e-09,1.01004747082178e-08,0.01134375,0.0918125,9.91e+37,9.91e+37,9.91e+37,0.0016088709006056,0.0020122016734275
3.2132092957734e-09,1.72691165651811e-08,0.019721875,0.0684259572072072,9.91e+37,1.05412962283846e-08,4.4682392250418e-09,0.0026098634330582,0.00258726854984
2.8325714265557e-09,2.8225810649904e-08,0.018315625,0.17246875,-5.0993484198564e-09,1.36514321686287e-08,9.91e+37,0.0024560421226139,0.0035946509859024
3.0871412288329e-09,1.44229561806379e-08,0.0133160942192192,0.107265625,9.91e+37,6.57595854503e-09,9.91e+37,0.0025641289300531,0.0019148171266112
8.63846014451108e-10,7.15840129182e-09,0.0032305618118118,0.08203125,9.91e+37,9.91e+37,9.91e+37,0.0014149895226188,0.0017652839737183
1.75332522048e-09,1.2648455604604e-08,0.0069687124624625,0.0628272334834835,9.91e+37,9.91e+37,9.91e+37,0.0019611522933387,0.0021533780469474
2.624428152349e-09,2.01869383063506e-08,0.0095243618618619,0.0973442192192192,-3.511524889122e-09,1.4857760604903e-08,9.91e+37,0.0023231817584807,0.0032169028625738
3.1493617600658e-09,2.3547236122663e-08,0.0143703922672673,0.149296875,-3.9606128358232e-09,1.04037609942439e-08,9.91e+37,0.0025850208959631,0.0030357276538316
2.7221720030386e-09,3.43054721865416e-08,0.017990625,0.1663247935435435,-4.1110942872829e-09,2.23767989289553e-08,9.91e+37,0.0024937415962726,0.0051004650857
4.9700512432849e-09,2.03196290921468e-08,0.0272125,0.0921354948698699,9.91e+37,5.2464921113492e-09,7.6019120633272e-09,0.0030005561236863,0.002186967167249
3.1379466835537e-09,5.34702374679544e-08,0.020109375,0.2788197572572573,-4.8723941120843e-09,3.84720062129717e-08,9.91e+37,0.0025757038437938,0.0084537424945185
2.6122711703311e-09,2.56095633100371e-08,0.0120543168168168,0.1312631381381381,-4.4526517077514e-09,7.9992357181459e-09,9.91e+37,0.0024114574085868,0.0041716429779034
2.8997601895541e-09,3.05107844353566e-08,0.0128238113113113,0.1466904560810811,-4.52928514207e-09,9.91e+37,9.91e+37,0.0026040621023278,0.0046498847469873
1.7730806518809e-09,7.3872541954972e-09,0.0086838275775776,0.0358463932682683,9.91e+37,9.91e+37,9.91e+37,0.0020011752888463,0.0013081089011616
2.130756390144e-09,1.79086756328735e-08,0.0097856794294294,0.0929204986236236,9.91e+37,9.91e+37,9.91e+37,0.0023023648123277,0.0025866660678509
2.5971951919615e-09,2.91197554319607e-08,0.017365625,0.183578125,-3.5558142262157e-09,1.70145113944067e-08,9.91e+37,0.0023626730850569,0.004507918543699
2.3250002732273e-09,7.1617992765876e-09,0.006494481981982,0.0350481731731732,9.91e+37,9.91e+37,9.91e+37,0.00268858805803,0.0012668833390016
3.2623801071488e-09,1.5407472530097e-08,0.0208125,0.0735570883383383,9.91e+37,1.15885003246449e-08,9.91e+37,0.0025171051237631,0.0021500918125786
4.5537546805968e-09,3.26672113682765e-08,0.0209392361111111,0.194625,-3.8640154063361e-09,5.932271604663e-09,9.91e+37,0.0029710839336861,0.0042789109381631
2.2949654583752e-09,2.17645359966555e-08,0.015534375,0.149671875,-3.1198870924023e-09,1.53655000223325e-08,9.91e+37,0.0022556811221812,0.003393761584845
2.683183563452e-09,3.146708412774e-08,0.01926875,0.1611769582082082,-3.5339228877265e-09,2.55065907519755e-08,9.91e+37,0.0023990023619189,0.0052450252792643
2.7679765244654e-09,1.2785633363199e-08,0.0112191504004,0.0610050675675676,9.91e+37,3.27293375368239e-08,9.91e+37,0.0023772049285164,0.0020064493383117
3.2016625616688e-09,2.20805350837582e-08,0.01991875,0.107505833958959,-3.00739942309e-09,7.3600883383148e-09,9.91e+37,0.0025329582120669,0.0029842574379659
2.1334357512345e-09,2.15119362955057e-08,0.00864588963964,0.14784375,9.91e+37,9.91e+37,9.91e+37,0.002162103617753,0.0032647769364574
2.5764578521e-09,2.73436998134137e-08,0.016034375,0.1306158033033033,-4.00223197877e-09,7.6243127568365e-09,9.91e+37,0.0024073415092217,0.0040553982270217
5.4360019659646e-09,3.0293393786904e-08,0.031546875,0.19390625,-1.13540998736323e-08,4.43111011151e-09,9.91e+37,0.0032539719331627,0.0046299672058277
1.5684181796779e-09,1.42457522155375e-08,0.0063965277777778,0.0802681587837838,9.91e+37,9.91e+37,9.91e+37,0.0019390445071743,0.00253218419002
1.5027343962148e-09,1.65628593644503e-08,0.00730556493994,0.0769957457457458,9.91e+37,9.91e+37,9.91e+37,0.0019566239134295,0.0026705636254511
1.2865667138649e-09,1.31431568355144e-08,0.006297850975976,0.0678095439189189,9.91e+37,9.91e+37,9.91e+37,0.0016277622754455,0.0023675268369839
2.6689500413306e-09,2.06263466384214e-08,0.0177125,0.086478587962963,-4.2222073315322e-09,9.91e+37,9.91e+37,0.0023905563421315,0.0031445809541448
2.4474832751526e-09,2.24766022470356e-08,0.01681875,0.1165734484484485,-3.1704760556643e-09,9.91e+37,9.91e+37,0.0020470107321376,0.0031755309836728
2.5187187424266e-09,2.66138614957881e-08,0.0112375062562563,0.1404923986486486,-2.6662843115785e-09,2.4737817623795e-08,3.63976965327066e-08,0.0023265035009146,0.0037633358998
