X: (V),Y: (Hits)
-0.000393321,0
-0.000348438,0
-0.000303554,0
-0.00025867,0
-0.000213786,0
-0.000168903,0
-0.000124019,0
-7.91352e-05,0
-3.42514e-05,0
1.06323e-05,0
5.55161e-05,0
0.0001004,0
0.000145284,0
0.000190167,0
0.000235051,60176
0.000279935,21571
0.000324819,140
0.000369702,111
0.000414586,90
0.00045947,79
0.000504354,81
0.000549237,79
0.000594121,55
0.000639005,72
0.000683889,59
0.000728772,77
0.000773656,61
0.00081854,71
0.000863424,56
0.000908308,59
0.000953191,71
0.000998075,46
0.00104296,65
0.00108784,52
0.00113273,56
0.00117761,65
0.00122249,41
0.00126738,38
0.00131226,57
0.00135715,46
0.00140203,46
0.00144691,60
0.0014918,39
0.00153668,58
0.00158156,47
0.00162645,54
0.00167133,44
0.00171622,37
0.0017611,45
0.00180598,44
0.00185087,40
0.00189575,46
0.00194063,43
0.00198552,32
0.0020304,35
0.00207529,36
0.00212017,26
0.00216505,31
0.00220994,28
0.00225482,37
0.0022997,22
0.00234459,28
0.00238947,20
0.00243436,24
0.00247924,23
0.00252412,15
0.00256901,19
0.00261389,13
0.00265877,15
0.00270366,19
0.00274854,18
0.00279343,12
0.00283831,13
0.00288319,10
0.00292808,7
0.00297296,9
0.00301784,8
0.00306273,6
0.00310761,7
0.0031525,5
0.00319738,2
0.00324226,8
0.00328715,5
0.00333203,6
0.00337691,4
0.0034218,2
0.00346668,2
0.00351157,4
0.00355645,5
0.00360133,4
0.00364622,5
0.0036911,2
0.00373598,1
0.00378087,3
0.00382575,1
0.00387064,3
0.00391552,1
0.0039604,0
0.00400529,2
0.00405017,1
0.00409505,0
0.00413994,1
0.00418482,1
0.00422971,0
0.00427459,0
0.00431947,0
0.00436436,0
0.00440924,2
0.00445412,1
0.00449901,4
0.00454389,1
0.00458878,0
0.00463366,2
0.00467854,2
0.00472343,0
0.00476831,1
0.00481319,2
0.00485808,0
0.00490296,2
0.00494785,2
0.00499273,1
0.00503761,1
0.0050825,2
0.00512738,1
0.00517226,0
0.00521715,0
0.00526203,1
0.00530692,0
0.0053518,2
0.00539668,0
0.00544157,0
0.00548645,1
0.00553133,0
0.00557622,0
0.0056211,0
0.00566599,1
0.00571087,1
0.00575575,4
0.00580064,0
0.00584552,2
0.0058904,1
0.00593529,0
0.00598017,0
0.00602506,0
0.00606994,2
0.00611482,0
0.00615971,0
0.00620459,1
0.00624947,1
0.00629436,1
0.00633924,1
0.00638413,2
0.00642901,0
0.00647389,0
0.00651878,0
0.00656366,1
0.00660854,0
0.00665343,0
0.00669831,0
0.0067432,0
0.00678808,1
0.00683296,0
0.00687785,1
0.00692273,0
0.00696761,0
0.0070125,0
0.00705738,0
0.00710227,0
0.00714715,0
0.00719203,0
0.00723692,1
0.0072818,0
0.00732668,1
0.00737157,0
0.00741645,0
0.00746134,1
0.00750622,0
0.0075511,0
0.00759599,0
0.00764087,1
0.00768575,0
0.00773064,0
0.00777552,0
0.00782041,1
0.00786529,0
0.00791017,0
0.00795506,0
0.00799994,1
0.00804483,0
0.00808971,0
0.00813459,0
0.00817948,0
0.00822436,1
0.00826924,0
0.00831413,0
0.00835901,0
0.0084039,0
0.00844878,0
0.00849366,0
0.00853855,1
0.00858343,0
0.00862831,1
0.0086732,0
0.00871808,0
0.00876297,0
0.00880785,0
0.00885273,0
0.00889762,0
0.0089425,0
0.00898738,0
0.00903227,0
0.00907715,0
0.00912204,0
0.00916692,0
0.0092118,0
0.00925669,0
0.00930157,0
0.00934645,0
0.00939134,0
0.00943622,0
0.00948111,0
0.00952599,0
0.00957087,0
0.00961576,0
0.00966064,0
0.00970552,0
0.00975041,0
0.00979529,0
0.00984018,0
0.00988506,0
0.00992994,0
0.00997483,1
0.0100197,0
0.0100646,0
0.0101095,0
0.0101544,0
0.0101992,0
0.0102441,0
0.010289,0
0.0103339,0
0.0103788,0
0.0104237,0
0.0104685,0
0.0105134,0
0.0105583,0
0.0106032,0
0.0106481,0
0.010693,0
0.0107379,0
0.0107827,0
