X: (s),Y: (Hits)
-3.06196e-12,0
1.79125e-10,0
3.61312e-10,0
5.43498e-10,0
7.25685e-10,0
9.07872e-10,0
1.09006e-09,0
1.27225e-09,0
1.45443e-09,0
1.63662e-09,0
1.81881e-09,1
2.00099e-09,2
2.18318e-09,4
2.36537e-09,4
2.54755e-09,5
2.72974e-09,13
2.91193e-09,5
3.09411e-09,12
3.2763e-09,18
3.45849e-09,18
3.64067e-09,31
3.82286e-09,42
4.00505e-09,45
4.18723e-09,77
4.36942e-09,126
4.55161e-09,186
4.73379e-09,235
4.91598e-09,295
5.09817e-09,336
5.28035e-09,411
5.46254e-09,452
5.64473e-09,493
5.82691e-09,592
6.0091e-09,580
6.19129e-09,599
6.37347e-09,585
6.55566e-09,618
6.73785e-09,673
6.92003e-09,615
7.10222e-09,682
7.28441e-09,620
7.4666e-09,637
7.64878e-09,623
7.83097e-09,611
8.01316e-09,605
8.19534e-09,556
8.37753e-09,594
8.55972e-09,498
8.7419e-09,508
8.92409e-09,504
9.10628e-09,432
9.28846e-09,430
9.47065e-09,427
9.65284e-09,388
9.83502e-09,344
1.00172e-08,348
1.01994e-08,337
1.03816e-08,307
1.05638e-08,297
1.0746e-08,233
1.09281e-08,272
1.11103e-08,212
1.12925e-08,229
1.14747e-08,221
1.16569e-08,192
1.18391e-08,190
1.20213e-08,177
1.22035e-08,185
1.23856e-08,162
1.25678e-08,144
1.275e-08,178
1.29322e-08,134
1.31144e-08,137
1.32966e-08,142
1.34788e-08,115
1.36609e-08,127
1.38431e-08,114
1.40253e-08,132
1.42075e-08,105
1.43897e-08,103
1.45719e-08,106
1.47541e-08,104
1.49363e-08,74
1.51184e-08,86
1.53006e-08,88
1.54828e-08,93
1.5665e-08,79
1.58472e-08,71
1.60294e-08,100
1.62116e-08,75
1.63937e-08,70
1.65759e-08,73
1.67581e-08,60
1.69403e-08,67
1.71225e-08,52
1.73047e-08,49
1.74869e-08,48
1.76691e-08,44
1.78512e-08,61
1.80334e-08,35
1.82156e-08,56
1.83978e-08,39
1.858e-08,34
1.87622e-08,33
1.89444e-08,35
1.91265e-08,40
1.93087e-08,34
1.94909e-08,27
1.96731e-08,23
1.98553e-08,38
2.00375e-08,23
2.02197e-08,25
2.04019e-08,21
2.0584e-08,17
2.07662e-08,12
2.09484e-08,11
2.11306e-08,22
2.13128e-08,13
2.1495e-08,11
2.16772e-08,10
2.18593e-08,20
2.20415e-08,10
2.22237e-08,15
2.24059e-08,13
2.25881e-08,8
2.27703e-08,12
2.29525e-08,11
2.31347e-08,6
2.33168e-08,14
2.3499e-08,9
2.36812e-08,12
2.38634e-08,6
2.40456e-08,12
2.42278e-08,4
2.441e-08,11
2.45922e-08,9
2.47743e-08,11
2.49565e-08,6
2.51387e-08,11
2.53209e-08,6
2.55031e-08,4
2.56853e-08,7
2.58675e-08,2
2.60496e-08,7
2.62318e-08,9
2.6414e-08,2
2.65962e-08,1
2.67784e-08,9
2.69606e-08,7
2.71428e-08,8
2.7325e-08,6
2.75071e-08,5
2.76893e-08,2
2.78715e-08,1
2.80537e-08,3
2.82359e-08,3
2.84181e-08,4
2.86003e-08,3
2.87824e-08,2
2.89646e-08,2
2.91468e-08,4
2.9329e-08,3
2.95112e-08,3
2.96934e-08,2
2.98756e-08,2
3.00578e-08,1
3.02399e-08,0
3.04221e-08,4
3.06043e-08,4
3.07865e-08,2
3.09687e-08,4
3.11509e-08,2
3.13331e-08,4
3.15152e-08,1
3.16974e-08,1
3.18796e-08,1
3.20618e-08,1
3.2244e-08,0
3.24262e-08,1
3.26084e-08,1
3.27906e-08,1
3.29727e-08,2
3.31549e-08,2
3.33371e-08,2
3.35193e-08,0
3.37015e-08,1
3.38837e-08,2
3.40659e-08,1
3.4248e-08,0
3.44302e-08,1
3.46124e-08,2
3.47946e-08,2
3.49768e-08,1
3.5159e-08,0
3.53412e-08,1
3.55234e-08,0
3.57055e-08,1
3.58877e-08,0
3.60699e-08,1
3.62521e-08,0
3.64343e-08,0
3.66165e-08,0
3.67987e-08,0
3.69809e-08,0
3.7163e-08,0
3.73452e-08,1
3.75274e-08,0
3.77096e-08,1
3.78918e-08,0
3.8074e-08,0
3.82562e-08,1
3.84383e-08,0
3.86205e-08,1
3.88027e-08,0
3.89849e-08,0
3.91671e-08,1
3.93493e-08,0
3.95315e-08,0
3.97137e-08,0
3.98958e-08,0
4.0078e-08,0
4.02602e-08,2
4.04424e-08,0
4.06246e-08,0
4.08068e-08,0
4.0989e-08,0
4.11711e-08,0
4.13533e-08,0
4.15355e-08,0
4.17177e-08,0
4.18999e-08,0
4.20821e-08,0
4.22643e-08,1
4.24465e-08,0
4.26286e-08,0
4.28108e-08,0
4.2993e-08,0
4.31752e-08,0
4.33574e-08,0
4.35396e-08,0
4.37218e-08,0
4.39039e-08,0
4.40861e-08,0
4.42683e-08,0
4.44505e-08,0
4.46327e-08,0
4.48149e-08,0
4.49971e-08,0
4.51793e-08,0
4.53614e-08,0
