CdS 10 s emission nm (uv 255 nm),,
Wavelength (nm),Intensity (a.u.),
265,-10.9185276,
265.9299927,-11.88412094,
267.0299988,-11.96671772,
267.9599915,-12.15341759,
269.0599976,-11.45711422,
270,-11.23273563,
270.9299927,-10.10565567,
272.0299988,-8.641401291,
272.9599915,-8.082509995,
274.0599976,-7.151560783,
275,-6.712100029,
275.9299927,-5.111403465,
277.0299988,-4.098988533,
277.9599915,-4.885005951,
279.0599976,-3.912605286,
280,-2.917090416,
280.9299927,-3.542499542,
282.0299988,-2.665822029,
282.9599915,-2.504163742,
284.0599976,-1.747803688,
285,-0.466668129,
285.9299927,0.07924747467,
287.0299988,0.3833723068,
287.9599915,0.8540420532,
289.0599976,1.350845337,
290,3.071792603,
291.0700073,4.046836853,
292,6.906833649,
293.0700073,10.00958252,
294,12.80309868,
295.0700073,15.68546486,
296,18.79179764,
297.0700073,21.15663147,
298,20.57175064,
299.0700073,20.84529114,
300,23.27323151,
300.9299927,24.33654785,
302.0299988,26.72548676,
302.9599915,27.47394943,
304.0599976,30.98112869,
305,31.60430908,
305.9299927,33.59481812,
307.0299988,36.27695084,
307.9599915,35.8041153,
309.0599976,37.82546616,
310,39.5760231,
311.0700073,39.51860428,
312,40.23018265,
313.0700073,39.62478256,
314,39.93647766,
315.0700073,40.77859879,
316,40.18112183,
317.0700073,41.0126152,
318,39.63645172,
319.0700073,40.5405426,
320,40.49817657,
320.9299927,41.117733,
322.0299988,39.95391846,
322.9599915,40.2741394,
324.0599976,39.6389122,
325,41.16967773,
325.9299927,39.5296936,
327.0299988,38.6310463,
327.9599915,38.55863953,
329.0599976,38.11470413,
330,39.21132278,
331.0700073,38.6146698,
332,35.79497147,
333.0700073,36.92255402,
334,35.58925247,
335.0700073,36.53372574,
336,35.8237114,
337.0700073,35.98122025,
338,36.41401672,
339.0700073,36.15623856,
340,34.56166458,
341.0700073,35.70115662,
342,35.6817627,
343.0700073,35.25904846,
344,34.99265671,
345.0700073,35.77412415,
346,35.6948967,
347.0700073,36.37307358,
348,34.58049774,
349.0700073,37.24454498,
350,37.58383179,
351.0700073,39.04131699,
352,40.28699493,
353.0700073,39.92535019,
354,39.86896515,
355.0700073,41.05504608,
356,42.91127014,
357.0700073,43.90621185,
358,43.80881882,
359.0700073,46.01961136,
360,45.23142242,
361.0700073,47.64100647,
362,47.85303879,
363.0700073,46.46788788,
364,47.10176086,
365.0700073,49.97129059,
366,51.85639954,
367.0700073,49.37210083,
368,51.01397705,
369.0700073,53.55926514,
370,54.51591492,
371.0700073,53.26460266,
372,53.35041809,
373.0700073,54.53031921,
374,55.3150177,
375.0700073,55.1219635,
376,55.67349243,
377.0700073,55.31900024,
378,54.87489319,
379.0700073,56.18476105,
380,55.26756287,
381.0700073,54.44015503,
382,56.04053497,
383.0700073,56.52428436,
384,55.15306854,
385.0700073,55.21955872,
386,56.33424377,
387.0700073,53.6476059,
388,54.45842743,
389.0700073,52.51583862,
390,51.64424133,
391.0700073,52.52178192,
392,51.6420517,
393.0700073,51.3108902,
394,51.3491745,
395.0700073,52.02656555,
396,48.87232208,
397.0700073,50.15555573,
398,48.17579651,
399.0700073,48.32164764,
400,45.89276123,
401.0700073,47.64275742,
402,45.04494858,
403.0700073,45.1849823,
404,42.66820908,
405.0700073,43.93566132,
406,42.85118866,
407.0700073,41.32689285,
408,40.65571976,
409.0700073,39.96473312,
410,40.11471176,
411.0599976,37.28993988,
411.9599915,36.27829742,
413.0299988,34.78600311,
413.9299927,35.24134445,
415,34.18881989,
416.0599976,33.79169083,
416.9599915,32.10839844,
418.0299988,32.67023087,
418.9299927,31.15643311,
420,30.60926819,
421.0700073,29.10406113,
422,28.9832077,
423.0700073,28.5390892,
424,26.28323364,
425.0700073,25.44480515,
426,26.02906036,
427.0700073,25.75687408,
428,23.01596451,
429.0700073,21.38931656,
430,21.17064285,
431.0599976,20.65439987,
431.9599915,20.00390625,
433.0299988,19.74157333,
433.9299927,17.72956848,
435,17.0580883,
436.0599976,15.3225975,
436.9599915,14.41621971,
438.0299988,13.5294075,
438.9299927,13.27796936,
440,11.84448624,
441.0599976,12.21981049,
441.9599915,11.88907051,
443.0299988,10.7786026,
443.9299927,9.771762848,
445,10.28503609,
446.0599976,8.389993668,
446.9599915,7.93255043,
448.0299988,8.085071564,
448.9299927,7.883785248,
450,7.377948761,
451.0599976,6.720788956,
451.9599915,6.496809006,
453.0299988,5.385028839,
453.9299927,5.945468903,
455,4.904628754,
456.0599976,5.019865036,
456.9599915,3.994361877,
458.0299988,3.360839844,
458.9299927,3.631866455,
460,3.396238327,
461.0599976,2.233957291,
461.9599915,2.240915298,
463.0299988,1.562005997,
463.9299927,1.362569809,
465,1.092813492,
466.0599976,-0.04792690277,
466.9599915,0.5772066116,
468.0299988,-0.6473913193,
468.9299927,-0.5322122574,
470,-0.7264862061,
471.0599976,-1.176156998,
471.9599915,-0.8433218002,
473.0299988,-2.274719238,
473.9299927,-1.811193466,
475,-2.499926567,
476.0599976,-2.882540703,
476.9599915,-3.093255043,
478.0299988,-2.949602127,
478.9299927,-2.505326271,
480,-3.561891556,
481.0599976,-3.061139107,
481.9599915,-2.885489464,
483.0299988,-3.703269958,
483.9299927,-3.322985649,
485,-4.066955566,
486.0599976,-4.112952232,
486.9599915,-3.619169235,
488.0299988,-4.980844498,
488.9299927,-5.436001778,
490,-4.592920303,
491.0400085,-4.73217392,
491.9400024,-4.989894867,
492.980011,-4.91550827,
494.019989,-4.793084145,
495.0700073,-4.337669373,
495.9700012,-4.270816803,
497.0100098,-3.693774223,
498.0499878,-1.584150314,
498.9500122,0.5662097931,
500,9.744880676,
501.0400085,23.58293533,
501.9400024,41.71969604,
502.980011,78.52651215,
504.019989,131.9544983,
505.0700073,188.3612061,
505.9700012,225.1515198,
507.0100098,254.2634888,
508.0499878,271.0141907,
508.9500122,277.8516541,
510,272.5018311,
511.0599976,268.1784668,
511.9599915,260.7970581,
513.0300293,254.8416443,
513.9299927,236.175293,
515,208.5321655,
516.0599976,177.3210754,
516.960022,134.594574,
518.0300293,100.2857132,
518.9299927,67.05620575,
520,36.16573715,
521.039978,16.56365395,
521.9400024,6.568738937,
522.9799805,-0.6723232269,
524.0200195,-4.433381081,
525.0700073,-6.247089386,
525.9699707,-6.785392284,
527.0100098,-7.634914398,
528.0499878,-8.245950699,
528.9500122,-8.322377205,
530,-8.681154251,
531.039978,-9.151584625,
531.9400024,-8.408986092,
532.9799805,-8.780776978,
534.0200195,-8.872889519,
535.0700073,-8.981676102,
535.9699707,-9.086919785,
537.0100098,-8.866096497,
538.0499878,-8.727066994,
538.9500122,-8.493015289,
540,-8.503975868,
541.0200195,-8.180127144,
542.0499878,-7.938764095,
542.9400024,-7.545853615,
543.9699707,-7.333086491,
545,-7.113367558,
546.0200195,-6.530360222,
547.0499878,-6.633416176,
547.9400024,-6.672183037,
548.9699707,-6.522332191,
550,-6.122724533,
551.039978,-5.644925117,
551.9400024,-6.096427917,
552.9799805,-5.824048042,
554.0200195,-5.842409134,
555.0700073,-6.382274628,
555.9699707,-5.853873253,
557.0100098,-6.324474335,
558.0499878,-6.363057137,
558.9500122,-6.03174305,
560,-6.187147141,
561.039978,-6.123074532,
561.9400024,-6.181394577,
562.9799805,-5.237587929,
564.0200195,-6.232485771,
565.0700073,-6.47530365,
565.9699707,-6.827114582,
567.0100098,-5.734101295,
568.0499878,-6.177339554,
568.9500122,-6.64792347,
570,-6.31862545,
571.0200195,-5.497466087,
572.0499878,-5.121431351,
572.9400024,-5.322369576,
573.9699707,-6.008687973,
575,-6.058431625,
576.0200195,-5.948202133,
577.0499878,-5.955280304,
577.9400024,-6.255302429,
578.9699707,-6.413946152,
580,-5.515363693,
581.0200195,-5.273464203,
582.0499878,-5.145871162,
582.9400024,-4.875710487,
583.9699707,-4.318601608,
585,-3.61157608,
586.0200195,-2.735629082,
587.0499878,-1.758090019,
587.9400024,-1.486273766,
588.9699707,-1.231074333,
590,0.01048564911,
591.0200195,-0.3640375137,
592.0499878,-0.2801008224,
592.9400024,-0.6678724289,
593.9699707,-1.458423615,
595,-1.300905228,
596.0200195,-0.4127292633,
597.0499878,-1.255924225,
597.9400024,-1.327400208,
598.9699707,-0.2104043961,
600,-0.877243042,
601.0200195,-0.9523658752,
602.0499878,0.09340667725,
602.9400024,-0.4281139374,
603.9699707,0.364159584,
605,0.4088821411,
606.0200195,-0.009715080261,
607.0499878,0.03086280823,
607.9400024,0.9983358383,
608.9699707,0.4869995117,
610,0.8638114929,
611.0100098,1.447727203,
612.0200195,0.7912988663,
613.039978,0.4992341995,
614.0499878,0.7676343918,
615.0700073,1.206922531,
615.9400024,0.8160324097,
616.9500122,0.7824821472,
617.9699707,0.04907131195,
618.9799805,0.8191566467,
620,1.397029877,
621.0200195,0.2952404022,
622.0499878,0.4702920914,
622.9400024,0.5838851929,
623.9699707,0.5807247162,
625,-0.6241893768,
626.0200195,-1.076627731,
627.0499878,-0.3697900772,
627.9400024,0.001155853271,
628.9699707,-0.8416385651,
630,-1.093494415,
631.0100098,-1.280722618,
632.0200195,-1.893567085,
633.039978,-1.363768578,
634.0499878,-1.234080315,
635.0700073,-1.881222725,
635.9400024,-2.106814384,
636.9500122,-1.824663162,
637.9699707,-1.773118973,
638.9799805,-2.474038124,
640,-2.384947777,
641.0100098,-3.228200912,
642.0200195,-2.381514549,
643.039978,-3.586200714,
644.0499878,-3.516041756,
645.0700073,-2.740576744,
645.9400024,-3.488336563,
646.9500122,-2.923331261,
647.9699707,-3.603096962,
648.9799805,-3.275345802,
650,-3.712802887,
651,-4.395300865,
652,-3.817429543,
653,-4.059514046,
654,-4.905089378,
655,-4.735152245,
656,-5.258159637,
657,-5.402661324,
658,-5.203484535,
659,-5.74412632,
660,-5.920589447,
661.0100098,-5.350991249,
662.0200195,-5.514389992,
663.039978,-6.876945972,
664.0499878,-6.398807526,
665.0700073,-6.738290787,
665.9400024,-6.840941429,
666.9500122,-5.804117203,
667.9699707,-6.386407852,
668.9799805,-6.605523109,
670,-6.860393524,
671,-7.22526741,
672,-6.935988903,
673,-6.952418804,
674,-6.866057873,
675,-7.373558998,
676,-7.915418148,
677,-7.908187866,
678,-7.975313663,
679,-8.088907242,
680,-8.12517643,
681,-8.507890701,
