CdS 5 s emission at 547 nm (uv 274 nm),,
Wavelength (nm),Intensity (a.u.),
448.9299927,-13.10393047,
450,-12.92055035,
451.0599976,-13.17692566,
451.9599915,-13.10422134,
453.0299988,-13.03022099,
453.9299927,-13.0928297,
455,-13.08115959,
456.0599976,-13.13626957,
456.9599915,-13.16546249,
458.0299988,-13.15999699,
458.9299927,-13.10195827,
460,-13.09552097,
461.0599976,-13.04133415,
461.9599915,-13.01753807,
463.0299988,-13.06912518,
463.9299927,-13.11726761,
465,-13.34768486,
466.0599976,-13.18844509,
466.9599915,-13.21000385,
468.0299988,-13.00731564,
468.9299927,-12.86487293,
470,-12.76058483,
471.0599976,-12.75755882,
471.9599915,-12.69137287,
473.0299988,-12.84028339,
473.9299927,-13.06480217,
475,-13.06842327,
476.0599976,-13.32880878,
476.9599915,-13.47157288,
478.0299988,-13.52414322,
478.9299927,-13.40633202,
480,-13.53414726,
481.0400085,-13.67312717,
481.9400024,-13.53993988,
482.980011,-13.60512733,
484.019989,-13.63022041,
485.0700073,-13.64113903,
485.9700012,-13.73557568,
487.0100098,-13.73528862,
488.0499878,-13.69806862,
488.9500122,-13.79249859,
490,-13.7808876,
491.0599976,-13.79160309,
491.9599915,-13.72968578,
493.0299988,-13.77373028,
493.9299927,-13.88140583,
495,-14.00789547,
496.0599976,-13.84047604,
496.9599915,-13.85357285,
498.0299988,-13.81848526,
498.9299927,-13.8888607,
500,-13.86941814,
501.0400085,-13.60489178,
501.9400024,-13.7712822,
502.980011,-13.82780552,
504.019989,-13.85351276,
505.0700073,-13.53067684,
505.9700012,-13.9551506,
507.0100098,-13.9473772,
508.0499878,-13.92675209,
508.9500122,-13.85326862,
510,-13.88100433,
511.0400085,-13.96906567,
511.9400024,-13.98133945,
512.9799805,-13.90561867,
514.0200195,-13.87171173,
515.0700073,-14.00983238,
515.9699707,-13.9797411,
517.0100098,-14.15003777,
518.0499878,-13.86551285,
518.9500122,-14.05261326,
520,-14.00617027,
521.039978,-14.10177231,
521.9400024,-13.7816267,
522.9799805,-14.12219715,
524.0200195,-14.09555817,
525.0700073,-14.04355621,
525.9699707,-14.15120888,
527.0100098,-14.16890621,
528.0499878,-14.14568424,
528.9500122,-14.12268639,
530,-14.11965656,
531.039978,-14.06715012,
531.9400024,-14.15151691,
532.9799805,-13.97364044,
534.0200195,-14.09367847,
535.0700073,-13.88069248,
535.9699707,-13.85163975,
537.0100098,-13.79689503,

