CdS 5 s excitation (uv 274 nm),,
Wavelength (nm),Intensity (a.u.),
742.9500122,0.6123189926,
743.9400024,0.7672967911,
744.9199829,1.416025162,
745.9099731,1.141283035,
746.9000244,0.9575662613,
747.8800049,0.8597192764,
748.8699951,0.8613843918,
749.8499756,0.53028965,
750.8300171,0.7222261429,
751.9400024,0.1044940948,
752.9099731,0.373216629,
753.8800049,0.1757440567,
754.8599854,0.3722820282,
755.8300171,-0.04302597046,
756.9400024,0.8524332047,
757.9099731,-0.3040485382,
758.8800049,0.3003911972,
759.8599854,-0.02071094513,
760.8400269,-0.5986146927,
761.8300171,-0.7963094711,
762.9500122,-0.1030654907,
763.9400024,-0.913983345,
764.9199829,-0.8887681961,
765.9099731,-1.312839508,
766.9000244,-1.52341938,
767.8800049,-0.9502601624,
768.8699951,-1.732698441,
769.8499756,-2.269117355,
770.9500122,-2.12460804,
771.9099731,-2.42232132,
772.8699951,-2.647686005,
773.8300171,-2.558835983,
774.9299927,-3.440873146,
775.8900146,-3.799963951,
776.8400269,-3.659627914,
777.9400024,-3.486736298,
778.9000244,-4.476332664,
779.8599854,-4.178994179,
780.8300171,-4.720636368,
781.9400024,-5.021705627,
782.9099731,-4.815447807,
783.8800049,-5.456720352,
784.8599854,-5.712914467,
785.8300171,-5.877786636,
786.9400024,-5.714994431,
787.9099731,-6.257143021,
788.8800049,-6.503052711,
789.8599854,-6.700936317,
790.9500122,-6.828460693,
791.9099731,-6.925210953,
792.8699951,-7.105233669,
793.8300171,-7.272371769,
794.9299927,-7.409731865,
795.8900146,-7.715310574,
796.8400269,-7.83028698,
797.9400024,-7.926174164,
798.9000244,-8.001150131,
799.8599854,-7.880548477,
800.9500122,-8.570940971,

