CdS 10 s emmision (uv 278 nm)-Em.,,
Wavelength (nm),Intensity (a.u.),
413.9299927,144.1470337,
414.8399963,141.3324585,
415.8999939,135.3773804,
416.9599915,133.2268677,
417.8699951,130.9223022,
418.9299927,129.1552429,
419.8399963,124.0628586,
420.9200134,121.7939682,
421.8399963,118.9075699,
422.9200134,113.8454056,
423.8399963,110.4809265,
424.9200134,104.9496536,
425.8399963,104.5409775,
426.9200134,102.1948776,
427.8399963,100.1805344,
428.9200134,93.5528183,
429.8399963,91.40737915,
430.8999939,86.43151855,
431.9599915,83.48252106,
432.8699951,80.04946136,
433.9299927,77.21372223,
434.8399963,74.81809998,
435.8999939,73.72727203,
436.9599915,69.35458374,
437.8699951,69.35712433,
438.9299927,63.94152832,
439.8399963,63.1293335,
440.8999939,57.75460815,
441.9599915,55.98098755,
442.8699951,55.18058777,
443.9299927,53.06095886,
444.8399963,52.02484894,
445.8999939,48.58583069,
446.9599915,47.03584671,
447.8699951,45.1352272,
448.9299927,44.44281006,
449.8399963,39.90211487,
450.8999939,39.89785004,
451.9599915,37.40773392,
452.8699951,36.15781021,
453.9299927,34.7895813,
454.8399963,35.07775879,
455.8999939,33.6952095,
456.9599915,28.5818634,
457.8699951,30.16895676,
458.9299927,27.77082062,
459.8399963,26.41906357,
460.8999939,25.02465057,
461.9599915,23.83189392,
462.8699951,23.47608185,
463.9299927,22.26294327,
464.8399963,19.36552048,
465.8999939,19.51620102,
466.9599915,19.11042786,
467.8699951,17.26137733,
468.9299927,15.73077393,
469.8399963,14.08968163,
470.8999939,14.88236237,
471.9599915,12.88845825,
472.8699951,13.06692505,
473.9299927,12.02934837,
474.8399963,10.65574074,
475.8999939,10.05517006,
476.9599915,9.233390808,
477.8699951,9.144901276,
478.9299927,8.156438828,
479.8399963,8.191999435,
480.8999939,5.838962555,
481.9599915,5.849786758,
482.8699951,4.945760727,
483.9299927,4.515544891,
484.8399963,3.685436249,
485.8999939,3.473268509,
486.9599915,3.381319046,
487.8699951,2.192964554,
488.9299927,1.749158859,
489.8399963,1.073208809,
490.8900146,1.141228676,
491.9400024,0.05990886688,
492.980011,-0.6055622101,
493.8800049,0.01094150543,
494.9200134,-1.009858131,
495.9700012,-1.638567924,
496.8599854,-2.4607687,
497.9100037,-2.203454971,
498.9500122,-2.435301781,
499.8500061,-3.137918472,
500.8900146,-3.11078167,
501.9400024,-3.110654831,
502.980011,-3.867788315,
503.8800049,-4.534539223,
504.9200134,-5.003332138,
505.9700012,-5.053424835,
506.8599854,-4.952013016,
507.9100037,-5.354587555,
508.9500122,-5.851195335,
509.8500061,-5.664008141,
510.8999939,-6.475290298,
511.9599915,-6.153997421,
512.8699951,-7.106687546,
513.9299927,-7.107790947,
514.8400269,-6.564378738,
515.9000244,-7.607834339,
516.960022,-7.272985935,
517.8699951,-7.813569069,
518.9299927,-7.670898914,
519.8400269,-7.949100018,
520.8900146,-7.726191044,
521.9400024,-8.508908272,
522.9799805,-8.408675194,
523.8800049,-8.607985497,
524.9199829,-8.624015808,
525.9699707,-9.160181046,
526.8599854,-9.126242638,
527.9099731,-8.770858765,
528.9500122,-9.892690659,
529.8499756,-9.459329605,
530.8900146,-9.690504074,
531.9400024,-9.25188446,
532.9799805,-9.672091484,
533.8800049,-9.649278641,
534.9199829,-9.47513485,
535.9699707,-9.896289825,
536.8599854,-10.16607475,
537.9099731,-10.46152306,
538.9500122,-10.13818073,
539.8499756,-10.17351627,
540.8800049,-10.03335953,
541.9099731,-10.25087357,
542.9400024,-10.04449272,
543.9699707,-10.32292366,
544.8499756,-9.942508698,
545.8800049,-10.0477047,
546.9099731,-10.15496445,
547.9400024,-9.599168777,
548.9699707,-9.305316925,
549.8499756,-7.483415127,
550.8900146,-2.598677635,
551.9400024,4.918481827,
