X: (V*s),Y: (Hits)
4.56382e-09,0
4.57764e-09,0
4.59147e-09,0
4.60529e-09,0
4.61911e-09,0
4.63293e-09,0
4.64676e-09,0
4.66058e-09,0
4.6744e-09,0
4.68822e-09,0
4.70204e-09,0
4.71587e-09,0
4.72969e-09,0
4.74351e-09,0
4.75733e-09,0
4.77116e-09,0
4.78498e-09,0
4.7988e-09,0
4.81262e-09,0
4.82644e-09,0
4.84027e-09,1
4.85409e-09,0
4.86791e-09,0
4.88173e-09,0
4.89556e-09,0
4.90938e-09,0
4.9232e-09,1
4.93702e-09,0
4.95084e-09,0
4.96467e-09,0
4.97849e-09,0
4.99231e-09,0
5.00613e-09,0
5.01996e-09,0
5.03378e-09,0
5.0476e-09,0
5.06142e-09,0
5.07524e-09,0
5.08907e-09,0
5.10289e-09,0
5.11671e-09,0
5.13053e-09,0
5.14435e-09,1
5.15818e-09,0
5.172e-09,0
5.18582e-09,0
5.19964e-09,0
5.21347e-09,0
5.22729e-09,0
5.24111e-09,0
5.25493e-09,0
5.26875e-09,0
5.28258e-09,0
5.2964e-09,0
5.31022e-09,0
5.32404e-09,0
5.33787e-09,0
5.35169e-09,0
5.36551e-09,0
5.37933e-09,0
5.39315e-09,0
5.40698e-09,0
5.4208e-09,0
5.43462e-09,0
5.44844e-09,0
5.46227e-09,0
5.47609e-09,0
5.48991e-09,0
5.50373e-09,0
5.51755e-09,0
5.53138e-09,0
5.5452e-09,0
5.55902e-09,0
5.57284e-09,0
5.58667e-09,0
5.60049e-09,0
5.61431e-09,0
5.62813e-09,0
5.64195e-09,0
5.65578e-09,0
5.6696e-09,0
5.68342e-09,0
5.69724e-09,0
5.71106e-09,0
5.72489e-09,0
5.73871e-09,0
5.75253e-09,0
5.76635e-09,0
5.78018e-09,0
5.794e-09,0
5.80782e-09,0
5.82164e-09,0
5.83546e-09,0
5.84929e-09,0
5.86311e-09,0
5.87693e-09,0
5.89075e-09,1
5.90458e-09,0
5.9184e-09,0
5.93222e-09,0
5.94604e-09,0
5.95986e-09,0
5.97369e-09,0
5.98751e-09,0
6.00133e-09,0
6.01515e-09,0
6.02898e-09,0
6.0428e-09,0
6.05662e-09,0
6.07044e-09,0
6.08426e-09,0
6.09809e-09,0
6.11191e-09,0
6.12573e-09,0
6.13955e-09,0
6.15337e-09,0
6.1672e-09,0
6.18102e-09,0
6.19484e-09,0
6.20866e-09,0
6.22249e-09,0
6.23631e-09,0
6.25013e-09,0
6.26395e-09,0
6.27777e-09,0
6.2916e-09,0
6.30542e-09,0
6.31924e-09,0
6.33306e-09,0
6.34689e-09,0
6.36071e-09,0
6.37453e-09,0
6.38835e-09,0
6.40217e-09,0
6.416e-09,0
6.42982e-09,0
6.44364e-09,0
6.45746e-09,0
6.47129e-09,0
6.48511e-09,0
6.49893e-09,0
6.51275e-09,0
6.52657e-09,0
6.5404e-09,0
6.55422e-09,0
6.56804e-09,0
6.58186e-09,0
6.59569e-09,0
6.60951e-09,0
6.62333e-09,0
6.63715e-09,0
6.65097e-09,0
6.6648e-09,0
6.67862e-09,0
6.69244e-09,0
6.70626e-09,0
6.72008e-09,0
6.73391e-09,0
6.74773e-09,0
6.76155e-09,0
6.77537e-09,0
6.7892e-09,0
6.80302e-09,0
6.81684e-09,0
6.83066e-09,0
6.84448e-09,0
6.85831e-09,0
6.87213e-09,0
6.88595e-09,1
6.89977e-09,0
6.9136e-09,0
6.92742e-09,0
6.94124e-09,0
6.95506e-09,0
6.96888e-09,0
6.98271e-09,0
6.99653e-09,0
7.01035e-09,0
7.02417e-09,0
7.038e-09,0
7.05182e-09,0
7.06564e-09,0
