"CdS 40 sec - RawData"
"Wavelength nm.","Abs."
200.00,-0.799957
201.00,-2.899796
202.00,-1.196869
203.00,-0.660782
204.00,-0.976212
205.00,-1.369263
206.00,-1.048553
207.00,-1.356415
208.00,-0.670761
209.00,-0.453659
210.00,-1.762100
211.00,-3.466644
212.00,-1.756973
213.00,-1.732162
214.00,-0.503540
215.00,-0.912064
216.00,-2.185455
217.00,-1.083069
218.00,-0.891068
219.00,-2.251846
220.00,-1.565277
221.00,-1.460907
222.00,-2.047501
223.00,-1.752792
224.00,-2.098557
225.00,-2.150711
226.00,-2.001144
227.00,-1.397781
228.00,-0.414368
229.00,-0.067139
230.00,-0.033066
231.00,-0.009079
232.00,0.225006
233.00,0.334335
234.00,0.506012
235.00,0.543259
236.00,0.703827
237.00,0.786377
238.00,0.900101
239.00,1.047668
240.00,1.169083
241.00,1.241623
242.00,1.315231
243.00,1.371872
244.00,1.394791
245.00,1.417450
246.00,1.381073
247.00,1.320724
248.00,1.262848
249.00,1.191650
250.00,1.113815
251.00,1.040222
252.00,0.988876
253.00,0.959015
254.00,0.927521
255.00,0.903564
256.00,0.863281
257.00,0.820099
258.00,0.799911
259.00,0.809464
260.00,0.814819
261.00,0.818970
262.00,0.836548
263.00,0.779175
264.00,0.697495
265.00,0.673065
266.00,0.626694
267.00,0.575851
268.00,0.636932
269.00,0.707031
270.00,0.602219
271.00,0.472610
272.00,0.394119
273.00,0.348373
274.00,0.325821
275.00,0.309326
276.00,0.296616
277.00,0.288132
278.00,0.280548
279.00,0.274445
280.00,0.271210
281.00,0.265533
282.00,0.260254
283.00,0.252930
284.00,0.248001
285.00,0.243042
286.00,0.233032
287.00,0.223694
288.00,0.216400
289.00,0.210846
290.00,0.205170
291.00,0.199600
292.00,0.193710
293.00,0.190842
294.00,0.186523
295.00,0.183167
296.00,0.182236
297.00,0.176498
298.00,0.174194
299.00,0.170105
300.00,0.168396
301.00,0.161148
302.00,0.157394
303.00,0.152618
304.00,0.151169
305.00,0.150314
306.00,0.144409
307.00,0.141418
308.00,0.138535
309.00,0.134552
310.00,0.130798
311.00,0.126740
312.00,0.122528
313.00,0.118790
314.00,0.114029
315.00,0.112000
316.00,0.109146
317.00,0.101593
318.00,0.097626
319.00,0.095963
320.00,0.093582
321.00,0.087036
322.00,0.085800
323.00,0.081696
324.00,0.080109
325.00,0.072830
326.00,0.073822
327.00,0.067978
328.00,0.064240
329.00,0.064224
330.00,0.062988
331.00,0.059341
332.00,0.058456
333.00,0.052765
334.00,0.048676
335.00,0.047287
336.00,0.043930
337.00,0.039047
338.00,0.037704
339.00,0.035797
340.00,0.032135
341.00,0.027786
342.00,0.028336
343.00,0.024582
344.00,0.022705
345.00,0.025040
346.00,0.020111
347.00,0.016129
348.00,0.016800
349.00,0.016418
350.00,0.014786
351.00,0.009003
352.00,0.009460
353.00,0.007767
354.00,0.004898
355.00,0.008377
356.00,0.007614
357.00,0.003937
358.00,0.002686
359.00,-0.000244
360.00,0.001434
361.00,0.001007
362.00,-0.001144
363.00,-0.000992
364.00,-0.005844
365.00,-0.007355
366.00,-0.008972
367.00,-0.007904
368.00,-0.010437
369.00,-0.008102
370.00,-0.010162
371.00,-0.011185
372.00,-0.012146
373.00,-0.013474
374.00,-0.012695
375.00,-0.014618
376.00,-0.018051
377.00,-0.019531
378.00,-0.020340
379.00,-0.020721
380.00,-0.020096
381.00,-0.020111
382.00,-0.021652
383.00,-0.021530
384.00,-0.022568
385.00,-0.024536
386.00,-0.026154
387.00,-0.026886
388.00,-0.028351
389.00,-0.028183
390.00,-0.030060
391.00,-0.031723
392.00,-0.032043
393.00,-0.032516
394.00,-0.033218
395.00,-0.033890
396.00,-0.034668
397.00,-0.034760
398.00,-0.037231
399.00,-0.036942
400.00,-0.037445
401.00,-0.038193
402.00,-0.038544
403.00,-0.038879
404.00,-0.039764
405.00,-0.039871
406.00,-0.040985
407.00,-0.040482
408.00,-0.040604
409.00,-0.041519
410.00,-0.041031
411.00,-0.041336
412.00,-0.041580
413.00,-0.041809
414.00,-0.042175
415.00,-0.042114
416.00,-0.041779
417.00,-0.042206
418.00,-0.041962
419.00,-0.042114
420.00,-0.042099
421.00,-0.042725
422.00,-0.042679
