"File_120407_231910 - RawData"
"Wavelength nm.","Abs."
408.50, 
409.00,0.023209
409.50, 
410.00,0.022598
410.50, 
411.00,0.022003
411.50, 
412.00,0.021286
412.50, 
413.00,0.020966
413.50, 
414.00,0.020370
414.50, 
415.00,0.019745
415.50, 
416.00,0.018967
416.50, 
417.00,0.017822
417.50, 
418.00,0.017258
418.50, 
419.00,0.016647
419.50, 
420.00,0.016190
420.50, 
421.00,0.015579
421.50, 
422.00,0.015228
422.50, 
423.00,0.014694
423.50, 
424.00,0.014297
424.50, 
425.00,0.013626
425.50, 
426.00,0.013229
426.50, 
427.00,0.012741
427.50, 
428.00,0.012451
428.50, 
429.00,0.012024
429.50, 
430.00,0.011627
430.50, 
431.00,0.011276
431.50, 
432.00,0.011124
432.50, 
433.00,0.010620
433.50, 
434.00,0.010315
434.50, 
435.00,0.009995
435.50, 
436.00,0.009781
436.50, 
437.00,0.009491
437.50, 
438.00,0.009232
438.50, 
439.00,0.008987
439.50, 
440.00,0.008728
440.50, 
441.00,0.008499
441.50, 
442.00,0.008392
442.50, 
443.00,0.008118
443.50, 
444.00,0.007935
444.50, 
445.00,0.007797
445.50, 
446.00,0.007645
446.50, 
447.00,0.007431
447.50, 
448.00,0.007233
448.50, 
449.00,0.007111
449.50, 
450.00,0.006882
450.50, 
451.00,0.006744
451.50, 
452.00,0.006622
452.50, 
453.00,0.006485
453.50, 
454.00,0.006409
454.50, 
455.00,0.006256
455.50, 
456.00,0.006104
456.50, 
457.00,0.005936
457.50, 
458.00,0.005783
458.50, 
459.00,0.005676
459.50, 
460.00,0.005630
460.50, 
461.00,0.005508
461.50, 
462.00,0.005524
462.50, 
463.00,0.005341
463.50, 
464.00,0.005188
464.50, 
465.00,0.005066
465.50, 
466.00,0.004990
466.50, 
467.00,0.004868
467.50, 
468.00,0.004791
468.50, 
469.00,0.004639
469.50, 
470.00,0.004532
470.50, 
471.00,0.004410
471.50, 
472.00,0.004456
472.50, 
473.00,0.004364
473.50, 
474.00,0.004105
474.50, 
475.00,0.004135
475.50, 
476.00,0.004059
476.50, 
477.00,0.004013
477.50, 
478.00,0.003952
478.50, 
479.00,0.003799
479.50, 
480.00,0.003799
480.50, 
481.00,0.003708
481.50, 
482.00,0.003616
482.50, 
483.00,0.003555
483.50, 
484.00,0.003555
484.50, 
485.00,0.003479
485.50, 
486.00,0.003418
486.50, 
487.00,0.003342
487.50, 
488.00,0.003250
488.50, 
489.00,0.003235
489.50, 
490.00,0.003174
490.50, 
491.00,0.003174
491.50, 
492.00,0.003189
492.50, 
493.00,0.003082
493.50, 
494.00,0.002975
494.50, 
495.00,0.003021
495.50, 
496.00,0.002960
496.50, 
497.00,0.002914
497.50, 
498.00,0.002869
498.50, 
499.00,0.002869
499.50, 
500.00,0.002762
500.50, 
501.00,0.002716
501.50, 
502.00,0.002655
502.50, 
503.00,0.002609
503.50, 
504.00,0.002579
504.50, 
505.00,0.002518
505.50, 
506.00,0.002472
506.50, 
507.00,0.002441
507.50, 
508.00,0.002396
508.50, 
509.00,0.002335
509.50, 
510.00,0.002304
510.50, 
511.00,0.002213
511.50, 
512.00,0.002213
512.50, 
513.00,0.002136
513.50, 
514.00,0.002167
514.50, 
515.00,0.002075
515.50, 
516.00,0.001984
516.50, 
517.00,0.001923
517.50, 
518.00,0.001953
518.50, 
519.00,0.001907
519.50, 
520.00,0.001938
520.50, 
521.00,0.001907
521.50, 
522.00,0.001801
522.50, 
523.00,0.001709
523.50, 
524.00,0.001663
524.50, 
525.00,0.001740
525.50, 
526.00,0.001740
526.50, 
527.00,0.001648
527.50, 
528.00,0.001602
528.50, 
529.00,0.001617
529.50, 
530.00,0.001617
530.50, 
531.00,0.001556
531.50, 
532.00,0.001495
532.50, 
533.00,0.001404
533.50, 
534.00,0.001389
534.50, 
535.00,0.001358
535.50, 
536.00,0.001205
536.50, 
537.00,0.001175
537.50, 
538.00,0.001205
538.50, 
539.00,0.001160
539.50, 
540.00,0.001129
540.50, 
541.00,0.001114
541.50, 
542.00,0.001038
542.50, 
543.00,0.001129
543.50, 
544.00,0.001068
544.50, 
545.00,0.001053
545.50, 
546.00,0.001007
546.50, 
547.00,0.000961
547.50, 
548.00,0.000946
548.50, 
549.00,0.000961
549.50, 
550.00,0.000931
550.50, 
551.00,0.000931
551.50, 
552.00,0.000900
552.50, 
553.00,0.000900
553.50, 
554.00,0.000961
554.50, 
555.00,0.000854
555.50, 
556.00,0.000763
556.50, 
557.00,0.000763
557.50, 
558.00,0.000793
558.50, 
559.00,0.000778
559.50, 
560.00,0.000809
560.50, 
561.00,0.000778
561.50, 
562.00,0.000732
562.50, 
563.00,0.000702
563.50, 
564.00,0.000656
564.50, 
565.00,0.000717
565.50, 
566.00,0.000671
566.50, 
567.00,0.000656
567.50, 
568.00,0.000687
568.50, 
569.00,0.000641
569.50, 
570.00,0.000641
570.50, 
571.00,0.000626
571.50, 
572.00,0.000580
572.50, 
573.00,0.000534
573.50, 
574.00,0.000565
574.50, 
575.00,0.000549
575.50, 
576.00,0.000565
576.50, 
577.00,0.000549
577.50, 
578.00,0.000549
578.50, 
579.00,0.000504
579.50, 
580.00,0.000443
580.50, 
581.00,0.000458
581.50, 
582.00,0.000412
582.50, 
583.00,0.000397
583.50, 
584.00,0.000397
584.50, 
585.00,0.000427
585.50, 
586.00,0.000412
586.50, 
587.00,0.000412
587.50, 
588.00,0.000427
588.50, 
589.00,0.000351
589.50, 
590.00,0.000336
590.50, 
591.00,0.000336
591.50, 
592.00,0.000336
592.50, 
593.00,0.000351
593.50, 
594.00,0.000290
594.50, 
595.00,0.000305
595.50, 
596.00,0.000336
596.50, 
597.00,0.000336
597.50, 
598.00,0.000366
598.50, 
599.00,0.000366
599.50, 
600.00,0.000320
