"CdS 30 sec - RawData"
"Wavelength nm.","Abs."
548.00,0.002808
549.00,0.002747
550.00,0.002731
551.00,0.002655
552.00,0.002609
553.00,0.002548
554.00,0.002518
555.00,0.002380
556.00,0.002274
557.00,0.002274
558.00,0.002197
559.00,0.002121
560.00,0.002090
561.00,0.001984
562.00,0.001907
563.00,0.001801
564.00,0.001724
565.00,0.001755
566.00,0.001724
567.00,0.001678
568.00,0.001633
569.00,0.001541
570.00,0.001480
571.00,0.001465
572.00,0.001358
573.00,0.001282
574.00,0.001266
575.00,0.001221
576.00,0.001190
577.00,0.001129
578.00,0.001068
579.00,0.000992
580.00,0.000900
581.00,0.000870
582.00,0.000793
583.00,0.000687
584.00,0.000671
585.00,0.000656
586.00,0.000626
587.00,0.000656
588.00,0.000595
589.00,0.000458
590.00,0.000397
591.00,0.000397
592.00,0.000336
593.00,0.000305
594.00,0.000244
595.00,0.000168
596.00,0.000198
597.00,0.000107
598.00,0.000076
599.00,0.000000
600.00,0.000137
601.00,0.001083
602.00,0.001175
603.00,0.001129
604.00,0.001114
605.00,0.001068
606.00,0.001007
607.00,0.001038
608.00,0.000961
609.00,0.000977
610.00,0.000885
611.00,0.000854
612.00,0.000824
613.00,0.000793
614.00,0.000809
615.00,0.000778
616.00,0.000656
617.00,0.000610
618.00,0.000565
619.00,0.000565
620.00,0.000534
621.00,0.000519
622.00,0.000443
623.00,0.000412
624.00,0.000351
625.00,0.000320
626.00,0.000305
627.00,0.000320
628.00,0.000275
629.00,0.000214
630.00,0.000183
631.00,0.000183
632.00,0.000153
633.00,0.000107
634.00,0.000061
635.00,0.000000
636.00,-0.000061
637.00,-0.000076
638.00,-0.000137
639.00,-0.000214
640.00,-0.000214
641.00,-0.000229
642.00,-0.000198
643.00,-0.000183
644.00,-0.000183
645.00,-0.000229
646.00,-0.000259
647.00,-0.000229
648.00,-0.000244
649.00,-0.000214
650.00,-0.000275
