"uv vis of CdS 5 s - RawData-001"
"Wavelength nm.","Abs."
544.00,0.008469
545.00,0.008423
546.00,0.008392
547.00,0.008301
548.00,0.008316
549.00,0.008270
550.00,0.008148
551.00,0.008163
552.00,0.008133
553.00,0.008133
554.00,0.008133
555.00,0.008194
556.00,0.008224
557.00,0.008179
558.00,0.008179
559.00,0.008224
560.00,0.008286
561.00,0.008316
562.00,0.008347
563.00,0.008392
564.00,0.008408
565.00,0.008453
566.00,0.008545
567.00,0.008560
568.00,0.008606
569.00,0.008545
570.00,0.008545
571.00,0.008514
572.00,0.008408
573.00,0.008484
574.00,0.008484
575.00,0.008560
576.00,0.008591
577.00,0.008575
578.00,0.008469
579.00,0.008469
580.00,0.008530
581.00,0.008560
582.00,0.008545
583.00,0.008530
584.00,0.008560
585.00,0.008530
586.00,0.008499
587.00,0.008453
588.00,0.008453
589.00,0.008453
590.00,0.008408
591.00,0.008392
592.00,0.008392
593.00,0.008438
594.00,0.008362
595.00,0.008362
596.00,0.008362
597.00,0.008286
598.00,0.008194
599.00,0.008179
600.00,0.008194
601.00,0.008209
602.00,0.008133
603.00,0.008148
604.00,0.008163
605.00,0.008179
606.00,0.008148
607.00,0.008148
608.00,0.008102
609.00,0.008194
610.00,0.008240
611.00,0.008270
612.00,0.008270
613.00,0.008255
614.00,0.008377
615.00,0.008423
616.00,0.008438
617.00,0.008423
618.00,0.008408
619.00,0.008438
620.00,0.008499
621.00,0.008423
622.00,0.008469
623.00,0.008484
624.00,0.008499
625.00,0.008545
626.00,0.008575
627.00,0.008621
628.00,0.008575
629.00,0.008560
630.00,0.008636
631.00,0.008667
632.00,0.008606
633.00,0.008682
634.00,0.008621
635.00,0.008560
636.00,0.008560
637.00,0.008545
638.00,0.008560
639.00,0.008545
640.00,0.008560
641.00,0.008575
642.00,0.008621
643.00,0.008621
644.00,0.008636
645.00,0.008636
646.00,0.008652
647.00,0.008728
648.00,0.008774
649.00,0.008789
650.00,0.008789
651.00,0.008759
652.00,0.008804
653.00,0.008774
654.00,0.008774
655.00,0.008789
656.00,0.008835
657.00,0.008850
658.00,0.008911
659.00,0.009003
660.00,0.009003
661.00,0.009018
662.00,0.009064
663.00,0.009155
664.00,0.009232
665.00,0.009232
666.00,0.009155
667.00,0.009140
668.00,0.009171
669.00,0.009201
670.00,0.009277
671.00,0.009338
672.00,0.009415
673.00,0.009430
674.00,0.009460
675.00,0.009583
676.00,0.009644
677.00,0.009659
678.00,0.009827
679.00,0.009918
680.00,0.009979
681.00,0.009995
682.00,0.010025
683.00,0.009995
684.00,0.010040
685.00,0.010101
686.00,0.010101
687.00,0.010071
688.00,0.009995
689.00,0.010010
690.00,0.010010
691.00,0.009933
692.00,0.009888
693.00,0.009796
694.00,0.009766
695.00,0.009705
696.00,0.009689
697.00,0.009628
698.00,0.009598
699.00,0.009628
700.00,0.009613
701.00,0.009613
702.00,0.009567
703.00,0.009613
704.00,0.009613
705.00,0.009644
706.00,0.009628
707.00,0.009628
708.00,0.009689
709.00,0.009750
710.00,0.009781
711.00,0.009903
712.00,0.009964
713.00,0.009995
714.00,0.010025
715.00,0.010056
716.00,0.010071
717.00,0.010101
718.00,0.010162
719.00,0.010132
720.00,0.010101
721.00,0.010117
722.00,0.010117
723.00,0.010117
724.00,0.010132
725.00,0.010101
726.00,0.010162
727.00,0.010086
728.00,0.010025
729.00,0.010086
730.00,0.010010
731.00,0.009918
732.00,0.009918
733.00,0.009903
734.00,0.009811
735.00,0.009750
736.00,0.009659
737.00,0.009598
738.00,0.009476
739.00,0.009476
740.00,0.009430
741.00,0.009338
742.00,0.009293
743.00,0.009186
744.00,0.009033
745.00,0.008972
746.00,0.008850
747.00,0.008713
748.00,0.008667
749.00,0.008514
750.00,0.008423
751.00,0.008301
752.00,0.008163
753.00,0.007996
754.00,0.007889
755.00,0.007706
756.00,0.007584
757.00,0.007584
758.00,0.007599
759.00,0.007568
760.00,0.007538
761.00,0.007431
762.00,0.007324
763.00,0.007202
764.00,0.007080
765.00,0.006897
766.00,0.006729
767.00,0.006561
768.00,0.006454
769.00,0.006241
770.00,0.006104
771.00,0.006058
772.00,0.005951
773.00,0.005859
774.00,0.005737
775.00,0.005615
776.00,0.005447
777.00,0.005325
778.00,0.005173
779.00,0.005035
780.00,0.004852
781.00,0.004654
782.00,0.004486
783.00,0.004303
784.00,0.004120
785.00,0.003967
786.00,0.003799
787.00,0.003616
788.00,0.003433
789.00,0.003235
790.00,0.003067
791.00,0.002838
792.00,0.002487
793.00,0.002243
794.00,0.002045
795.00,0.001831
796.00,0.001648
797.00,0.001297
798.00,0.001007
799.00,0.000763
800.00,0.000458
