X: (s),Y: (Hits)
6.18437e-09,13
6.20267e-09,14
6.22097e-09,17
6.23928e-09,9
6.25758e-09,11
6.27588e-09,28
6.29418e-09,12
6.31248e-09,14
6.33079e-09,15
6.34909e-09,11
6.36739e-09,14
6.38569e-09,25
6.40399e-09,25
6.4223e-09,14
6.4406e-09,20
6.4589e-09,13
6.4772e-09,13
6.4955e-09,15
6.5138e-09,14
6.53211e-09,20
6.55041e-09,17
6.56871e-09,13
6.58701e-09,19
6.60531e-09,13
6.62362e-09,23
6.64192e-09,16
6.66022e-09,15
6.67852e-09,16
6.69682e-09,15
6.71513e-09,13
6.73343e-09,17
6.75173e-09,14
6.77003e-09,18
6.78833e-09,21
6.80664e-09,14
6.82494e-09,18
6.84324e-09,13
6.86154e-09,10
6.87984e-09,14
6.89814e-09,18
6.91645e-09,24
6.93475e-09,16
6.95305e-09,18
6.97135e-09,5
6.98965e-09,13
7.00796e-09,14
7.02626e-09,15
7.04456e-09,16
7.06286e-09,28
7.08116e-09,16
7.09947e-09,8
7.11777e-09,19
7.13607e-09,17
7.15437e-09,20
7.17267e-09,21
7.19097e-09,21
7.20928e-09,19
7.22758e-09,17
7.24588e-09,15
7.26418e-09,11
7.28248e-09,17
7.30079e-09,27
7.31909e-09,18
7.33739e-09,15
7.35569e-09,11
7.37399e-09,17
7.3923e-09,11
7.4106e-09,23
7.4289e-09,21
7.4472e-09,20
7.4655e-09,20
7.4838e-09,10
7.50211e-09,16
7.52041e-09,9
7.53871e-09,12
7.55701e-09,15
7.57531e-09,13
7.59362e-09,12
7.61192e-09,12
7.63022e-09,10
7.64852e-09,10
7.66682e-09,11
7.68513e-09,26
7.70343e-09,31
7.72173e-09,10
7.74003e-09,23
7.75833e-09,18
7.77663e-09,16
7.79494e-09,16
7.81324e-09,20
7.83154e-09,18
7.84984e-09,19
7.86814e-09,11
7.88645e-09,14
7.90475e-09,10
7.92305e-09,22
7.94135e-09,17
7.95965e-09,10
7.97796e-09,17
7.99626e-09,6
8.01456e-09,6
8.03286e-09,12
8.05116e-09,17
8.06946e-09,17
8.08777e-09,11
8.10607e-09,12
8.12437e-09,7
8.14267e-09,8
8.16097e-09,13
8.17928e-09,11
8.19758e-09,19
8.21588e-09,11
8.23418e-09,8
8.25248e-09,1
8.27079e-09,13
8.28909e-09,7
8.30739e-09,9
8.32569e-09,18
8.34399e-09,23
8.36229e-09,14
8.3806e-09,9
8.3989e-09,15
8.4172e-09,13
8.4355e-09,17
8.4538e-09,21
8.47211e-09,14
8.49041e-09,9
8.50871e-09,10
8.52701e-09,5
8.54531e-09,7
8.56362e-09,13
8.58192e-09,8
8.60022e-09,12
8.61852e-09,13
8.63682e-09,7
8.65512e-09,10
8.67343e-09,9
8.69173e-09,16
8.71003e-09,13
8.72833e-09,17
8.74663e-09,12
8.76494e-09,11
8.78324e-09,13
8.80154e-09,6
8.81984e-09,13
8.83814e-09,9
8.85645e-09,9
8.87475e-09,5
8.89305e-09,10
8.91135e-09,6
8.92965e-09,9
8.94795e-09,5
8.96626e-09,18
8.98456e-09,17
9.00286e-09,13
9.02116e-09,5
9.03946e-09,8
9.05777e-09,8
9.07607e-09,10
9.09437e-09,11
9.11267e-09,12
9.13097e-09,8
9.14928e-09,6
