X: (s),Y: (Hits)
-6.24935e-08,0
-6.23584e-08,0
-6.22233e-08,0
-6.20882e-08,0
-6.19531e-08,0
-6.1818e-08,0
-6.16829e-08,0
-6.15478e-08,0
-6.14127e-08,0
-6.12776e-08,0
-6.11425e-08,0
-6.10074e-08,0
-6.08723e-08,0
-6.07373e-08,0
-6.06022e-08,0
-6.04671e-08,0
-6.0332e-08,0
-6.01969e-08,0
-6.00618e-08,0
-5.99267e-08,0
-5.97916e-08,0
-5.96565e-08,0
-5.95214e-08,0
-5.93863e-08,0
-5.92512e-08,0
-5.91161e-08,0
-5.8981e-08,0
-5.88459e-08,0
-5.87108e-08,0
-5.85758e-08,0
-5.84407e-08,0
-5.83056e-08,0
-5.81705e-08,0
-5.80354e-08,0
-5.79003e-08,0
-5.77652e-08,0
-5.76301e-08,0
-5.7495e-08,0
-5.73599e-08,0
-5.72248e-08,0
-5.70897e-08,0
-5.69546e-08,0
-5.68195e-08,0
-5.66844e-08,0
-5.65493e-08,0
-5.64142e-08,0
-5.62792e-08,0
-5.61441e-08,0
-5.6009e-08,0
-5.58739e-08,0
-5.57388e-08,0
-5.56037e-08,0
-5.54686e-08,0
-5.53335e-08,0
-5.51984e-08,0
-5.50633e-08,0
-5.49282e-08,0
-5.47931e-08,0
-5.4658e-08,0
-5.45229e-08,0
-5.43878e-08,0
-5.42527e-08,0
-5.41177e-08,0
-5.39826e-08,0
-5.38475e-08,0
-5.37124e-08,0
-5.35773e-08,0
-5.34422e-08,0
-5.33071e-08,0
-5.3172e-08,0
-5.30369e-08,0
-5.29018e-08,0
-5.27667e-08,0
-5.26316e-08,0
-5.24965e-08,0
-5.23614e-08,0
-5.22263e-08,0
-5.20912e-08,0
-5.19562e-08,0
-5.18211e-08,0
-5.1686e-08,0
-5.15509e-08,0
-5.14158e-08,0
-5.12807e-08,0
-5.11456e-08,0
-5.10105e-08,0
-5.08754e-08,0
-5.07403e-08,0
-5.06052e-08,0
-5.04701e-08,0
-5.0335e-08,0
-5.01999e-08,0
-5.00648e-08,0
-4.99297e-08,0
-4.97946e-08,0
-4.96596e-08,0
-4.95245e-08,0
-4.93894e-08,0
-4.92543e-08,0
-4.91192e-08,0
-4.89841e-08,0
-4.8849e-08,0
-4.87139e-08,0
-4.85788e-08,0
-4.84437e-08,0
-4.83086e-08,0
-4.81735e-08,0
-4.80384e-08,0
-4.79033e-08,0
-4.77682e-08,0
-4.76331e-08,0
-4.74981e-08,0
-4.7363e-08,0
-4.72279e-08,0
-4.70928e-08,0
-4.69577e-08,0
-4.68226e-08,0
-4.66875e-08,0
-4.65524e-08,0
-4.64173e-08,0
-4.62822e-08,0
-4.61471e-08,0
-4.6012e-08,0
-4.58769e-08,0
-4.57418e-08,0
-4.56067e-08,0
-4.54716e-08,0
-4.53366e-08,0
-4.52015e-08,0
-4.50664e-08,0
-4.49313e-08,0
-4.47962e-08,0
-4.46611e-08,0
-4.4526e-08,0
-4.43909e-08,0
-4.42558e-08,0
-4.41207e-08,0
-4.39856e-08,0
-4.38505e-08,0
-4.37154e-08,0
-4.35803e-08,0
-4.34452e-08,0
-4.33101e-08,0
-4.3175e-08,0
-4.304e-08,0
-4.29049e-08,0
-4.27698e-08,0
-4.26347e-08,0
-4.24996e-08,0
-4.23645e-08,0
-4.22294e-08,0
-4.20943e-08,0
-4.19592e-08,0
-4.18241e-08,0
-4.1689e-08,0
-4.15539e-08,0
-4.14188e-08,0
-4.12837e-08,0
-4.11486e-08,0
-4.10135e-08,0
-4.08785e-08,0
-4.07434e-08,0
-4.06083e-08,0
-4.04732e-08,0
-4.03381e-08,0
-4.0203e-08,0
-4.00679e-08,0
-3.99328e-08,0
-3.97977e-08,0
-3.96626e-08,0
-3.95275e-08,0
-3.93924e-08,0
-3.92573e-08,0
-3.91222e-08,0
-3.89871e-08,0
-3.8852e-08,0
-3.8717e-08,0
-3.85819e-08,0
-3.84468e-08,0
-3.83117e-08,0
-3.81766e-08,0
-3.80415e-08,0
-3.79064e-08,0
-3.77713e-08,0
-3.76362e-08,0
-3.75011e-08,0
-3.7366e-08,0
-3.72309e-08,0
-3.70958e-08,0
-3.69607e-08,0
-3.68256e-08,0
-3.66905e-08,0
-3.65554e-08,0
-3.64204e-08,0
-3.62853e-08,0
-3.61502e-08,0
-3.60151e-08,0
-3.588e-08,0
-3.57449e-08,0
-3.56098e-08,0
-3.54747e-08,0
-3.53396e-08,0
-3.52045e-08,0
-3.50694e-08,0
-3.49343e-08,0
-3.47992e-08,0
-3.46641e-08,0
-3.4529e-08,0
-3.43939e-08,0
-3.42589e-08,0
-3.41238e-08,0
-3.39887e-08,0
-3.38536e-08,0
-3.37185e-08,0
-3.35834e-08,0
-3.34483e-08,0
-3.33132e-08,0
-3.31781e-08,0
-3.3043e-08,0
-3.29079e-08,0
-3.27728e-08,0
-3.26377e-08,0
-3.25026e-08,0
-3.23675e-08,0
-3.22324e-08,0
-3.20974e-08,0
-3.19623e-08,0
-3.18272e-08,0
-3.16921e-08,0
-3.1557e-08,0
-3.14219e-08,0
-3.12868e-08,0
-3.11517e-08,0
-3.10166e-08,0
-3.08815e-08,1
-3.07464e-08,0
-3.06113e-08,0
-3.04762e-08,0
-3.03411e-08,0
-3.0206e-08,0
-3.00709e-08,0
-2.99358e-08,0
-2.98008e-08,0
-2.96657e-08,0
-2.95306e-08,0
-2.93955e-08,0
-2.92604e-08,0
-2.91253e-08,0
-2.89902e-08,0
-2.88551e-08,0
-2.872e-08,0
-2.85849e-08,0
-2.84498e-08,0
-2.83147e-08,0
-2.81796e-08,0
-2.80445e-08,1
-2.79094e-08,0
-2.77743e-08,0
-2.76393e-08,0
-2.75042e-08,0
-2.73691e-08,0
-2.7234e-08,0
-2.70989e-08,0
-2.69638e-08,0
-2.68287e-08,0
-2.66936e-08,0
-2.65585e-08,0
-2.64234e-08,0
-2.62883e-08,0
-2.61532e-08,0
-2.60181e-08,0
-2.5883e-08,0
-2.57479e-08,0
-2.56128e-08,0
-2.54778e-08,0
-2.53427e-08,0
-2.52076e-08,0
-2.50725e-08,0
-2.49374e-08,0
-2.48023e-08,0
-2.46672e-08,0
-2.45321e-08,0
-2.4397e-08,0
-2.42619e-08,1
-2.41268e-08,0
-2.39917e-08,0
-2.38566e-08,2
-2.37215e-08,1
-2.35864e-08,0
-2.34513e-08,0
-2.33162e-08,0
-2.31812e-08,0
-2.30461e-08,0
-2.2911e-08,2
-2.27759e-08,0
-2.26408e-08,3
-2.25057e-08,1
-2.23706e-08,0
-2.22355e-08,0
-2.21004e-08,0
-2.19653e-08,0
-2.18302e-08,0
-2.16951e-08,1
-2.156e-08,1
-2.14249e-08,1
-2.12898e-08,1
-2.11547e-08,0
-2.10197e-08,0
-2.08846e-08,0
-2.07495e-08,1
-2.06144e-08,0
-2.04793e-08,0
-2.03442e-08,1
-2.02091e-08,0
-2.0074e-08,1
-1.99389e-08,0
-1.98038e-08,1
-1.96687e-08,0
-1.95336e-08,2
-1.93985e-08,1
-1.92634e-08,1
-1.91283e-08,1
-1.89932e-08,1
-1.88582e-08,3
-1.87231e-08,1
-1.8588e-08,2
-1.84529e-08,0
-1.83178e-08,2
-1.81827e-08,2
-1.80476e-08,2
-1.79125e-08,0
-1.77774e-08,2
-1.76423e-08,5
-1.75072e-08,1
-1.73721e-08,3
-1.7237e-08,1
-1.71019e-08,4
-1.69668e-08,3
-1.68317e-08,3
-1.66967e-08,7
-1.65616e-08,6
-1.64265e-08,8
-1.62914e-08,4
-1.61563e-08,6
-1.60212e-08,9
-1.58861e-08,1
-1.5751e-08,9
-1.56159e-08,7
-1.54808e-08,5
-1.53457e-08,6
-1.52106e-08,9
-1.50755e-08,9
-1.49404e-08,10
-1.48053e-08,12
-1.46702e-08,10
-1.45351e-08,15
-1.44001e-08,8
-1.4265e-08,9
-1.41299e-08,10
-1.39948e-08,16
-1.38597e-08,16
-1.37246e-08,13
-1.35895e-08,6
-1.34544e-08,14
-1.33193e-08,10
-1.31842e-08,14
-1.30491e-08,11
-1.2914e-08,14
-1.27789e-08,19
-1.26438e-08,12
-1.25087e-08,9
-1.23736e-08,17
-1.22386e-08,19
-1.21035e-08,18
-1.19684e-08,13
-1.18333e-08,14
-1.16982e-08,18
-1.15631e-08,11
-1.1428e-08,10
-1.12929e-08,17
-1.11578e-08,18
-1.10227e-08,14
-1.08876e-08,13
-1.07525e-08,18
-1.06174e-08,21
-1.04823e-08,22
-1.03472e-08,19
-1.02121e-08,23
-1.00771e-08,14
-9.94196e-09,19
-9.80686e-09,26
-9.67177e-09,9
-9.53667e-09,15
-9.40158e-09,18
-9.26649e-09,13
-9.13139e-09,17
-8.9963e-09,15
-8.86121e-09,19
-8.72611e-09,17
-8.59102e-09,19
-8.45592e-09,20
-8.32083e-09,22
-8.18574e-09,20
-8.05064e-09,20
-7.91555e-09,16
-7.78045e-09,11
-7.64536e-09,15
-7.51027e-09,16
-7.37517e-09,10
-7.24008e-09,13
-7.10499e-09,12
-6.96989e-09,13
-6.8348e-09,16
-6.6997e-09,13
-6.56461e-09,24
-6.42952e-09,12
-6.29442e-09,19
-6.15933e-09,14
-6.02423e-09,21
-5.88914e-09,15
-5.75405e-09,17
-5.61895e-09,10
-5.48386e-09,16
-5.34876e-09,17
-5.21367e-09,21
-5.07858e-09,21
-4.94348e-09,19
-4.80839e-09,17
-4.6733e-09,24
-4.5382e-09,16
-4.40311e-09,17
-4.26801e-09,14
-4.13292e-09,10
-3.99783e-09,25
-3.86273e-09,20
-3.72764e-09,15
-3.59254e-09,16
-3.45745e-09,12
-3.32236e-09,15
-3.18726e-09,19
-3.05217e-09,16
-2.91708e-09,20
-2.78198e-09,24
-2.64689e-09,21
-2.51179e-09,16
-2.3767e-09,21
-2.24161e-09,25
-2.10651e-09,17
-1.97142e-09,21
-1.83632e-09,19
-1.70123e-09,19
-1.56614e-09,12
-1.43104e-09,16
-1.29595e-09,27
-1.16085e-09,25
-1.02576e-09,27
-8.90667e-10,45
-7.55573e-10,46
-6.20479e-10,67
-4.85385e-10,57
-3.50291e-10,64
-2.15198e-10,45
-8.01037e-11,46
5.49901e-11,40
1.90084e-10,38
3.25178e-10,30
4.60272e-10,30
5.95366e-10,31
7.3046e-10,30
8.65553e-10,19
1.00065e-09,24
1.13574e-09,13
1.27083e-09,28
1.40593e-09,11
1.54102e-09,29
1.67612e-09,35
1.81121e-09,27
1.9463e-09,19
2.0814e-09,29
2.21649e-09,26
2.35159e-09,20
2.48668e-09,24
2.62177e-09,21
2.75687e-09,27
2.89196e-09,35
3.02706e-09,19
3.16215e-09,25
3.29724e-09,19
3.43234e-09,29
3.56743e-09,22
3.70252e-09,22
3.83762e-09,34
3.97271e-09,23
4.10781e-09,28
4.2429e-09,31
4.37799e-09,24
4.51309e-09,26
4.64818e-09,23
4.78328e-09,26
4.91837e-09,25
5.05346e-09,21
5.18856e-09,30
5.32365e-09,25
5.45875e-09,17
5.59384e-09,27
5.72893e-09,21
5.86403e-09,20
5.99912e-09,24
6.13421e-09,19
6.26931e-09,21
6.4044e-09,20
6.5395e-09,22
6.67459e-09,16
6.80968e-09,22
6.94478e-09,14
7.07987e-09,22
7.21497e-09,16
7.35006e-09,20
7.48515e-09,16
7.62025e-09,21
7.75534e-09,22
7.89043e-09,18
8.02553e-09,15
8.16062e-09,18
8.29572e-09,22
8.43081e-09,25
8.5659e-09,24
8.701e-09,15
8.83609e-09,9
8.97119e-09,20
9.10628e-09,9
9.24137e-09,18
9.37647e-09,18
9.51156e-09,18
9.64666e-09,18
9.78175e-09,16
9.91684e-09,25
