CdS 180sec ODE2 Toluene1 em420,,CdS 180sec ODE2 Toluene1 ex340,,CdS 180sec ODE2 Toluene1 ex335,,CdS 180sec ODE2 Toluene1 ex345,,CdS 180sec ODE2 Toluene1 em410,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
292.0299988,88.40023804,402,195.7369385,396.9200134,197.540741,406.9200134,197.5466919,292.0299988,89.1461792
292.9599915,93.74795532,403.0700073,198.6582031,397.8399963,199.0530243,407.8399963,198.6951294,292.9599915,93.74710846
294.0599976,99.54014587,404,199.1732483,398.9200134,199.6611176,408.9200134,201.0680389,294.0599976,101.7966537
295,103.723175,405.0700073,204.8970642,399.8399963,200.7345734,409.8399963,202.4387817,295,106.6862335
295.9299927,109.7284546,406,203.5639343,400.9200134,203.9021759,410.8999939,202.6637726,295.9299927,110.9488678
297.0299988,112.7247925,407.0700073,206.098175,401.8399963,205.3494568,411.9599915,205.8007813,297.0299988,114.1231232
297.9599915,115.2927246,408,207.9533997,402.9200134,202.9921875,412.8699951,207.8226471,297.9599915,117.8363953
299.0599976,120.0094147,409.0700073,208.9886169,403.8399963,207.8137207,413.9299927,208.9080658,299.0599976,118.6034546
300,121.3853912,410,210.8622131,404.9200134,208.7822723,414.8399963,208.2433624,300,123.4425049
301.0700073,124.0172119,411.0599976,209.4351807,405.8399963,213.7629089,415.8999939,208.6465302,301.0700073,126.7988281
302,129.2540283,411.9599915,212.0430908,406.9200134,210.1567078,416.9599915,214.1802521,302,127.3079834
303.0700073,131.4590149,413.0299988,212.1482239,407.8399963,211.4580078,417.8699951,213.0078125,303.0700073,131.2112732
304,135.5341034,413.9299927,213.117218,408.9200134,214.3129272,418.9299927,214.1235504,304,135.3062134
305.0700073,138.72966,415,214.4622192,409.8399963,212.4505463,419.8399963,213.8582153,305.0700073,141.6955566
306,138.8998871,416.0599976,216.1079407,410.8999939,211.0343475,420.9200134,215.7912903,306,140.7019958
307.0700073,145.5231018,416.9599915,213.4462891,411.9599915,212.2089539,421.8399963,215.960083,307.0700073,142.4998932
308,146.7192993,418.0299988,218.6581116,412.8699951,211.3819275,422.9200134,212.3063965,308,146.102005
309.0700073,147.4785309,418.9299927,215.9498291,413.9299927,213.9759216,423.8399963,211.844696,309.0700073,149.0721893
310,149.4113312,420,217.223999,414.8399963,213.0067291,424.9200134,212.4343414,310,151.0337524
311.0700073,152.9177094,421.0700073,215.900238,415.8999939,216.940567,425.8399963,214.8662262,311.0700073,154.8253174
312,156.4801483,422,211.9703369,416.9599915,214.4892578,426.9200134,211.7833862,312,155.9203796
313.0700073,157.8987427,423.0700073,210.8004456,417.8699951,213.9117737,427.8399963,211.3317413,313.0700073,156.4430237
314,161.3966217,424,215.5366821,418.9299927,212.6335144,428.9200134,206.3565826,314,160.1898193
315.0700073,162.7914124,425.0700073,212.9659729,419.8399963,212.9775238,429.8399963,205.8843842,315.0700073,163.7779236
316,162.3559265,426,212.8886414,420.9200134,212.9964447,430.8999939,207.0281982,316,164.1186371
317.0700073,166.4139099,427.0700073,208.7279663,421.8399963,212.3321686,431.9599915,204.5258484,317.0700073,169.6645203
318,166.132782,428,208.6940918,422.9200134,208.3414764,432.8699951,202.2370758,318,170.0729675
319.0700073,171.3867035,429.0700073,205.0163574,423.8399963,211.4030151,433.9299927,197.6875153,319.0700073,172.7480621
320,173.3625488,430,204.5449829,424.9200134,208.1633606,434.8399963,197.1146698,320,177.3925323
320.9299927,176.3360138,431.0599976,202.0420532,425.8399963,204.911377,435.8999939,192.5218353,320.9299927,182.0345306
322.0299988,182.6482391,431.9599915,201.6223755,426.9200134,203.2222443,436.9599915,193.6402893,322.0299988,182.6526337
322.9599915,183.8027191,433.0299988,197.6048279,427.8399963,200.0432434,437.8699951,191.5901031,322.9599915,183.9377747
324.0599976,189.0341339,433.9299927,194.4926453,428.9200134,199.4431458,438.9299927,186.5427399,324.0599976,190.6699219
325,188.2028656,435,192.6948853,429.8399963,197.9291534,439.8399963,184.1291809,325,190.1422577
325.9299927,192.9085693,436.0599976,191.292511,430.8999939,195.2994385,440.8999939,181.8058014,325.9299927,198.1323395
327.0299988,195.2568665,436.9599915,184.9584045,431.9599915,194.8026886,441.9599915,179.9587708,327.0299988,197.2779083
327.9599915,198.3262634,438.0299988,184.7097168,432.8699951,190.8379059,442.8699951,174.5847321,327.9599915,201.181778
329.0599976,199.7688904,438.9299927,183.859375,433.9299927,185.9927826,443.9299927,174.2331238,329.0599976,201.834137
330,200.9990387,440,178.5485535,434.8399963,184.7242584,444.8399963,173.6078796,330,206.7459259
331.0700073,206.1583405,441.0599976,177.6583557,435.8999939,180.9630737,445.8999939,172.2084198,331.0700073,207.8765717
332,207.0648804,441.9599915,170.7787476,436.9599915,180.6947174,446.9599915,167.328537,332,213.0517883
333.0700073,210.6967926,443.0299988,167.9732666,437.8699951,176.6902466,447.8699951,162.3013611,333.0700073,211.7257385
334,211.923996,443.9299927,167.1079407,438.9299927,171.4099426,448.9299927,163.9223022,334,212.923996
335.0700073,213.5530243,445,165.4059753,439.8399963,174.4509277,449.8399963,161.5705872,335.0700073,217.3328705
336,216.3023682,446.0599976,164.7356262,440.8999939,168.4675293,450.8999939,159.2469635,336,215.602005
337.0700073,214.0251465,446.9599915,161.2105408,441.9599915,162.9549103,451.9599915,156.1126251,337.0700073,215.917099
338,215.1473236,448.0299988,159.2547302,442.8699951,161.8114014,452.8699951,155.9159546,338,215.194458
339.0700073,213.2256012,448.9299927,157.8974304,443.9299927,160.2747803,453.9299927,150.2243042,339.0700073,216.4597626
340,214.4490204,450,151.3952332,444.8399963,155.6858368,454.8399963,153.4968567,340,218.5988464
341.0700073,214.2793579,451.0599976,150.3114624,445.8999939,155.0254822,455.8999939,149.1599884,341.0700073,216.5459442
342,214.1801758,451.9599915,149.8007202,446.9599915,151.5720825,456.9599915,147.1768951,342,215.7006989
343.0700073,211.3685455,453.0299988,146.9901733,447.8699951,151.463562,457.8699951,144.8715057,343.0700073,217.0713196
344,212.8283691,453.9299927,146.0543823,448.9299927,148.2963562,458.9299927,141.1646118,344,216.0765076
345.0700073,210.7100372,455,146.587677,449.8399963,147.1755524,459.8399963,140.9373474,345.0700073,217.5652161
346,213.435257,456.0599976,142.9233093,450.8999939,145.377655,460.8999939,135.6484222,346,213.1207886
347.0700073,205.5986328,456.9599915,139.8962708,451.9599915,138.5875397,461.9599915,134.0352478,347.0700073,210.2318573
348,206.2220612,458.0299988,139.4631958,452.8699951,141.4618835,462.8699951,133.2207489,348,207.8985291
349.0700073,201.7883911,458.9299927,134.0639038,453.9299927,137.2662506,463.9299927,129.948822,349.0700073,203.749527
350,199.3636322,460,133.0132446,454.8399963,135.3117523,464.8399963,131.1053314,350,202.2589264
351.0700073,197.5978394,461.0599976,131.6160278,455.8999939,135.2355042,465.8999939,126.3765259,351.0700073,198.6040497
352,192.6580963,461.9599915,129.1882019,456.9599915,131.3416443,466.9599915,123.5565033,352,192.0627747
353.0700073,187.7523956,463.0299988,126.831749,457.8699951,129.2346497,467.8699951,122.1593475,353.0700073,191.7522125
354,186.9877472,463.9299927,123.1482468,458.9299927,127.2895813,468.9299927,119.6619873,354,185.7089691
355.0700073,181.4449921,465,121.4506302,459.8399963,124.4477539,469.8399963,117.2454834,355.0700073,183.2948914
356,179.2858429,466.0599976,118.0952988,460.8999939,120.9577332,470.8999939,114.4584045,356,180.7315063
357.0700073,174.8764496,466.9599915,118.153038,461.9599915,118.1679077,471.9599915,112.5108948,357.0700073,175.4274292
358,172.5495453,468.0299988,115.21772,462.8699951,120.1050873,472.8699951,109.713913,358,172.0006256
359.0700073,167.8161163,468.9299927,112.3166885,463.9299927,115.9525909,473.9299927,107.4384613,359.0700073,168.5864258
360,165.4933777,470,109.6109085,464.8399963,114.6900482,474.8399963,106.6243057,360,164.4845886
361.0700073,161.179245,471.0599976,108.863121,465.8999939,111.20961,475.8999939,104.034668,361.0700073,160.696991
362,158.1707458,471.9599915,105.6611557,466.9599915,110.687851,476.9599915,102.9297028,362,158.6306763
363.0700073,154.703476,473.0299988,106.7384186,467.8699951,107.35672,477.8699951,101.0984268,363.0700073,155.2218933
364,147.5234528,473.9299927,103.4421082,468.9299927,103.7957153,478.9299927,95.86479187,364,150.4427032
365.0700073,144.1451721,475,98.98725128,469.8399963,105.0998535,479.8399963,95.31747437,365.0700073,144.1657867
366,139.1405487,476.0599976,98.61365509,470.8999939,103.5429535,480.8999939,92.2616272,366,140.9779968
367.0700073,133.5404053,476.9599915,96.61331177,471.9599915,99.75631714,481.9599915,91.3497467,367.0700073,134.0317688
368,128.1415863,478.0299988,95.51386261,472.8699951,101.4933014,482.8699951,91.10887146,368,129.5615387
369.0700073,125.5644226,478.9299927,92.40951538,473.9299927,96.81300354,483.9299927,87.8274231,369.0700073,123.842041
370,124.7280426,480,92.2579422,474.8399963,94.06268311,484.8399963,86.48859406,370,123.3909149
371.0700073,121.3074493,481.0599976,87.37299347,475.8999939,90.35461426,485.8999939,83.36460876,371.0700073,121.8131256
372,116.561676,481.9599915,87.99623108,476.9599915,88.53730774,486.9599915,80.8194809,372,116.4660492
373.0700073,112.9937744,483.0299988,84.92910004,477.8699951,89.47235107,487.8699951,80.12496948,373.0700073,113.1101074
374,106.2824936,483.9299927,83.38741302,478.9299927,87.06832886,488.9299927,75.8502121,374,108.8902283
375.0700073,102.8713531,485,81.46117401,479.8399963,84.66763306,489.8399963,77.87531281,375.0700073,104.2522278
376,98.44304657,486.0599976,77.57484436,480.8999939,81.47193909,490.8900146,73.85826874,376,99.07144928
377.0700073,94.95527649,486.9599915,76.41374207,481.9599915,79.86946106,491.9400024,72.50697327,377.0700073,94.86611938
378,90.13658905,488.0299988,74.69911957,482.8699951,78.49542236,492.980011,70.91851807,378,91.35353088
379.0700073,86.88037109,488.9299927,75.44129181,483.9299927,75.87101746,493.8800049,68.15891266,379.0700073,86.80070496
380,82.31092072,490,72.27211761,484.8399963,75.06619263,494.9200134,69.14093781,380,81.69234467
381.0700073,77.90283966,491.0400085,69.94650269,485.8999939,72.65092468,495.9700012,65.37572479,381.0700073,78.32033539
382,74.82777405,491.9400024,66.8106308,486.9599915,72.79025269,496.8599854,62.71626282,382,73.74246979
383.0700073,71.35829163,492.980011,68.73143005,487.8699951,69.39788818,497.9100037,62.40245819,383.0700073,70.76139069
384,67.47174835,494.019989,66.88743591,488.9299927,69.92242432,498.9500122,60.41445923,384,67.25317383
385.0700073,62.85342407,495.0700073,64.39892578,489.8399963,67.41609192,499.8500061,58.61546326,385.0700073,62.76818848
386,60.70689392,495.9700012,62.2522583,490.8900146,65.42593384,500.8900146,58.25029755,386,60.72942352
387.0700073,56.36613464,497.0100098,57.49376678,491.9400024,63.59328842,501.9400024,57.56858826,387.0700073,56.68153381
388,54.34693909,498.0499878,59.91941071,492.980011,60.46102524,502.980011,54.6605072,388,53.54991913
389.0700073,50.15632629,498.9500122,57.63175201,493.8800049,62.09177017,503.8800049,54.43199158,389.0700073,49.58493042
390,46.52842712,500,55.59647369,494.9200134,59.09054184,504.9200134,50.35826874,390,46.60197449
391.0599976,42.77972031,501.0400085,52.93889618,495.9700012,58.08684158,505.9700012,49.98429871,391.0599976,42.76907349
391.9599915,41.70443726,501.9400024,53.5189743,496.8599854,55.07126999,506.8599854,49.52973938,391.9599915,40.8372345
393.0299988,39.5779953,502.980011,50.70732117,497.9100037,53.80354691,507.9100037,46.73445892,393.0299988,38.15201569
393.9299927,35.49295807,504.019989,51.19322968,498.9500122,52.17334366,508.9500122,45.97286987,393.9299927,34.88318634
395,33.51260757,505.0700073,49.21786499,499.8500061,52.22537613,509.8500061,44.0199585,395,32.32695389
396.0599976,31.70355988,505.9700012,48.80603027,500.8900146,49.93877029,510.8999939,45.49975586,396.0599976,30.03595352
396.9599915,27.55464172,507.0100098,46.36351776,501.9400024,47.83440781,511.9599915,43.49312592,396.9599915,27.33906555
398.0299988,24.80599976,508.0499878,44.38439941,502.980011,48.11848068,512.8699951,41.18377686,398.0299988,24.83931732
398.9299927,23.68874359,508.9500122,43.06729126,503.8800049,46.33054733,513.9299927,41.51515198,398.9299927,22.77325058
400,20.13314819,510,42.50095367,504.9200134,46.09703445,514.8400269,40.0225296,400,19.26012421
,,511.0599976,40.62143707,505.9700012,45.60773087,515.9000244,37.91316223,401.0700073,17.18384171
,,511.9599915,39.51106262,506.8599854,43.90729904,516.960022,37.71382141,402,15.75207901
,,513.0300293,40.24029541,507.9100037,41.48319626,517.8699951,35.70852661,403.0700073,13.79750824
,,513.9299927,37.94442749,508.9500122,40.75444412,518.9299927,34.24152374,404,12.2940979
,,515,36.29457092,509.8500061,37.86092377,519.8400269,34.22757721,405.0700073,10.44510651
,,516.0599976,34.62357712,510.8999939,38.57387924,520.8900146,31.64005089,406,9.587646484
,,516.960022,34.26420975,511.9599915,35.27503204,521.9400024,31.50296211,407.0700073,7.432527542
,,518.0300293,33.72112656,512.8699951,34.93605042,522.9799805,30.84191704,408,6.316703796
,,518.9299927,32.7519989,513.9299927,36.19744492,523.8800049,30.14848518,409.0700073,4.42165184
,,520,30.9294014,514.8400269,32.6930542,524.9199829,29.12188911,410,3.155057907
,,521.039978,31.06356812,515.9000244,34.18016815,525.9699707,27.81064034,,
,,521.9400024,29.19577789,516.960022,32.99905777,526.8599854,27.05006981,,
,,522.9799805,29.25022507,517.8699951,30.97496414,527.9099731,26.0386982,,
,,524.0200195,26.57923889,518.9299927,29.16403198,528.9500122,25.12251091,,
,,525.0700073,27.26729202,519.8400269,28.45892715,529.8499756,24.20041847,,
,,525.9699707,25.62890244,520.8900146,27.30106735,530.8900146,23.32710075,,
,,527.0100098,25.74753189,521.9400024,27.82945633,531.9400024,21.91031075,,
,,528.0499878,25.19609833,522.9799805,25.31536865,532.9799805,21.89728355,,
,,528.9500122,24.72576904,523.8800049,25.01989746,533.8800049,21.19226265,,
,,530,20.52972031,524.9199829,23.75708008,534.9199829,19.20611382,,
,,531.039978,20.89530945,525.9699707,22.44089127,535.9699707,19.776968,,
,,531.9400024,20.3482399,526.8599854,22.57363892,536.8599854,18.7276783,,
,,532.9799805,20.88499832,527.9099731,21.29012299,537.9099731,17.08874321,,
,,534.0200195,17.86142349,528.9500122,21.8683815,538.9500122,16.50599098,,
,,535.0700073,18.87879944,529.8499756,19.46288681,539.8499756,16.05674934,,
,,535.9699707,17.33348083,530.8900146,18.95212936,540.8800049,15.56557274,,
,,537.0100098,16.49811935,531.9400024,18.19525146,541.9099731,14.80380821,,
,,538.0499878,17.14370346,532.9799805,17.62536621,542.9400024,14.73463249,,
,,538.9500122,15.13796616,533.8800049,16.96668625,543.9699707,13.2569561,,
,,540,14.46369553,534.9199829,16.23895264,544.8499756,12.07704735,,
,,541.0200195,14.13460541,535.9699707,14.61848831,545.8800049,12.72447395,,
,,542.0499878,13.04786682,536.8599854,13.74287415,546.9099731,11.11130333,,
,,542.9400024,12.65773773,537.9099731,14.06937027,547.9400024,10.7398777,,
,,543.9699707,12.27944565,538.9500122,12.06093216,548.9699707,9.651687622,,
,,545,11.35952377,539.8499756,12.17757034,549.8499756,10.01580048,,
,,546.0200195,10.86095428,540.8800049,10.59313202,550.8900146,9.329172134,,
,,547.0499878,10.04862404,541.9099731,11.06877136,551.9400024,8.710233688,,
,,547.9400024,10.24970627,542.9400024,9.502681732,552.9799805,7.537919998,,
,,548.9699707,9.026500702,543.9699707,9.909542084,553.8800049,6.901849747,,
,,550,8.860441208,544.8499756,9.417739868,554.9199829,7.552904129,,
,,551.039978,7.735847473,545.8800049,9.676742554,555.9699707,5.837791443,,
,,551.9400024,9.030885696,546.9099731,7.754392624,556.8599854,5.382606506,,
,,552.9799805,7.444816589,547.9400024,7.569225311,557.9099731,4.743963242,,
,,554.0200195,6.114694595,548.9699707,7.653060913,558.9500122,4.846452713,,
,,555.0700073,5.162063599,549.8499756,7.182725906,559.8499756,4.565486908,,
,,555.9699707,5.371759415,550.8900146,5.540046692,560.8900146,3.554386139,,
,,557.0100098,5.154787064,551.9400024,6.789001465,561.9400024,3.643672943,,
,,558.0499878,5.040967941,552.9799805,4.410087585,562.9799805,2.098426819,,
,,558.9500122,3.833288193,553.8800049,3.784311295,563.8800049,3.438404083,,
,,560,3.332450867,554.9199829,3.647659302,564.9199829,1.32837677,,
,,561.039978,3.113056183,555.9699707,2.009677887,565.9699707,1.646345139,,
,,561.9400024,3.391426086,556.8599854,2.641265869,566.8599854,1.141061783,,
,,562.9799805,2.890823364,557.9099731,3.408267975,567.9099731,1.195518494,,
,,564.0200195,0.901863098,558.9500122,2.54082489,568.9500122,-0.247049332,,
,,565.0700073,0.862762451,559.8499756,1.282320023,569.8499756,-0.182918549,,
,,565.9699707,0.593723297,560.8900146,0.569749832,570.8800049,-0.289916992,,
,,567.0100098,-0.032972336,561.9400024,-0.105335236,571.9099731,-0.582485199,,
,,568.0499878,0.940834045,562.9799805,1.327072144,572.9400024,-1.097034454,,
,,568.9500122,-0.167804718,563.8800049,-0.566059113,573.9699707,-1.061246872,,
,,570,-0.544267654,564.9199829,0.127126694,574.8499756,-1.485126495,,
,,571.0200195,-1.669229507,565.9699707,-1.28685379,575.8800049,-2.501701355,,
,,572.0499878,-1.956905365,566.8599854,-1.617527008,576.9099731,-3.492990494,,
,,572.9400024,-1.847589493,567.9099731,-2.828472137,577.9400024,-2.253786087,,
,,573.9699707,-2.205001831,568.9500122,-1.413700104,578.9699707,-2.413614273,,
,,575,-2.926099777,569.8499756,-2.774871826,579.8499756,-3.056127548,,
,,576.0200195,-2.927646637,570.8800049,-3.471818924,580.8800049,-4.232257843,,
,,577.0499878,-2.953174591,571.9099731,-3.057693481,581.9099731,-3.980792999,,
,,577.9400024,-3.398874283,572.9400024,-3.708068848,582.9400024,-4.413381577,,
,,578.9699707,-3.595874786,573.9699707,-4.103475571,583.9699707,-4.757652283,,
,,580,-4.096948624,574.8499756,-3.390222549,584.8499756,-5.521390915,,
,,581.0200195,-3.172721863,575.8800049,-4.502592087,585.8800049,-5.423948288,,
,,582.0499878,-4.257228851,576.9099731,-4.961114883,586.9099731,-4.22428894,,
,,582.9400024,-4.112937927,577.9400024,-5.61397934,587.9400024,-6.228054047,,
,,583.9699707,-4.871152878,578.9699707,-5.179958344,588.9699707,-6.105267525,,
,,585,-5.162671089,579.8499756,-4.699327469,589.8499756,-6.794798851,,
,,586.0200195,-5.482297897,580.8800049,-7.112503052,590.8800049,-6.773779869,,
,,587.0499878,-6.400083542,581.9099731,-6.624231339,591.9099731,-6.239045143,,
,,587.9400024,-6.871617317,582.9400024,-6.136137009,592.9400024,-6.630405426,,
,,588.9699707,-6.726506233,583.9699707,-7.004696846,593.9699707,-7.561601639,,
,,590,-6.799955368,584.8499756,-7.356983185,594.8499756,-7.349491119,,
,,591.0200195,-7.599205971,585.8800049,-7.057303429,595.8800049,-7.604514122,,
,,592.0499878,-7.018643379,586.9099731,-6.935473442,596.9099731,-8.495220184,,
,,592.9400024,-6.746079445,587.9400024,-7.848229408,597.9400024,-8.562726021,,
,,593.9699707,-7.351503372,588.9699707,-8.325725555,598.9699707,-8.511521339,,
,,595,-7.790283203,589.8499756,-8.110239983,599.8499756,-9.308143616,,
,,596.0200195,-8.051420212,590.8800049,-8.49774456,600.8800049,-9.047632217,,
,,597.0499878,-8.547973633,591.9099731,-8.941488266,,,,
,,597.9400024,-8.706036568,592.9400024,-8.503004074,,,,
,,598.9699707,-9.088825226,593.9699707,-9.255270958,,,,
,,600,-8.13117981,594.8499756,-9.155043602,,,,
,,,,595.8800049,-9.628751755,,,,
,,,,596.9099731,-9.830120087,,,,
,,,,597.9400024,-10.31665611,,,,
,,,,598.9699707,-10.55186939,,,,
,,,,599.8499756,-10.10233212,,,,
,,,,600.8800049,-10.14639473,,,,
,,,,,,,,,
CdS 120sec ODE2 Toluene1 em420,,,,,,,,,
CdS 120sec ODE2 Toluene1 em420,,,,,,,,,
Collection Time: 8/19/2022 12:44:47 PM,,,,,,,,,
Operator Name  :,,,,,,,,,
Scan Software Version: 1.1(132),,,,,,,,,
Parameter List :,,,,,,,,,
Instrument                        Cary Eclipse,,,,,,,,,
Instrument Serial Number          E08013467,,,,,,,,,
Data mode                         Fluorescence,,,,,,,,,
Scan mode                         Excitation,,,,,,,,,
X Mode                            Wavelength (nm),,,,,,,,,
Start (nm)                        240.00,,,,,,,,,
Stop (nm)                         400.00,,,,,,,,,
Em. Wavelength (nm)               420.00,,,,,,,,,
Ex. Slit (nm)                     5,,,,,,,,,
Em. Slit (nm)                     5,,,,,,,,,
Scan rate (nm/min)                600.00,,,,,,,,,
Data interval (nm)                1.0000,,,,,,,,,
Averaging Time (s)                0.1000,,,,,,,,,
Excitation filter                 Auto,,,,,,,,,
Emission filter                   Open,,,,,,,,,
PMT voltage (V)                   Medium,,,,,,,,,
Corrected spectra                 OFF,,,,,,,,,
Method Log     :,,,,,,,,,
Method Name    : Default,,,,,,,,,
