BLANK ODE2 and toluene1 ex284,,BLANK ODE2 and toluene2,,BLANK ODE2 and toluene1 em330,,BLANK ODE2 and toluene1 ex287,,BLANK ODE2 and toluene1 ex300,,BLANK ODE2 and toluene1 em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
342,-25.19663239,332,-57.00430298,262.0299988,2.44332695,338.9200134,57.28821945,352,65.26353455,262.0299988,8.717869759,
343.0700073,-25.76769257,333.0700073,-55.43232727,262.9599915,3.225730896,339.8399963,56.60969162,353.0700073,64.24349213,262.9599915,8.130188942,
344,-26.7930603,334,-54.633461,264.0599976,3.142817497,340.9200134,56.52487564,354,63.16433716,264.0599976,8.67920208,
345.0700073,-26.29283905,335.0700073,-55.33834839,265,2.582715988,341.8399963,54.12015915,355.0700073,60.74407196,265,9.7841959,
346,-27.8940506,336,-54.48993683,265.9299927,3.403418541,342.9200134,52.13264084,356,61.99688721,265.9299927,9.308436394,
347.0700073,-29.77046967,337.0700073,-54.82571411,267.0299988,2.890407562,343.8399963,50.47803116,357.0700073,60.76098633,267.0299988,9.390692711,
348,-29.84102631,338,-54.56815338,267.9599915,2.591737747,344.9200134,49.04611588,358,61.51512909,267.9599915,9.126997948,
349.0700073,-30.92660522,339.0700073,-55.89945984,269.0599976,2.053740501,345.8399963,48.64355087,359.0700073,59.11572266,269.0599976,9.254462242,
350,-33.50926208,340,-57.13333893,270,1.786636353,346.9200134,46.90314865,360,58.87723541,270,7.888306618,
351.0700073,-32.9208374,341.0700073,-55.97398376,271.0700073,1.093175888,347.8399963,46.0395546,361.0700073,56.6894455,271.0700073,6.807391167,
352,-32.41844177,342,-58.84644318,272,1.233056068,348.9200134,47.9504509,362,57.92025757,272,6.630007744,
353.0700073,-35.70892334,343.0700073,-59.08963776,273.0700073,0.1985425949,349.8399963,46.32132339,363.0700073,56.80800629,273.0700073,5.320439339,
354,-37.72580719,344,-61.8864212,274,-0.04188251495,350.9200134,46.32065964,364,54.5223465,274,5.244460106,
355.0700073,-40.32098389,345.0700073,-62.39413452,275.0700073,0.20753479,351.8399963,44.00419998,365.0700073,54.77419281,275.0700073,4.31981945,
356,-40.61972046,346,-64.4287796,276,1.890915871,352.9200134,40.50795364,366,53.11863708,276,4.60592556,
357.0700073,-42.17107391,347.0700073,-65.66822052,277.0700073,6.107469559,353.8399963,39.70684433,367.0700073,52.18093872,277.0700073,5.67768383,
358,-43.0201416,348,-65.6219101,278,12.04197693,354.9200134,35.94951248,368,51.5240097,278,9.217268944,
359.0700073,-44.81445313,349.0700073,-67.88671112,279.0700073,23.18068314,355.8399963,36.52210617,369.0700073,49.48001862,279.0700073,16.38812256,
360,-46.70377731,350,-68.32250977,280,35.30207825,356.9200134,31.23211288,370,50.04915619,280,22.75193787,
361.0700073,-48.01325989,351.0700073,-69.20619965,280.9299927,47.3601532,357.8399963,30.90003586,371.0700073,48.03123474,280.9299927,33.12006378,
362,-49.07675171,352,-70.1279068,282.0299988,59.72606659,358.9200134,28.83971786,372,46.08725739,282.0299988,42.89522934,
363.0700073,-50.5994072,353.0700073,-70.3870163,282.9599915,68.91368866,359.8399963,26.06515121,373.0700073,45.8046875,282.9599915,54.56071472,
364,-51.53901291,354,-72.78028107,284.0599976,76.10275269,360.9200134,25.94668198,374,45.65927124,284.0599976,63.3639679,
365.0700073,-51.22080612,355.0700073,-74.45674133,285,81.66615295,361.8399963,22.80729294,375.0700073,42.60750961,285,72.53193665,
366,-52.98802948,356,-77.46956635,285.9299927,85.11956024,362.9200134,23.10832596,376,42.44284821,285.9299927,78.9878006,
367.0700073,-53.02600861,357.0700073,-77.44712067,287.0299988,87.20372009,363.8399963,21.55218887,377.0700073,41.28203583,287.0299988,83.76036835,
368,-56.35707474,358,-79.77046967,287.9599915,86.17020416,364.9200134,20.10512161,378,40.98417282,287.9599915,84.5590744,
369.0700073,-56.2376709,359.0700073,-81.02510071,289.0599976,85.71114349,365.8399963,17.48028946,379.0700073,39.11593628,289.0599976,87.48645782,
370,-59.12583923,360,-82.7429657,290,80.21009064,366.9200134,16.28194046,380,39.082901,290,89.37289429,
371.0700073,-59.01815796,361.0700073,-83.46447754,290.9299927,78.28424835,367.8399963,14.70641708,381.0700073,37.5978241,290.9299927,85.74468231,
372,-60.38108063,362,-85.10884094,292.0299988,73.09603119,368.9200134,14.06932449,382,36.44409561,292.0299988,84.35712433,
373.0700073,-61.55352402,363.0700073,-85.80990601,292.9599915,68.9681015,369.8399963,12.34757996,383.0700073,37.14266968,292.9599915,82.34086609,
374,-63.16915512,364,-87.65674591,294.0599976,65.34513092,370.9200134,10.30569839,384,35.56115341,294.0599976,79.48879242,
375.0700073,-62.66540146,365.0700073,-89.83630371,295,62.63800049,371.8399963,10.30493164,385.0700073,35.10051346,295,78.23371124,
376,-65.24858093,366,-89.33763123,295.9299927,59.18332672,372.9200134,7.617183685,386,32.78959656,295.9299927,76.40632629,
377.0700073,-64.94422913,367.0700073,-92.030159,297.0299988,58.45721436,373.8399963,6.598251343,387.0700073,32.71733475,297.0299988,74.36174774,
378,-66.52809143,368,-90.41311646,297.9599915,56.01285553,374.9200134,5.18592453,388,29.95808792,297.9599915,72.92030334,
379.0700073,-66.51779175,369.0700073,-93.14447021,299.0599976,56.33990479,375.8399963,3.522415161,389.0700073,30.4716301,299.0599976,72.07258606,
380,-67.76699829,370,-94.21457672,300,55.36100769,376.9200134,2.37612915,390,29.13825989,300,68.82519531,
381.0700073,-67.52430725,371.0700073,-95.62890625,301.0700073,52.48054504,377.8399963,2.559371948,391.0700073,29.43418121,301.0700073,66.22290802,
382,-68.70423889,372,-97.5581665,302,48.64223099,378.9200134,0.3296051025,392,27.47097778,302,63.80723572,
383.0700073,-69.52285004,373.0700073,-97.59190369,303.0700073,44.48866653,379.8399963,-0.2584152222,393.0700073,27.93723679,303.0700073,61.54709625,
384,-69.77142334,374,-98.19416809,304,41.65176392,380.9200134,-1.24363327,394,26.74528503,304,58.46569061,
385.0700073,-70.92045593,375.0700073,-100.0536575,305.0700073,37.11909485,381.8399963,-2.17401123,395.0700073,26.3007431,305.0700073,55.31220245,
386,-71.17416382,376,-100.66819,306,34.50904083,382.9200134,-3.889827728,396,25.14162064,306,51.46281815,
387.0700073,-72.76560974,377.0700073,-100.9575424,307.0700073,31.52062607,383.8399963,-4.567691803,397.0700073,24.66789246,307.0700073,48.82135391,
388,-73.19150543,378,-102.3220367,308,28.96636581,384.9200134,-4.705066681,398,24.0762825,308,47.12197876,
389.0700073,-73.21755981,379.0700073,-102.0196686,309.0700073,26.41218567,385.8399963,-6.021778107,399.0700073,22.85525131,309.0700073,45.27092743,
390,-74.11517334,380,-103.8790741,310,24.68032837,386.9200134,-6.2537117,400,23.44009018,310,42.63720322,
391.0700073,-73.65319824,381.0700073,-104.3299942,311.0700073,23.16385651,387.8399963,-7.015396118,401.0700073,22.08453369,311.0700073,41.4826622,
392,-74.0247345,382,-104.7662354,312,21.37276077,388.9200134,-9.388122559,402,21.44015503,312,38.48205948,
393.0700073,-75.80604553,383.0700073,-105.764946,313.0700073,19.1344738,389.8399963,-10.84809494,403.0700073,20.66442871,313.0700073,36.50818634,
394,-76.67234802,384,-106.609848,314,16.68440819,390.9200134,-9.689411163,404,20.51434326,314,36.25273132,
395.0700073,-76.59719086,385.0700073,-107.9042358,315.0700073,14.17389488,391.8399963,-11.41598129,405.0700073,20.29916763,315.0700073,35.14987564,
396,-76.71072388,386,-108.4011536,316,11.51624298,392.9200134,-10.27113724,406,18.19198608,316,33.29396439,
397.0700073,-78.07158661,387.0700073,-108.9661179,317.0700073,8.301502228,393.8399963,-11.58306885,407.0700073,17.83029556,317.0700073,30.93624115,
398,-78.56855774,388,-107.9841766,318,7.785467148,394.9200134,-12.94750977,408,17.67746735,318,29.58586884,
399.0700073,-79.2769165,389.0700073,-109.6412201,319.0700073,6.001148224,395.8399963,-13.2723999,409.0700073,17.71457291,319.0700073,25.38880539,
400,-79.14408112,390,-109.5506592,320,4.981684685,396.9200134,-13.17765045,410,17.21289444,320,22.99467087,
