CdS 40sec ODE2 Toluene1 ex340,,CdS 40sec ODE2 Toluene1 em410,,CdS 40sec ODE2 Toluene1 ex336,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
433.0299988,246.8687439,322.9599915,273.6160889,429.0700073,256.4481812,
433.9299927,244.6750488,324.0599976,271.8454895,430,250.9837189,
435,240.5227661,325,273.1045532,431.0599976,247.7275238,
436.0599976,235.4671936,325.9299927,278.1769714,431.9599915,244.1449738,
436.9599915,233.9819336,327.0299988,283.1374817,433.0299988,239.1682587,
438.0299988,229.4894409,327.9599915,285.697876,433.9299927,237.534256,
438.9299927,228.4525757,329.0599976,282.5752258,435,233.8628998,
440,223.7038269,330,286.7547913,436.0599976,228.6644745,
441.0599976,214.8544312,331.0700073,286.92099,436.9599915,225.7593231,
441.9599915,213.8315887,332,285.7796936,438.0299988,223.0988617,
443.0299988,210.8079071,333.0700073,292.035553,438.9299927,221.3370972,
443.9299927,210.0368042,334,292.4580994,440,217.60849,
445,209.1744537,335.0700073,287.4017944,441.0599976,211.6206055,
446.0599976,202.438858,336,293.5147095,441.9599915,209.8633881,
446.9599915,199.7426147,337.0700073,292.5549622,443.0299988,199.7808838,
448.0299988,198.6201019,338,291.9832764,443.9299927,201.7468109,
448.9299927,200.5511017,339.0700073,287.6916504,445,196.2744293,
450,193.0036163,340,286.5255737,446.0599976,193.7764435,
451.0599976,190.2421875,341.0700073,287.0761108,446.9599915,189.6541443,
451.9599915,191.0145111,342,281.2178955,448.0299988,190.2799072,
453.0299988,184.9386444,343.0700073,276.3668823,448.9299927,184.4763947,
453.9299927,181.4526367,344,272.4266357,450,183.5376129,
455,185.3323822,345.0700073,269.1172485,451.0599976,178.7109375,
456.0599976,176.7577362,346,269.1706543,451.9599915,178.7238922,
456.9599915,174.4326935,347.0700073,263.1661682,453.0299988,172.8678894,
458.0299988,171.7924957,348,256.9100037,453.9299927,172.4728088,
458.9299927,166.519104,349.0700073,251.3291779,455,171.0789795,
460,164.2131653,350,245.4672394,456.0599976,170.3260193,
461.0599976,161.80159,351.0700073,240.2692413,456.9599915,164.513382,
461.9599915,163.6912384,352,232.5614471,458.0299988,164.7532959,
463.0299988,157.3015442,353.0700073,230.0072784,458.9299927,154.3506317,
463.9299927,154.5339508,354,219.7663422,460,156.6422272,
465,152.8909149,355.0700073,217.0570984,461.0599976,155.3126984,
466.0599976,151.5344849,356,210.4789734,461.9599915,153.0929565,
466.9599915,148.3152466,357.0700073,201.709549,463.0299988,147.5000763,
468.0299988,141.9767609,358,193.7440796,463.9299927,145.4398193,
468.9299927,140.8241425,359.0700073,190.2469482,465,144.0740051,
470,139.7505493,360,186.7669983,466.0599976,139.5103149,
471.0599976,136.0540924,361.0700073,176.266449,466.9599915,141.1665955,
471.9599915,133.3456421,362,174.1073608,468.0299988,135.8674316,
473.0299988,130.0583954,363.0700073,167.9677124,468.9299927,132.9300232,
473.9299927,128.2094879,364,165.8517303,470,131.491394,
475,125.4367676,365.0700073,154.0689545,471.0599976,126.4725342,
476.0599976,120.6152802,366,149.135498,471.9599915,124.9017792,
476.9599915,119.0931396,367.0700073,141.7250671,473.0299988,121.409668,
478.0299988,118.9404144,368,134.6286926,473.9299927,120.7422791,
478.9299927,116.1813965,369.0700073,126.6585236,475,118.9294891,
480,110.5153961,370,122.73909,476.0599976,113.669632,
481.0599976,111.1645508,371.0700073,115.8597717,476.9599915,114.009964,
481.9599915,105.7239075,372,111.7307587,478.0299988,109.7317657,
483.0299988,104.9751129,373.0700073,103.6879272,478.9299927,107.0067749,
483.9299927,102.4924927,374,98.08424377,480,105.1195526,
485,99.92328644,375.0700073,91.44619751,481.0599976,99.26766968,
486.0599976,96.65484619,376,87.5909729,481.9599915,99.06936646,
486.9599915,97.50656891,377.0700073,82.59407043,483.0299988,98.23841858,
488.0299988,91.6437912,378,78.10578918,483.9299927,92.73377228,
488.9299927,91.99042511,379.0700073,71.7401886,485,93.84889221,
490,89.13535309,380,68.35594177,486.0599976,93.63101196,
491.0400085,86.04071808,381.0700073,63.35491562,486.9599915,87.67258453,
491.9400024,82.28870392,382,59.69975662,488.0299988,85.90740204,
492.980011,81.00359344,383.0700073,55.56353378,488.9299927,82.94967651,
494.019989,78.14357758,384,51.28319168,490,80.60704041,
495.0700073,78.00917816,385.0700073,47.91791153,491.0400085,78.59229279,
495.9700012,75.68412781,386,43.11546707,491.9400024,78.27975464,
497.0100098,75.67459106,387.0700073,39.99476624,492.980011,75.87773895,
498.0499878,72.4671936,388,37.20853043,494.019989,73.02352905,
498.9500122,70.36415863,389.0700073,33.11740875,495.0700073,72.97340393,
500,70.10745239,390,30.83933258,495.9700012,69.76533508,
501.0400085,64.17281342,391.0599976,27.4588356,497.0100098,67.99914551,
501.9400024,64.67890167,391.9599915,24.05145264,498.0499878,66.23680878,
502.980011,61.45098114,393.0299988,22.34215164,498.9500122,64.24902344,
504.019989,62.58810425,393.9299927,20.09755325,500,63.84640503,
505.0700073,60.26634979,395,16.81989288,501.0400085,59.05754852,
505.9700012,57.47003937,396.0599976,14.07159042,501.9400024,59.13150024,
507.0100098,57.29597473,396.9599915,12.47477722,502.980011,59.07608032,
508.0499878,55.51078796,398.0299988,10.42181396,504.019989,55.7682724,
508.9500122,53.69173431,398.9299927,7.94527626,505.0700073,54.67082214,
510,50.39120483,400,6.042310715,505.9700012,51.25765991,
