x,y
288.75226039783,3.702664796633941
291.5370705244123,4.6704067321178115
294.32188065099456,6.016830294530154
294.32188065099456,7.784011220196353
299.8915009041591,9.929873772791023
302.67631103074143,12.791023842917252
310.63291139240505,16.451612903225804
321.7721518987342,20.02805049088359
338.0831826401447,24.23562412342216
359.5660036166365,26.339410939691444
383.8336347197107,27.81206171107994
408.89692585895114,27.096774193548388
408.89692585895114,27.096774193548388
429.9819168173599,24.277699859747546
452.65822784810126,21.079943899018232
286.36528028933094,0.8835904628330995
285.96745027124774,1.262272089761571
285.56962025316454,1.6830294530154277
285.56962025316454,2.187938288920056
289.1500904159132,2.903225806451613
471.754068716094,18.302945301542778
490.8499095840868,15.525946704067321
509.94575045207955,13.127629733520337
523.4719710669078,10.771388499298737
540.1808318264015,8.87798036465638
553.7070524412297,7.110799438990182
566.8354430379748,5.848527349228611
577.9746835443038,4.58625525946704
589.1139240506329,3.6605890603085554
597.0705244122965,2.861150070126227
605.4249547920434,2.2720897615708275
610.994575045208,1.767180925666199
616.1663652802893,1.4305750350631135
624.122965641953,1.093969144460028
629.6925858951175,0.8415147265077139
634.4665461121158,0.6732117812061711
641.627486437613,0.37868162692847124
647.1971066907776,0.37868162692847124
652.7667269439421,0.25245441795231416
659.5298372513562,0.12622720897615708
665.8951175406871,0.08415147265077139
