CdSe 20sec ex295,,CdSe 20sec em370,,CdSe 20sec ex320,,CdSe 20sec em520,,CdSe 20sec ex380,,CdSe 20sec em390,,CdSe 20sec ex330,,CdSe 20sec em405,,CdSe 20sec ex335,,CdSe 20sec em400,,CdSe 20sec em420,,CdSe 20sec em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
325.9299927,8.675896645,260.9299927,1.179162979,351.0700073,24.90561295,290.9299927,13.8464613,411.0599976,26.31287384,260.9299927,1.730126858,361.0700073,34.87783813,260.9299927,1.137008667,365.8399963,34.17105484,260.9299927,0.527414799,260.9299927,0.866118431,260.9299927,1.177438259
327.0299988,9.601703644,262.0299988,1.530632019,352,27.20240211,292.0299988,14.80362988,411.9599915,28.15333939,262.0299988,1.725435257,362,36.31275177,262.0299988,0.379003048,366.9200134,36.1901474,262.0299988,0.896447182,262.0299988,0.678461552,262.0299988,1.808201313
327.9599915,10.44279575,262.9599915,1.611320496,353.0700073,30.10307121,292.9599915,16.2541256,413.0299988,29.46835327,262.9599915,1.935774803,363.0700073,38.74227905,262.9599915,0.697338104,367.8399963,39.77360535,262.9599915,1.249910355,262.9599915,0.905035973,262.9599915,1.374047756
329.0599976,11.32887554,264.0599976,1.513810635,354,32.17974472,294.0599976,17.30301094,413.9299927,30.99489594,264.0599976,1.662250519,364,41.52377319,264.0599976,1.01848793,368.9200134,42.29492188,264.0599976,1.012644768,264.0599976,1.320681572,264.0599976,1.914235592
330,12.66442585,265,1.654641151,355.0700073,33.72455215,295,18.48565292,415,33.06148148,265,2.540014267,365.0700073,43.43618011,265,0.667466164,369.8399963,44.70526123,265,0.632885933,265,0.099549294,265,1.645538807
331.0700073,12.9576273,265.9299927,1.506362438,356,35.80976868,295.9299927,18.96173286,416.0599976,34.43063354,265.9299927,2.256080627,366,46.13887024,265.9299927,1.206809998,370.9200134,46.71845245,265.9299927,0.881290913,265.9299927,1.565721512,265.9299927,1.788234234
332,14.29809475,267.0299988,1.865221977,357.0700073,38.25517273,297.0299988,20.59260559,416.9599915,35.14720154,267.0299988,1.948751926,367.0700073,47.96981049,267.0299988,1.318297386,371.8399963,48.00681686,267.0299988,1.021728516,267.0299988,0.567461014,267.0299988,1.331544399
333.0700073,14.54295635,267.9599915,1.42789793,358,38.47764206,297.9599915,20.51334,418.0299988,37.08014297,267.9599915,1.883128643,368,49.31463623,267.9599915,0.028861523,372.9200134,52.28290558,267.9599915,0.940328598,267.9599915,0.831402779,267.9599915,1.258275032
334,14.67490482,269.0599976,1.908486843,359.0700073,41.73711014,299.0599976,22.11347198,418.9299927,39.16404343,269.0599976,1.590390205,369.0700073,50.37263489,269.0599976,0.194805622,373.8399963,54.50354004,269.0599976,0.685195446,269.0599976,0.271421909,269.0599976,1.093697548
335.0700073,15.9157629,270,1.382087231,360,42.44456863,300,22.40571976,420,40.83695984,270,1.586261749,370,54.81451416,270,0.753099918,374.9200134,57.01845169,270,0.226960659,270,0.005064964,270,0.989998817
336,16.94724464,271.0700073,1.54497242,361.0700073,45.70880127,301.0700073,23.29878616,421.0700073,43.23748016,271.0700073,1.22617054,371.0700073,57.44589996,271.0700073,0.183093548,375.8399963,56.95911789,271.0700073,0.112760544,271.0700073,-0.399049759,271.0700073,0.277520657
337.0700073,17.50356674,272,1.276001453,362,46.61060715,302,24.81635475,422,42.81600952,272,0.791817188,372,59.25724792,272,-0.383066177,376.9200134,58.77701187,272,-0.076724529,272,-0.61521101,272,-0.002207279
338,18.31506729,273.0700073,0.82260704,363.0700073,49.25117111,303.0700073,25.38281059,423.0700073,46.3071785,273.0700073,0.712835312,373.0700073,61.04480743,273.0700073,-0.775501251,377.8399963,60.80784225,273.0700073,-0.275379658,273.0700073,-0.874229431,273.0700073,-0.339159966
