CdS 40sec ODE2 Toluene1 ex340,,CdS 50sec ODE2 Toluene1 ex335,,CdS 50sec ODE2 Toluene1 em420,,CdS 50sec ODE2 Toluene1 ex337,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex325,,CdS 50sec ODE2 Toluene1 em410,,CdS 50sec ODE2 Toluene1 ex333,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
371.0700073,107.8175201,365.8399963,79.61615753,260.9299927,1.97533226,367.8399963,79.7691803,375.8399963,75.94564056,355.8399963,70.95965576,260.9299927,3.709976196,363.8399963,79.88318634,375.8399963,76.11056519,371.0700073,-39.82889557,361.0700073,-24.94716644,
372,112.0655518,366.9200134,84.27193451,262.0299988,2.709194183,368.9200134,85.99658966,376.9200134,80.05932617,356.9200134,81.04875183,262.0299988,3.667194366,364.9200134,85.76280212,376.9200134,79.22691345,372,-36.16217041,362,-21.78969574,
373.0700073,119.3872375,367.8399963,90.39887238,262.9599915,2.503856659,369.8399963,88.36225128,377.8399963,86.2906723,357.8399963,84.13426208,262.9599915,3.986839294,365.8399963,91.7113266,377.8399963,84.27496338,373.0700073,-31.94677734,363.0700073,-15.57305908,
374,125.2898407,368.9200134,96.86975861,264.0599976,1.936693192,370.9200134,98.5868454,378.9200134,91.85609436,358.9200134,89.51519012,264.0599976,4.888870239,366.9200134,95.66426849,378.9200134,90.83765411,374,-28.77373505,364,-11.16270447,
375.0700073,133.984436,369.8399963,102.30867,265,2.079402924,371.8399963,101.9916229,379.8399963,98.33942413,359.8399963,94.22361755,265,4.402864456,367.8399963,101.3313751,379.8399963,95.34197235,375.0700073,-24.1155014,365.0700073,-5.133079529,
376,139.0568695,370.9200134,104.8915558,265.9299927,2.022022247,372.9200134,105.7224731,380.9200134,102.6880341,360.9200134,99.84200287,265.9299927,3.770246506,368.9200134,109.7001724,380.9200134,100.9266281,376,-16.04745483,366,2.046279907,
377.0700073,149.8936615,371.8399963,114.6951447,267.0299988,0.7284679413,373.8399963,111.6710205,381.8399963,109.8712158,361.8399963,103.577774,267.0299988,4.578760147,369.8399963,115.3461533,381.8399963,106.0203171,377.0700073,-13.54297638,367.0700073,6.768852234,
378,152.6717834,372.9200134,119.7588043,267.9599915,-0.02513885498,374.9200134,118.3239441,382.9200134,113.0076447,362.9200134,107.9060516,267.9599915,3.484380722,370.9200134,118.9821091,382.9200134,111.0186996,378,-8.972610474,368,9.117301941,
379.0700073,159.7019348,373.8399963,121.9157715,269.0599976,0.4463996887,375.8399963,121.9211578,383.8399963,119.0922089,363.8399963,112.0171661,269.0599976,1.823299408,371.8399963,122.8439865,383.8399963,115.5082474,379.0700073,-3.034690857,369.0700073,17.49820709,
380,166.6897736,374.9200134,126.9235687,270,-0.6839733124,376.9200134,128.2836151,384.9200134,121.4294281,364.9200134,116.8721619,270,2.035429001,372.9200134,124.3681107,384.9200134,122.6395798,380,0.3499832153,370,22.01665497,
381.0700073,172.1862183,375.8399963,132.2744751,271.0700073,-2.317001343,377.8399963,129.4659729,385.8399963,127.7224579,365.8399963,121.8821259,271.0700073,0.8730506897,373.8399963,130.3310852,385.8399963,124.6469345,381.0700073,10.73441315,371.0700073,29.66407013,
382,178.692337,376.9200134,133.6250305,272,-2.63359642,378.9200134,130.6881409,386.9200134,131.8027039,366.9200134,123.2378387,272,0.04245376587,374.9200134,133.1730347,386.9200134,131.9743805,382,13.04737854,372,33.75583649,
383.0700073,182.1539917,377.8399963,136.2467194,273.0700073,-4.065937042,379.8399963,137.0312805,387.8399963,134.1667023,367.8399963,128.921814,273.0700073,-0.2700710297,375.8399963,134.5930786,387.8399963,135.1705933,383.0700073,17.01747131,373.0700073,38.53859711,
384,189.7963104,378.9200134,140.8446503,274,-4.212989807,380.9200134,143.1287994,388.9200134,136.5671844,368.9200134,133.2518616,274,-1.798326492,376.9200134,143.2542114,388.9200134,137.7891388,384,24.12307739,374,40.52843475,
385.0700073,193.1588135,379.8399963,146.0941467,275.0700073,-4.845569611,381.8399963,144.4261322,389.8399963,140.7923737,369.8399963,138.1315002,275.0700073,-2.690879822,377.8399963,143.2888184,389.8399963,140.4721832,385.0700073,28.16668701,375.0700073,47.37856293,
386,197.8787384,380.9200134,149.4043427,276,-5.761987686,382.9200134,150.0489044,390.9200134,144.1214752,370.9200134,141.5052338,276,-3.905597687,378.9200134,146.6791687,390.9200134,143.1985016,386,33.75138855,376,50.27306366,
387.0700073,203.408844,381.8399963,155.3705597,277.0700073,-5.989183426,383.8399963,152.7818451,391.8399963,144.7453461,371.8399963,146.2649384,277.0700073,-3.264245987,379.8399963,152.9317627,391.8399963,146.9099579,387.0700073,34.57533264,377.0700073,53.44239044,
