CdS 10sec ex300,,BLANK ex300,,CdS 20sec ex300,,CdS 20sec em365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
371.0700073,168.0487976,371.0700073,-2.259505749,371.0700073,105.7160645,280.9299927,77.50794983,
372,169.29216,372,-2.426558495,372,106.6293716,282.0299988,80.6696701,
373.0700073,162.8100891,373.0700073,-2.453958511,373.0700073,104.8885803,282.9599915,83.56544495,
374,167.1742554,374,-2.725518227,374,103.9357452,284.0599976,85.60762787,
375.0700073,164.1813965,375.0700073,-3.015951157,375.0700073,104.5874939,285,87.89711761,
376,163.0254822,376,-3.208599091,376,102.4225006,285.9299927,91.26579285,
377.0700073,161.1182251,377.0700073,-3.069293976,377.0700073,103.5716553,287.0299988,92.71665192,
378,162.5352936,378,-3.203515053,378,102.1684799,287.9599915,94.11539459,
379.0700073,157.0662079,379.0700073,-3.114062786,379.0700073,101.3397064,289.0599976,96.02145386,
380,157.4973145,380,-3.504559994,380,100.441864,290,97.32342529,
381.0700073,154.3112488,381.0700073,-3.50799346,381.0700073,99.93403625,290.9299927,99.81034851,
382,156.6070709,382,-3.902115822,382,99.81452179,292.0299988,101.9369431,
383.0700073,154.2519836,383.0700073,-3.707849026,383.0700073,96.61938477,292.9599915,103.2963333,
384,151.3352814,384,-4.164752007,384,97.55984497,294.0599976,106.0298462,
385.0700073,149.0996552,385.0700073,-4.042938709,385.0700073,96.15689087,295,107.8322449,
386,151.4942169,386,-3.97912693,386,93.0552063,295.9299927,108.5801697,
387.0700073,143.9058533,387.0700073,-4.097798347,387.0700073,93.6762085,297.0299988,110.3241882,
388,143.6839905,388,-4.222037315,388,92.79659271,297.9599915,108.6413956,
389.0700073,143.3528748,389.0700073,-4.394702911,389.0700073,91.54222107,299.0599976,107.3490829,
390,138.0724335,390,-4.430225372,390,89.62046051,300,107.779129,
391.0700073,138.1091156,391.0700073,-4.435094833,391.0700073,87.41108704,301.0700073,109.4464035,
392,137.6979675,392,-4.608837128,392,85.80893707,302,108.0908432,
393.0700073,130.2976837,393.0700073,-4.21107769,393.0700073,82.66480255,303.0700073,109.0790863,
394,130.456131,394,-4.572079182,394,83.0611496,304,107.8778915,
395.0700073,126.7179184,395.0700073,-4.582039833,395.0700073,81.10520172,305.0700073,108.3716125,
396,126.6019135,396,-5.037706852,396,81.30690765,306,108.2759171,
397.0700073,122.4147949,397.0700073,-4.86367321,397.0700073,78.8791275,307.0700073,107.9059753,
398,119.2269669,398,-4.937188148,398,77.36209869,308,108.7774811,
399.0700073,119.521431,399.0700073,-4.946982384,399.0700073,77.02914429,309.0700073,107.0510788,
400,116.2636642,400,-4.930315971,400,73.09867096,310,108.507782,
401.0700073,113.8663864,401.0700073,-4.722054005,401.0700073,72.00185394,311.0700073,107.086113,
402,113.4526215,402,-5.254523754,402,70.80542755,312,103.8393097,
403.0700073,107.874527,403.0700073,-5.077102661,403.0700073,69.72807312,313.0700073,102.6528625,
404,109.784668,404,-4.852232933,404,69.54727936,314,99.20236969,
405.0700073,105.4453659,405.0700073,-5.000981808,405.0700073,67.01489258,315.0700073,98.52789307,
406,104.6005936,406,-5.059468746,406,65.66357422,316,95.49550629,
407.0700073,103.7836533,407.0700073,-5.121815681,407.0700073,66.18398285,317.0700073,90.91977692,
408,98.77233124,408,-5.306297779,408,64.43502045,318,87.37330627,
409.0700073,98.88411713,409.0700073,-5.078266621,409.0700073,62.43214417,319.0700073,85.71111298,
410,97.2226181,410,-5.298296928,410,60.83842468,320,83.27765656,
411.0599976,96.41459656,411.0599976,-5.242498398,411.0599976,60.44416046,320.9299927,80.56167603,
411.9599915,94.34966278,411.9599915,-5.181166172,411.9599915,59.66075134,322.0299988,77.67545319,
413.0299988,92.03975677,413.0299988,-5.24685955,413.0299988,59.23816681,322.9599915,73.78694153,
413.9299927,91.51285553,413.9299927,-5.228300095,413.9299927,57.57454681,324.0599976,72.60604095,
415,87.7709198,415,-5.462337494,415,56.9691925,325,68.72220612,
416.0599976,87.95342255,416.0599976,-5.326740265,416.0599976,54.66749954,325.9299927,68.1259613,
416.9599915,86.84268951,416.9599915,-5.461595535,416.9599915,54.9981041,327.0299988,64.88044739,
418.0299988,84.47515869,418.0299988,-5.427035332,418.0299988,54.5727272,327.9599915,63.0815506,
418.9299927,81.44377899,418.9299927,-5.368603706,418.9299927,52.70206833,329.0599976,61.51015472,
420,81.48082733,420,-5.444188595,420,51.84317017,330,58.06271362,
421.0700073,80.18727112,421.0700073,-5.393886566,421.0700073,51.0114212,331.0700073,51.74984741,
422,79.70337677,422,-5.682783127,422,50.44716644,332,48.46527863,
423.0700073,77.0647583,423.0700073,-5.689705849,423.0700073,49.28538895,333.0700073,45.4992218,
424,77.18707275,424,-5.519621849,424,48.69708252,334,39.63195801,
425.0700073,74.96304321,425.0700073,-5.52766943,425.0700073,46.9094162,335.0700073,35.08566666,
426,74.0769043,426,-5.54588747,426,45.73879242,336,33.17963409,
427.0700073,73.58343506,427.0700073,-5.633983612,427.0700073,45.12219238,337.0700073,28.02830505,
428,69.59164429,428,-5.668760777,428,42.8221817,338,23.85084534,
429.0700073,69.38759613,429.0700073,-5.812345505,429.0700073,44.0454483,339.0700073,21.53031158,
430,68.77630615,430,-5.761151791,430,41.341259,340,17.95006561,
431.0599976,66.96260071,431.0599976,-5.70252037,431.0599976,42.68380356,341.0700073,16.24568176,
431.9599915,67.54150391,431.9599915,-5.693605423,431.9599915,40.34844971,342,12.76375103,
433.0299988,65.1174469,433.0299988,-5.791917801,433.0299988,39.87944031,343.0700073,10.85739803,
433.9299927,65.19448853,433.9299927,-5.792654037,433.9299927,38.76020813,344,10.14438534,
435,62.81788635,435,-5.742012024,435,38.50191879,345.0700073,8.590387344,
436.0599976,62.52348328,436.0599976,-5.902828693,436.0599976,37.39719009,346,7.636580467,
436.9599915,61.66134644,436.9599915,-5.818177223,436.9599915,37.07447815,347.0700073,6.307348251,
438.0299988,59.48823166,438.0299988,-5.919974804,438.0299988,37.87327576,348,5.363509178,
438.9299927,60.53520584,438.9299927,-5.899705887,438.9299927,36.23230362,349.0700073,4.556763649,
440,59.19646835,440,-5.748969555,440,35.71492004,350,3.972380638,
441.0599976,58.68310165,441.0599976,-5.803142548,441.0599976,34.50343704,,,
441.9599915,57.83289719,441.9599915,-5.754367352,441.9599915,35.34640503,,,
443.0299988,57.07261276,443.0299988,-5.845495224,443.0299988,34.52482986,,,
443.9299927,57.51046753,443.9299927,-6.025518417,443.9299927,34.38799667,,,
445,56.90559769,445,-6.029532433,445,33.39154434,,,
446.0599976,56.36452103,446.0599976,-5.953623772,446.0599976,33.24505997,,,
446.9599915,55.1750946,446.9599915,-5.833517551,446.9599915,33.97527695,,,
448.0299988,53.70084381,448.0299988,-6.057676792,448.0299988,32.40421677,,,
448.9299927,54.05360794,448.9299927,-5.934261799,448.9299927,33.03165436,,,
450,54.95439911,450,-5.843745708,450,31.52323151,,,
451.0599976,52.79867554,451.0599976,-6.129710197,451.0599976,31.57984161,,,
451.9599915,54.48296356,451.9599915,-6.001814842,451.9599915,31.29075623,,,
453.0299988,53.18874359,453.0299988,-6.049643993,453.0299988,31.1427803,,,
453.9299927,51.95233917,453.9299927,-6.221042633,453.9299927,30.64952087,,,
455,52.94284058,455,-6.180857658,455,30.74419403,,,
456.0599976,50.9464798,456.0599976,-6.058988571,456.0599976,30.97748184,,,
456.9599915,52.2818718,456.9599915,-6.088652134,456.9599915,30.45643997,,,
458.0299988,52.10771179,458.0299988,-6.314704418,458.0299988,30.91436005,,,
458.9299927,52.15864563,458.9299927,-6.276546478,458.9299927,30.44869232,,,
460,51.36779785,460,-6.304411888,460,29.62469482,,,
461.0599976,51.65258408,461.0599976,-6.284394741,461.0599976,29.20778275,,,
461.9599915,52.20124435,461.9599915,-6.088160515,461.9599915,29.68736267,,,
463.0299988,50.87725449,463.0299988,-6.37947607,463.0299988,30.265522,,,
463.9299927,51.65353394,463.9299927,-6.320252895,463.9299927,28.53622055,,,
465,51.52410126,465,-6.192593575,465,28.27338791,,,
466.0599976,51.83135223,466.0599976,-6.287736893,466.0599976,27.84670258,,,
466.9599915,50.77852631,466.9599915,-5.969506264,466.9599915,27.42927551,,,
468.0299988,49.51865768,468.0299988,-6.160696983,468.0299988,26.3832283,,,
468.9299927,50.29859924,468.9299927,-6.265790462,468.9299927,27.55879211,,,
470,50.29748535,470,-6.153965473,470,28.42139435,,,
471.0599976,50.40506363,471.0599976,-6.342937946,471.0599976,26.82409286,,,
471.9599915,50.86902618,471.9599915,-6.435265064,471.9599915,27.41914749,,,
473.0299988,51.71371841,473.0299988,-6.40319252,473.0299988,26.97490692,,,
473.9299927,50.36849976,473.9299927,-6.247499943,473.9299927,27.13584518,,,
475,49.9315567,475,-6.33559227,475,26.58628082,,,
476.0599976,47.26782227,476.0599976,-6.367764473,476.0599976,26.63906097,,,
476.9599915,48.25675583,476.9599915,-6.311647892,476.9599915,25.91884232,,,
478.0299988,49.03782654,478.0299988,-6.513180733,478.0299988,25.79964447,,,
478.9299927,49.08811569,478.9299927,-6.377198219,478.9299927,25.71818542,,,
480,47.89237213,480,-6.473314285,480,25.31010437,,,
481.0599976,48.74521255,481.0599976,-6.414302826,481.0599976,25.12487411,,,
481.9599915,49.68985748,481.9599915,-6.430118561,481.9599915,24.87401581,,,
483.0299988,47.71714401,483.0299988,-6.390289307,483.0299988,25.0091095,,,
483.9299927,47.4193306,483.9299927,-6.406784534,483.9299927,25.14200211,,,
485,47.91491699,485,-6.490750313,485,25.29432678,,,
486.0599976,48.16217804,486.0599976,-6.384824276,486.0599976,24.66543961,,,
486.9599915,47.41777802,486.9599915,-6.583332062,486.9599915,23.65554047,,,
488.0299988,48.5104866,488.0299988,-6.403939247,488.0299988,23.97785568,,,
488.9299927,47.72357178,488.9299927,-6.494962215,488.9299927,23.51776886,,,
490,48.02456284,490,-6.677548409,490,23.94945908,,,
491.0400085,46.86330032,491.0400085,-6.598297119,491.0400085,22.64706421,,,
491.9400024,46.78411865,491.9400024,-6.502223015,491.9400024,23.92565536,,,
492.980011,46.88520813,492.980011,-6.710318089,492.980011,22.20352173,,,
494.019989,46.74705505,494.019989,-6.579890728,494.019989,23.09078598,,,
495.0700073,46.86306381,495.0700073,-6.410880566,495.0700073,23.24266815,,,
495.9700012,47.76512527,495.9700012,-6.558699608,495.9700012,21.56115341,,,
497.0100098,46.75137711,497.0100098,-6.421103477,497.0100098,22.33563614,,,
498.0499878,45.27696991,498.0499878,-6.645645142,498.0499878,22.46673584,,,
498.9500122,45.83543015,498.9500122,-6.619589806,498.9500122,21.87381744,,,
500,44.35516739,500,-6.530993462,500,21.69084549,,,
501.0400085,45.70360947,501.0400085,-6.643491745,501.0400085,20.67455673,,,
501.9400024,44.67141342,501.9400024,-6.527349949,501.9400024,21.37325287,,,
502.980011,45.31544876,502.980011,-6.485137463,502.980011,20.9378624,,,
504.019989,44.41671753,504.019989,-6.483771801,504.019989,20.06472397,,,
505.0700073,45.27597427,505.0700073,-6.800563335,505.0700073,19.85736084,,,
505.9700012,44.47712708,505.9700012,-6.690869808,505.9700012,19.73623276,,,
507.0100098,43.64562607,507.0100098,-6.540621758,507.0100098,20.16106796,,,
508.0499878,44.00906754,508.0499878,-6.715099335,508.0499878,20.53398514,,,
508.9500122,45.60135269,508.9500122,-6.578796387,508.9500122,19.13256836,,,
510,44.5423851,510,-6.574890137,510,19.44465256,,,
511.0599976,43.18270874,511.0599976,-6.773692608,511.0599976,18.76552582,,,
511.9599915,43.43923569,511.9599915,-6.578092575,511.9599915,18.67642212,,,
513.0300293,43.54606247,513.0300293,-6.803535461,513.0300293,18.13519669,,,
513.9299927,43.25327301,513.9299927,-6.651682377,513.9299927,18.27154922,,,
515,41.71761703,515,-6.645514488,515,17.84236526,,,
516.0599976,43.02942276,516.0599976,-6.666155338,516.0599976,17.69616699,,,
516.960022,42.2352562,516.960022,-6.76630497,516.960022,18.11740494,,,
518.0300293,42.67148972,518.0300293,-6.632352829,518.0300293,16.83095169,,,
518.9299927,42.15189743,518.9299927,-6.639084339,518.9299927,17.0684433,,,
520,41.4067421,520,-6.63048315,520,17.71830368,,,
