CdS 10sec ODE2 Toluene1 em400,,CdS 10sec ODE2 Toluene1 ex330,,CdS 10sec ODE2 Toluene1 ex310,,CdS 10sec ODE2 Toluene1 ex350,,CdS 10sec ODE2 Toluene1 em417,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
265.9299927,-10.28800774,386,200.4592743,366,173.6868134,406,193.2201996,265.9299927,-10.96727371,
267.0299988,-10.47117996,387.0700073,207.2975311,367.0700073,179.7523651,407.0700073,192.3098755,267.0299988,-11.08444405,
267.9599915,-10.86322403,388,210.6750793,368,181.6223145,408,195.747879,267.9599915,-11.74835777,
269.0599976,-12.55889702,389.0700073,212.984375,369.0700073,182.4050903,409.0700073,195.3973694,269.0599976,-12.19602394,
270,-13.47876167,390,212.8257599,370,184.9079285,410,197.3513489,270,-13.02684212,
271.0700073,-14.47768784,391.0700073,215.3416901,371.0700073,187.6913452,411.0599976,200.9017487,271.0700073,-14.10891533,
272,-14.35828972,392,218.6080017,372,187.1111145,411.9599915,200.1993713,272,-14.26236153,
273.0700073,-14.62537575,393.0700073,222.8831177,373.0700073,190.3764496,413.0299988,205.9666138,273.0700073,-14.86544228,
274,-15.71809387,394,222.4395752,374,192.63797,413.9299927,203.7151642,274,-16.0694313,
275.0700073,-16.51426506,395.0700073,221.6893616,375.0700073,191.6313629,415,207.1003418,275.0700073,-17.17371941,
276,-17.16611481,396,222.5156555,376,194.3973083,416.0599976,202.9713898,276,-17.46497917,
277.0700073,-17.49406815,397.0700073,223.5530396,377.0700073,193.5782776,416.9599915,208.9681244,277.0700073,-16.96920776,
278,-14.57926559,398,222.7027283,378,198.2084808,418.0299988,206.9157104,278,-14.98487854,
279.0700073,-9.881849289,399.0700073,223.0812073,379.0700073,199.2445831,418.9299927,207.7338104,279.0700073,-10.43414307,
280,-3.242351532,400,231.8748169,380,199.511322,420,206.4453735,280,-6.194929123,
280.9299927,2.866046906,401.0700073,227.3775635,381.0700073,200.7253265,421.0700073,204.0751648,280.9299927,1.589347839,
282.0299988,12.76591492,402,227.2366943,382,200.5487366,422,204.6557465,282.0299988,9.809101105,
282.9599915,21.9453125,403.0700073,229.5835266,383.0700073,203.1649017,423.0700073,206.8143616,282.9599915,18.33768463,
284.0599976,33.03815079,404,227.8771973,384,204.111496,424,203.317215,284.0599976,27.98323441,
285,43.43149948,405.0700073,225.2989502,385.0700073,203.660141,425.0700073,202.0418854,285,35.91638565,
