CdS sonochem 120min em410,,CdS sonochem 120min ex337,,CdS sonochem 120min em415,,CdS sonochem 120min ex340,,CdS sonochem 120min ex340 slow,,CdS sonochem 120min em420 slow,,CdS sonochem 120min ex295,,CdS sonochem 120min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
267.0299988,3.725990295,373.8399963,97.97015381,267.0299988,1.067783356,377.0700073,101.4577332,377.0700073,101.9951706,267.0299988,1.582820892,332,124.0989685,267.0299988,6.080182076,
267.9599915,2.90747261,374.9200134,103.3043365,267.9599915,1.290596008,378,105.8839798,378,106.4279327,267.9599915,0.5863227844,333.0700073,126.2263641,267.9599915,5.678069115,
269.0599976,2.903911591,375.8399963,109.3061981,269.0599976,0.3837738037,379.0700073,110.6332932,379.0700073,112.1608734,269.0599976,-0.1497459412,334,128.4734802,269.0599976,5.729773521,
270,2.65422821,376.9200134,110.3370514,270,-0.5617675781,380,114.2316208,380,113.8273621,270,-0.4985485077,335.0700073,131.316925,270,6.09068203,
271.0700073,1.306217194,377.8399963,112.9996948,271.0700073,-0.8931522369,381.0700073,118.6912766,381.0700073,119.1218872,271.0700073,-1.595823288,336,134.4339447,271.0700073,4.44991684,
272,0.8701915741,378.9200134,116.8387451,272,-1.975114822,382,120.7134018,382,122.4041901,272,-2.161701202,337.0700073,135.8943176,272,4.561598778,
273.0700073,0.50806427,379.8399963,119.3170319,273.0700073,-2.575857162,383.0700073,124.1586075,383.0700073,124.7548828,273.0700073,-3.246545792,338,137.9726105,273.0700073,3.903166771,
274,-1.06145668,380.9200134,123.1291046,274,-3.381500244,384,129.1772614,384,129.5877991,274,-4.290224075,339.0700073,141.3479919,274,2.943984985,
275.0700073,-1.983299255,381.8399963,125.6355591,275.0700073,-4.040525436,385.0700073,132.3554535,385.0700073,131.6549683,275.0700073,-4.696933746,340,141.2362061,275.0700073,1.499519348,
276,-2.269723892,382.9200134,131.8142242,276,-4.371528625,386,133.9124298,386,136.4519043,276,-5.372502327,341.0700073,143.0524597,276,2.511768341,
277.0700073,-3.600172043,383.8399963,136.6502991,277.0700073,-4.949203491,387.0700073,139.1533508,387.0700073,139.775177,277.0700073,-5.881812096,342,146.7260742,277.0700073,3.349015236,
