CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
386,32.91685486,370.9200134,33.17690277,356,29.00457764,255.9299927,0.168923378,276,-2.441301346,410.8999939,28.87474823,
387.0700073,35.86073685,371.8399963,37.02581024,357.0700073,31.99827194,257.0299988,0.06388902664,277.0700073,-2.577399731,411.9599915,33.06943512,
388,39.81230164,372.9200134,41.49588013,358,34.63705063,257.9599915,0.4359006882,278,-2.538932323,412.8699951,35.62152863,
389.0700073,41.96588516,373.8399963,44.23167419,359.0700073,39.58988953,259.0599976,-0.171184063,279.0700073,-1.826946259,413.9299927,37.14651871,
390,45.68440247,374.9200134,46.94669342,360,40.73209763,260,0.1310310364,280,-2.146321297,414.8399963,38.78744888,
391.0700073,48.15968323,375.8399963,50.74414825,361.0700073,43.00053024,260.9299927,0.1581993103,280.9299927,-0.7764043808,415.8999939,42.63249588,
392,50.29614258,376.9200134,53.86154938,362,47.6462822,262.0299988,0.09570932388,282.0299988,0.8685894012,416.9599915,44.90334702,
393.0700073,54.88225174,377.8399963,56.73143768,363.0700073,51.20145035,262.9599915,-0.0217089653,282.9599915,3.071331978,417.8699951,48.07034683,
394,56.89368057,378.9200134,60.30451202,364,54.53977203,264.0599976,0.005834102631,284.0599976,6.500871658,418.9299927,50.38680649,
395.0700073,60.84774399,379.8399963,64.89939117,365.0700073,58.99130249,265,0.2247695923,285,8.478486061,419.8399963,54.28519821,
396,62.72340775,380.9200134,68.04309845,366,60.73810577,265.9299927,0.5906658173,285.9299927,11.08035946,420.9200134,56.21725845,
397.0700073,66.73117065,381.8399963,72.75904083,367.0700073,65.91589355,267.0299988,0.4928808212,287.0299988,14.53163815,421.8399963,58.28765488,
398,69.46054077,382.9200134,77.6424942,368,66.8859024,267.9599915,0.03396272659,287.9599915,15.97102642,422.9200134,62.34596634,
399.0700073,72.96179199,383.8399963,80.77697754,369.0700073,71.81578064,269.0599976,-0.04602050781,289.0599976,19.03525543,423.8399963,62.92316055,
400,75.85943604,384.9200134,83.43878174,370,76.59445953,270,-0.8374381065,290,20.33833313,424.9200134,66.79519653,
401.0700073,80.70394897,385.8399963,88.7674942,371.0700073,79.31673431,271.0700073,-0.5435752869,290.9299927,22.63463974,425.8399963,67.41130066,
402,81.86831665,386.9200134,92.46139526,372,83.72131348,272,-0.9217987061,292.0299988,25.46740723,426.9200134,70.81175995,
403.0700073,86.09521484,387.8399963,94.95209503,373.0700073,85.62255859,273.0700073,-1.060603142,292.9599915,27.3168602,427.8399963,72.70088196,
404,87.85704041,388.9200134,97.93212128,374,91.22006226,274,-1.331112862,294.0599976,30.25711823,428.9200134,74.62823486,
405.0700073,91.99198914,389.8399963,104.6188278,375.0700073,95.07016754,275.0700073,-1.490337372,295,32.07972336,429.8399963,75.17325592,
406,93.84533691,390.9200134,106.7176208,376,98.02883148,276,-1.547178268,295.9299927,34.23689651,430.8999939,78.15240479,
407.0700073,97.75775146,391.8399963,113.2882233,377.0700073,100.99366,277.0700073,-2.29483223,297.0299988,37.0937233,431.9599915,79.82248688,
