CdS 60sec ODE2 Toluene1 em420,,CdS 60sec ODE2 Toluene1 ex340,,CdS 60sec ODE2 Toluene1 em415,,CdS 60sec ODE2 Toluene1 ex335,,CdS 60sec ODE2 Toluene1 em430,,CdS 60sec ODE2 Toluene1 em410,,CdS 60sec ODE2 Toluene1 ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
308,157.3136444,418.0299988,231.7675018,308,163.2359009,412.8699951,230.2660065,308,144.6021423,308,167.8426666,412.8699951,231.4962158,
309.0700073,159.5982971,418.9299927,232.3296814,309.0700073,166.947464,413.9299927,229.1324158,309.0700073,144.5611725,309.0700073,167.951416,413.9299927,229.2177277,
310,164.1072693,420,229.7841492,310,171.0546875,414.8399963,231.3452911,310,148.3665314,310,171.7344666,414.8399963,227.6652069,
311.0700073,164.2566223,421.0700073,228.6838226,311.0700073,173.1958771,415.8999939,227.3684692,311.0700073,151.0676422,311.0700073,175.1661835,415.8999939,229.1334381,
312,167.0099182,422,229.375,312,172.1251831,416.9599915,232.3256836,312,149.6249695,312,178.718338,416.9599915,226.9642487,
313.0700073,171.1380463,423.0700073,228.3499451,313.0700073,174.5290833,417.8699951,228.4075928,313.0700073,151.3023224,313.0700073,180.2207489,417.8699951,232.1775818,
314,172.1267242,424,226.4388733,314,178.7528687,418.9299927,231.9664307,314,154.075882,314,185.0894165,418.9299927,225.0091858,
315.0700073,175.3629303,425.0700073,222.2068939,315.0700073,179.2032623,419.8399963,225.4876099,315.0700073,156.7277527,315.0700073,186.7196045,419.8399963,224.3496552,
316,178.1247711,426,222.5431671,316,182.5384369,420.9200134,222.7931213,316,159.3410797,316,190.2487335,420.9200134,228.8800964,
317.0700073,180.7662506,427.0700073,222.1556702,317.0700073,188.9536591,421.8399963,223.7723846,317.0700073,162.9765625,317.0700073,195.5144348,421.8399963,225.175415,
318,184.2781982,428,220.3406219,318,187.3905182,422.9200134,224.6462097,318,166.2749481,318,197.6262512,422.9200134,222.5214691,
319.0700073,185.0484772,429.0700073,218.886322,319.0700073,194.4017181,423.8399963,222.855072,319.0700073,167.2301636,319.0700073,196.5541534,423.8399963,222.504715,
320,188.9277039,430,218.0417786,320,195.862793,424.9200134,217.7891693,320,170.8665924,320,203.7644653,424.9200134,220.4563293,
320.9299927,191.7650909,431.0599976,213.8751526,320.9299927,201.138855,425.8399963,217.8057098,320.9299927,173.7615051,320.9299927,206.0108643,425.8399963,217.8241577,
322.0299988,195.8974457,431.9599915,214.3130341,322.0299988,202.9997101,426.9200134,213.6096344,322.0299988,180.1060333,322.0299988,211.2879791,426.9200134,213.8251801,
322.9599915,198.9554138,433.0299988,207.17453,322.9599915,206.3866882,427.8399963,212.5767212,322.9599915,182.0191498,322.9599915,210.2310944,427.8399963,215.501358,
324.0599976,204.8890381,433.9299927,205.6400909,324.0599976,210.7947388,428.9200134,212.3236542,324.0599976,184.1697998,324.0599976,213.4588013,428.9200134,214.0098419,
325,206.6544495,435,201.0228729,325,216.6797943,429.8399963,212.1683655,325,189.0668945,325,216.616272,429.8399963,211.2853241,
325.9299927,209.2089081,436.0599976,200.1231384,325.9299927,214.5072479,430.8999939,206.6245575,325.9299927,192.7151031,325.9299927,222.2596436,430.8999939,207.3669586,
327.0299988,214.9963379,436.9599915,199.5071869,327.0299988,219.5519714,431.9599915,200.4201355,327.0299988,192.1756439,327.0299988,225.5171967,431.9599915,206.8204803,
327.9599915,215.9427948,438.0299988,194.7662354,327.9599915,221.079895,432.8699951,203.1555023,327.9599915,194.8918304,327.9599915,223.0624084,432.8699951,205.2029114,
329.0599976,218.6049957,438.9299927,194.6526947,329.0599976,220.8714142,433.9299927,198.5327148,329.0599976,196.6389465,329.0599976,226.1356506,433.9299927,198.0889282,
330,220.0541077,440,192.1217499,330,223.1061096,434.8399963,193.3256531,330,200.5350189,330,225.0900879,434.8399963,195.5929565,
331.0700073,224.0557404,441.0599976,186.5364838,331.0700073,231.9200897,435.8999939,191.9830475,331.0700073,199.9004517,331.0700073,225.5357666,435.8999939,191.3837891,
332,224.2651978,441.9599915,182.377655,332,230.3310852,436.9599915,192.1500702,332,203.9242859,332,232.2070465,436.9599915,189.7575226,
333.0700073,227.1404572,443.0299988,181.7558289,333.0700073,234.2633209,437.8699951,187.5407562,333.0700073,208.9447174,333.0700073,235.4680176,437.8699951,188.1098938,
334,229.4291992,443.9299927,179.6323395,334,230.6331024,438.9299927,183.5506744,334,212.7353821,334,229.6238708,438.9299927,184.7876434,
335.0700073,231.1445007,445,173.7732086,335.0700073,235.9199524,439.8399963,180.0407257,335.0700073,215.9995117,335.0700073,231.8563385,439.8399963,179.0083313,
336,231.1540985,446.0599976,172.8712463,336,235.0123901,440.8999939,177.4269867,336,211.8851776,336,232.2684174,440.8999939,176.9569855,
337.0700073,232.1057739,446.9599915,168.4764099,337.0700073,233.765564,441.9599915,174.7674713,337.0700073,212.7661591,337.0700073,235.3983459,441.9599915,176.0245056,
338,230.8216858,448.0299988,168.2723389,338,235.3117065,442.8699951,172.9416046,338,216.5187378,338,232.5138702,442.8699951,171.7805786,
339.0700073,232.3537903,448.9299927,164.6617126,339.0700073,233.3764648,443.9299927,170.1082306,339.0700073,215.1902466,339.0700073,229.1786652,443.9299927,169.6907959,
340,230.8543854,450,165.4596252,340,235.5789795,444.8399963,167.2098846,340,218.6323395,340,228.5099792,444.8399963,167.0953674,
341.0700073,232.9346466,451.0599976,161.2025604,341.0700073,233.0465546,445.8999939,161.9790802,341.0700073,214.9630585,341.0700073,226.9932251,445.8999939,163.353241,
342,229.5048676,451.9599915,158.3761902,342,230.8242493,446.9599915,162.1635284,342,218.0124207,342,222.3546448,446.9599915,164.0045319,
343.0700073,228.7735138,453.0299988,155.6825256,343.0700073,229.4157867,447.8699951,158.2107086,343.0700073,219.2885284,343.0700073,222.2797394,447.8699951,157.0305786,
344,229.0779877,453.9299927,153.3815613,344,228.1530457,448.9299927,155.5944214,344,218.8023224,344,217.2488861,448.9299927,156.4686584,
345.0700073,229.2611542,455,150.8406067,345.0700073,225.4707184,449.8399963,155.9852142,345.0700073,216.1123199,345.0700073,215.9938507,449.8399963,152.9183197,
346,225.3559723,456.0599976,147.520401,346,222.2886963,450.8999939,151.4837646,346,215.5148773,346,213.9785919,450.8999939,150.4956818,
347.0700073,224.2524109,456.9599915,148.3993835,347.0700073,215.9645538,451.9599915,148.8229523,347.0700073,215.390213,347.0700073,213.4226227,451.9599915,149.7482605,
348,218.989975,458.0299988,146.8041992,348,216.0487518,452.8699951,147.4903107,348,213.8406067,348,206.1998291,452.8699951,145.563736,
349.0700073,221.680954,458.9299927,140.9855652,349.0700073,209.8927765,453.9299927,146.5359497,349.0700073,210.0829315,349.0700073,200.4311523,453.9299927,145.5138092,
350,213.3271332,460,141.6871338,350,206.6539917,454.8399963,143.336731,350,211.9010468,350,198.9842682,454.8399963,145.0149994,
351.0700073,206.6538239,461.0599976,136.2438507,351.0700073,203.420105,455.8999939,141.4204407,351.0700073,203.3046722,351.0700073,192.5200195,455.8999939,138.7529297,
352,206.3695984,461.9599915,138.1014557,352,199.8162994,456.9599915,139.2281952,352,204.7653046,352,187.7244568,456.9599915,140.806015,
353.0700073,202.9287415,463.0299988,131.771225,353.0700073,196.3309174,457.8699951,136.1516876,353.0700073,199.2095642,353.0700073,182.2905884,457.8699951,137.1367035,
354,199.4972992,463.9299927,132.178894,354,189.7303772,458.9299927,131.7864685,354,195.3807373,354,177.4684143,458.9299927,133.1826019,
355.0700073,196.1983948,465,129.2658539,355.0700073,187.5492554,459.8399963,131.0000305,355.0700073,195.7672424,355.0700073,172.8404999,459.8399963,129.7598572,
356,190.6457672,466.0599976,128.2861328,356,181.6726685,460.8999939,129.1369476,356,192.7677307,356,168.8414764,460.8999939,127.8119507,
357.0700073,187.2575836,466.9599915,126.2006989,357.0700073,178.4163055,461.9599915,127.0702667,357.0700073,190.6665344,357.0700073,164.3765717,461.9599915,129.1442413,
358,182.3470764,468.0299988,120.7364807,358,172.2553558,462.8699951,125.5278931,358,183.7089691,358,157.3352203,462.8699951,124.6568909,
359.0700073,179.3950958,468.9299927,118.5059204,359.0700073,168.6069031,463.9299927,122.9552307,359.0700073,181.2858276,359.0700073,152.6137238,463.9299927,123.3689575,
360,175.5873566,470,118.446579,360,165.1545715,464.8399963,123.5802002,360,182.6146851,360,148.8030548,464.8399963,120.6912079,
361.0700073,170.5552216,471.0599976,114.2333984,361.0700073,159.2701263,465.8999939,117.7691498,361.0700073,176.6984863,361.0700073,143.256485,465.8999939,117.1748352,
362,168.9052734,471.9599915,113.2563324,362,155.2445221,466.9599915,117.6650848,362,176.8832092,362,140.3019562,466.9599915,116.0488281,
363.0700073,162.3179169,473.0299988,111.8011475,363.0700073,152.1346436,467.8699951,116.8217773,363.0700073,171.3159485,363.0700073,135.7289276,467.8699951,112.1528473,
364,161.2441864,473.9299927,110.9073486,364,144.7112732,468.9299927,112.5655365,364,168.5250854,364,133.2900391,468.9299927,112.7220764,
365.0700073,152.7274933,475,105.9933624,365.0700073,139.9485779,469.8399963,110.1049957,365.0700073,162.6885681,365.0700073,126.7909241,469.8399963,108.2184753,
366,148.9854279,476.0599976,103.6324844,366,137.1331329,470.8999939,108.4652557,366,158.720932,366,122.4986572,470.8999939,107.326889,
367.0700073,143.6625977,476.9599915,103.3192673,367.0700073,131.0571899,471.9599915,102.7353973,367.0700073,153.2015228,367.0700073,116.6116486,471.9599915,103.7922363,
368,140.8027344,478.0299988,98.4758606,368,125.1782837,472.8699951,102.4283905,368,148.6705475,368,109.7221985,472.8699951,104.6735535,
369.0700073,133.0538483,478.9299927,97.39015198,369.0700073,121.8426208,473.9299927,101.6423645,369.0700073,143.3227692,369.0700073,100.4709091,473.9299927,100.0876312,
370,132.4208069,480,96.72646332,370,118.8664246,474.8399963,99.2922821,370,145.2866364,370,98.9447403,474.8399963,97.23948669,
371.0700073,127.746048,481.0599976,95.73918915,371.0700073,113.4103546,475.8999939,97.39855957,371.0700073,138.843811,371.0700073,93.25417328,475.8999939,98.50465393,
372,125.4607849,481.9599915,91.04016876,372,106.0200958,476.9599915,94.53132629,372,136.0065918,372,87.34612274,476.9599915,93.08197021,
373.0700073,120.420578,483.0299988,90.07997894,373.0700073,100.0841751,477.8699951,94.01681519,373.0700073,131.4569092,373.0700073,83.5589447,477.8699951,91.86950684,
374,115.0374908,483.9299927,88.3551178,374,96.81330109,478.9299927,90.29725647,374,127.2877808,374,77.62664795,478.9299927,91.75254822,
375.0700073,109.1467896,485,84.48457336,375.0700073,92.20330048,479.8399963,91.33876038,375.0700073,121.9398041,375.0700073,73.1944809,479.8399963,88.36302185,
376,106.3908691,486.0599976,83.53089905,376,86.57941437,480.8999939,87.3709259,376,120.7482452,376,69.58092499,480.8999939,88.1028595,
377.0700073,100.3734741,486.9599915,81.19435883,377.0700073,83.15721893,481.9599915,86.15382385,377.0700073,118.0289612,377.0700073,67.34729004,481.9599915,83.83662415,
378,97.06031799,488.0299988,79.91870117,378,81.37265778,482.8699951,83.64033508,378,114.8956909,378,61.70672607,482.8699951,84.35063171,
379.0700073,90.56997681,488.9299927,77.78842926,379.0700073,74.67050934,483.9299927,82.56185913,379.0700073,110.9619904,379.0700073,57.91814423,483.9299927,81.88511658,
380,85.60688782,490,78.52435303,380,70.02065277,484.8399963,79.13166809,380,108.2458038,380,53.78343964,484.8399963,78.15202332,
381.0700073,80.44500732,491.0400085,72.22394562,381.0700073,66.93177795,485.8999939,79.2462616,381.0700073,103.2971573,381.0700073,51.07257843,485.8999939,79.47969055,
382,78.23149109,491.9400024,71.3633728,382,63.15573883,486.9599915,75.26490784,382,100.0055237,382,46.0579834,486.9599915,77.17332458,
383.0700073,72.92712402,492.980011,70.42860413,383.0700073,59.86219788,487.8699951,73.1378479,383.0700073,94.28361511,383.0700073,43.64173126,487.8699951,72.19825745,
384,68.52975464,494.019989,69.06289673,384,55.10653687,488.9299927,72.18544006,384,91.14965057,384,40.41425323,488.9299927,73.91041565,
385.0700073,65.18287659,495.0700073,66.23085785,385.0700073,52.47263336,489.8399963,71.4772644,385.0700073,87.74832153,385.0700073,35.92395782,489.8399963,71.21534729,
386,62.08096695,495.9700012,65.91726685,386,48.48085022,490.8900146,69.48303223,386,82.39109802,386,33.2724762,490.8900146,68.82829285,
387.0700073,58.92574692,497.0100098,64.09215546,387.0700073,45.23604584,491.9400024,68.14578247,387.0700073,80.52559662,387.0700073,31.14526558,491.9400024,67.45701599,
388,54.62093735,498.0499878,62.08503723,388,42.08459473,492.980011,64.75602722,388,76.07588959,388,28.38413429,492.980011,65.61917114,
389.0700073,51.89599991,498.9500122,60.71582794,389.0700073,38.7976532,493.8800049,61.79894638,389.0700073,72.47055817,389.0700073,24.98669243,493.8800049,64.60595703,
390,48.7502327,500,59.98287201,390,35.67613983,494.9200134,63.00895309,390,69.44493103,390,22.68928719,494.9200134,61.95388412,
391.0599976,44.98038101,501.0400085,56.435112,391.0599976,32.54440308,495.9700012,60.46131516,391.0599976,66.03349304,391.0599976,19.58935356,495.9700012,62.0808754,
391.9599915,43.37414169,501.9400024,55.8117218,391.9599915,29.4262867,496.8599854,60.97384262,391.9599915,63.67713928,391.9599915,16.96018791,496.8599854,59.44601059,
393.0299988,39.89271164,502.980011,55.23931885,393.0299988,27.66818428,497.9100037,57.81253433,393.0299988,60.7755127,393.0299988,16.09968376,497.9100037,54.80872726,
393.9299927,37.8149147,504.019989,53.89490509,393.9299927,25.57031822,498.9500122,56.48106766,393.9299927,57.74365234,393.9299927,13.17942619,498.9500122,56.19898605,
395,34.10822296,505.0700073,50.69291687,395,22.68811607,499.8500061,54.26159286,395,53.47367859,395,10.26140404,499.8500061,55.12103653,
396.0599976,31.32424164,505.9700012,52.1342926,396.0599976,20.17917824,500.8900146,52.840168,396.0599976,50.41125488,396.0599976,8.197568893,500.8900146,54.79904556,
396.9599915,29.75320053,507.0100098,48.11011505,396.9599915,17.59747124,501.9400024,51.02487564,396.9599915,48.68636322,396.9599915,6.510000229,501.9400024,52.69298172,
398.0299988,26.21462631,508.0499878,49.57196808,398.0299988,14.65502357,502.980011,51.01862717,398.0299988,45.06739807,398.0299988,4.515798569,502.980011,51.82658005,
398.9299927,24.43079376,508.9500122,46.83109283,398.9299927,13.23444939,503.8800049,48.77856827,398.9299927,42.78875732,398.9299927,2.405405045,503.8800049,47.70196915,
400,21.19150162,510,44.80486298,400,10.83535194,504.9200134,48.52049637,400,38.54279709,400,1.125961304,504.9200134,47.62802505,
401.0700073,19.20240402,511.0599976,44.13794708,401.0700073,8.298532486,505.9700012,45.89982224,401.0700073,36.27758026,,,505.9700012,46.64278793,
402,16.64958572,511.9599915,42.98937988,402,7.104988098,506.8599854,45.24396133,402,33.69136429,,,506.8599854,45.27570724,
403.0700073,14.5799408,513.0300293,41.79892731,403.0700073,4.825288773,507.9100037,44.74410629,403.0700073,31.7767601,,,507.9100037,44.52564621,
404,12.62282944,513.9299927,40.71063995,404,2.998508453,508.9500122,43.73150253,404,30.24048996,,,508.9500122,42.63692856,
405.0700073,11.49292374,515,38.64283752,405.0700073,2.053722382,509.8500061,41.95328903,405.0700073,28.02002335,,,509.8500061,41.7530632,
406,10.22422791,516.0599976,37.49260712,,,510.8999939,41.12066269,406,25.76394653,,,510.8999939,39.40334702,
407.0700073,8.276355743,516.960022,36.78166199,,,511.9599915,37.68107986,407.0700073,23.29899597,,,511.9599915,39.98632431,
408,7.069139481,518.0300293,35.16832733,,,512.8699951,37.78932953,408,21.75334167,,,512.8699951,37.9107132,
409.0700073,5.496055603,518.9299927,35.78414917,,,513.9299927,36.29486084,409.0700073,18.99391174,,,513.9299927,37.80666733,
410,4.863630295,520,33.5605011,,,514.8400269,37.84689331,410,18.09467316,,,514.8400269,34.71284866,
,,521.039978,32.46995544,,,515.9000244,35.94991684,411.0599976,15.49585724,,,515.9000244,33.14737701,
,,521.9400024,30.96670723,,,516.960022,33.23683548,411.9599915,13.96549225,,,516.960022,32.81496048,
,,522.9799805,29.69867134,,,517.8699951,32.48963547,413.0299988,10.78815842,,,517.8699951,33.95285034,
