CdSe 40 sec ex330,,CdSe 40 sec em400,,CdSe 40 sec ex335-380_EX_335.00,,CdSe 40 sec ex335-380_EX_340.00,,CdSe 40 sec ex335-380_EX_345.00,,CdSe 40 sec ex335-380_EX_350.00,,CdSe 40 sec ex335-380_EX_355.00,,CdSe 40 sec ex335-380_EX_360.00,,CdSe 40 sec ex335-380_EX_365.00,,CdSe 40 sec ex335-380_EX_370.00,,CdSe 40 sec ex335-380_EX_375.00,,CdSe 40 sec ex335-380_EX_380.00,,CdSe 40 sec em500,,CdSe 40 sec em420,,CdSe 40 sec em380,,CdSe 40 sec ex340,,CdSe 40 sec ex350,,CdSe 40 sec ex320,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
455,49.04581833,355.0700073,53.1282196,505.0700073,-53.52903748,505.0700073,-49.89650345,505.0700073,-45.4799118,505.0700073,-44.60876465,505.0700073,-41.44942474,505.0700073,-40.55461502,505.0700073,-40.24235153,505.0700073,-37.8601532,505.0700073,-38.92953491,505.0700073,-39.1282692,375.0700073,52.00468063,355.0700073,80.82437134,355.0700073,21.53667259,465,55.36349106,475,53.87123108,445,47.07048035,
456.0599976,47.95698547,356,52.30170822,505.9700012,-55.28769684,505.9700012,-49.95758438,505.9700012,-46.72687531,505.9700012,-45.30405045,505.9700012,-42.97919083,505.9700012,-40.60425949,505.9700012,-40.7146492,505.9700012,-38.72146225,505.9700012,-38.30395508,505.9700012,-39.76741028,376,51.59923935,356,81.50865173,356,20.54539871,466.0599976,52.15618896,476.0599976,54.31907654,446.0599976,48.38491058,
456.9599915,47.00701523,357.0700073,51.24418259,507.0100098,-53.82822418,507.0100098,-51.22460556,507.0100098,-46.55976105,507.0100098,-45.8428688,507.0100098,-42.97891235,507.0100098,-41.61268616,507.0100098,-42.32477188,507.0100098,-38.75975037,507.0100098,-39.0805397,507.0100098,-40.22150421,377.0700073,51.76032257,357.0700073,77.36863708,357.0700073,18.95167732,466.9599915,54.01602554,476.9599915,54.72073746,446.9599915,45.6546936,
458.0299988,47.06305695,358,49.49745941,508.0499878,-55.40126419,508.0499878,-51.12047577,508.0499878,-48.0234642,508.0499878,-47.13716507,508.0499878,-43.73971558,508.0499878,-43.30506897,508.0499878,-41.62026978,508.0499878,-41.16747284,508.0499878,-40.01105881,508.0499878,-41.65849686,378,51.39722443,358,78.05101776,358,17.62971306,468.0299988,52.21212387,478.0299988,51.88127518,448.0299988,44.26833344,
458.9299927,46.41212082,359.0700073,46.04328537,508.9500122,-55.51227951,508.9500122,-52.44988251,508.9500122,-48.96004105,508.9500122,-46.1132431,508.9500122,-44.84746933,508.9500122,-44.51865768,508.9500122,-41.72751999,508.9500122,-41.82717514,508.9500122,-42.78014374,508.9500122,-41.4271965,379.0700073,51.77251434,359.0700073,75.95423889,359.0700073,15.43082809,468.9299927,51.03547668,478.9299927,53.05645752,448.9299927,44.46743011,
460,45.55306625,360,45.01383972,510,-56.66978455,510,-53.08997345,510,-49.79499054,510,-47.32635498,510,-46.30134964,510,-45.01778412,510,-43.76383209,510,-42.43426514,510,-43.07888794,510,-42.54578018,380,50.29423141,360,74.5115509,360,15.13642883,470,51.81550217,480,54.16939545,450,44.3614769,
461.0599976,44.22077179,361.0700073,43.93973541,511.0599976,-57.32004929,511.0599976,-54.32940674,511.0599976,-51.52853394,511.0599976,-49.64368057,511.0599976,-47.49376297,511.0599976,-45.97304535,511.0599976,-44.67199326,511.0599976,-42.81347275,511.0599976,-43.69115448,511.0599976,-43.33231735,381.0700073,50.40893555,361.0700073,72.29730988,361.0700073,13.33149338,471.0599976,49.08364105,481.0599976,51.92218781,451.0599976,43.1690712,
461.9599915,43.95930481,362,40.41030502,511.9599915,-57.75997925,511.9599915,-54.13132477,511.9599915,-52.22644806,511.9599915,-50.07478333,511.9599915,-47.22455215,511.9599915,-46.0425148,511.9599915,-45.49390793,511.9599915,-44.18067169,511.9599915,-43.9780426,511.9599915,-44.58673096,382,50.75999451,362,73.57570648,362,11.97216797,471.9599915,49.576931,481.9599915,52.14525986,451.9599915,42.89553833,
463.0299988,42.71892929,363.0700073,40.27801895,513.0300293,-58.61457825,513.0300293,-54.92462158,513.0300293,-52.974823,513.0300293,-50.41939545,513.0300293,-49.26377869,513.0300293,-47.01018906,513.0300293,-46.36523056,513.0300293,-44.69423294,513.0300293,-45.15609741,513.0300293,-45.48159027,383.0700073,50.50193024,363.0700073,70.7987442,363.0700073,11.74161148,473.0299988,50.66427612,483.0299988,51.25772476,453.0299988,41.48410797,
463.9299927,42.70474243,364,36.29488754,513.9299927,-58.74856186,513.9299927,-55.39757919,513.9299927,-52.59605408,513.9299927,-50.82028198,513.9299927,-49.08121872,513.9299927,-46.85449219,513.9299927,-47.41041183,513.9299927,-43.98106003,513.9299927,-45.06323624,513.9299927,-46.25671005,384,48.44745255,364,70.14748383,364,9.484430313,473.9299927,49.59869385,483.9299927,49.57403946,453.9299927,40.40777969,
465,42.75245667,365.0700073,35.64494324,515,-59.14321518,515,-56.15998459,515,-53.03403091,515,-50.95323944,515,-48.47489166,515,-49.11713409,515,-48.74296188,515,-46.54574966,515,-46.95179749,515,-46.29339218,385.0700073,51.03785324,365.0700073,67.43968201,365.0700073,8.348140717,475,47.42978668,485,49.32989883,455,41.37591934,
466.0599976,41.42438126,366,33.10004425,516.0599976,-60.24985123,516.0599976,-56.67333984,516.0599976,-55.17677689,516.0599976,-52.44058609,516.0599976,-51.34646225,516.0599976,-49.94879913,516.0599976,-49.43496704,516.0599976,-48.02676392,516.0599976,-47.01374435,516.0599976,-47.88195419,386,48.68920517,366,66.6044693,366,8.222608566,476.0599976,47.4065094,486.0599976,51.28639984,456.0599976,39.19562149,
466.9599915,40.3470726,367.0700073,30.30047226,516.960022,-59.65646362,516.960022,-58.43207169,516.960022,-54.43596268,516.960022,-53.02457428,516.960022,-51.54320145,516.960022,-49.91102219,516.960022,-50.37651825,516.960022,-47.70083237,516.960022,-48.15222168,516.960022,-48.82481384,387.0700073,47.60139847,367.0700073,64.45632935,367.0700073,6.484479427,476.9599915,46.76126099,486.9599915,49.8014679,456.9599915,36.76890945,
468.0299988,40.33880997,368,28.07616806,518.0300293,-61.49397278,518.0300293,-58.12434769,518.0300293,-54.35440445,518.0300293,-53.5656662,518.0300293,-52.44725418,518.0300293,-50.8313942,518.0300293,-50.46018219,518.0300293,-49.24050903,518.0300293,-49.91726303,518.0300293,-49.10655975,388,47.92340469,368,61.68929291,368,5.207445621,478.0299988,46.75309372,488.0299988,49.97532654,458.0299988,39.00786591,
468.9299927,40.01166534,369.0700073,26.75360107,518.9299927,-62.78266907,518.9299927,-58.31172943,518.9299927,-54.98113632,518.9299927,-54.53426743,518.9299927,-54.27476883,518.9299927,-52.28541565,518.9299927,-51.200634,518.9299927,-49.42802429,518.9299927,-49.29944229,518.9299927,-49.91478348,389.0700073,48.4274559,369.0700073,59.61873627,369.0700073,4.832520962,478.9299927,45.81236649,488.9299927,49.47206497,458.9299927,37.78279877,
470,38.92950821,370,25.09327316,520,-62.8075943,520,-59.12794876,520,-57.52333069,520,-56.08790588,520,-53.59549332,520,-52.98180389,520,-53.1159668,520,-50.52609634,520,-50.34980392,520,-50.5358696,390,46.49440384,370,60.44154358,370,3.163887501,480,46.57464218,490,48.74335861,460,38.36949539,
471.0599976,36.90545654,371.0700073,23.09645271,521.039978,-63.3339386,521.039978,-61.97024536,521.039978,-58.0617218,521.039978,-56.75010681,521.039978,-53.80704498,521.039978,-53.57359314,521.039978,-52.69860077,521.039978,-51.38936234,521.039978,-50.59096909,521.039978,-51.80270004,391.0599976,47.51527405,371.0700073,58.76345825,,,481.0599976,46.64892197,491.0400085,47.20593262,461.0599976,35.96755219,
471.9599915,38.71495438,372,21.82108307,521.9400024,-64.07601166,521.9400024,-60.83691025,521.9400024,-58.26529312,521.9400024,-57.53353882,521.9400024,-54.86614227,521.9400024,-54.72132492,521.9400024,-53.98645401,521.9400024,-52.89551926,521.9400024,-51.62937164,521.9400024,-52.37762451,391.9599915,47.20624924,372,56.3500824,,,481.9599915,45.48126221,491.9400024,46.36076355,461.9599915,37.4139061,
473.0299988,36.03289413,373.0700073,20.05802536,522.9799805,-64.06756592,522.9799805,-61.28267288,522.9799805,-58.72502136,522.9799805,-58.35476303,522.9799805,-55.74786758,522.9799805,-54.84905624,522.9799805,-54.63102722,522.9799805,-53.08877945,522.9799805,-54.17905807,522.9799805,-52.62631226,393.0299988,46.79742432,373.0700073,55.41204834,,,483.0299988,44.93012238,492.980011,47.69491959,463.0299988,34.93670654,
473.9299927,37.65444946,374,17.52608681,524.0200195,-63.6654129,524.0200195,-60.97860718,524.0200195,-60.19425201,524.0200195,-57.99999619,524.0200195,-56.93130112,524.0200195,-56.1297226,524.0200195,-54.92979431,524.0200195,-52.99322891,524.0200195,-53.95676804,524.0200195,-54.16696548,393.9299927,46.45970535,374,53.52030563,,,483.9299927,46.41681671,494.019989,46.11849594,463.9299927,35.96494675,
475,37.37633514,375.0700073,16.8895874,525.0700073,-64.78408813,525.0700073,-62.90966797,525.0700073,-59.0475769,525.0700073,-59.41320801,525.0700073,-57.50166702,525.0700073,-55.87155914,525.0700073,-56.42631149,525.0700073,-54.44975662,525.0700073,-54.3671608,525.0700073,-54.35787201,395,45.22501755,375.0700073,50.70834732,,,485,45.2575531,495.0700073,46.03474808,465,34.59607697,
476.0599976,36.60035324,376,16.11898041,525.9699707,-64.62992859,525.9699707,-62.93281555,525.9699707,-59.61553955,525.9699707,-59.32440567,525.9699707,-59.03625107,525.9699707,-56.60969543,525.9699707,-56.62400818,525.9699707,-54.70056534,525.9699707,-54.89326096,525.9699707,-55.45007706,396.0599976,44.5454216,376,48.72465515,,,486.0599976,44.39661026,495.9700012,44.31341553,466.0599976,33.29443359,
476.9599915,36.77225113,377.0700073,14.80775261,527.0100098,-65.14850616,527.0100098,-63.86384201,527.0100098,-62.51591492,527.0100098,-60.96112442,527.0100098,-59.03310394,527.0100098,-57.66139221,527.0100098,-57.69175339,527.0100098,-55.69194794,527.0100098,-55.80048752,527.0100098,-55.57997894,396.9599915,42.74920654,377.0700073,47.91269302,,,486.9599915,43.09345245,497.0100098,45.28899002,466.9599915,33.1086235,
478.0299988,37.11613846,378,13.5037117,528.0499878,-65.70106506,528.0499878,-63.64910889,528.0499878,-62.67636871,528.0499878,-60.63859177,528.0499878,-59.47613525,528.0499878,-58.50344849,528.0499878,-58.79256058,528.0499878,-56.39844894,528.0499878,-55.06188202,528.0499878,-56.46318817,398.0299988,43.97875595,378,44.87672424,,,488.0299988,44.33501434,498.0499878,43.26364517,468.0299988,34.20033646,
478.9299927,35.556633,379.0700073,12.00036049,528.9500122,-66.93013,528.9500122,-64.39202881,528.9500122,-63.10469818,528.9500122,-62.06748199,528.9500122,-59.94189453,528.9500122,-59.20168686,528.9500122,-57.71063614,528.9500122,-57.12488556,528.9500122,-57.37377167,528.9500122,-57.98571396,398.9299927,43.41032791,379.0700073,43.39149475,,,488.9299927,43.76635361,498.9500122,42.91400146,468.9299927,33.57556915,
480,35.77103424,380,10.59102821,530,-68.05981445,530,-64.42964172,530,-63.64827728,530,-61.04029846,530,-60.51416779,530,-59.80426025,530,-59.48246384,530,-57.9580307,530,-57.4498558,530,-58.41677475,400,42.06760025,380,41.9307785,,,490,41.31875229,500,42.87371063,470,31.83761215,
481.0599976,33.79465485,381.0700073,9.294750214,531.039978,-67.20462036,531.039978,-64.5534668,531.039978,-62.79567719,531.039978,-62.34658432,531.039978,-61.42932129,531.039978,-61.29429626,531.039978,-59.17874146,531.039978,-58.07687759,531.039978,-59.52804947,531.039978,-58.02444839,401.0700073,42.15552902,381.0700073,39.68877411,,,491.0400085,40.60829926,501.0400085,40.26048279,471.0599976,32.27544022,
481.9599915,34.60840988,382,8.26634407,531.9400024,-68.35473633,531.9400024,-67.13537598,531.9400024,-64.84408569,531.9400024,-62.8768158,531.9400024,-62.53151321,531.9400024,-61.32804871,531.9400024,-60.47602844,531.9400024,-59.30408859,531.9400024,-59.30646133,531.9400024,-58.79381943,402,41.62244034,382,38.96852493,,,491.9400024,42.10792923,501.9400024,38.99910355,471.9599915,30.76023865,
483.0299988,34.89444733,383.0700073,7.075524807,532.9799805,-67.9734726,532.9799805,-66.73423004,532.9799805,-65.27748108,532.9799805,-63.43966675,532.9799805,-62.44460297,532.9799805,-61.70529175,532.9799805,-61.81393051,532.9799805,-59.78440857,532.9799805,-59.54563904,532.9799805,-59.63136292,403.0700073,41.07456589,383.0700073,36.01212311,,,492.980011,41.39561462,502.980011,38.91349411,473.0299988,30.98852539,
483.9299927,34.51394653,384,6.259873867,534.0200195,-69.11714172,534.0200195,-67.13153076,534.0200195,-65.59011841,534.0200195,-64.72616577,534.0200195,-63.27911758,534.0200195,-61.61313248,534.0200195,-61.65934753,534.0200195,-60.61521912,534.0200195,-59.65158463,534.0200195,-60.52870178,404,40.59364319,384,35.18293762,,,494.019989,40.39075851,504.019989,38.2298317,473.9299927,31.99448776,
485,33.88323975,385.0700073,5.159041882,535.0700073,-69.5396347,535.0700073,-67.89468384,535.0700073,-64.59102631,535.0700073,-64.23107147,535.0700073,-62.15701675,535.0700073,-62.11050415,535.0700073,-61.95121002,535.0700073,-61.0202713,535.0700073,-61.12434387,535.0700073,-60.38256454,405.0700073,40.19255829,385.0700073,33.37485123,,,495.0700073,38.39750671,505.0700073,38.85524368,475,30.09845734,
486.0599976,33.63059616,386,5.121387005,535.9699707,-69.47667694,535.9699707,-67.91069031,535.9699707,-66.13593292,535.9699707,-64.63537598,535.9699707,-63.98699951,535.9699707,-62.8376503,535.9699707,-63.54751205,535.9699707,-61.85833359,535.9699707,-62.0274353,535.9699707,-61.29576111,406,40.04794693,386,31.30702209,,,495.9700012,38.58761978,505.9700012,37.06922913,476.0599976,31.21886826,
486.9599915,34.09399796,387.0700073,3.967752934,537.0100098,-69.86880493,537.0100098,-67.89779663,537.0100098,-66.05243683,537.0100098,-66.96463776,537.0100098,-63.30871582,537.0100098,-63.81762695,537.0100098,-63.21809387,537.0100098,-62.3190155,537.0100098,-62.45017242,537.0100098,-61.61269379,407.0700073,39.41349792,387.0700073,29.8745079,,,497.0100098,38.05869675,507.0100098,36.95552063,476.9599915,31.05729675,
488.0299988,33.89200592,388,3.33510828,538.0499878,-70.85254669,538.0499878,-68.76248169,538.0499878,-66.75,538.0499878,-66.1607132,538.0499878,-64.43413544,538.0499878,-64.68904114,538.0499878,-63.41448212,538.0499878,-63.31150818,538.0499878,-62.51061249,538.0499878,-62.01485443,408,38.62579727,388,28.31768036,,,498.0499878,38.00986862,508.0499878,35.51072693,478.0299988,29.41010666,
488.9299927,31.65790176,389.0700073,2.447378635,538.9500122,-70.06123352,538.9500122,-69.54138184,538.9500122,-67.48026276,538.9500122,-66.32878113,538.9500122,-65.14988708,538.9500122,-64.98635101,538.9500122,-64.52505493,538.9500122,-63.31762695,538.9500122,-63.95601654,538.9500122,-62.93270874,409.0700073,37.83987808,389.0700073,27.71302795,,,498.9500122,37.81902695,508.9500122,35.07102966,478.9299927,29.20250702,
490,33.80866623,390,1.694147587,540,-70.46829224,540,-69.2086792,540,-68.68507385,540,-66.63348389,540,-66.03161621,540,-65.1822052,540,-64.80328369,540,-63.02178955,540,-63.60136414,540,-63.93737793,410,37.19551849,390,25.42320251,,,500,37.68776321,510,35.01282883,480,28.99185181,
491.0400085,32.71955872,,,541.0200195,-70.13105774,541.0200195,-70.60023499,541.0200195,-68.6341095,541.0200195,-68.25950623,541.0200195,-67.03547668,541.0200195,-65.78731537,541.0200195,-65.24128723,541.0200195,-65.47614288,541.0200195,-64.35935211,541.0200195,-64.47232819,411.0599976,36.75941849,391.0599976,24.33403778,,,501.0400085,34.51921082,511.0599976,32.6307373,481.0599976,29.17476654,
491.9400024,32.09716034,,,542.0499878,-70.71882629,542.0499878,-70.75491333,542.0499878,-68.16619873,542.0499878,-68.19897461,542.0499878,-66.81017303,542.0499878,-66.17497253,542.0499878,-65.16436768,542.0499878,-65.63117981,542.0499878,-64.22201538,542.0499878,-64.40971375,411.9599915,36.15532303,391.9599915,22.88489151,,,501.9400024,36.17426682,511.9599915,32.18109131,481.9599915,28.5883255,
492.980011,32.44147491,,,542.9400024,-73.30109406,542.9400024,-69.92098999,542.9400024,-69.30717468,542.9400024,-68.11756897,542.9400024,-67.48085022,542.9400024,-66.59674072,542.9400024,-66.44448853,542.9400024,-65.86582947,542.9400024,-64.80040741,542.9400024,-65.03285217,413.0299988,34.79748154,393.0299988,21.73986053,,,502.980011,35.63256836,513.0300293,32.88934326,483.0299988,30.07873154,
494.019989,29.71263504,,,543.9699707,-72.2335434,543.9699707,-70.75377655,543.9699707,-70.00154114,543.9699707,-69.50283813,543.9699707,-68.11699677,543.9699707,-67.27110291,543.9699707,-67.07735443,543.9699707,-65.4446106,543.9699707,-65.88707733,543.9699707,-66.36936188,413.9299927,34.65782928,393.9299927,20.51434326,,,504.019989,33.84646225,513.9299927,32.3932724,483.9299927,28.83603668,
495.0700073,30.272995,,,545,-72.39081573,545,-71.50009918,545,-69.42921448,545,-68.22325897,545,-67.74939728,545,-67.99443817,545,-66.98045349,545,-65.92173767,545,-65.75924683,545,-66.19789124,415,34.48365784,395,19.05865479,,,505.0700073,32.28065491,515,32.07230377,485,28.56822968,
495.9700012,30.48495102,,,546.0200195,-72.95278931,546.0200195,-71.3289566,546.0200195,-70.73755646,546.0200195,-70.40855408,546.0200195,-68.91835022,546.0200195,-68.1372757,546.0200195,-68.3971405,546.0200195,-66.49279785,546.0200195,-66.55976868,546.0200195,-67.03762054,416.0599976,33.87998962,396.0599976,17.77148056,,,505.9700012,32.51147079,516.0599976,28.74552536,486.0599976,27.84629059,
497.0100098,30.54976273,,,547.0499878,-73.21046448,547.0499878,-71.16253662,547.0499878,-70.08810425,547.0499878,-69.91863251,547.0499878,-69.69436646,547.0499878,-68.70161438,547.0499878,-67.47240448,547.0499878,-66.57473755,547.0499878,-67.07665253,547.0499878,-67.21659851,416.9599915,32.99701309,396.9599915,16.52657318,,,507.0100098,32.19709778,516.960022,27.70555115,486.9599915,27.72354889,
498.0499878,28.84522629,,,547.9400024,-73.96404266,547.9400024,-71.87991333,547.9400024,-70.73678589,547.9400024,-70.40087128,547.9400024,-69.83193207,547.9400024,-69.01968384,547.9400024,-69.38465881,547.9400024,-67.58724213,547.9400024,-67.72796631,547.9400024,-67.05175781,418.0299988,32.98056793,398.0299988,14.78321171,,,508.0499878,30.52497482,518.0300293,27.68869781,488.0299988,27.90606689,
498.9500122,28.39235687,,,548.9699707,-74.16589355,548.9699707,-72.04647827,548.9699707,-71.62735748,548.9699707,-70.05345154,548.9699707,-69.79976654,548.9699707,-69.41213989,548.9699707,-69.53512573,548.9699707,-68.56867981,548.9699707,-68.2638092,548.9699707,-68.02094269,418.9299927,32.91228867,398.9299927,13.63875675,,,508.9500122,30.25512695,518.9299927,27.80146027,488.9299927,27.57581329,
500,28.21655655,,,550,-74.07059479,550,-72.6289444,550,-71.39726257,550,-71.22080231,550,-69.73832703,550,-70.11197662,550,-69.92136383,550,-67.8210907,550,-68.23970795,550,-68.35786438,420,32.09514236,400,12.67171192,,,510,28.50217819,520,28.43567657,490,27.44235611,
501.0400085,27.61780548,,,551.039978,-74.28231812,551.039978,-73.81248474,551.039978,-72.37258911,551.039978,-71.20775604,551.039978,-70.23290253,551.039978,-70.76182556,551.039978,-70.33766174,551.039978,-69.53225708,551.039978,-68.84680176,551.039978,-67.91616821,421.0700073,32.19317245,401.0700073,11.19243336,,,511.0599976,29.49063492,521.039978,25.70619202,491.0400085,26.11354828,
501.9400024,28.15108109,,,551.9400024,-73.86470032,551.9400024,-73.17832947,551.9400024,-72.98644257,551.9400024,-71.8243103,551.9400024,-70.93052673,551.9400024,-70.43067169,551.9400024,-70.51727295,551.9400024,-69.34736633,551.9400024,-69.30437469,551.9400024,-69.34065247,422,31.82818222,402,10.37949657,,,511.9599915,29.87152481,521.9400024,24.88977814,491.9400024,27.81071091,
502.980011,26.5422287,,,552.9799805,-74.63038635,552.9799805,-74.00020599,552.9799805,-72.27313232,552.9799805,-72.32165527,552.9799805,-72.20219421,552.9799805,-71.24810791,552.9799805,-70.63791656,552.9799805,-69.48756409,552.9799805,-70.25724792,552.9799805,-70.19096375,423.0700073,30.94137192,403.0700073,8.841547966,,,513.0300293,27.89518356,522.9799805,23.51416016,492.980011,27.16478348,
504.019989,26.201931,,,554.0200195,-75.56943512,554.0200195,-73.6084137,554.0200195,-73.75184631,554.0200195,-72.29995728,554.0200195,-72.48101044,554.0200195,-71.73495483,554.0200195,-71.60814667,554.0200195,-70.93397522,554.0200195,-69.99549866,554.0200195,-70.38493347,424,30.94535065,404,8.224375725,,,513.9299927,27.60066986,524.0200195,24.40312576,494.019989,26.36873627,
505.0700073,25.36457825,,,555.0700073,-75.67871094,555.0700073,-74.13575745,555.0700073,-73.25227356,555.0700073,-72.49754333,555.0700073,-72.1652832,555.0700073,-71.20330811,555.0700073,-70.65473175,555.0700073,-70.66867065,555.0700073,-70.64533997,555.0700073,-70.24469757,425.0700073,30.25315857,405.0700073,7.764101982,,,515,26.67108536,525.0700073,24.75087357,495.0700073,26.39974594,
505.9700012,25.28570175,,,555.9699707,-75.91663361,555.9699707,-74.62295532,555.9699707,-74.84919739,555.9699707,-73.05108643,555.9699707,-72.3915863,555.9699707,-71.85554504,555.9699707,-71.71823883,555.9699707,-71.66892242,555.9699707,-71.00370789,555.9699707,-70.92327881,426,29.29790878,406,6.805775642,,,516.0599976,26.60293198,525.9699707,23.46818161,495.9700012,25.46071625,
507.0100098,23.19608688,,,557.0100098,-75.97537994,557.0100098,-74.87963867,557.0100098,-74.5166626,557.0100098,-73.64604187,557.0100098,-73.55387115,557.0100098,-71.99575806,557.0100098,-72.37376404,557.0100098,-71.51548767,557.0100098,-71.23960876,557.0100098,-71.3182373,427.0700073,29.38603973,407.0700073,5.483182907,,,516.960022,25.87177658,527.0100098,21.93083191,497.0100098,25.38956451,
508.0499878,23.64403152,,,558.0499878,-76.47723389,558.0499878,-75.35487366,558.0499878,-74.32368469,558.0499878,-74.22159576,558.0499878,-72.81432343,558.0499878,-73.18549347,558.0499878,-73.19265747,558.0499878,-72.2279892,558.0499878,-71.47205353,558.0499878,-71.42832947,428,28.49016571,408,5.169576645,,,518.0300293,24.36381149,528.0499878,21.43381882,498.0499878,24.46102715,
508.9500122,22.27142715,,,558.9500122,-76.55119324,558.9500122,-75.51286316,558.9500122,-74.81951904,558.9500122,-73.79508209,558.9500122,-73.6019516,558.9500122,-73.67517853,558.9500122,-73.03253174,558.9500122,-72.93034363,558.9500122,-72.13948822,558.9500122,-71.7074585,429.0700073,27.27090073,409.0700073,4.478302956,,,518.9299927,23.28943825,528.9500122,21.32844543,498.9500122,25.31933212,
510,21.59654045,,,560,-76.73271942,560,-76.05763245,560,-75.07752228,560,-74.72070313,560,-73.6796875,560,-73.30194092,560,-73.29209137,560,-72.64512634,560,-73.32203674,560,-72.58802795,430,26.77662277,410,3.91086483,,,520,23.29204559,530,20.26259232,500,24.10680962,
511.0599976,22.73465729,,,561.039978,-76.48623657,561.039978,-76.01849365,561.039978,-75.07497406,561.039978,-75.45759583,561.039978,-73.97581482,561.039978,-74.30699921,561.039978,-74.45883942,561.039978,-73.00913239,561.039978,-72.98160553,561.039978,-72.62449646,431.0599976,26.43195343,,,,,521.039978,22.42274666,531.039978,19.98140335,501.0400085,24.321661,
511.9599915,20.99526215,,,561.9400024,-78.28956604,561.9400024,-75.9569931,561.9400024,-75.2326889,561.9400024,-74.77797699,561.9400024,-73.60723114,561.9400024,-74.26464081,561.9400024,-73.21560669,561.9400024,-73.36859131,561.9400024,-73.39744568,561.9400024,-73.15105438,431.9599915,25.98230362,,,,,521.9400024,22.57518196,531.9400024,18.91225815,501.9400024,23.47037506,
513.0300293,20.6518116,,,562.9799805,-77.24761963,562.9799805,-76.97015381,562.9799805,-74.65039063,562.9799805,-75.24012756,562.9799805,-75.00469971,562.9799805,-74.1763382,562.9799805,-74.54351807,562.9799805,-74.25577545,562.9799805,-73.85958862,562.9799805,-73.5871582,433.0299988,26.52960968,,,,,522.9799805,22.51104355,532.9799805,19.78025436,502.980011,24.02468681,
513.9299927,20.64886093,,,564.0200195,-77.67822266,564.0200195,-76.57416534,564.0200195,-75.74411011,564.0200195,-75.29811096,564.0200195,-75.08659363,564.0200195,-74.77981567,564.0200195,-74.61157227,564.0200195,-74.15332031,564.0200195,-74.25964355,564.0200195,-74.22164917,433.9299927,25.99834442,,,,,524.0200195,22.08580399,534.0200195,18.12788391,504.019989,25.04450989,
515,20.00002098,,,565.0700073,-78.34699249,565.0700073,-76.89448547,565.0700073,-76.34603882,565.0700073,-75.90312195,565.0700073,-75.30838013,565.0700073,-75.88545227,565.0700073,-75.05995178,565.0700073,-74.15842438,565.0700073,-73.44033051,565.0700073,-73.6643219,435,25.50313568,,,,,525.0700073,20.55154419,535.0700073,17.36537933,505.0700073,23.03628159,
516.0599976,20.72690773,,,565.9699707,-78.36978912,565.9699707,-78.06398773,565.9699707,-75.56620789,565.9699707,-75.83129883,565.9699707,-75.87019348,565.9699707,-75.5115509,565.9699707,-75.4588623,565.9699707,-74.7689743,565.9699707,-74.25257874,565.9699707,-74.06525421,436.0599976,25.62430191,,,,,525.9699707,20.45443153,535.9699707,18.03931046,505.9700012,22.36171913,
516.960022,19.47582817,,,567.0100098,-77.50024414,567.0100098,-77.13468933,567.0100098,-76.3314209,567.0100098,-76.09244537,567.0100098,-76.36306763,567.0100098,-75.30950928,567.0100098,-76.28855896,567.0100098,-74.83045197,567.0100098,-74.66403198,567.0100098,-74.28767395,436.9599915,24.26025391,,,,,527.0100098,20.72417831,537.0100098,18.01022339,507.0100098,22.46912766,
518.0300293,19.0488472,,,568.0499878,-79.36696625,568.0499878,-78.72471619,568.0499878,-77.3343811,568.0499878,-76.79828644,568.0499878,-76.07365417,568.0499878,-75.75662994,568.0499878,-75.90631866,568.0499878,-75.31359863,568.0499878,-75.36741638,568.0499878,-74.65293884,438.0299988,24.17602921,,,,,528.0499878,19.36532021,538.0499878,16.10716248,508.0499878,21.31337929,
518.9299927,18.20311165,,,568.9500122,-78.4790802,568.9500122,-78.43954468,568.9500122,-77.5213089,568.9500122,-76.7881546,568.9500122,-76.68954468,568.9500122,-76.65429688,568.9500122,-76.25691223,568.9500122,-75.1003418,568.9500122,-75.82745361,568.9500122,-74.93113708,438.9299927,23.28932953,,,,,528.9500122,19.13329887,538.9500122,16.0054245,508.9500122,20.12835503,
520,16.88120842,,,570,-78.41000366,570,-78.2697525,570,-77.07382202,570,-76.46875,570,-77.44091034,570,-76.27146912,570,-77.02973175,570,-75.55599976,570,-75.53851318,570,-75.85268402,440,22.62677002,,,,,530,18.53956795,540,15.47043514,510,20.6561718,
