CdSe 40 sec ex330,,CdSe 40 sec em400,,CdSe 40 sec ex335-380_EX_335.00,,CdSe 40 sec ex335-380_EX_340.00,,CdSe 40 sec ex335-380_EX_345.00,,CdSe 40 sec ex335-380_EX_350.00,,CdSe 40 sec ex335-380_EX_355.00,,CdSe 40 sec ex335-380_EX_360.00,,CdSe 40 sec ex335-380_EX_365.00,,CdSe 40 sec ex335-380_EX_370.00,,CdSe 40 sec ex335-380_EX_375.00,,CdSe 40 sec ex335-380_EX_380.00,,CdSe 40 sec em500,,CdSe 40 sec em420,,CdSe 40 sec em380,,CdSe 40 sec ex340,,CdSe 40 sec ex350,,CdSe 40 sec ex320,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
352,15.1983757,252.0299988,0.3971743584,402,11.13209534,402,3.496871948,402,-4.641548157,402,-16.8289566,402,-24.43962097,402,-34.67715836,402,-45.52576828,402,-54.9225502,402,-63.89899445,402,-70.15159607,272,-1.759395123,252.0299988,-0.17491436,252.0299988,0.9472827911,362,17.1770401,372,15.11749744,342,11.047369,
353.0700073,17.5057106,252.9600067,0.6800875664,403.0700073,11.17350769,403.0700073,3.161201477,403.0700073,-3.535736084,403.0700073,-12.89945221,403.0700073,-22.00772095,403.0700073,-32.64224243,403.0700073,-43.28259277,403.0700073,-52.4863472,403.0700073,-62.26681137,403.0700073,-68.21783447,273.0700073,-2.207051754,252.9600067,0.02027511597,252.9600067,1.390851498,363.0700073,18.15702438,373.0700073,15.53687763,343.0700073,11.76588058,
354,18.33561325,254.0599976,0.8773398399,404,9.948265076,404,4.205543518,404,-2.274246216,404,-10.17183685,404,-23.1698761,404,-30.98950958,404,-41.40026474,404,-51.58395004,404,-59.97942352,404,-67.58950806,274,-2.504695415,254.0599976,0.8218984604,254.0599976,1.730845451,364,21.57827377,374,18.11343002,344,14.52578354,
355.0700073,20.20476913,255,0.9827675819,405.0700073,10.4148407,405.0700073,8.328994751,405.0700073,-0.9392089844,405.0700073,-9.84513855,405.0700073,-20.89396667,405.0700073,-28.99080276,405.0700073,-38.20634842,405.0700073,-49.83075714,405.0700073,-59.41431046,405.0700073,-65.99960327,275.0700073,-2.636015654,255,0.426897049,255,2.076221466,365.0700073,22.85021591,375.0700073,19.53853989,345.0700073,15.07574272,
356,22.17217064,255.9299927,1.032866001,406,10.22817993,406,5.982002258,406,1.71762085,406,-8.684135437,406,-20.64253235,406,-26.84350586,406,-35.52497482,406,-47.98882675,406,-57.29866028,406,-63.84577942,276,-2.587589979,255.9299927,-0.08061408997,255.9299927,1.707382202,366,24.58325195,376,22.0512886,346,18.08549309,
357.0700073,25.36804962,257.0299988,1.211584568,407.0700073,11.03292084,407.0700073,6.314559937,407.0700073,2.140159607,407.0700073,-8.015518188,407.0700073,-16.23693085,407.0700073,-26.40317535,407.0700073,-35.13509369,407.0700073,-46.13822937,407.0700073,-55.46622467,407.0700073,-62.66699982,277.0700073,-2.918865919,257.0299988,0.5506668091,257.0299988,2.195342541,367.0700073,26.00921249,377.0700073,23.88791656,347.0700073,18.66677666,
358,26.69239426,257.9599915,1.745512486,408,12.54508209,408,7.687240601,408,3.369560242,408,-6.376296997,408,-16.11052704,408,-24.56761932,408,-33.04081345,408,-44.42805862,408,-53.71913528,408,-60.9845047,278,-2.757148981,257.9599915,0.817700386,257.9599915,2.004128933,368,28.03965378,378,24.57807922,348,20.79424477,
359.0700073,28.89101028,259.0599976,1.744330883,409.0700073,11.54340363,409.0700073,7.269134521,409.0700073,3.98752594,409.0700073,-4.921348572,409.0700073,-15.54392242,409.0700073,-22.80953979,409.0700073,-31.61595154,409.0700073,-42.3379631,409.0700073,-52.25291824,409.0700073,-58.71992111,279.0700073,-2.34355092,259.0599976,0.1696615219,259.0599976,1.566027164,369.0700073,32.40419769,379.0700073,26.78805923,349.0700073,22.79509163,
360,30.02407455,260,1.012433529,410,11.85062408,410,8.431755066,410,4.761329651,410,-6.132293701,410,-14.69537354,410,-20.82209778,410,-29.64593124,410,-40.13570404,410,-50.51434708,410,-58.15256882,280,-2.501654387,260,0.219865799,260,1.906818867,370,33.16307831,380,30.35271072,350,24.01038742,
361.0700073,33.46654892,260.9299927,1.566174984,411.0599976,12.30436707,411.0599976,9.149581909,411.0599976,7.468383789,411.0599976,-3.075553894,411.0599976,-11.98970795,411.0599976,-19.13954926,411.0599976,-27.37986755,411.0599976,-37.63645935,411.0599976,-49.16618729,411.0599976,-56.21657944,280.9299927,-1.729166985,260.9299927,0.4920272827,260.9299927,2.179512501,371.0700073,35.91879272,381.0700073,30.8229599,351.0700073,25.26172256,
