CdSe 30 sec ex335,,CdSe 30 sec em410,,CdSe 30 sec ex340,,CdSe 30 sec em500,,CdSe 30 sec ex380,,CdSe 30 sec em420,,CdSe 30 sec ex345,,CdSe 30 sec ex350,,CdSe 30 sec ex355,,CdSe 30 sec ex360,,CdSe 30 sec ex365,,CdSe 30 sec em430,,CdSe 30 sec em440,,CdSe 30 sec em450,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
358.9200134,11.3659029,254.0599976,-0.2716236115,364,12.59916115,274,-2.755428553,404,14.35347939,254.0599976,0.6265425682,368.9200134,12.53249359,374,13.36642647,378.9200134,13.00621223,384,12.9240284,388.9200134,12.80661297,254.0599976,0.3703312874,254.0599976,-0.2368097305,254.0599976,-0.5144901276,
359.8399963,12.45562744,255,0.5042772293,365.0700073,13.27204514,275.0700073,-2.751907825,405.0700073,16.23836136,255,0.8399777412,369.8399963,14.51449394,375.0700073,15.11763573,379.8399963,14.76994896,385.0700073,15.19789124,389.8399963,14.8899107,255,0.859041214,255,0.1258335114,255,-0.157389164,
360.9200134,13.55361938,255.9299927,0.2289972305,366,14.35417557,276,-3.043064356,406,16.43176079,255.9299927,0.7389535904,370.9200134,15.20471382,376,15.8890152,380.9200134,16.22042656,386,16.06971741,390.9200134,15.9308424,255.9299927,0.3465867043,255.9299927,-0.1476206779,255.9299927,0.02857685089,
361.8399963,15.46579552,257.0299988,0.5162935257,367.0700073,17.19336319,277.0700073,-2.970270634,407.0700073,18.69471359,257.0299988,0.8586082458,371.8399963,17.46489906,377.0700073,17.97187424,381.8399963,17.26641464,387.0700073,18.01492882,391.8399963,17.16761017,257.0299988,0.9570446014,257.0299988,-0.4404482841,257.0299988,0.1646766663,
362.9200134,16.80042839,257.9599915,0.2282128334,368,16.79175377,278,-2.997256041,408,19.97348022,257.9599915,0.9682235718,372.9200134,18.02855301,378,18.77537155,382.9200134,18.63308716,388,18.42679214,392.9200134,18.98366165,257.9599915,0.8135089874,257.9599915,-0.3212304115,257.9599915,-0.3526473045,
363.8399963,17.89064026,259.0599976,0.4354662895,369.0700073,19.58182335,279.0700073,-2.786253691,409.0700073,21.91996574,259.0599976,1.127122879,373.8399963,18.52328682,379.0700073,19.5843792,383.8399963,19.01349831,389.0700073,20.08469391,393.8399963,20.00720978,259.0599976,0.07613182068,259.0599976,-0.1373524666,259.0599976,-0.26831007,
364.9200134,20.4569664,260,0.5277395248,370,20.61420822,280,-2.942020416,410,23.06437874,260,0.8626208305,374.9200134,22.46892929,380,21.96555519,384.9200134,20.53796387,390,21.20098877,394.9200134,21.00597382,260,0.4825663567,260,-0.3524208069,260,-0.4712696075,
365.8399963,21.96114731,260.9299927,0.3435506821,371.0700073,22.40556908,280.9299927,-2.718321323,411.0599976,25.1564064,260.9299927,1.075743675,375.8399963,22.14022827,381.0700073,23.24985123,385.8399963,22.74712563,391.0700073,23.62879562,395.8399963,23.61801529,260.9299927,0.1643633842,260.9299927,-0.3608241081,260.9299927,-0.1722011566,
366.9200134,22.73866844,262.0299988,0.1457190514,372,24.06101036,282.0299988,-2.381759882,411.9599915,26.15320969,262.0299988,0.6686611176,376.9200134,23.83841515,382,25.26465988,386.9200134,23.60495567,392,23.80379486,396.9200134,24.37277985,262.0299988,0.4849324226,262.0299988,-0.4206299782,262.0299988,-0.2574696541,
367.8399963,23.6947155,262.9599915,0.5168275833,373.0700073,25.97958374,282.9599915,-1.789195299,413.0299988,27.83927917,262.9599915,0.8694496155,377.8399963,24.62302971,383.0700073,26.06870079,387.8399963,25.36826515,393.0700073,25.45214653,397.8399963,26.47284317,262.9599915,0.1213703156,262.9599915,-0.4702792168,262.9599915,-0.5218081474,
