CdSe 10sec hi ex300,,CdSe 10sec hi em510301,,CdSe 10sec hi ex400,,CdSe 180sec hi ex400,,CdSe 180sec hi em525,,CdSe 180sec hi ex460,,CdSe 180sec hi em470,,CdSe 180min sonochem em520,,CdSe 180min sonochem ex410,,CdSe 180min sonochem em485,,CdSe 180min sonochem ex390,,CdSe 180min sonochem em560,,CdSe 180min sonochem ex470,,CdSe 30min sonochem ex470,,CdSe 30min sonochem em515,,CdSe 30min sonochem ex400,,CdSe 30min sonochem em470,,CdSe 30min sonochem ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
322.0299988,0.9847151637,262.0299988,-0.01797676086,422,97.53015137,422,36.06220245,262.0299988,-2.042676926,481.9599915,87.86024475,262.0299988,-0.5774211884,262.0299988,-0.07319831848,431.9599915,11.111269,262.0299988,-0.2051081657,411.9599915,11.71664238,282.0299988,0.2564668655,491.9400024,8.08899498,491.9400024,56.44596863,282.0299988,11.94455528,422,59.34101105,262.0299988,-0.4526977539,406.9200134,62.32488251,
322.9599915,1.06801796,262.9599915,0.4844074249,423.0700073,107.5114899,423.0700073,41.12559509,262.9599915,-1.265575409,483.0299988,96.76989746,262.9599915,-0.1036906242,262.9599915,-0.2376013994,433.0299988,11.47242165,262.9599915,-0.231938839,413.0299988,12.86301041,282.9599915,0.1078088284,492.980011,9.230499268,492.980011,58.77293396,282.9599915,13.73164177,423.0700073,65.57711029,262.9599915,-0.2066144943,407.8399963,69.07593536,
324.0599976,1.109833479,264.0599976,0.5764865875,424,116.1443787,424,45.15999603,264.0599976,-0.005168914795,483.9299927,104.3656464,264.0599976,-0.01435756683,264.0599976,-0.1667358875,433.9299927,13.13501167,264.0599976,-0.3637270927,413.9299927,14.57891273,284.0599976,0.09507369995,494.019989,10.01423645,494.019989,65.19100952,284.0599976,15.24312973,424,71.42961884,264.0599976,-0.5738477707,408.9200134,74.91873932,
325,1.42603302,265,2.210336685,425.0700073,125.8712311,425.0700073,49.9040451,265,-0.75141716,485,110.9496765,265,-0.04848861694,265,-0.05140459538,435,13.90574837,265,-0.4192528725,415,16.10713196,285,0.1610037088,495.0700073,10.80550957,495.0700073,68.53634644,285,17.18912888,425.0700073,77.69060516,265,-0.3145437241,409.8399963,83.41350555,
325.9299927,1.639930964,265.9299927,2.539337158,426,134.0783844,426,53.46295166,265.9299927,-0.5898704529,486.0599976,121.6881866,265.9299927,0.1809945107,265.9299927,-0.21340096,436.0599976,15.31694794,265.9299927,-0.3539497852,416.0599976,18.07350159,285.9299927,0.1890282631,495.9700012,10.65715027,495.9700012,73.03889465,285.9299927,18.91631508,426,82.58396149,265.9299927,0.3939142227,410.8999939,87.7566452,
327.0299988,1.607774019,267.0299988,2.353191376,427.0700073,144.7163696,427.0700073,58.60305786,267.0299988,-0.6443538666,486.9599915,127.2597351,267.0299988,-0.1976594925,267.0299988,-0.477327466,436.9599915,16.77688408,267.0299988,-0.3826093674,416.9599915,18.17731476,287.0299988,0.3086864948,497.0100098,11.27679634,497.0100098,78.06835938,287.0299988,20.48956871,427.0700073,88.3588028,267.0299988,-0.02205562592,411.9599915,96.39791107,
327.9599915,1.77592659,267.9599915,2.123361588,428,152.5614929,428,61.53478241,267.9599915,-1.432943344,488.0299988,138.4403229,267.9599915,-0.3894257545,267.9599915,-0.2795687914,438.0299988,18.28550339,267.9599915,-0.5077111721,418.0299988,20.11200333,287.9599915,0.518129468,498.0499878,11.93681145,498.0499878,82.35353088,287.9599915,22.78388405,428,91.68972015,267.9599915,-0.103313446,412.8699951,103.212883,
329.0599976,2.389106989,269.0599976,2.075479507,429.0700073,162.2069702,429.0700073,66.08763885,269.0599976,-2.550638199,488.9299927,147.0344086,269.0599976,-0.4998984337,269.0599976,-0.4141992331,438.9299927,17.84745598,269.0599976,-0.9696455002,418.9299927,21.07275391,289.0599976,0.4479845762,498.9500122,13.1143055,498.9500122,88.33509827,289.0599976,25.12468529,429.0700073,96.24504852,269.0599976,-0.487786293,413.9299927,110.3164902,
330,2.070132732,270,3.344329834,430,171.6557312,430,70.92073059,270,-2.431947708,490,157.6059113,270,-0.7282090187,270,-0.2684869766,440,19.89020538,270,-0.5664896965,420,22.81322479,290,0.5433415174,500,12.38044739,500,91.97877502,290,26.99326134,430,102.1867142,270,0.1520814896,414.8399963,117.1488724,
331.0700073,2.583537817,271.0700073,4.050247192,431.0599976,177.9658203,431.0599976,75.66491699,271.0700073,-3.34540081,491.0400085,165.8860626,271.0700073,-1.159576893,271.0700073,-0.408427,441.0599976,20.45574951,271.0700073,-1.102266788,421.0700073,23.72835922,290.9299927,0.6734725237,501.0400085,13.53811836,501.0400085,96.15908813,290.9299927,28.87439537,431.0599976,106.5038834,271.0700073,0.1496343613,415.8999939,123.9222488,
