CdS sonochem 180min ex330-400_EX_330.00,,CdS sonochem 180min ex330-400_EX_335.00,,CdS sonochem 180min ex330-400_EX_340.00,,CdS sonochem 180min ex330-400_EX_345.00,,CdS sonochem 180min ex330-400_EX_350.00,,CdS sonochem 180min ex330-400_EX_355.00,,CdS sonochem 180min ex330-400_EX_360.00,,CdS sonochem 180min ex330-400_EX_365.00,,CdS sonochem 180min ex330-400_EX_370.00,,CdS sonochem 180min ex330-400_EX_375.00,,CdS sonochem 180min ex330-400_EX_380.00,,CdS sonochem 180min ex330-400_EX_385.00,,CdS sonochem 180min ex330-400_EX_390.00,,CdS sonochem 180min ex330-400_EX_395.00,,CdS sonochem 180min ex330-400_EX_400.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
425.0700073,3.563220978,425.0700073,10.00845718,425.0700073,13.59444427,425.0700073,21.31528091,425.0700073,24.19787979,425.0700073,26.89378357,425.0700073,28.51789093,425.0700073,27.40496826,425.0700073,26.18402481,425.0700073,21.4812355,425.0700073,15.57482147,425.0700073,7.235115051,425.0700073,-0.8918266296,425.0700073,-8.55714035,425.0700073,-15.66974449,
426,1.836967468,426,9.198047638,426,15.47135925,426,20.15155792,426,23.58810043,426,28.7840271,426,29.52374268,426,28.13731384,426,26.04071426,426,21.78747177,426,15.81101608,426,8.209163666,426,-0.7802581787,426,-7.605957031,426,-14.3069191,
427.0700073,1.13300705,427.0700073,9.047462463,427.0700073,14.73628998,427.0700073,20.99749756,427.0700073,27.23897552,427.0700073,29.50733185,427.0700073,29.27249146,427.0700073,28.62311554,427.0700073,28.70511627,427.0700073,22.50955963,427.0700073,16.73183441,427.0700073,9.454151154,427.0700073,-0.008274078369,427.0700073,-7.503883362,427.0700073,-13.80871391,
428,1.440670013,428,9.610496521,428,14.96847534,428,20.15312576,428,25.31670761,428,28.71016693,428,30.12631989,428,29.66427612,428,29.24555969,428,23.82770538,428,17.54542923,428,10.46277237,428,1.642467499,428,-5.73796463,428,-13.13126183,
429.0700073,3.424194336,429.0700073,8.945087433,429.0700073,14.14775848,429.0700073,21.36489487,429.0700073,26.39093781,429.0700073,29.11110687,429.0700073,29.35659027,429.0700073,31.33628845,429.0700073,28.72041321,429.0700073,25.1910553,429.0700073,19.46369934,429.0700073,10.69784164,429.0700073,2.69834137,429.0700073,-5.050338745,429.0700073,-12.45267105,
430,-0.6611022949,430,8.540058136,430,16.02566147,430,21.65065765,430,24.90641785,430,28.81910706,430,33.16910553,430,31.66401672,430,30.27664185,430,25.15081406,430,21.10868835,430,11.07238007,430,4.285675049,430,-4.155357361,430,-11.03534317,
431.0599976,1.692256927,431.0599976,8.224590302,431.0599976,14.78101349,431.0599976,20.67517853,431.0599976,24.50534439,431.0599976,29.16222382,431.0599976,30.89341736,431.0599976,31.17674255,431.0599976,29.97978973,431.0599976,25.26655197,431.0599976,20.34296036,431.0599976,12.10540009,431.0599976,3.782966614,431.0599976,-3.967643738,431.0599976,-10.2339344,
431.9599915,0.658493042,431.9599915,7.085895538,431.9599915,14.32220459,431.9599915,21.12631226,431.9599915,24.57396317,431.9599915,29.20980835,431.9599915,31.52047729,431.9599915,30.14505768,431.9599915,31.78269958,431.9599915,25.99733734,431.9599915,19.9337616,431.9599915,12.6802063,431.9599915,4.987827301,431.9599915,-2.92698288,431.9599915,-11.02262306,
433.0299988,0.01696014404,433.0299988,8.788757324,433.0299988,14.61538696,433.0299988,21.06292343,433.0299988,25.31903458,433.0299988,30.14867401,433.0299988,31.42503357,433.0299988,31.75672913,433.0299988,30.98899078,433.0299988,28.07152557,433.0299988,22.22340393,433.0299988,13.07773209,433.0299988,5.335720062,433.0299988,-1.389247894,433.0299988,-8.89661026,
433.9299927,1.41651535,433.9299927,6.634250641,433.9299927,13.92429733,433.9299927,19.29966354,433.9299927,25.42380905,433.9299927,30.90343475,433.9299927,31.92675018,433.9299927,31.38217926,433.9299927,32.34867859,433.9299927,27.75809479,433.9299927,22.06079483,433.9299927,14.64764404,433.9299927,6.398765564,433.9299927,-0.9158668518,433.9299927,-7.310773849,
435,-0.2383346558,435,7.757011414,435,13.98573303,435,21.02374649,435,25.60838318,435,29.81300354,435,33.6316452,435,32.22316742,435,31.19760895,435,27.90847015,435,23.05516434,435,15.90793991,435,6.754062653,435,-0.4420814514,435,-7.603633881,
