CdS sonochem 180min ex330-400_EX_330.00,,CdS sonochem 180min ex330-400_EX_335.00,,CdS sonochem 180min ex330-400_EX_340.00,,CdS sonochem 180min ex330-400_EX_345.00,,CdS sonochem 180min ex330-400_EX_350.00,,CdS sonochem 180min ex330-400_EX_355.00,,CdS sonochem 180min ex330-400_EX_360.00,,CdS sonochem 180min ex330-400_EX_365.00,,CdS sonochem 180min ex330-400_EX_370.00,,CdS sonochem 180min ex330-400_EX_375.00,,CdS sonochem 180min ex330-400_EX_380.00,,CdS sonochem 180min ex330-400_EX_385.00,,CdS sonochem 180min ex330-400_EX_390.00,,CdS sonochem 180min ex330-400_EX_395.00,,CdS sonochem 180min ex330-400_EX_400.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
570,-26.01350784,570,-24.30394745,570,-22.22102928,570,-20.73853493,570,-20.6260891,570,-18.46023369,570,-17.18009758,570,-16.067379,570,-14.37734795,570,-13.56858635,570,-13.00166893,570,-12.53227425,570,-11.80073166,570,-11.85685158,570,-11.82722092,
571.0200195,-25.48781967,571.0200195,-24.80716896,571.0200195,-22.51186752,571.0200195,-21.15570068,571.0200195,-19.96437263,571.0200195,-18.99756813,571.0200195,-18.36684418,571.0200195,-17.10935211,571.0200195,-15.5841217,571.0200195,-14.24498367,571.0200195,-12.89163971,571.0200195,-12.88941956,571.0200195,-13.01728821,571.0200195,-11.99147987,571.0200195,-12.58999825,
572.0499878,-25.92562485,572.0499878,-24.61106491,572.0499878,-23.04117775,572.0499878,-21.26279449,572.0499878,-20.66384506,572.0499878,-18.97198868,572.0499878,-18.74587822,572.0499878,-17.05965042,572.0499878,-15.74856186,572.0499878,-15.12668228,572.0499878,-13.10521698,572.0499878,-13.32839584,572.0499878,-12.58607292,572.0499878,-12.5399456,572.0499878,-12.56486511,
572.9400024,-25.54951477,572.9400024,-24.30595207,572.9400024,-23.24074554,572.9400024,-22.03389359,572.9400024,-20.17575645,572.9400024,-19.26067734,572.9400024,-17.95754623,572.9400024,-17.1356678,572.9400024,-15.50318527,572.9400024,-14.43729782,572.9400024,-14.79753685,572.9400024,-13.72473145,572.9400024,-13.12381363,572.9400024,-13.29452133,572.9400024,-13.58005142,
573.9699707,-26.07279396,573.9699707,-24.5300827,573.9699707,-23.25696945,573.9699707,-22.08867264,573.9699707,-21.5906868,573.9699707,-20.33800507,573.9699707,-19.23401642,573.9699707,-18.64570236,573.9699707,-16.43086815,573.9699707,-15.61015511,573.9699707,-14.92832756,573.9699707,-13.86283493,573.9699707,-14.23960114,573.9699707,-13.53244209,573.9699707,-13.24981117,
575,-26.07937431,575,-24.87883377,575,-24.1288147,575,-21.55574799,575,-22.43053436,575,-19.53645134,575,-19.18348312,575,-18.57707214,575,-17.28953934,575,-16.06884575,575,-15.26188278,575,-14.32592773,575,-14.32061195,575,-13.92923355,575,-13.86750031,
576.0200195,-27.13566208,576.0200195,-25.36558723,576.0200195,-24.24589729,576.0200195,-22.6633873,576.0200195,-21.49108887,576.0200195,-19.87635231,576.0200195,-19.28256226,576.0200195,-18.75139427,576.0200195,-17.49684906,576.0200195,-16.82130051,576.0200195,-15.32927513,576.0200195,-15.35247421,576.0200195,-15.12249184,576.0200195,-13.72078514,576.0200195,-14.0917778,
577.0499878,-26.987854,577.0499878,-24.96764374,577.0499878,-23.77729797,577.0499878,-22.54597092,577.0499878,-21.25201225,577.0499878,-20.21669579,577.0499878,-19.51206779,577.0499878,-18.97173309,577.0499878,-17.42041016,577.0499878,-16.56117058,577.0499878,-16.91162491,577.0499878,-15.40373802,577.0499878,-15.15279198,577.0499878,-14.59472084,577.0499878,-15.25527954,
577.9400024,-26.62609863,577.9400024,-25.4238472,577.9400024,-23.29977798,577.9400024,-23.62234497,577.9400024,-21.71439743,577.9400024,-20.99936295,577.9400024,-19.864151,577.9400024,-19.80284882,577.9400024,-17.89693069,577.9400024,-17.19447899,577.9400024,-16.60732269,577.9400024,-16.31631088,577.9400024,-15.34623528,577.9400024,-15.45358467,577.9400024,-15.41396904,
578.9699707,-27.69010925,578.9699707,-25.64466095,578.9699707,-24.60073471,578.9699707,-23.94741058,578.9699707,-21.90815353,578.9699707,-21.55120468,578.9699707,-20.23413086,578.9699707,-20.51439476,578.9699707,-17.73991203,578.9699707,-17.12826538,578.9699707,-17.03559494,578.9699707,-16.49489784,578.9699707,-15.00377083,578.9699707,-15.49605751,578.9699707,-15.73298836,
580,-27.25914764,580,-25.99150467,580,-24.533741,580,-23.0825119,580,-21.89375305,580,-21.60743713,580,-20.95793915,580,-19.3362484,580,-18.63720322,580,-17.68022156,580,-16.87449837,580,-15.97159958,580,-16.18180084,580,-15.93169212,580,-15.85556984,
581.0200195,-26.69171906,581.0200195,-25.95931244,581.0200195,-25.01850128,581.0200195,-24.2869873,581.0200195,-23.32566833,581.0200195,-21.54366112,581.0200195,-20.48134613,581.0200195,-19.6381073,581.0200195,-18.49185753,581.0200195,-17.99226189,581.0200195,-17.39049911,581.0200195,-16.61472702,581.0200195,-16.34538269,581.0200195,-16.50337029,581.0200195,-15.86306381,
582.0499878,-27.60792542,582.0499878,-25.50673294,582.0499878,-24.69513702,582.0499878,-24.15317154,582.0499878,-22.51322937,582.0499878,-22.0765152,582.0499878,-20.86293983,582.0499878,-20.52741051,582.0499878,-18.98110199,582.0499878,-18.68952942,582.0499878,-17.38959122,582.0499878,-16.76049995,582.0499878,-16.5864296,582.0499878,-16.72907639,582.0499878,-16.98612785,
582.9400024,-27.23754883,582.9400024,-26.80370903,582.9400024,-25.39799309,582.9400024,-24.23719788,582.9400024,-22.54873276,582.9400024,-22.22130203,582.9400024,-21.18859482,582.9400024,-20.98993683,582.9400024,-19.31699753,582.9400024,-18.71719933,582.9400024,-17.99427032,582.9400024,-17.75165939,582.9400024,-16.92533493,582.9400024,-16.99679184,582.9400024,-17.03515816,
583.9699707,-27.52882004,583.9699707,-26.32045555,583.9699707,-25.74449158,583.9699707,-23.84748459,583.9699707,-23.76662445,583.9699707,-22.75996399,583.9699707,-21.57793999,583.9699707,-21.07148552,583.9699707,-19.6308403,583.9699707,-19.20381165,583.9699707,-17.94800568,583.9699707,-17.63051033,583.9699707,-17.34376717,583.9699707,-17.06077766,583.9699707,-16.98109818,
585,-27.55355835,585,-26.65955925,585,-25.75674057,585,-24.16516876,585,-24.19799805,585,-22.47556305,585,-21.81632996,585,-21.3168602,585,-19.88091087,585,-19.60670662,585,-18.4120903,585,-17.81744957,585,-17.98465157,585,-17.33274269,585,-18.13738441,
586.0200195,-28.00583076,586.0200195,-26.95085907,586.0200195,-25.63768959,586.0200195,-24.70004845,586.0200195,-23.72415161,586.0200195,-23.75779915,586.0200195,-22.10219955,586.0200195,-21.86755753,586.0200195,-20.53089714,586.0200195,-19.65765572,586.0200195,-19.13528252,586.0200195,-18.98208046,586.0200195,-17.67086029,586.0200195,-17.95308685,586.0200195,-17.60216522,
587.0499878,-28.22626877,587.0499878,-26.40175629,587.0499878,-26.02933502,587.0499878,-24.78443336,587.0499878,-24.1787796,587.0499878,-23.19940186,587.0499878,-22.35843658,587.0499878,-21.61101532,587.0499878,-20.44186401,587.0499878,-19.4003582,587.0499878,-18.96730232,587.0499878,-18.93466949,587.0499878,-18.10107803,587.0499878,-18.14283562,587.0499878,-17.93756294,
587.9400024,-28.64397049,587.9400024,-27.57796669,587.9400024,-26.21191406,587.9400024,-25.24169922,587.9400024,-23.35557175,587.9400024,-23.21910477,587.9400024,-22.55379677,587.9400024,-21.93019676,587.9400024,-20.19363022,587.9400024,-19.65532112,587.9400024,-19.77272987,587.9400024,-19.32716751,587.9400024,-18.35171509,587.9400024,-18.23815727,587.9400024,-18.4858551,
588.9699707,-28.6638813,588.9699707,-28.35515976,588.9699707,-26.2432251,588.9699707,-25.01411819,588.9699707,-24.05949783,588.9699707,-22.90465164,588.9699707,-22.53705597,588.9699707,-22.35898209,588.9699707,-20.44646072,588.9699707,-20.23963547,588.9699707,-20.59266663,588.9699707,-19.45430374,588.9699707,-18.640728,588.9699707,-18.52434731,588.9699707,-18.65795517,
590,-28.77199554,590,-27.50763893,590,-26.16206741,590,-25.20861435,590,-25.2613945,590,-24.17947388,590,-22.94186592,590,-22.4234581,590,-21.16628265,590,-20.13237572,590,-19.74182129,590,-19.56312561,590,-18.91990852,590,-19.16775322,590,-18.51531219,
591.0200195,-28.59952164,591.0200195,-26.96772385,591.0200195,-26.60182953,591.0200195,-25.48266983,591.0200195,-24.59566307,591.0200195,-23.33577156,591.0200195,-22.72363663,591.0200195,-23.27428818,591.0200195,-21.28377724,591.0200195,-20.69385338,591.0200195,-19.56053162,591.0200195,-19.86869621,591.0200195,-19.67302322,591.0200195,-19.37180328,591.0200195,-19.1149559,
592.0499878,-27.85480499,592.0499878,-28.19380188,592.0499878,-26.22638321,592.0499878,-25.57474709,592.0499878,-25.15453529,592.0499878,-24.32100677,592.0499878,-23.4142952,592.0499878,-22.94065475,592.0499878,-21.82255936,592.0499878,-20.7534523,592.0499878,-20.1254425,592.0499878,-19.89693069,592.0499878,-19.93323708,592.0499878,-19.39216423,592.0499878,-19.13676453,
592.9400024,-28.26913452,592.9400024,-27.53885269,592.9400024,-26.06627846,592.9400024,-25.88991547,592.9400024,-25.02463531,592.9400024,-24.71471214,592.9400024,-23.51717377,592.9400024,-22.42240143,592.9400024,-21.71578217,592.9400024,-21.45013237,592.9400024,-20.82551956,592.9400024,-20.41231537,592.9400024,-19.84091187,592.9400024,-19.16029549,592.9400024,-19.72320747,
593.9699707,-28.77030182,593.9699707,-27.84917068,593.9699707,-27.25619507,593.9699707,-25.57997894,593.9699707,-25.28987312,593.9699707,-24.22670364,593.9699707,-24.19890213,593.9699707,-23.04844284,593.9699707,-22.03541946,593.9699707,-22.11118698,593.9699707,-21.11400414,593.9699707,-20.45264435,593.9699707,-20.24520874,593.9699707,-19.64050293,593.9699707,-20.49363327,
595,-29.09041595,595,-27.95818329,595,-26.94308853,595,-25.76312256,595,-25.53072357,595,-24.15715408,595,-23.84127808,595,-23.48900986,595,-22.23254395,595,-21.75523376,595,-20.75109673,595,-20.74331284,595,-20.45702553,595,-20.32721329,595,-20.53414154,
596.0200195,-29.28024101,596.0200195,-28.16819,596.0200195,-26.69961548,596.0200195,-26.13695335,596.0200195,-25.43644333,596.0200195,-24.6932106,596.0200195,-23.97566223,596.0200195,-24.14659691,596.0200195,-22.64542198,596.0200195,-21.8011055,596.0200195,-22.08578491,596.0200195,-21.04135132,596.0200195,-20.43912315,596.0200195,-20.42804909,596.0200195,-20.79031563,
597.0499878,-29.15158844,597.0499878,-27.93416214,597.0499878,-27.33546066,597.0499878,-27.15250587,597.0499878,-25.97495651,597.0499878,-24.89477158,597.0499878,-23.8547802,597.0499878,-24.16409302,597.0499878,-22.60400391,597.0499878,-22.1400032,597.0499878,-22.0314579,597.0499878,-20.98217201,597.0499878,-20.73169708,597.0499878,-20.08386421,597.0499878,-20.89609718,
597.9400024,-28.73697472,597.9400024,-27.65954208,597.9400024,-27.49474716,597.9400024,-26.89452744,597.9400024,-25.5165081,597.9400024,-25.26126671,597.9400024,-24.47782898,597.9400024,-24.04898262,597.9400024,-22.56200027,597.9400024,-22.10482788,597.9400024,-21.92628479,597.9400024,-21.7726326,597.9400024,-21.07717514,597.9400024,-20.97377396,597.9400024,-20.7691555,
598.9699707,-29.61868858,598.9699707,-28.49559021,598.9699707,-27.51473999,598.9699707,-26.79734612,598.9699707,-26.03023911,598.9699707,-25.536026,598.9699707,-24.96711349,598.9699707,-24.52533722,598.9699707,-23.57121849,598.9699707,-22.63621521,598.9699707,-21.9105854,598.9699707,-22.05725861,598.9699707,-21.44519806,598.9699707,-20.79873085,598.9699707,-20.92914009,
600,-29.79850769,600,-28.79155731,600,-27.99818039,600,-26.7674408,600,-26.11070824,600,-25.41851234,600,-24.97375107,600,-24.03362083,600,-23.06817055,600,-22.37833405,600,-22.33116531,600,-21.85922432,600,-21.59727478,600,-21.22505569,600,-20.90823936,
601.0200195,-30.04273605,601.0200195,-28.66519547,601.0200195,-28.29438782,601.0200195,-27.62189102,601.0200195,-26.37356949,601.0200195,-25.96443939,601.0200195,-24.32043839,601.0200195,-24.41763115,601.0200195,-23.63966751,601.0200195,-23.80359459,601.0200195,-22.59802628,601.0200195,-22.21640396,601.0200195,-22.34627533,601.0200195,-21.27206421,601.0200195,-21.63899612,
602.0499878,-29.6000309,602.0499878,-29.30997276,602.0499878,-27.73731613,602.0499878,-27.48456764,602.0499878,-26.85309219,602.0499878,-25.57278442,602.0499878,-25.32468414,602.0499878,-24.49380302,602.0499878,-23.38335419,602.0499878,-23.35262108,602.0499878,-22.84131622,602.0499878,-22.05095863,602.0499878,-21.98784637,602.0499878,-21.9854126,602.0499878,-21.06083298,
602.9400024,-30.02380943,602.9400024,-28.51999283,602.9400024,-27.97782898,602.9400024,-26.63469505,602.9400024,-26.35840988,602.9400024,-25.49494171,602.9400024,-25.58780861,602.9400024,-24.79867935,602.9400024,-24.23670578,602.9400024,-22.96370697,602.9400024,-22.48216629,602.9400024,-22.41909599,602.9400024,-22.13380051,602.9400024,-21.89622116,602.9400024,-21.85181427,
603.9699707,-29.38218498,603.9699707,-28.64785385,603.9699707,-28.3516407,603.9699707,-27.18000793,603.9699707,-26.56863785,603.9699707,-25.90476227,603.9699707,-25.12241554,603.9699707,-25.30327988,603.9699707,-24.34691238,603.9699707,-22.97938156,603.9699707,-23.24097061,603.9699707,-22.83320618,603.9699707,-22.27302551,603.9699707,-22.0802002,603.9699707,-22.35721207,
605,-29.7340374,605,-29.76368141,605,-27.83003235,605,-27.44018745,605,-26.76194,605,-25.96898651,605,-25.5749855,605,-25.38637543,605,-24.24551582,605,-23.43910217,605,-23.180233,605,-22.78580856,605,-22.66803741,605,-21.94081497,605,-22.59381866,
606.0200195,-30.04033661,606.0200195,-29.40220261,606.0200195,-28.28707314,606.0200195,-27.9472084,606.0200195,-26.62915611,606.0200195,-25.97964478,606.0200195,-25.36502457,606.0200195,-25.47550964,606.0200195,-24.20592308,606.0200195,-24.02886009,606.0200195,-23.50153542,606.0200195,-23.00680923,606.0200195,-22.71665573,606.0200195,-22.24031448,606.0200195,-22.64831543,
607.0499878,-30.24968338,607.0499878,-28.85146904,607.0499878,-28.57456207,607.0499878,-27.59822655,607.0499878,-26.74248123,607.0499878,-26.59178734,607.0499878,-25.45628548,607.0499878,-25.39490891,607.0499878,-24.66455269,607.0499878,-24.21094894,607.0499878,-23.76240921,607.0499878,-23.53025436,607.0499878,-22.68348503,607.0499878,-22.66656113,607.0499878,-22.85755539,
607.9400024,-29.79029083,607.9400024,-29.48033333,607.9400024,-29.1153698,607.9400024,-27.51839447,607.9400024,-27.45188904,607.9400024,-26.83326721,607.9400024,-26.30910873,607.9400024,-25.70116806,607.9400024,-24.59880447,607.9400024,-24.23095703,607.9400024,-24.1496315,607.9400024,-23.54066277,607.9400024,-23.13838196,607.9400024,-22.78870773,607.9400024,-23.15560341,
608.9699707,-30.71489716,608.9699707,-29.47784042,608.9699707,-29.02885818,608.9699707,-27.40268326,608.9699707,-27.60354233,608.9699707,-26.55264091,608.9699707,-26.3914032,608.9699707,-25.70804596,608.9699707,-25.16874886,608.9699707,-24.5920105,608.9699707,-24.17966652,608.9699707,-23.64759064,608.9699707,-23.38926315,608.9699707,-22.85628128,608.9699707,-23.07640076,
610,-30.16023445,610,-29.75658417,610,-28.58961678,610,-27.68748093,610,-27.25080872,610,-26.5970974,610,-25.70980263,610,-25.87089729,610,-24.7763958,610,-24.27045441,610,-23.95573807,610,-23.41557312,610,-23.59368515,610,-23.29493332,610,-23.12870407,
611.0100098,-30.65836334,611.0100098,-29.16503716,611.0100098,-29.07283211,611.0100098,-28.28992462,611.0100098,-27.8650341,611.0100098,-27.09208679,611.0100098,-26.53341484,611.0100098,-25.72826004,611.0100098,-25.92121696,611.0100098,-24.40362549,611.0100098,-24.71808624,611.0100098,-23.98617172,611.0100098,-23.4485054,611.0100098,-23.47538757,611.0100098,-23.25125504,
612.0200195,-30.85318947,612.0200195,-29.83664131,612.0200195,-29.23566055,612.0200195,-28.21053696,612.0200195,-27.20240021,612.0200195,-27.04777527,612.0200195,-26.80452156,612.0200195,-26.241642,612.0200195,-25.68315125,612.0200195,-25.12997437,612.0200195,-24.50170517,612.0200195,-23.99084854,612.0200195,-23.88927078,612.0200195,-23.84789276,612.0200195,-23.22142029,
613.039978,-31.02013206,613.039978,-29.55047417,613.039978,-29.07264137,613.039978,-28.32608032,613.039978,-28.04932404,613.039978,-27.07900238,613.039978,-26.59236908,613.039978,-25.8649826,613.039978,-25.85144615,613.039978,-25.4128437,613.039978,-24.47024918,613.039978,-24.05690575,613.039978,-23.98388863,613.039978,-24.19455338,613.039978,-23.71209335,
614.0499878,-30.92048836,614.0499878,-30.01394844,614.0499878,-29.39337158,614.0499878,-28.80786133,614.0499878,-27.59311676,614.0499878,-26.98649979,614.0499878,-27.09664917,614.0499878,-26.49594498,614.0499878,-25.72304535,614.0499878,-25.36063766,614.0499878,-24.62872314,614.0499878,-24.33065414,614.0499878,-23.99945068,614.0499878,-24.11647034,614.0499878,-23.65608215,
615.0700073,-30.16212463,615.0700073,-29.54164314,615.0700073,-29.23834991,615.0700073,-28.89712143,615.0700073,-28.5322094,615.0700073,-27.30651093,615.0700073,-27.02521133,615.0700073,-26.82551193,615.0700073,-25.50779343,615.0700073,-25.34653854,615.0700073,-24.91075134,615.0700073,-24.6728611,615.0700073,-24.28772736,615.0700073,-24.20125961,615.0700073,-23.45301819,
615.9400024,-30.79594994,615.9400024,-29.77833557,615.9400024,-29.37010765,615.9400024,-28.73651886,615.9400024,-27.68632698,615.9400024,-27.73806,615.9400024,-27.15360641,615.9400024,-26.50606537,615.9400024,-25.86486816,615.9400024,-25.39346695,615.9400024,-25.3625412,615.9400024,-24.9390049,615.9400024,-24.38503265,615.9400024,-24.48154831,615.9400024,-24.29536629,
616.9500122,-30.87599945,616.9500122,-30.14025116,616.9500122,-29.66992569,616.9500122,-28.10716629,616.9500122,-28.25015259,616.9500122,-27.43545151,616.9500122,-27.98319435,616.9500122,-26.97133255,616.9500122,-26.28451157,616.9500122,-25.50918579,616.9500122,-25.53886223,616.9500122,-24.95153809,616.9500122,-24.63529968,616.9500122,-24.6875248,616.9500122,-24.53840828,
617.9699707,-31.20555496,617.9699707,-29.90641594,617.9699707,-29.65398026,617.9699707,-29.1203804,617.9699707,-28.57177353,617.9699707,-27.58210373,617.9699707,-27.16954803,617.9699707,-26.95177269,617.9699707,-26.58553505,617.9699707,-25.7397728,617.9699707,-25.69499969,617.9699707,-25.04347229,617.9699707,-24.97384644,617.9699707,-24.56190109,617.9699707,-24.84726334,
618.9799805,-30.80685806,618.9799805,-30.52555084,618.9799805,-29.75045013,618.9799805,-28.8926239,618.9799805,-28.04367065,618.9799805,-27.59802818,618.9799805,-27.54034996,618.9799805,-27.02822113,618.9799805,-25.8068924,618.9799805,-26.55827713,618.9799805,-25.66772461,618.9799805,-25.43840027,618.9799805,-24.94270706,618.9799805,-24.88089943,618.9799805,-24.55945969,
620,-30.63014412,620,-29.69291687,620,-30.08294487,620,-28.63442421,620,-28.64996338,620,-28.17366219,620,-28.01047516,620,-28.0891571,620,-26.19171143,620,-26.44232178,620,-25.572258,620,-24.89946747,620,-25.32607841,620,-25.28244019,620,-25.38306999,
621.0200195,-31.13097763,621.0200195,-30.39953613,621.0200195,-29.90650749,621.0200195,-29.11978149,621.0200195,-28.98840523,621.0200195,-28.06245804,621.0200195,-27.94046783,621.0200195,-27.70178795,621.0200195,-27.07180405,621.0200195,-26.99925613,621.0200195,-26.12745667,621.0200195,-25.67966461,621.0200195,-25.37020493,621.0200195,-25.16356277,621.0200195,-25.1013031,
622.0499878,-30.72083855,622.0499878,-30.21792984,622.0499878,-29.84426498,622.0499878,-28.91063118,622.0499878,-29.28212929,622.0499878,-28.09917068,622.0499878,-28.10434341,622.0499878,-27.61752892,622.0499878,-27.14131165,622.0499878,-27.00005722,622.0499878,-26.05910873,622.0499878,-25.9284668,622.0499878,-25.54743004,622.0499878,-25.26917648,622.0499878,-25.44618607,
622.9400024,-31.68579865,622.9400024,-30.66648865,622.9400024,-29.57801056,622.9400024,-29.31847572,622.9400024,-29.00526047,622.9400024,-28.18906021,622.9400024,-27.18911362,622.9400024,-27.78920364,622.9400024,-26.89185715,622.9400024,-26.45507431,622.9400024,-26.36072922,622.9400024,-26.21743393,622.9400024,-25.8079567,622.9400024,-25.34929657,622.9400024,-25.67548752,
623.9699707,-31.37911606,623.9699707,-30.35225677,623.9699707,-30.39307022,623.9699707,-29.16195488,623.9699707,-29.22026062,623.9699707,-28.35951614,623.9699707,-28.49600601,623.9699707,-27.13424873,623.9699707,-27.472229,623.9699707,-26.48566818,623.9699707,-26.59807968,623.9699707,-26.36187363,623.9699707,-25.81171417,623.9699707,-25.61169624,623.9699707,-25.43898773,
625,-31.87217331,625,-30.49808693,625,-30.32966614,625,-29.4029007,625,-28.49635696,625,-28.36698151,625,-27.99066734,625,-27.87508774,625,-27.20793915,625,-26.6669178,625,-26.56589127,625,-26.2304287,625,-25.82842636,625,-25.85753822,625,-25.68216324,
626.0200195,-31.55611229,626.0200195,-30.66173172,626.0200195,-30.24230576,626.0200195,-29.22440529,626.0200195,-29.88184929,626.0200195,-28.98095894,626.0200195,-28.33796692,626.0200195,-28.37426376,626.0200195,-27.08271027,626.0200195,-27.06586838,626.0200195,-26.54129028,626.0200195,-26.23251724,626.0200195,-26.63175011,626.0200195,-26.12459373,626.0200195,-26.18383789,
627.0499878,-31.57620811,627.0499878,-30.92459679,627.0499878,-30.77109528,627.0499878,-29.61405945,627.0499878,-29.04992676,627.0499878,-28.98786163,627.0499878,-28.71852493,627.0499878,-28.24878883,627.0499878,-27.13368607,627.0499878,-26.86307716,627.0499878,-26.87197495,627.0499878,-26.50627899,627.0499878,-26.25786591,627.0499878,-26.04569435,627.0499878,-26.3237896,
627.9400024,-30.89457321,627.9400024,-30.95669174,627.9400024,-30.40789795,627.9400024,-29.27853584,627.9400024,-29.08625031,627.9400024,-29.27241135,627.9400024,-28.24105835,627.9400024,-28.10578156,627.9400024,-27.41272926,627.9400024,-27.10745621,627.9400024,-26.72725677,627.9400024,-26.45318222,627.9400024,-26.27041054,627.9400024,-26.28438759,627.9400024,-26.02819824,
628.9699707,-31.88572502,628.9699707,-30.57315254,628.9699707,-30.36847305,628.9699707,-29.9854126,628.9699707,-29.52057648,628.9699707,-29.32175636,628.9699707,-28.63629341,628.9699707,-28.37265778,628.9699707,-27.28948593,628.9699707,-26.97585678,628.9699707,-27.27825928,628.9699707,-26.69217682,628.9699707,-26.09947968,628.9699707,-26.15320969,628.9699707,-26.7785759,
630,-31.38002777,630,-31.95488739,630,-30.76703835,630,-29.75625038,630,-29.57435036,630,-28.98431778,630,-29.07465744,630,-28.47001648,630,-27.84534454,630,-27.61840439,630,-27.09978104,630,-26.82621002,630,-26.55762672,630,-26.02097702,630,-26.7096405,
631.0100098,-31.69945908,631.0100098,-31.20525742,631.0100098,-30.29977417,631.0100098,-30.13986969,631.0100098,-29.67037773,631.0100098,-29.66369438,631.0100098,-29.0553627,631.0100098,-28.73185158,631.0100098,-27.64894104,631.0100098,-27.18899918,631.0100098,-27.20420647,631.0100098,-27.17201614,631.0100098,-27.03893471,631.0100098,-26.78244019,631.0100098,-26.75780106,
632.0200195,-31.49997902,632.0200195,-31.51114082,632.0200195,-30.46833229,632.0200195,-30.48097992,632.0200195,-29.24619293,632.0200195,-29.43966293,632.0200195,-29.27290916,632.0200195,-28.68744659,632.0200195,-28.0584259,632.0200195,-27.78502083,632.0200195,-27.79418945,632.0200195,-27.26521111,632.0200195,-26.93684387,632.0200195,-26.61336708,632.0200195,-26.69896126,
633.039978,-31.82619667,633.039978,-31.57029533,633.039978,-30.5216217,633.039978,-29.94545937,633.039978,-30.00219345,633.039978,-29.54566765,633.039978,-28.83532143,633.039978,-28.77980614,633.039978,-28.31694984,633.039978,-27.68461609,633.039978,-27.47140694,633.039978,-26.9045639,633.039978,-27.38670349,633.039978,-26.98560333,633.039978,-27.2747097,
634.0499878,-32.24890137,634.0499878,-31.33862114,634.0499878,-30.83425522,634.0499878,-30.91210556,634.0499878,-30.27521133,634.0499878,-29.45533752,634.0499878,-29.06285858,634.0499878,-28.79315948,634.0499878,-28.20301819,634.0499878,-28.05382919,634.0499878,-27.83078957,634.0499878,-27.26338005,634.0499878,-27.0870266,634.0499878,-27.0885067,634.0499878,-26.77359772,
635.0700073,-31.4698143,635.0700073,-31.75052261,635.0700073,-31.21815872,635.0700073,-30.74481964,635.0700073,-29.56303024,635.0700073,-29.54605865,635.0700073,-29.71281815,635.0700073,-29.22557068,635.0700073,-28.46463776,635.0700073,-28.22797775,635.0700073,-27.66810608,635.0700073,-27.58581924,635.0700073,-27.41347122,635.0700073,-27.00150108,635.0700073,-27.45115662,
635.9400024,-32.12057495,635.9400024,-30.98672676,635.9400024,-30.82635117,635.9400024,-30.5859127,635.9400024,-30.1962719,635.9400024,-29.59290886,635.9400024,-29.47695541,635.9400024,-28.8788681,635.9400024,-28.8822403,635.9400024,-27.97112656,635.9400024,-27.92869568,635.9400024,-27.54866791,635.9400024,-27.5304985,635.9400024,-27.62908936,635.9400024,-27.46983719,
636.9500122,-32.22872925,636.9500122,-31.84660721,636.9500122,-30.79755974,636.9500122,-30.83468819,636.9500122,-30.29167557,636.9500122,-29.73993492,636.9500122,-29.6830101,636.9500122,-29.23299408,636.9500122,-28.86454201,636.9500122,-28.32652855,636.9500122,-28.25065994,636.9500122,-27.56365204,636.9500122,-26.8455658,636.9500122,-27.47553253,636.9500122,-27.42452812,
637.9699707,-32.46862793,637.9699707,-31.74727249,637.9699707,-30.63989639,637.9699707,-30.66067505,637.9699707,-29.7689724,637.9699707,-30.32375908,637.9699707,-29.78321266,637.9699707,-29.43442345,637.9699707,-28.14336395,637.9699707,-28.50304985,637.9699707,-27.9102478,637.9699707,-27.64223862,637.9699707,-27.77011871,637.9699707,-27.29878235,637.9699707,-27.29060936,
638.9799805,-32.2604599,638.9799805,-31.85288811,638.9799805,-30.56177521,638.9799805,-30.95941734,638.9799805,-29.90348625,638.9799805,-30.04216003,638.9799805,-29.59259415,638.9799805,-29.65398979,638.9799805,-28.88944054,638.9799805,-28.77669525,638.9799805,-28.00595474,638.9799805,-27.77238464,638.9799805,-27.80110168,638.9799805,-28.10463142,638.9799805,-27.88219833,
640,-32.81772995,640,-32.14797211,640,-30.92987061,640,-31.02930641,640,-30.61495972,640,-29.82255554,640,-29.513834,640,-29.80340576,640,-29.05231476,640,-28.53047943,640,-28.37907028,640,-28.1186161,640,-27.91083527,640,-27.7304821,640,-27.74927139,
641.0100098,-32.6692276,641.0100098,-31.63285446,641.0100098,-32.07651901,641.0100098,-30.26278496,641.0100098,-30.6033287,641.0100098,-30.25433731,641.0100098,-29.80205154,641.0100098,-29.53319168,641.0100098,-29.10771942,641.0100098,-28.77194214,641.0100098,-28.42612839,641.0100098,-28.22108459,641.0100098,-27.80955124,641.0100098,-28.12816048,641.0100098,-28.22966766,
