CdSe sonochem 30min ex300,,CdSe sonochem 30min ex300 slit10nm,,CdSe sonochem 30min ex375 slit10nm,,CdSe sonochem 30min slit10nm ex320,,CdSe sonochem 30min slit10nm em600,,CdSe sonochem 30min slit10nm ex420,,CdSe sonochem 30min slit10nm em610,,CdSe sonochem 30min slit10nm ex485,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
319.0700073,0.1967211962,329.0599976,6.858157158,249.0599976,4.632019043,349.0700073,12.29752922,329.0599976,24.17955017,448.9299927,-1.577950478,329.0599976,1.6737957,503.8800049,-1.340114713,
320,0.1414598823,330,7.511177063,250,5.151065826,350,13.2546711,330,26.84853363,450,-1.749632835,330,1.765191078,504.9200134,-1.29848361,
320.9299927,0.1984551847,331.0700073,8.275305748,250.9299927,7.233764648,351.0700073,15.06728935,331.0700073,29.00610352,451.0599976,-2.101905823,331.0700073,2.475701332,505.9700012,-1.137481689,
322.0299988,0.2132818103,332,9.356345177,252.0299988,7.742149353,352,16.20010567,332,31.59442139,451.9599915,-2.276068687,332,2.539321899,506.8599854,-1.061416149,
322.9599915,0.2913461328,333.0700073,10.4208889,252.9600067,8.778553009,353.0700073,17.22648811,333.0700073,33.13444519,453.0299988,-2.002397537,333.0700073,2.496809006,507.9100037,-1.086811543,
324.0599976,0.356051445,334,10.96929073,254.0599976,10.42050934,354,18.7442646,334,35.40989685,453.9299927,-2.175193787,334,2.812848091,508.9500122,-1.110819817,
325,0.3304689229,335.0700073,12.29017258,255,12.78097534,355.0700073,20.76713371,335.0700073,36.66088867,455,-2.041652679,335.0700073,3.333601952,509.8500061,-0.9157857895,
325.9299927,0.3829123974,336,11.762043,255.9299927,15.12321472,356,21.24934196,336,39.36187744,456.0599976,-2.199877739,336,2.738368034,510.8999939,-0.8162140846,
327.0299988,0.5014449954,337.0700073,13.22175026,257.0299988,16.2206459,357.0700073,22.36567497,337.0700073,40.40898132,456.9599915,-2.13096714,337.0700073,3.394048691,511.9599915,-0.7902863026,
327.9599915,0.4696097672,338,13.79489613,257.9599915,16.1806221,358,24.50536919,338,42.23222351,458.0299988,-2.242366791,338,4.044951439,512.8699951,-0.5686676502,
329.0599976,0.6197161674,339.0700073,14.49662876,259.0599976,18.716259,359.0700073,24.10631371,339.0700073,43.69113159,458.9299927,-2.286917686,339.0700073,3.645580292,513.9299927,-0.619862318,
330,0.8051564693,340,15.16216183,260,19.80409622,360,27.67083931,340,44.54252625,460,-2.009758949,340,3.125821114,514.8400269,-0.4609975815,
331.0700073,0.9415357113,341.0700073,15.769454,260.9299927,19.93321228,361.0700073,28.11250877,341.0700073,47.3972168,461.0599976,-2.261341095,341.0700073,4.284320831,515.9000244,-0.4144108295,
332,0.9388175607,342,16.5431881,262.0299988,19.5785675,362,28.1309185,342,46.69422913,461.9599915,-2.214334488,342,3.57636261,516.960022,-0.3336129189,
333.0700073,0.8735172749,343.0700073,17.14960861,262.9599915,20.96451569,363.0700073,29.38017464,343.0700073,49.36991882,463.0299988,-2.394947052,343.0700073,4.338147163,517.8699951,-0.2399623394,
334,1.093135834,344,17.83515167,264.0599976,21.853508,364,33.02135468,344,51.98812866,463.9299927,-2.46135807,344,4.08699894,518.9299927,-0.03540825844,
335.0700073,1.023056388,345.0700073,18.91249657,265,22.33727264,365.0700073,31.87796974,345.0700073,52.85690308,465,-2.513031006,345.0700073,4.515264511,519.8400269,0.1364371777,
336,0.9809567928,346,19.61288643,265.9299927,22.25201797,366,32.17698669,346,54.20159912,466.0599976,-2.46783638,346,4.278028488,520.8900146,0.04525399208,
337.0700073,1.169941068,347.0700073,19.07595444,267.0299988,20.75328827,367.0700073,33.40956116,347.0700073,55.56535339,466.9599915,-2.640874863,347.0700073,4.911827087,521.9400024,0.4002013206,
338,1.3832618,348,20.68989944,267.9599915,21.02394867,368,34.94243622,348,54.90055847,468.0299988,-2.491521835,348,5.255352974,522.9799805,0.5509784222,
339.0700073,1.249931335,349.0700073,20.95181847,269.0599976,21.1041069,369.0700073,34.70154572,349.0700073,55.6625824,468.9299927,-2.705272675,349.0700073,5.448245049,523.8800049,0.7542119026,
340,1.236553311,350,21.76211548,270,18.94768524,370,33.8816452,350,55.94552612,470,-2.980818748,350,4.63369751,524.9199829,1.039351702,
341.0700073,1.302495837,351.0700073,22.04117012,271.0700073,18.24618912,371.0700073,35.96861267,351.0700073,57.26123047,471.0599976,-2.667702675,351.0700073,4.512342453,525.9699707,1.232299089,
342,1.466356277,352,21.78411674,272,17.02217484,372,37.51140594,352,59.11672974,471.9599915,-2.795327187,352,5.872804642,526.8599854,1.58569026,
343.0700073,1.486451387,353.0700073,22.91815948,273.0700073,14.64572525,373.0700073,37.34477234,353.0700073,61.75242615,473.0299988,-2.542973518,353.0700073,4.753938675,527.9099731,1.68675971,
344,1.542084694,354,23.1462059,274,12.65983582,374,38.68630981,354,63.7784729,473.9299927,-2.201046944,354,5.677145004,528.9500122,2.156892061,
345.0700073,1.417590141,355.0700073,23.56246185,275.0700073,10.14419556,375.0700073,38.61321259,355.0700073,63.96456909,475,-2.338585854,355.0700073,4.871465683,529.8499756,2.401804686,
346,1.543477893,356,24.01551628,276,8.071598053,376,39.3727951,356,63.34976196,476.0599976,-1.776241302,356,4.808455467,530.8900146,2.471720934,
347.0700073,1.652313232,357.0700073,24.19805145,277.0700073,4.399116516,377.0700073,38.39270782,357.0700073,65.92106628,476.9599915,-1.727341652,357.0700073,5.111646652,531.9400024,2.51898694,
348,1.759079218,358,24.31249046,278,1.872428894,378,37.96439362,358,66.61732483,478.0299988,-1.374712944,358,5.087724686,532.9799805,2.925843477,
349.0700073,1.730127454,359.0700073,24.58743858,279.0700073,-1.003055573,379.0700073,40.56046295,359.0700073,67.853302,478.9299927,-0.7647190094,359.0700073,5.530618668,533.8800049,3.077818632,
350,1.648628235,360,25.78593254,280,-1.849262238,380,39.46548462,360,65.78144836,480,-0.3875007629,360,5.233830452,534.9199829,3.457142115,
351.0700073,2.176536798,361.0700073,26.32326508,280.9299927,-3.439189911,381.0700073,39.57170868,361.0700073,68.38644409,481.0599976,0.001247406006,361.0700073,5.964389801,535.9699707,3.746596098,
352,1.822058797,362,26.51801109,282.0299988,-6.67522049,382,39.23963165,362,66.36633301,481.9599915,0.6088886261,362,5.994839668,536.8599854,4.119364738,
353.0700073,2.002470493,363.0700073,26.260952,282.9599915,-8.205070496,383.0700073,40.94356537,363.0700073,67.66500854,483.0299988,0.8773136139,363.0700073,5.069046974,537.9099731,4.374880791,
354,1.705563426,364,26.16233826,284.0599976,-10.74728394,384,38.76992035,364,67.53765869,483.9299927,0.6791400909,364,5.591248512,538.9500122,4.710398674,
355.0700073,1.829459071,365.0700073,27.16619682,285,-11.51780891,385.0700073,39.50232697,365.0700073,65.70870972,485,1.185258865,365.0700073,5.590344429,539.8499756,5.078726768,
356,2.225194454,366,28.3120842,285.9299927,-13.64345932,386,38.26829529,366,67.65937805,486.0599976,1.498569489,366,5.620483398,540.8800049,5.364147186,
357.0700073,2.11128068,367.0700073,28.36034966,287.0299988,-13.88288116,387.0700073,39.82529449,367.0700073,66.6741333,486.9599915,1.389818192,367.0700073,5.673660278,541.9099731,5.912569046,
358,1.745158315,368,27.83811378,287.9599915,-14.19927216,388,37.78172302,368,66.60768127,488.0299988,1.241466522,368,5.607024193,542.9400024,5.975462914,
