CdS sonochem 150min em420,,CdS sonochem 150min ex330,,CdS sonochem 150min em470,,CdS sonochem 150min ex355,,CdS sonochem 150min em520,,CdS sonochem 150min ex345,,CdS sonochem 150min ex345 slow,,CdS sonochem 150min em455 slow,,CdS sonochem 150min ex295,,CdS sonochem 150min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,-0.09719562531,340,-0.5364189148,240,0.6375732422,364.9200134,1.186527252,270,0.06416797638,354.9200134,1.081846237,354.9200134,-0.7624454498,240,0.3595838547,305,-0.1628684998,240,-0.2384591103,
240.9299927,-1.404256821,341.0700073,1.924125671,240.9299927,-0.08001232147,365.8399963,1.633367538,271.0700073,-0.2028608322,355.8399963,2.379861832,355.8399963,0.5904464722,240.9299927,0.09708404541,305.9299927,0.1459579468,240.9299927,-0.308113575,
242.0299988,-0.7900323868,342,5.159725189,242.0299988,-0.9225292206,366.9200134,2.828353882,272,-0.2542982101,356.9200134,3.010467529,356.9200134,1.961503983,242.0299988,-0.6442270279,307.0299988,1.02713871,242.0299988,-0.77283144,
242.9600067,-1.469704628,343.0700073,6.731376648,242.9600067,-1.015826225,367.8399963,3.221214294,273.0700073,-0.2682590485,357.8399963,4.661172867,357.8399963,4.022270203,242.9600067,-0.5932254791,307.9599915,2.813218117,242.9600067,-0.9800505638,
244.0599976,-0.994515419,344,11.24937057,244.0599976,-0.963637352,368.9200134,5.019601822,274,-0.5896999836,358.9200134,7.680633545,358.9200134,5.608997345,244.0599976,-0.559211731,309.0599976,3.925857544,244.0599976,-1.179171562,
245,-0.9290599823,345.0700073,15.3298378,245,-1.140090942,369.8399963,5.99297142,275.0700073,-0.7828075886,359.8399963,8.043701172,359.8399963,7.132169724,245,-0.4613132477,310,5.323760033,245,-0.8044786453,
245.9299927,-0.6428537369,346,16.8421402,245.9299927,-0.5341043472,370.9200134,8.20287323,276,-0.8956503868,360.9200134,10.77968597,360.9200134,8.843645096,245.9299927,-0.6193475723,311.0700073,6.4298563,245.9299927,-0.535466671,
247.0299988,-0.7225589752,347.0700073,22.88805771,247.0299988,-1.031708717,371.8399963,9.089221954,277.0700073,-1.086197853,361.8399963,10.61445427,361.8399963,10.95436859,247.0299988,-0.3751363754,312,7.595947266,247.0299988,-0.6975083351,
247.9600067,-1.252293587,348,24.7581749,247.9600067,-1.124135971,372.9200134,10.83831596,278,-0.5627307892,362.9200134,14.67682648,362.9200134,12.3882122,247.9600067,-0.6916780472,313.0700073,8.831338882,247.9600067,-0.3225045204,
249.0599976,-0.6889238358,349.0700073,30.0749321,249.0599976,-1.003147125,373.8399963,12.81750488,279.0700073,-0.357047081,363.8399963,15.03305817,363.8399963,14.45586205,249.0599976,-0.5901527405,314,9.421890259,249.0599976,0.06635570526,
250,-0.7814912796,350,33.41004562,250,-0.8327550888,374.9200134,14.99846077,280,0.3995437622,364.9200134,17.75246429,364.9200134,16.29871941,250,-0.400138855,315.0700073,11.23847008,250,-0.2054615021,
250.9299927,-0.5775403976,351.0700073,34.14490128,250.9299927,-0.9723596573,375.8399963,15.63787651,280.9299927,2.125071049,365.8399963,19.13067627,365.8399963,19.06259346,250.9299927,-0.3364419937,316,12.36069107,250.9299927,0.2656831741,
252.0299988,0.04738140106,352,38.30569077,252.0299988,-0.5703525543,376.9200134,18.57266617,282.0299988,5.447160244,366.9200134,23.02219391,366.9200134,21.064291,252.0299988,-0.3824291229,317.0700073,14.61322594,252.0299988,0.1793022156,
252.9600067,0.07724285126,353.0700073,41.38948441,252.9600067,-0.1512470245,377.8399963,20.40114212,282.9599915,9.427816391,367.8399963,24.24707413,367.8399963,23.56375313,252.9600067,-0.1188173294,318,16.05003166,252.9600067,0.7461380959,
254.0599976,0.5037374496,354,47.64575577,254.0599976,-0.4168558121,378.9200134,22.28980637,284.0599976,14.38306808,368.9200134,27.35022736,368.9200134,26.07348442,254.0599976,0.312743187,319.0700073,19.11285591,254.0599976,1.271483898,
255,0.8974533081,355.0700073,47.62440872,255,-0.1829385757,379.8399963,24.92751312,285,19.81767845,369.8399963,30.4830513,369.8399963,28.68111992,255,0.2782077789,320,21.19932938,255,1.450342655,
255.9299927,1.736420631,356,52.24074936,255.9299927,-0.2066898346,380.9200134,26.75815582,285.9299927,23.78697014,370.9200134,31.04811478,370.9200134,30.4281826,255.9299927,0.1906652451,320.9299927,25.74507904,255.9299927,1.640620708,
257.0299988,1.895537376,357.0700073,55.47980881,257.0299988,-1.123419762,381.8399963,28.68268585,287.0299988,28.82138824,371.8399963,33.18642426,371.8399963,32.85690308,257.0299988,0.1981658936,322.0299988,31.52290726,257.0299988,0.92445755,
257.9599915,1.543449402,358,57.8960762,257.9599915,-1.241835594,382.9200134,30.75172043,287.9599915,33.65860367,372.9200134,37.79225922,372.9200134,36.02042389,257.9599915,-0.05079650879,322.9599915,36.81142044,257.9599915,1.50303793,
259.0599976,1.035750389,359.0700073,65.80133057,259.0599976,-0.3464612961,383.8399963,32.34776688,289.0599976,38.65126801,373.8399963,38.78381348,373.8399963,37.59514618,259.0599976,-0.3121128082,324.0599976,42.82518005,259.0599976,1.682015896,
260,1.144227982,360,69.59742737,260,-0.6828937531,384.9200134,36.48349762,290,41.58552933,374.9200134,40.87558746,374.9200134,40.96640778,260,-0.7037210464,325,46.70101166,260,2.105201244,
260.9299927,0.6431808472,361.0700073,72.83000183,260.9299927,-1.087859154,385.8399963,37.14066696,290.9299927,46.17092133,375.8399963,44.16010666,375.8399963,43.11122131,260.9299927,-0.6715087891,325.9299927,54.55823517,260.9299927,2.176559925,
262.0299988,1.350240707,362,78.84049988,262.0299988,-1.202314377,386.9200134,41.09253311,292.0299988,49.72235107,376.9200134,45.60911942,376.9200134,45.26826477,262.0299988,-0.6701641083,327.0299988,61.35038376,262.0299988,1.758509159,
262.9599915,0.6736288071,363.0700073,81.73725891,262.9599915,-1.239993095,387.8399963,42.4459343,292.9599915,52.54130936,377.8399963,49.95918655,377.8399963,48.22127533,262.9599915,-0.6386928558,327.9599915,66.69880676,262.9599915,2.042412281,
264.0599976,1.030050278,364,86.66648865,264.0599976,-1.763568878,388.9200134,45.99901581,294.0599976,56.26607513,378.9200134,54.93498611,378.9200134,52.32427979,264.0599976,-0.5298433304,329.0599976,70.68591309,264.0599976,2.008512974,
265,1.684521675,365.0700073,91.16514587,265,-1.647360802,389.8399963,47.24710464,295,59.53551865,379.8399963,56.9308815,379.8399963,55.1936264,265,-0.5115995407,330,74.05342102,265,2.897372723,
265.9299927,0.9734792709,366,92.89067078,265.9299927,-1.950720787,390.9200134,50.89084625,295.9299927,64.48931122,380.9200134,59.64325333,380.9200134,58.37203217,265.9299927,-0.8432540894,331.0700073,77.89680481,265.9299927,3.013086796,
267.0299988,0.7654075623,367.0700073,97.96839905,267.0299988,-1.524958611,391.8399963,54.03968811,297.0299988,64.85042572,381.8399963,62.73109055,381.8399963,61.05187988,267.0299988,-1.274505615,332,80.25640869,267.0299988,2.942371845,
267.9599915,0.9260721207,368,100.3779297,267.9599915,-1.955048561,392.9200134,55.94742584,297.9599915,67.12962341,382.9200134,65.71260071,382.9200134,64.95217133,267.9599915,-1.403873444,333.0700073,84.18008423,267.9599915,2.905546665,
269.0599976,0.4735612869,369.0700073,105.3792419,269.0599976,-2.479076385,393.8399963,58.85040283,299.0599976,70.91275787,383.8399963,69.15917969,383.8399963,67.21609497,269.0599976,-1.889800072,334,88.11698914,269.0599976,2.566358089,
270,-0.3757410049,370,107.5999756,270,-3.329222202,394.9200134,63.48640442,300,70.23783112,384.9200134,73.24067688,384.9200134,71.55274963,270,-2.42227459,335.0700073,89.12266541,270,2.679151058,
271.0700073,-0.7975091934,371.0700073,109.9300232,271.0700073,-3.430184364,395.8399963,66.18068695,301.0700073,75.16478729,385.8399963,74.98077393,385.8399963,72.52698517,271.0700073,-2.886292458,336,90.48286438,271.0700073,2.405043125,
272,-1.282377243,372,113.9539337,272,-4.112683773,396.9200134,68.82215881,302,77.6009903,386.9200134,76.69250488,386.9200134,75.07154083,272,-3.133361816,337.0700073,95.42648315,272,1.761318684,
273.0700073,-1.641551971,373.0700073,116.7003784,273.0700073,-4.327336311,397.8399963,72.32766724,303.0700073,79.68826294,387.8399963,77.56721497,387.8399963,77.97211456,273.0700073,-3.508154869,338,96.45877075,273.0700073,1.483594418,
274,-2.28384304,374,120.2693024,274,-4.748662949,398.9200134,73.2142334,304,79.85269165,388.9200134,80.27217102,388.9200134,78.82096863,274,-3.907264709,339.0700073,100.1549225,274,1.091217518,
275.0700073,-2.831041336,375.0700073,118.848938,275.0700073,-4.634710789,399.8399963,74.8634491,305.0700073,82.58937836,389.8399963,80.42938232,389.8399963,82.01841736,275.0700073,-4.612797737,340,101.2856903,275.0700073,1.121824265,
276,-3.728912354,376,124.125412,276,-5.374631405,400.9200134,78.59799957,306,84.86727142,390.9200134,83.36323547,390.9200134,84.27811432,276,-4.931817055,341.0700073,104.1581116,276,0.7187933922,
277.0700073,-3.921761513,377.0700073,124.5776215,277.0700073,-5.39389801,401.8399963,79.24812317,307.0700073,86.30435181,391.8399963,85.60865784,391.8399963,84.71367645,277.0700073,-5.139162064,342,104.5827484,277.0700073,1.038570881,
278,-4.319420815,378,126.3665009,278,-5.641283035,402.9200134,82.25065613,308,88.15997314,392.9200134,87.7543335,392.9200134,86.9216156,278,-5.520951271,343.0700073,109.6396179,278,1.189479351,
279.0700073,-4.548594475,379.0700073,129.3981476,279.0700073,-5.17198658,403.8399963,85.49412537,309.0700073,88.53915405,393.8399963,92.9881897,393.8399963,88.51248932,279.0700073,-5.381995678,344,112.4871521,279.0700073,3.275016308,
280,-3.968522072,380,131.5596313,280,-4.155797958,404.9200134,85.31557465,310,90.3482132,394.9200134,92.09368896,394.9200134,91.10469055,280,-4.902689934,345.0700073,113.0145569,280,5.082699299,
280.9299927,-3.754070282,381.0700073,133.098938,280.9299927,-3.631563187,405.8399963,87.09841156,311.0700073,93.40563202,395.8399963,95.52778625,395.8399963,92.60248566,280.9299927,-3.429853439,346,114.6427612,280.9299927,10.3198185,
282.0299988,-0.9887886047,382,133.7964935,282.0299988,-0.9809951782,406.9200134,92.67760468,312,93.82597351,396.9200134,97.46940613,396.9200134,95.66107941,282.0299988,-0.9485206604,347.0700073,116.3396606,282.0299988,17.6885891,
282.9599915,2.233683586,383.0700073,133.5773773,282.9599915,2.02421093,407.8399963,92.61869812,313.0700073,95.15354156,397.8399963,96.86528015,397.8399963,97.23536682,282.9599915,2.021055222,348,116.0783081,282.9599915,24.97131538,
284.0599976,6.97733593,384,136.2950134,284.0599976,6.786395073,408.9200134,94.93843079,314,97.25138092,398.9200134,101.2677612,398.9200134,99.45393372,284.0599976,5.953623772,349.0700073,117.2900543,284.0599976,38.47496796,
285,12.25953007,385.0700073,137.6098175,285,10.56202602,409.8399963,98.96361542,315.0700073,97.77874756,399.8399963,105.1515656,399.8399963,101.5699615,285,10.35975552,350,117.8792419,285,47.405159,
285.9299927,16.05847168,386,141.0653992,285.9299927,13.9739542,410.8999939,99.53833771,316,100.9085846,400.9200134,105.1118622,400.9200134,103.8921204,285.9299927,14.11700344,351.0700073,118.6314392,285.9299927,56.49611282,
287.0299988,21.64552307,387.0700073,138.5338898,287.0299988,18.85227585,411.9599915,103.3705978,317.0700073,98.48097229,401.8399963,107.4417114,401.8399963,105.4926071,287.0299988,18.8025589,352,118.9089508,287.0299988,70.82608032,
287.9599915,27.02569199,388,143.3215942,287.9599915,22.1577034,412.8699951,104.7883224,318,101.1782455,402.9200134,109.1869659,402.9200134,106.5220566,287.9599915,23.00269318,353.0700073,121.9454651,287.9599915,78.42115021,
