CdS sonochem 90min ex335,,CdS sonochem 90min em410,,CdS sonochem 90min ex300,,CdS sonochem 90min em350,,CdS sonochem 90min ex295,,CdS sonochem 90min ex295 slow,,CdS sonochem 90min ex335 slow,,CdS sonochem 90min em410 slow,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
371.8399963,74.17197418,267.0299988,5.048206329,337.0700073,109.7470093,267.0299988,7.594601631,332,118.1644592,332,118.8096466,371.8399963,74.97187042,267.0299988,3.834844589,
372.9200134,77.27767944,267.9599915,4.32302475,338,109.2454224,267.9599915,6.693778038,333.0700073,121.6530914,333.0700073,122.8311157,372.9200134,78.54047394,267.9599915,3.09866333,
373.8399963,79.40713501,269.0599976,2.925243378,339.0700073,112.6013184,269.0599976,6.918765068,334,123.6776123,334,124.5956421,373.8399963,79.78813171,269.0599976,2.74605751,
374.9200134,82.08388519,270,1.956411362,340,112.5280914,270,6.081585884,335.0700073,125.6863861,335.0700073,127.3338165,374.9200134,83.44277954,270,1.788496017,
375.8399963,86.3842392,271.0700073,1.086523056,341.0700073,117.9756012,271.0700073,5.480614662,336,128.6945343,336,128.2829437,375.8399963,84.06995392,271.0700073,1.078445435,
376.9200134,82.92044067,272,0.9429969788,342,117.2178345,272,5.120926857,337.0700073,128.6273651,337.0700073,130.5043945,376.9200134,86.41477966,272,0.4942703247,
377.8399963,90.07738495,273.0700073,0.2972354889,343.0700073,119.0409241,273.0700073,4.268876076,338,130.2471313,338,132.5015564,377.8399963,89.45027924,273.0700073,-0.534368515,
378.9200134,90.8988266,274,-0.7889518738,344,120.4945374,274,3.702084541,339.0700073,132.1621094,339.0700073,133.764679,378.9200134,92.41982269,274,-1.025987625,
379.8399963,93.48616028,275.0700073,-2.119211197,345.0700073,122.8193512,275.0700073,3.355008125,340,132.4802856,340,134.5424042,379.8399963,95.71282959,275.0700073,-2.360424042,
380.9200134,95.80692291,276,-2.706520081,346,125.2240601,276,3.107255936,341.0700073,137.7415466,341.0700073,137.1489868,380.9200134,97.8884201,276,-3.009279251,
381.8399963,101.514595,277.0700073,-3.229568481,347.0700073,126.1096954,277.0700073,3.972432137,342,137.9440155,342,137.7219696,381.8399963,100.1485214,277.0700073,-3.728342056,
382.9200134,101.151123,278,-3.65839386,348,126.4206085,278,6.365324974,343.0700073,139.4912262,343.0700073,139.2060242,382.9200134,103.9378052,278,-3.70042038,
383.8399963,103.2290268,279.0700073,-1.450181961,349.0700073,125.3599091,279.0700073,12.62538624,344,139.0875397,344,140.6557312,383.8399963,106.5842209,279.0700073,-2.399690628,
384.9200134,110.417923,280,0.884601593,350,127.2059021,280,21.15045929,345.0700073,139.2207947,345.0700073,141.5375824,384.9200134,109.3958054,280,0.08638763428,
385.8399963,110.2978516,280.9299927,2.833675385,351.0700073,124.050766,280.9299927,30.63796616,346,141.0182495,346,141.4032593,385.8399963,113.5006027,280.9299927,3.324747086,
386.9200134,110.2214203,282.0299988,9.638607025,352,125.9993591,282.0299988,48.38639832,347.0700073,143.0287323,347.0700073,141.4100952,386.9200134,115.4046555,282.0299988,9.61939621,
387.8399963,115.9344177,282.9599915,16.39536476,353.0700073,125.9452972,282.9599915,64.53601837,348,141.8085175,348,141.5407715,387.8399963,117.9379654,282.9599915,16.31314468,
388.9200134,117.8665924,284.0599976,23.8718853,354,123.9882507,284.0599976,82.06719971,349.0700073,140.1704865,349.0700073,140.9180298,388.9200134,120.6500168,284.0599976,24.81350327,
389.8399963,118.7416077,285,31.1367588,355.0700073,123.2935028,285,99.04403687,350,137.056488,350,140.2720642,389.8399963,122.4605789,285,31.44698715,
390.9200134,123.2553558,285.9299927,37.24532318,356,120.8640594,285.9299927,111.0620804,351.0700073,137.4042053,351.0700073,139.1751404,390.9200134,122.9999924,285.9299927,37.54948807,
391.8399963,122.9437561,287.0299988,43.58590698,357.0700073,120.4028015,287.0299988,124.0517426,352,136.7413483,352,136.8128815,391.8399963,126.4231339,287.0299988,44.89575577,
392.9200134,127.8109589,287.9599915,49.27793884,358,120.9784851,287.9599915,133.7401581,353.0700073,135.5654144,353.0700073,136.1428223,392.9200134,128.243103,287.9599915,49.79861069,
393.8399963,130.0115967,289.0599976,54.7172699,359.0700073,118.1235046,289.0599976,142.1358948,354,131.0202789,354,133.6595612,393.8399963,129.8640442,289.0599976,54.98740768,
394.9200134,130.3267517,290,58.46118164,360,120.2186432,290,145.5635071,355.0700073,130.6859894,355.0700073,131.2536316,394.9200134,132.1223145,290,58.70753098,
395.8399963,130.4920044,290.9299927,61.80996704,361.0700073,120.3417053,290.9299927,147.5775146,356,130.5596466,356,130.9052277,395.8399963,133.613678,290.9299927,62.51237106,
396.9200134,134.6808319,292.0299988,66.48158264,362,117.7905579,292.0299988,149.0039063,357.0700073,129.3625031,357.0700073,128.0966034,396.9200134,136.0782776,292.0299988,66.87028503,
397.8399963,135.9293823,292.9599915,69.72335815,363.0700073,115.7073212,292.9599915,149.282486,358,128.0982971,358,127.7150421,397.8399963,137.051239,292.9599915,69.87304688,
398.9200134,136.5561829,294.0599976,74.80059814,364,115.6792755,294.0599976,150.9003448,359.0700073,126.8348236,359.0700073,124.6547546,398.9200134,138.0257874,294.0599976,74.56256104,
399.8399963,134.7046051,295,78.07640839,365.0700073,113.6965332,295,146.9277649,360,124.3795319,360,123.7214661,399.8399963,138.8139648,295,78.20637512,
400.9200134,137.0252838,295.9299927,81.07899475,366,112.5986023,295.9299927,148.848877,361.0700073,122.0938721,361.0700073,122.0318604,400.9200134,140.8643188,295.9299927,81.73046875,
401.8399963,141.158783,297.0299988,85.34307861,367.0700073,113.8420715,297.0299988,146.6899567,362,121.5081024,362,121.2155151,401.8399963,140.7184753,297.0299988,85.08889771,
402.9200134,141.9607697,297.9599915,85.94843292,368,113.4289856,297.9599915,146.1872406,363.0700073,120.0242004,363.0700073,119.4374695,402.9200134,143.3696289,297.9599915,87.67071533,
403.8399963,142.6768494,299.0599976,89.85475922,369.0700073,109.9676361,299.0599976,146.1609039,364,117.3718719,364,118.3223267,403.8399963,142.7131653,299.0599976,89.75611877,
404.9200134,141.8751984,300,91.01338959,370,109.7281342,300,141.9149475,365.0700073,114.8975677,365.0700073,117.0534973,404.9200134,142.9613342,300,92.67063904,
405.8399963,143.2134705,301.0700073,94.27548218,371.0700073,109.0595856,301.0700073,140.8143158,366,114.1642303,366,115.7645264,405.8399963,144.170166,301.0700073,94.33197021,
406.9200134,143.9176178,302,94.33702087,372,106.2658234,302,135.8519287,367.0700073,112.6530457,367.0700073,113.625885,406.9200134,144.8046875,302,96.24969482,
407.8399963,144.9098206,303.0700073,99.52105713,373.0700073,104.481308,303.0700073,132.4680176,368,111.4618683,368,111.6256714,407.8399963,145.1188049,303.0700073,99.32324219,
408.9200134,146.2066345,304,100.0494995,374,104.9004974,304,128.6154327,369.0700073,108.5115967,369.0700073,110.4593048,408.9200134,146.1390076,304,100.4430389,
409.8399963,145.4632416,305.0700073,102.2354965,375.0700073,100.7084045,305.0700073,124.625473,370,109.5815735,370,108.0382233,409.8399963,146.62323,305.0700073,103.1458435,
410.8999939,145.6799927,306,105.6514816,376,100.858963,306,118.702713,371.0700073,107.0817566,371.0700073,106.4179916,410.8999939,146.3385925,306,104.7238464,
411.9599915,145.1978607,307.0700073,106.665802,377.0700073,99.08528137,307.0700073,112.0552063,372,103.1170959,372,105.5219574,411.9599915,145.686554,307.0700073,107.2001343,
412.8699951,144.5782623,308,109.0004654,378,99.7406311,308,109.5098648,373.0700073,102.9520569,373.0700073,103.6172333,412.8699951,147.131134,308,109.0037689,
413.9299927,143.5410004,309.0700073,111.6387711,379.0700073,97.8927002,309.0700073,106.5460815,374,103.6097336,374,102.3225479,413.9299927,145.5725708,309.0700073,111.2537231,
414.8399963,139.4655914,310,112.1513443,380,96.16581726,310,102.7710876,375.0700073,99.49671936,375.0700073,100.1187744,414.8399963,145.4560242,310,113.3440247,
415.8999939,144.1519775,311.0700073,114.408226,381.0700073,95.1893158,311.0700073,98.510849,376,96.75261688,376,98.29182434,415.8999939,144.2816162,311.0700073,115.2059784,
416.9599915,145.5851288,312,116.7713699,382,97.03845215,312,96.32267761,377.0700073,96.061203,377.0700073,96.42597961,416.9599915,144.3957825,312,116.8989716,
417.8699951,139.6976013,313.0700073,117.9655533,383.0700073,95.2644043,313.0700073,91.81708527,378,95.90023804,378,96.34037018,417.8699951,143.7601624,313.0700073,118.6449127,
418.9299927,140.8072357,314,117.9199295,384,94.54196167,314,89.58166504,379.0700073,95.28083801,379.0700073,94.08930969,418.9299927,142.5624084,314,119.9127655,
419.8399963,138.1902313,315.0700073,120.5636368,385.0700073,93.11633301,315.0700073,84.20932007,380,95.35961914,380,92.63785553,419.8399963,139.6513367,315.0700073,120.4909668,
420.9200134,137.9718323,316,119.7507401,386,94.63674927,316,83.40594482,381.0700073,92.4130249,381.0700073,92.17217255,420.9200134,139.0588684,316,123.6807251,
421.8399963,136.3685455,317.0700073,124.1550369,387.0700073,92.56611633,317.0700073,79.88309479,382,91.94564056,382,91.72054291,421.8399963,137.9389343,317.0700073,124.9455109,
422.9200134,133.4447784,318,126.3086929,388,91.73945618,318,73.0138855,383.0700073,91.29172516,383.0700073,91.20231628,422.9200134,137.2084656,318,125.5050659,
423.8399963,133.0471954,319.0700073,127.5639267,389.0700073,90.45051575,319.0700073,69.19887543,384,88.60101318,384,89.76161957,423.8399963,134.9195251,319.0700073,127.7593079,
424.9200134,130.0793915,320,127.8489609,390,89.86433411,320,64.38858032,385.0700073,88.87717438,385.0700073,89.59979248,424.9200134,131.980011,320,128.6233978,
