CdSe 180sec ex295,,CdSe 180sec ex340,,CdSe 180sec ex455,,CdSe 180sec em530,,CdSe 180sec ex420,,CdSe 180sec ex330,,CdSe 180sec em420,,CdSe 180sec ex355,,CdSe 180sec em455,,CdSe 180sec ex390,,CdSe 180sec em460,,CdSe 180sec ex400,,CdSe 180sec em530,,CdSe 180sec em530,,CdSe 180sec ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
320,-0.01238602586,365.0700073,0.2972262502,480,0.5610024929,305.0700073,0.9860079885,445,0.856395781,355.0700073,0.07814738899,255,0.1167555153,379.8399963,0.2162847519,255,-0.2639893889,415,0.7823826075,255,-0.09194085002,425.0700073,0.9134017229,305.0700073,0.88719666,285,-0.5475814342,445,0.8795582652,
320.9299927,-0.03985704482,366,0.2873103023,481.0599976,0.4547860622,306,0.7894383073,446.0599976,1.008119345,356,0.1795930862,255.9299927,0.2899359167,380.9200134,0.2688383162,255.9299927,-0.1253105998,416.0599976,0.803550005,255.9299927,0.1860496402,426,1.184771299,306,0.9285438061,285.9299927,-0.6305806637,446.0599976,0.9061201215,
322.0299988,0.01289183274,367.0700073,0.468780756,481.9599915,0.5133098364,307.0700073,1.296294689,446.9599915,1.121151447,357.0700073,0.179376781,257.0299988,0.259514302,381.8399963,0.2552431822,257.0299988,-0.3380844295,416.9599915,0.6467027068,257.0299988,-0.2050672174,427.0700073,0.9259043932,307.0700073,1.107877374,287.0299988,-0.6887232065,446.9599915,1.176212311,
322.9599915,9.182095528E-5,368,0.4697086811,483.0299988,0.4375671148,308,1.229788303,448.0299988,1.139482737,358,0.2867420912,257.9599915,0.2580542266,382.9200134,0.2143185139,257.9599915,-0.2694712877,418.0299988,0.9011285305,257.9599915,-0.06802603602,428,1.100247145,308,1.461702228,287.9599915,-0.4698883891,448.0299988,1.18487215,
324.0599976,-0.01187445037,369.0700073,0.7122156024,483.9299927,0.5661410093,309.0700073,1.347938061,448.9299927,1.311130047,359.0700073,0.128680259,259.0599976,0.320707351,383.8399963,0.2521134019,259.0599976,-0.3297044039,418.9299927,0.8794821501,259.0599976,-0.01764202118,429.0700073,1.209787011,309.0700073,1.166393518,289.0599976,-0.4168912172,448.9299927,1.254765034,
325,-0.06746952981,370,0.6306824088,485,0.4573067427,310,1.145567894,450,1.429324627,360,0.2627844512,260,0.1756246686,384.9200134,0.4437604249,260,-0.1826927662,420,1.018946409,260,0.1257262826,430,1.198558688,310,1.592907548,290,-0.4670125842,450,1.328526974,
325.9299927,0.001242786646,371.0700073,0.7267498374,486.0599976,0.6609699726,311.0700073,1.326739073,451.0599976,1.452152729,361.0700073,0.3058883548,260.9299927,0.1629264653,385.8399963,0.2321517467,260.9299927,-0.329186976,421.0700073,1.113698483,260.9299927,-0.05185008049,431.0599976,1.32987833,311.0700073,1.612162232,290.9299927,-0.4179786444,451.0599976,1.530523062,
327.0299988,0.02961538732,372,0.8214772344,486.9599915,0.7061982155,312,1.631536722,451.9599915,1.590917826,362,0.2633242011,262.0299988,0.2130989432,386.9200134,0.3475238681,262.0299988,-0.2230864763,422,1.274002433,262.0299988,-0.05350106955,431.9599915,1.213693857,312,1.528038621,292.0299988,-0.3158708811,451.9599915,1.540462017,
327.9599915,-0.03985704482,373.0700073,0.7437415719,488.0299988,0.5242786407,313.0700073,1.816017628,453.0299988,1.631774426,363.0700073,0.3155818582,262.9599915,0.1577803791,387.8399963,0.4534211457,262.9599915,-0.1847731471,423.0700073,1.305881739,262.9599915,-0.04506200552,433.0299988,1.463580847,313.0700073,1.689144254,292.9599915,-0.3059081435,453.0299988,1.662842751,
329.0599976,0.04365142435,374,0.8798385262,488.9299927,0.5083830357,314,1.783247948,453.9299927,1.871236086,364,0.291298151,264.0599976,0.2494052351,388.9200134,0.4870755076,264.0599976,-0.2491271496,424,1.307910442,264.0599976,0.1392742991,433.9299927,1.402368426,314,1.604666352,294.0599976,-0.3143167496,453.9299927,1.584652662,
330,-0.02624271065,375.0700073,0.9289450049,490,0.4976940155,315.0700073,1.993461609,455,1.857173204,365.0700073,0.4234036207,265,0.4189675152,389.8399963,0.4807031155,265,-0.3770385981,425.0700073,1.34574151,265,-0.01761001348,435,1.618281126,315.0700073,1.650574565,295,-0.2604987621,455,1.840361834,
331.0700073,-0.02601372451,376,1.013335943,491.0400085,0.6749939919,316,2.31172204,456.0599976,1.797787666,366,0.268918395,265.9299927,0.2931838334,390.9200134,0.6698618531,265.9299927,-0.2707124949,426,1.435362697,265.9299927,0.1030810475,436.0599976,1.48966074,316,1.927494407,295.9299927,-0.2304448485,456.0599976,1.969923973,
332,-0.03985704482,377.0700073,0.91681391,491.9400024,0.8005907536,317.0700073,1.821083784,456.9599915,1.957672119,367.0700073,0.1826531589,267.0299988,0.08958536386,391.8399963,0.4769604206,267.0299988,-0.2643654943,427.0700073,1.372468352,267.0299988,-0.01971620321,436.9599915,1.652971268,317.0700073,2.19497776,297.0299988,-0.1725127697,456.9599915,1.970631361,
333.0700073,-0.06859102845,378,1.148940444,492.980011,0.7881033421,318,2.30952549,458.0299988,2.19507885,368,0.2643893957,267.9599915,0.1406930685,392.9200134,0.6767700911,267.9599915,-0.3225544095,428,1.613652468,267.9599915,-0.1361637115,438.0299988,1.786793947,318,2.519118071,297.9599915,-0.1976861954,458.0299988,2.186630964,
334,-0.02640823089,379.0700073,1.319421411,494.019989,0.8359007835,319.0700073,2.375174046,458.9299927,2.333022594,369.0700073,0.5189009905,269.0599976,0.1341356933,393.8399963,0.4675909877,269.0599976,-0.369307518,429.0700073,1.712486982,269.0599976,-0.04655534029,438.9299927,1.722887516,319.0700073,2.793169737,299.0599976,0.04086387157,458.9299927,2.173891068,
335.0700073,-0.09528096765,380,1.118487358,495.0700073,1.18206358,320,2.725277901,460,2.265566111,370,0.2893747091,270,0.2202327251,394.9200134,0.6376872659,270,-0.4150063097,430,1.582954884,270,-0.03151750565,440,2.086319447,320,2.929472208,300,-0.09043312073,460,2.117415667,
336,-0.09464856237,381.0700073,1.273515344,495.9700012,1.32869792,320.9299927,2.302299261,461.0599976,2.453308582,371.0700073,0.4919221401,271.0700073,0.1576960087,395.8399963,0.7289027572,271.0700073,-0.3839401007,431.0599976,1.828020215,271.0700073,-0.0968631804,441.0599976,2.137449265,320.9299927,2.853728056,301.0700073,0.06057500839,461.0599976,2.35128212,
