CdS sonochem 180min em420,,CdS sonochem 180min ex360,,CdS sonochem 180min em440,,CdS sonochem 180min ex365,,CdS sonochem 180min ex370,,CdS sonochem 180min em512,,CdS sonochem 180min ex400,,CdS sonochem 180min em515,,CdS sonochem 180min em435,,CdS sonochem 180min ex295,,CdS sonochem 180min em400,,CdS sonochem 180min ex340,,CdS sonochem 180min em425,,CdS sonochem 180min ex385,,CdS sonochem 180min ex365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
255,0.2767653465,385.0700073,8.890354156,255,0.3553733826,389.8399963,10.78670406,395.0700073,12.22380257,255,-0.1197199821,425.0700073,13.08797264,255,-1.000541687,255,0.1078307629,320,0.04876416922,255,0.792591095,365.0700073,4.871177197,255,0.01356053352,409.8399963,15.28527164,389.8399963,10.33985424,
255.9299927,0.6214601994,386,10.27425575,255.9299927,-0.003764390945,390.9200134,11.58391953,396,13.88305664,255.9299927,-0.7631645203,426,13.37080193,255.9299927,-0.9887390137,255.9299927,0.4576058388,320.9299927,0.1426495016,255.9299927,0.5497684479,366,5.537788391,255.9299927,0.004899740219,410.8999939,17.20331955,390.9200134,11.75329494,
257.0299988,0.5805864334,387.0700073,11.25301456,257.0299988,0.486982584,391.8399963,13.07552242,397.0700073,14.82777596,257.0299988,-0.8472428322,427.0700073,14.09794807,257.0299988,-1.365898609,257.0299988,0.411396265,322.0299988,0.03430575132,257.0299988,0.7496967316,367.0700073,5.775909424,257.0299988,0.06629419327,411.9599915,18.16591263,391.8399963,12.95313358,
257.9599915,0.5003881454,388,12.62668324,257.9599915,0.06800961494,392.9200134,14.18279171,398,16.89099693,257.9599915,-0.8196597099,428,14.85163116,257.9599915,-0.9763178825,257.9599915,0.5596847534,322.9599915,0.1427696943,257.9599915,0.5929579735,368,6.365754128,257.9599915,-0.09802222252,412.8699951,20.35261154,392.9200134,13.47366619,
259.0599976,0.3799142838,389.0700073,13.12390995,259.0599976,-0.03975701332,393.8399963,15.45414257,399.0700073,19.00627518,259.0599976,-1.13285923,429.0700073,15.92357445,259.0599976,-1.303122044,259.0599976,0.4801113605,324.0599976,0.2607409954,259.0599976,0.4348506927,369.0700073,7.198708534,259.0599976,0.05786037445,413.9299927,21.05476761,393.8399963,15.22948933,
260,0.3226640224,390,14.24793911,260,-0.228635788,394.9200134,16.88702774,400,19.72116852,260,-1.50703907,430,16.97162247,260,-1.738567352,260,0.346606493,325,0.05457977951,260,0.08470153809,370,7.783308029,260,-0.06192445755,414.8399963,22.7668457,394.9200134,16.51008987,
260.9299927,0.2127962112,391.0700073,16.31559372,260.9299927,-0.04948163033,395.8399963,18.19091415,401.0700073,21.06493187,260.9299927,-1.522500515,431.0599976,17.20482445,260.9299927,-1.548361778,260.9299927,0.4933207035,325.9299927,0.1683221012,260.9299927,0.0561876297,371.0700073,8.962080956,260.9299927,-0.4380075932,415.8999939,24.19221115,395.8399963,17.85709763,
262.0299988,0.2840559483,392,16.94864464,262.0299988,-0.05264830589,396.9200134,19.57517815,402,23.11528206,262.0299988,-1.270565033,431.9599915,18.16831779,262.0299988,-1.816962719,262.0299988,0.1077682972,327.0299988,0.3053232431,262.0299988,0.5962324142,372,9.154129028,262.0299988,-0.4486720562,416.9599915,26.04822922,396.9200134,19.49293137,
262.9599915,0.5586013794,393.0700073,18.29324532,262.9599915,-0.1026177406,397.8399963,21.54163551,403.0700073,23.86717033,262.9599915,-1.415253878,433.0299988,18.91795158,262.9599915,-1.897334099,262.9599915,0.2070126534,327.9599915,0.4004870653,262.9599915,0.3793289661,373.0700073,9.955295563,262.9599915,-0.2600209713,417.8699951,27.39554214,397.8399963,20.65092087,
264.0599976,0.11196661,394,19.24347115,264.0599976,-0.1638324261,398.9200134,22.27161598,404,25.94705772,264.0599976,-1.371583223,433.9299927,19.60315323,264.0599976,-1.77083993,264.0599976,0.5168397427,329.0599976,0.4724730849,264.0599976,0.4772560596,374,10.69139194,264.0599976,-0.4027154446,418.9299927,28.96155167,398.9200134,22.77180862,
