CdS sonochem 180min em420,,CdS sonochem 180min ex360,,CdS sonochem 180min em440,,CdS sonochem 180min ex365,,CdS sonochem 180min ex370,,CdS sonochem 180min em512,,CdS sonochem 180min ex400,,CdS sonochem 180min em515,,CdS sonochem 180min em435,,CdS sonochem 180min ex295,,CdS sonochem 180min em400,,CdS sonochem 180min ex340,,CdS sonochem 180min em425,,CdS sonochem 180min ex385,,CdS sonochem 180min ex365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,640,3.878544092,,,644.9199829,3.030946493,650,2.009538174,,,680,-4.136832714,,,,,,,,,620,4.457055092,,,664.9199829,-1.279064178,644.9199829,2.482991695,
,,641.0100098,3.88293004,,,645.9400024,3.025825739,651,2.163263321,,,681,-4.20925951,,,,,,,,,621.0200195,4.852134228,,,665.9400024,-1.742342472,645.9400024,3.028262138,
,,642.0200195,3.359159231,,,646.9500122,2.725912809,652,1.656177998,,,682,-4.669395924,,,,,,,,,622.0499878,5.132754326,,,666.9500122,-1.583076,646.9500122,2.652122021,
,,643.039978,3.270075083,,,647.9699707,2.820277452,653,2.074470043,,,683,-4.435770035,,,,,,,,,622.9400024,4.686745644,,,667.9699707,-1.560722828,647.9699707,2.74954319,
,,644.0499878,3.445732355,,,648.9799805,2.984683275,654,1.903820515,,,684,-4.317313671,,,,,,,,,623.9699707,4.452127934,,,668.9799805,-1.54668951,648.9799805,2.311918736,
,,645.0700073,2.976747274,,,649.8499756,2.373169184,655,2.129953861,,,685,-4.532455444,,,,,,,,,625,4.908968449,,,669.8499756,-1.955065727,649.8499756,2.434702873,
,,645.9400024,3.015520334,,,650.8499756,2.501971006,656,1.410679817,,,686,-4.987390995,,,,,,,,,626.0200195,4.56858778,,,670.8499756,-2.261628628,650.8499756,2.526226044,
,,646.9500122,3.050744772,,,651.8499756,2.376816988,657,1.412455082,,,687,-4.657211781,,,,,,,,,627.0499878,4.247772217,,,671.8499756,-2.001909256,651.8499756,2.259122372,
,,647.9699707,2.750989199,,,652.8499756,1.932123423,658,1.839541912,,,688,-4.371855259,,,,,,,,,627.9400024,4.155819416,,,672.8499756,-1.980785847,652.8499756,1.940775871,
,,648.9799805,2.650805712,,,653.8499756,2.409317732,659,1.203127384,,,689,-4.651813507,,,,,,,,,628.9699707,4.139815331,,,673.8499756,-2.249360561,653.8499756,2.400433064,
,,650,2.66686511,,,654.8499756,2.28555131,660,1.460430145,,,690,-4.706656456,,,,,,,,,630,4.347105503,,,674.8499756,-2.142868519,654.8499756,2.035356522,
,,651,2.330636263,,,655.8499756,2.527294874,661.0100098,1.403858185,,,691,-4.610730648,,,,,,,,,631.0100098,3.932806492,,,675.8499756,-2.372544765,655.8499756,2.311570644,
,,652,2.775598288,,,656.8499756,2.275259256,662.0200195,1.215581417,,,692,-4.573431015,,,,,,,,,632.0200195,4.236216068,,,676.8499756,-2.491425037,656.8499756,1.943984985,
,,653,2.280619383,,,657.8499756,2.098823786,663.039978,1.226097107,,,693,-4.776276112,,,,,,,,,633.039978,4.377668381,,,677.8499756,-2.342289448,657.8499756,1.813301086,
,,654,2.59382844,,,658.8499756,1.853147745,664.0499878,0.6409468651,,,694,-4.898658752,,,,,,,,,634.0499878,4.123001575,,,678.8499756,-2.510601521,658.8499756,2.358863831,
,,655,2.607266188,,,659.8499756,1.971079111,665.0700073,0.8586835861,,,695,-4.937715054,,,,,,,,,635.0700073,3.824559212,,,679.8499756,-2.567596436,659.8499756,1.665194035,
,,656,2.259771585,,,660.8599854,1.564623594,665.9400024,0.5391778946,,,696,-4.967166424,,,,,,,,,635.9400024,3.726687908,,,680.8499756,-2.627583981,660.8599854,1.36113596,
,,657,2.468983412,,,661.8800049,1.497704268,666.9500122,0.822280407,,,697,-4.875199795,,,,,,,,,636.9500122,3.816363811,,,681.8499756,-2.610084057,661.8800049,1.401293755,
,,658,2.580567598,,,662.8900146,1.467891455,667.9699707,0.425122261,,,698,-5.004973412,,,,,,,,,637.9699707,3.346836567,,,682.8499756,-2.731396675,662.8900146,1.496267319,
,,659,2.120911837,,,663.9099731,1.624145269,668.9799805,0.3736467361,,,699,-4.935474396,,,,,,,,,638.9799805,3.825281143,,,683.8499756,-3.078656197,663.9099731,1.483951569,
,,660,1.800588846,,,664.9199829,1.305967569,670,0.3888831139,,,700,-4.929591179,,,,,,,,,640,3.536533356,,,684.8499756,-3.123696327,664.9199829,1.41779089,
,,661.0100098,2.173833132,,,665.9400024,1.309037447,671,0.387368679,,,,,,,,,,,,,641.0100098,3.463606834,,,685.8499756,-3.011377811,665.9400024,1.306159496,
,,662.0200195,1.880415201,,,666.9500122,1.213827848,672,0.1226110458,,,,,,,,,,,,,642.0200195,3.455221176,,,686.8499756,-3.126289845,666.9500122,1.211297512,
,,663.039978,1.863619089,,,667.9699707,1.37591815,673,-0.02240419388,,,,,,,,,,,,,643.039978,3.313642979,,,687.8499756,-3.341347218,667.9699707,1.310397148,
,,664.0499878,1.920208216,,,668.9799805,0.8069961071,674,0.1746983528,,,,,,,,,,,,,644.0499878,3.163882256,,,688.8499756,-3.436533451,668.9799805,0.7176270485,
,,665.0700073,1.47851491,,,669.8499756,0.9699375629,675,0.1735782623,,,,,,,,,,,,,645.0700073,3.544019222,,,689.8499756,-3.184954643,669.8499756,0.9231872559,
,,665.9400024,1.611468554,,,670.8499756,0.7762525082,676,-0.249900341,,,,,,,,,,,,,645.9400024,3.498365402,,,690.8499756,-3.281712532,670.8499756,0.8170824051,
,,666.9500122,2.167215586,,,671.8499756,0.6639893055,677,-0.1320099831,,,,,,,,,,,,,646.9500122,2.692743778,,,691.8499756,-3.449997902,671.8499756,0.7386012077,
,,667.9699707,1.560418844,,,672.8499756,0.6594245434,678,0.1405611038,,,,,,,,,,,,,647.9699707,3.169411659,,,692.8499756,-3.190711498,672.8499756,0.6215863228,
,,668.9799805,1.4068501,,,673.8499756,0.9892966747,679,-0.2175116539,,,,,,,,,,,,,648.9799805,2.659655571,,,693.8499756,-3.487140656,673.8499756,0.6302337646,
,,670,1.155996561,,,674.8499756,0.9047210217,680,-0.213344574,,,,,,,,,,,,,650,2.878474236,,,694.8499756,-3.403085709,674.8499756,0.5643544197,
,,671,1.120419264,,,675.8499756,0.5428674221,681,-0.3546762466,,,,,,,,,,,,,,,,,695.8499756,-3.641009092,675.8499756,0.6435074806,
,,672,1.158805132,,,676.8499756,0.1170818806,682,-0.746748209,,,,,,,,,,,,,,,,,696.8499756,-3.728488445,676.8499756,0.5995154381,
,,673,1.124340773,,,677.8499756,0.8382208347,683,-1.013463497,,,,,,,,,,,,,,,,,697.8499756,-3.584013939,677.8499756,0.4554800987,
,,674,1.187795401,,,678.8499756,0.3720486164,684,-0.3647418022,,,,,,,,,,,,,,,,,698.8499756,-3.425262451,678.8499756,0.1501505375,
,,675,1.339664698,,,679.8499756,0.3551535606,685,-0.780977726,,,,,,,,,,,,,,,,,699.8499756,-3.663668871,679.8499756,0.5193648338,
,,676,1.215018034,,,680.8499756,-0.04211401939,686,-0.8366217613,,,,,,,,,,,,,,,,,700.8499756,-3.518691778,680.8499756,0.5009198189,
,,677,1.058957815,,,681.8499756,0.2550561428,687,-0.6365754604,,,,,,,,,,,,,,,,,,,681.8499756,0.3457551003,
,,678,0.8651509285,,,682.8499756,0.1558451653,688,-0.6496298313,,,,,,,,,,,,,,,,,,,682.8499756,-0.08211946487,
,,679,0.8804912567,,,683.8499756,0.1679282188,689,-0.6336460114,,,,,,,,,,,,,,,,,,,683.8499756,-0.2338438034,
,,680,0.3282709122,,,684.8499756,0.2819674015,690,-0.7674646378,,,,,,,,,,,,,,,,,,,684.8499756,-0.2734050751,
,,681,0.5954692364,,,685.8499756,-0.1865251064,691,-0.8419985771,,,,,,,,,,,,,,,,,,,685.8499756,-0.3083999157,
,,682,0.1787781715,,,686.8499756,0.2416799068,692,-0.7980616093,,,,,,,,,,,,,,,,,,,686.8499756,-0.4075195789,
,,683,0.5654313564,,,687.8499756,-0.2632653713,693,-0.9536406994,,,,,,,,,,,,,,,,,,,687.8499756,-0.4052784443,
,,684,0.4680321217,,,688.8499756,-0.2687048912,694,-0.9370954037,,,,,,,,,,,,,,,,,,,688.8499756,-0.5509417057,
,,685,0.2286438942,,,689.8499756,-0.1851680279,695,-0.8370230198,,,,,,,,,,,,,,,,,,,689.8499756,-0.2321465015,
,,686,0.1421847343,,,690.8499756,-0.1664345264,696,-0.8391404152,,,,,,,,,,,,,,,,,,,690.8499756,-0.1579647064,
,,687,0.02729463577,,,691.8499756,-0.3100278378,697,-0.6006011963,,,,,,,,,,,,,,,,,,,691.8499756,-0.2201187611,
,,688,0.426453352,,,692.8499756,-0.3487656116,698,-0.9847695827,,,,,,,,,,,,,,,,,,,692.8499756,-0.535451889,
,,689,0.46865201,,,693.8499756,-0.3672227859,699,-0.859442234,,,,,,,,,,,,,,,,,,,693.8499756,-0.3054959774,
,,690,0.0440557003,,,694.8499756,-0.1921615601,700,-1.190376282,,,,,,,,,,,,,,,,,,,694.8499756,-0.2387685776,
,,691,-0.03431510925,,,695.8499756,-0.3060922623,,,,,,,,,,,,,,,,,,,,,695.8499756,-0.3757703304,
,,692,0.2139418125,,,696.8499756,-0.6178102493,,,,,,,,,,,,,,,,,,,,,696.8499756,-0.7101831436,
,,693,0.2076587677,,,697.8499756,-0.5477361679,,,,,,,,,,,,,,,,,,,,,697.8499756,-0.2789452076,
,,694,0.06157493591,,,698.8499756,-0.2010173798,,,,,,,,,,,,,,,,,,,,,698.8499756,-0.5525004864,
,,695,0.0256061554,,,699.8499756,-0.2971761227,,,,,,,,,,,,,,,,,,,,,699.8499756,-0.4047510624,
,,696,0.1226420403,,,700.8499756,-0.4677138329,,,,,,,,,,,,,,,,,,,,,700.8499756,-0.2422504425,
,,697,-0.03428173065,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,698,-0.1594295502,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,699,-0.2106592655,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,700,0.05626988411,,,,,,,,,,,,,,,,,,,,,,,,,,,

CdS sonochem 180min em420,
CdS sonochem 180min em420
Collection Time: 8/19/2022 12:35:17 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        240.00
Stop (nm)                         410.00
Em. Wavelength (nm)               420.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:23:28 PM
Method Modifications:
Overlayed Graphs Changed: 8/19/2022 12:24:53 PM, Old:OFF, New:ON
Y max Changed: 8/19/2022 12:24:53 PM, Old:  1000.0000, New:   300.0000
Excitation Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 350.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 400.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 600.00, New: 500.00
Zero Mode Changed: 8/19/2022 12:27:22 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:27:22 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:28:28 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:28:28 PM, Old: 300.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:28:28 PM, Old: 310.00, New: 400.00
Stop Wavelength Changed: 8/19/2022 12:28:28 PM, Old: 500.00, New: 390.00
Zero Mode Changed: 8/19/2022 12:28:31 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:28:31 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:29:17 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:29:17 PM, Old: 240.00, New: 330.00
Emission Wavelength Changed: 8/19/2022 12:29:17 PM, Old: 400.00, New: 340.00
Stop Wavelength Changed: 8/19/2022 12:29:17 PM, Old: 390.00, New: 500.00
Zero Mode Changed: 8/19/2022 12:29:19 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:29:19 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:30:02 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:30:02 PM, Old: 330.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:30:02 PM, Old: 340.00, New: 410.00
Stop Wavelength Changed: 8/19/2022 12:30:02 PM, Old: 500.00, New: 400.00
Zero Mode Changed: 8/19/2022 12:30:08 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:30:08 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:30:53 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:30:53 PM, Old: 240.00, New: 335.00
Emission Wavelength Changed: 8/19/2022 12:30:53 PM, Old: 410.00, New: 345.00
Stop Wavelength Changed: 8/19/2022 12:30:53 PM, Old: 400.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:30:55 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:30:55 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:34:51 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:34:51 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:35:39 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:35:39 PM, Old: 335.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:35:39 PM, Old: 345.00, New: 410.00
Stop Wavelength Changed: 8/19/2022 12:35:39 PM, Old: 600.00, New: 400.00
Zero Mode Changed: 8/19/2022 12:35:42 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:35:43 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:36:52 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:36:52 PM, Old: 240.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:36:52 PM, Old: 410.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 12:36:52 PM, Old: 400.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:36:54 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:36:54 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:37:46 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:37:46 PM, Old: 300.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:37:46 PM, Old: 310.00, New: 350.00
Stop Wavelength Changed: 8/19/2022 12:37:46 PM, Old: 600.00, New: 340.00
Zero Mode Changed: 8/19/2022 12:37:49 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:37:49 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:38:28 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:38:28 PM, Old: 240.00, New: 295.00
Emission Wavelength Changed: 8/19/2022 12:38:28 PM, Old: 350.00, New: 305.00
Stop Wavelength Changed: 8/19/2022 12:38:28 PM, Old: 340.00, New: 550.00
Zero Mode Changed: 8/19/2022 12:38:31 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:38:31 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:39:12 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 12:39:12 PM, Old:0.10000, New:0.50000
Zero Mode Changed: 8/19/2022 12:39:14 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:39:14 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 12:41:46 PM, Old: 295.00, New: 335.00
Emission Wavelength Changed: 8/19/2022 12:41:46 PM, Old: 305.00, New: 345.00
Stop Wavelength Changed: 8/19/2022 12:41:46 PM, Old: 550.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:41:49 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:41:50 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:46:36 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:46:36 PM, Old: 335.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:46:36 PM, Old: 345.00, New: 410.00
Stop Wavelength Changed: 8/19/2022 12:46:36 PM, Old: 600.00, New: 400.00
Zero Mode Changed: 8/19/2022 12:46:39 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:46:40 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:50:26 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 12:50:26 PM, Old:0.50000, New:0.10000
Zero Mode Changed: 8/19/2022 12:50:27 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:50:27 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:51:32 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:51:32 PM, Old: 240.00, New: 337.00
Emission Wavelength Changed: 8/19/2022 12:51:32 PM, Old: 410.00, New: 347.00
Stop Wavelength Changed: 8/19/2022 12:51:32 PM, Old: 400.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:51:34 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:51:35 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:52:30 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:52:30 PM, Old: 337.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:52:30 PM, Old: 347.00, New: 415.00
Stop Wavelength Changed: 8/19/2022 12:52:30 PM, Old: 600.00, New: 400.00
Zero Mode Changed: 8/19/2022 12:52:33 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:52:33 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:53:13 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:53:13 PM, Old: 240.00, New: 340.00
Emission Wavelength Changed: 8/19/2022 12:53:13 PM, Old: 415.00, New: 350.00
Stop Wavelength Changed: 8/19/2022 12:53:13 PM, Old: 400.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:53:15 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:53:15 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:54:45 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:54:46 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:54:49 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:54:49 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:54:51 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 12:54:51 PM, Old:0.10000, New:0.50000
Zero Mode Changed: 8/19/2022 12:54:55 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:54:56 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:57:28 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:57:28 PM, Old: 340.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:57:28 PM, Old: 350.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 12:57:28 PM, Old: 600.00, New: 410.00
Zero Mode Changed: 8/19/2022 12:57:31 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:57:31 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:59:36 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:59:36 PM, Old: 240.00, New: 295.00
Emission Wavelength Changed: 8/19/2022 12:59:36 PM, Old: 420.00, New: 305.00
Stop Wavelength Changed: 8/19/2022 12:59:36 PM, Old: 410.00, New: 550.00
Scan Control Changed: 8/19/2022 12:59:41 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 12:59:41 PM, Old:0.50000, New:0.10000
Zero Mode Changed: 8/19/2022 12:59:44 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:59:44 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:00:36 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 1:00:36 PM, Old: 295.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 1:00:36 PM, Old: 305.00, New: 350.00
Stop Wavelength Changed: 8/19/2022 1:00:36 PM, Old: 550.00, New: 340.00
Zero Mode Changed: 8/19/2022 1:00:45 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:00:45 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:01:25 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:01:25 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 1:04:06 PM, Old: 350.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 1:04:06 PM, Old: 340.00, New: 410.00
Zero Mode Changed: 8/19/2022 1:04:08 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:04:08 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:04:55 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 1:04:55 PM, Old: 240.00, New: 330.00
Emission Wavelength Changed: 8/19/2022 1:04:55 PM, Old: 420.00, New: 340.00
Stop Wavelength Changed: 8/19/2022 1:04:55 PM, Old: 410.00, New: 600.00
Zero Mode Changed: 8/19/2022 1:04:56 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:04:57 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:06:34 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 8/19/2022 1:06:34 PM, Old: 450.00, New: 470.00
User Delta Increment Changed: 8/19/2022 1:06:34 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 8/19/2022 1:06:34 PM, Old: 330.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 1:06:34 PM, Old: 340.00, New: 470.00
Stop Wavelength Changed: 8/19/2022 1:06:34 PM, Old: 600.00, New: 460.00
Zero Mode Changed: 8/19/2022 1:06:37 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:06:37 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:07:26 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 1:07:26 PM, Old: 240.00, New: 355.00
Emission Wavelength Changed: 8/19/2022 1:07:26 PM, Old: 470.00, New: 365.00
Stop Wavelength Changed: 8/19/2022 1:07:26 PM, Old: 460.00, New: 600.00
Zero Mode Changed: 8/19/2022 1:07:27 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:07:27 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:08:25 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 8/19/2022 1:08:25 PM, Old: 470.00, New: 520.00
Excitation Wavelength Changed: 8/19/2022 1:08:25 PM, Old: 355.00, New: 270.00
Emission Wavelength Changed: 8/19/2022 1:08:25 PM, Old: 365.00, New: 520.00
Stop Wavelength Changed: 8/19/2022 1:08:25 PM, Old: 600.00, New: 510.00
Zero Mode Changed: 8/19/2022 1:08:29 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:08:29 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:09:40 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 1:09:40 PM, Old: 270.00, New: 345.00
Emission Wavelength Changed: 8/19/2022 1:09:40 PM, Old: 520.00, New: 355.00
Stop Wavelength Changed: 8/19/2022 1:09:40 PM, Old: 510.00, New: 600.00
Zero Mode Changed: 8/19/2022 1:09:42 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:09:43 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 1:12:27 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 1:12:27 PM, Old:0.10000, New:0.50000
Zero Mode Changed: 8/19/2022 1:12:29 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:12:30 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:15:37 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 1:15:37 PM, Old: 345.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 1:15:37 PM, Old: 355.00, New: 455.00
Stop Wavelength Changed: 8/19/2022 1:15:37 PM, Old: 600.00, New: 445.00
Zero Mode Changed: 8/19/2022 1:15:40 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:15:41 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:19:58 PM, Old:Excitation, New:Emission
Scan Control Changed: 8/19/2022 1:19:58 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 1:19:58 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 8/19/2022 1:19:58 PM, Old: 240.00, New: 295.00
Emission Wavelength Changed: 8/19/2022 1:19:58 PM, Old: 455.00, New: 305.00
Stop Wavelength Changed: 8/19/2022 1:19:58 PM, Old: 445.00, New: 550.00
Zero Mode Changed: 8/19/2022 1:20:00 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:20:00 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:22:27 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:22:27 PM, Old: 295.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:22:27 PM, Old: 305.00, New: 350.00
Stop Wavelength Changed: 8/19/2022 12:22:27 PM, Old: 550.00, New: 340.00
Zero Mode Changed: 8/19/2022 12:22:31 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:22:31 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 12:35:02 PM, Old: 350.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 12:35:02 PM, Old: 340.00, New: 410.00
Zero Mode Changed: 8/19/2022 12:35:04 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:35:05 PM, Old:Reading, New:ON
End Method Modifications

CdS sonochem 180min ex360,
CdS sonochem 180min ex360
Collection Time: 8/19/2022 12:36:17 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        370.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               360.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:23:28 PM
Method Modifications:
