X: (V),Y: (Hits)
0.00729784,92
0.00731202,86
0.0073262,104
0.00734037,75
0.00735455,89
0.00736873,99
0.0073829,70
0.00739708,91
0.00741126,92
0.00742543,89
0.00743961,82
0.00745379,84
0.00746796,80
0.00748214,60
0.00749632,85
0.00751049,71
0.00752467,82
0.00753885,75
0.00755303,83
0.0075672,91
0.00758138,76
0.00759556,78
0.00760973,67
0.00762391,88
0.00763809,74
0.00765226,77
0.00766644,71
0.00768062,73
0.00769479,72
0.00770897,63
0.00772315,61
0.00773732,63
0.0077515,65
0.00776568,71
0.00777986,70
0.00779403,58
0.00780821,73
0.00782239,57
0.00783656,67
0.00785074,54
0.00786492,45
0.00787909,54
0.00789327,60
0.00790745,44
0.00792162,53
0.0079358,60
0.00794998,72
0.00796415,51
0.00797833,73
0.00799251,60
0.00800669,55
0.00802086,58
0.00803504,57
0.00804922,61
0.00806339,47
0.00807757,61
0.00809175,56
0.00810592,51
0.0081201,43
0.00813428,44
0.00814845,44
0.00816263,43
0.00817681,49
0.00819098,43
0.00820516,31
0.00821934,45
0.00823352,37
0.00824769,39
0.00826187,36
0.00827605,35
0.00829022,41
0.0083044,33
0.00831858,37
0.00833275,28
0.00834693,46
0.00836111,46
0.00837528,40
0.00838946,30
0.00840364,45
0.00841781,37
0.00843199,35
0.00844617,28
0.00846035,38
0.00847452,36
0.0084887,28
0.00850288,46
0.00851705,44
0.00853123,49
0.00854541,34
0.00855958,41
0.00857376,36
0.00858794,38
0.00860211,27
0.00861629,25
0.00863047,54
0.00864464,41
0.00865882,30
0.008673,35
0.00868718,34
0.00870135,26
0.00871553,46
0.00872971,28
0.00874388,45
0.00875806,34
0.00877224,35
0.00878641,33
0.00880059,34
0.00881477,28
0.00882894,33
0.00884312,29
0.0088573,29
0.00887147,36
0.00888565,27
0.00889983,24
0.00891401,27
0.00892818,25
0.00894236,23
0.00895654,43
0.00897071,33
0.00898489,33
0.00899907,43
0.00901324,23
0.00902742,34
0.0090416,26
0.00905577,26
0.00906995,23
0.00908413,27
0.0090983,33
0.00911248,23
0.00912666,25
0.00914084,23
0.00915501,20
0.00916919,26
0.00918337,20
0.00919754,24
0.00921172,37
0.0092259,34
0.00924007,31
0.00925425,21
0.00926843,28
0.0092826,23
0.00929678,25
0.00931096,39
0.00932513,25
0.00933931,27
0.00935349,33
0.00936767,22
0.00938184,32
0.00939602,16
0.0094102,31
0.00942437,22
0.00943855,26
0.00945273,27
0.0094669,18
0.00948108,18
0.00949526,22
0.00950943,22
0.00952361,23
0.00953779,19
0.00955196,28
0.00956614,14
0.00958032,14
0.0095945,25
0.00960867,19
0.00962285,28
0.00963703,20
0.0096512,20
0.00966538,20
0.00967956,23
0.00969373,22
0.00970791,28
0.00972209,18
0.00973626,24
0.00975044,24
0.00976462,19
0.00977879,22
0.00979297,21
0.00980715,21
0.00982133,33
0.0098355,24
0.00984968,11
0.00986386,14
0.00987803,12
0.00989221,16
0.00990639,20
0.00992056,13
0.00993474,19
0.00994892,13
0.00996309,16
0.00997727,21
0.00999145,17
0.0100056,13
0.0100198,18
0.010034,14
0.0100482,17
0.0100623,20
0.0100765,24
0.0100907,22
0.0101049,15
0.010119,17
0.0101332,12
0.0101474,11
0.0101616,14
0.0101757,17
0.0101899,12
0.0102041,17
0.0102183,19
0.0102325,16
0.0102466,12
0.0102608,10
0.010275,21
0.0102892,8
0.0103033,15
0.0103175,16
0.0103317,11
0.0103459,14
0.01036,13
0.0103742,10
0.0103884,16
0.0104026,14
0.0104168,15
0.0104309,18
0.0104451,15
0.0104593,11
0.0104735,14
0.0104876,13
0.0105018,12
0.010516,14
0.0105302,15
0.0105443,14
0.0105585,8
0.0105727,20
0.0105869,12
0.0106011,17
0.0106152,14
0.0106294,14
0.0106436,9
0.0106578,12
0.0106719,13
0.0106861,14
0.0107003,15
0.0107145,10
0.0107286,15
0.0107428,22
0.010757,13
0.0107712,14
0.0107854,13
0.0107995,7
0.0108137,13
0.0108279,18
0.0108421,10
0.0108562,16
0.0108704,9
0.0108846,11
0.0108988,18
0.0109129,6
0.0109271,12
0.0109413,8
0.0109555,5
