CdS 50sec ex310,,CdS 50sec em375,,CdS 50sec em385,,CdS 50sec em380,,CdS 50sec em375,,CdS 50sec ex300,,CdS 60sec ex300,,CdS 60sec em380,,CdS 60sec em390,,CdS 60sec ex325,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
342,49.91421127,262.0299988,31.6599884,262.0299988,35.80562973,262.0299988,34.78264236,262.0299988,33.62317657,342,42.39372253,342,21.99306488,262.0299988,7.738877296,262.0299988,8.511136055,356.9200134,60.75850677,
343.0700073,54.42003632,262.9599915,31.99767303,262.9599915,33.93633652,262.9599915,34.15261459,262.9599915,34.47394943,343.0700073,45.29072571,343.0700073,23.99066925,262.9599915,7.805365562,262.9599915,8.442141533,357.8399963,62.91374207,
344,55.17116547,264.0599976,33.33124924,264.0599976,36.47774506,264.0599976,36.34854507,264.0599976,32.62787628,344,48.57674408,344,25.1912117,264.0599976,7.437748909,264.0599976,8.280112267,358.9200134,70.35868835,
345.0700073,60.48350525,265,35.65398788,265,36.74935913,265,37.09429169,265,35.21276474,345.0700073,52.27568817,345.0700073,26.99927521,265,6.46707058,265,8.458521843,359.8399963,71.84731293,
346,64.72555542,265.9299927,36.77090836,265.9299927,39.28354645,265.9299927,37.69810104,265.9299927,37.08926773,346,54.22471619,346,28.75723267,265.9299927,7.18525219,265.9299927,8.665680885,360.9200134,75.43677521,
347.0700073,67.30001068,267.0299988,38.55059433,267.0299988,40.09017944,267.0299988,39.99671936,267.0299988,37.41106415,347.0700073,55.05549622,347.0700073,30.4883194,267.0299988,7.112099648,267.0299988,8.280604362,361.8399963,78.29006958,
348,70.23052979,267.9599915,41.08261871,267.9599915,41.11435699,267.9599915,39.99637985,267.9599915,38.43511581,348,59.97193909,348,32.49753571,267.9599915,6.890246391,267.9599915,7.231095314,362.9200134,79.43666077,
349.0700073,73.73801422,269.0599976,42.67099762,269.0599976,41.03988266,269.0599976,42.08269882,269.0599976,40.72071075,349.0700073,59.82250977,349.0700073,32.90852356,269.0599976,6.71819973,269.0599976,7.394656181,363.8399963,79.63471985,
350,76.22899628,270,44.79777145,270,44.96031189,270,43.32158661,270,41.75094986,350,62.09378815,350,35.16477203,270,7.266646385,270,8.277226448,364.9200134,85.74213409,
351.0700073,77.57241058,271.0700073,48.16611862,271.0700073,46.04215622,271.0700073,45.92072678,271.0700073,44.98241043,351.0700073,64.91225433,351.0700073,35.8496666,271.0700073,7.271983147,271.0700073,7.698275566,365.8399963,88.17781067,
352,81.6233139,272,52.21628189,272,47.70630646,272,47.31044006,272,46.15003967,352,67.13435364,352,35.83304596,272,8.144963264,272,8.438290596,366.9200134,89.97177124,
353.0700073,84.09552765,273.0700073,52.3948555,273.0700073,48.16332245,273.0700073,48.46349335,273.0700073,47.98342133,353.0700073,68.81188965,353.0700073,38.67325211,273.0700073,7.380835533,273.0700073,8.833901405,367.8399963,89.9369278,
354,88.04030609,274,54.78521347,274,50.30991364,274,51.40126801,274,51.61307907,354,71.77668762,354,38.50866699,274,8.61717701,274,8.545775414,368.9200134,93.56500244,
355.0700073,92.04306793,275.0700073,59.48548508,275.0700073,52.40538406,275.0700073,52.64329529,275.0700073,51.00509644,355.0700073,71.99414825,355.0700073,41.59955215,275.0700073,8.529171944,275.0700073,8.587422371,369.8399963,95.060112,
356,93.1082077,276,61.38856888,276,50.0479126,276,54.27684021,276,53.68870926,356,74.74185944,356,43.69557953,276,9.240746498,276,9.588440895,370.9200134,96.68170166,
357.0700073,96.81725311,277.0700073,64.94461823,277.0700073,54.6645813,277.0700073,54.94189453,277.0700073,54.58214188,357.0700073,77.04706573,357.0700073,45.08512878,277.0700073,10.31204128,277.0700073,9.728089333,371.8399963,97.09299469,
358,99.36611938,278,67.83018494,278,55.51986694,278,57.77109528,278,58.04450607,358,79.78982544,358,45.06090164,278,10.15511036,278,9.913498878,372.9200134,96.75179291,
359.0700073,102.2521973,279.0700073,69.66228485,279.0700073,58.78926086,279.0700073,60.40174103,279.0700073,59.67061996,359.0700073,81.89032745,359.0700073,47.00700378,279.0700073,11.24020863,279.0700073,11.17471981,373.8399963,101.5814133,
360,105.045517,280,72.47225952,280,59.16499329,280,58.37446594,280,61.72056961,360,84.39377594,360,47.84600449,280,10.71135044,280,9.985650063,374.9200134,101.4752731,
361.0700073,112.7521973,280.9299927,74.94126129,280.9299927,60.47389221,280.9299927,62.12371063,280.9299927,63.34997177,361.0700073,86.4833374,361.0700073,49.94110107,280.9299927,11.4148531,280.9299927,11.35780621,375.8399963,102.167244,
362,112.1188126,282.0299988,76.77835083,282.0299988,64.40192413,282.0299988,64.14748383,282.0299988,64.57809448,362,88.35018158,362,51.60775757,282.0299988,12.94811726,282.0299988,12.15108013,376.9200134,102.6009293,
363.0700073,116.1126938,282.9599915,79.48023224,282.9599915,63.97621155,282.9599915,64.41950226,282.9599915,66.84490204,363.0700073,90.25012207,363.0700073,51.01209259,282.9599915,13.12541676,282.9599915,11.94713116,377.8399963,105.8150253,
364,116.5479126,284.0599976,82.61947632,284.0599976,65.54264832,284.0599976,68.99645996,284.0599976,69.40770721,364,92.08982849,364,52.23696136,284.0599976,14.57233334,284.0599976,14.01072598,378.9200134,106.2689056,
365.0700073,120.4371643,285,86.03894806,285,69.31819153,285,69.54407501,285,70.4931488,365.0700073,89.83073425,365.0700073,52.77303314,285,15.46820545,285,15.0496397,379.8399963,108.0218811,
366,119.7129517,285.9299927,87.91039276,285.9299927,70.7302475,285.9299927,71.82769775,285.9299927,74.10849762,366,92.50197601,366,54.13941193,285.9299927,15.94167233,285.9299927,14.90590954,380.9200134,110.1179352,
367.0700073,122.809433,287.0299988,91.67597961,287.0299988,71.70929718,287.0299988,74.28701782,287.0299988,75.95759583,367.0700073,90.02098846,367.0700073,53.19194031,287.0299988,17.3189621,287.0299988,17.05432129,381.8399963,112.2280121,
368,120.6832275,287.9599915,92.69069672,287.9599915,74.06983185,287.9599915,73.97203827,287.9599915,77.83073425,368,93.73480988,368,54.83575821,287.9599915,18.57169724,287.9599915,16.22690201,382.9200134,111.7747345,
369.0700073,124.4559479,289.0599976,96.40673828,289.0599976,74.82794189,289.0599976,77.60688782,289.0599976,77.5328064,369.0700073,93.7199707,369.0700073,54.12644577,289.0599976,20.41511154,289.0599976,18.47266769,383.8399963,117.0102615,
370,124.3414154,290,96.74480438,290,76.29296112,290,80.7231369,290,82.05013275,370,91.3055954,370,53.74981308,290,21.39279938,290,20.33892441,384.9200134,114.2912827,
371.0700073,122.9231873,290.9299927,98.0907135,290.9299927,78.66532898,290.9299927,81.07106018,290.9299927,82.5701828,371.0700073,93.6943512,371.0700073,54.59536743,290.9299927,22.94107437,290.9299927,21.17969513,385.8399963,115.4038315,
372,126.0162354,292.0299988,104.0452576,292.0299988,79.81311035,292.0299988,82.97331238,292.0299988,85.11209869,372,92.4378891,372,55.04967117,292.0299988,24.51587296,292.0299988,23.48141479,386.9200134,117.8195114,
373.0700073,123.9117889,292.9599915,103.8507614,292.9599915,81.54582977,292.9599915,83.89250946,292.9599915,85.36342621,373.0700073,93.56655121,373.0700073,53.1390152,292.9599915,26.86767578,292.9599915,25.43113327,387.8399963,118.1020432,
374,121.3912659,294.0599976,108.5588913,294.0599976,84.80463409,294.0599976,85.76456451,294.0599976,87.22838593,374,91.9044342,374,54.70142746,294.0599976,29.05091095,294.0599976,27.73727798,388.9200134,120.1542587,
375.0700073,123.1579895,295,110.8848724,295,83.81984711,295,89.10220337,295,90.91957855,375.0700073,88.54689789,375.0700073,56.16859818,295,30.91008759,295,29.33317947,389.8399963,117.5743637,
376,123.2317963,295.9299927,111.8628998,295.9299927,87.36062622,295.9299927,91.59191895,295.9299927,90.9159317,376,93.17285156,376,54.41403961,295.9299927,33.08917999,295.9299927,32.63254166,390.9200134,115.7290802,
377.0700073,123.2994995,297.0299988,111.3773422,297.0299988,90.40547943,297.0299988,90.51947021,297.0299988,93.30052948,377.0700073,91.84217072,377.0700073,55.16984558,297.0299988,35.03889084,297.0299988,32.89148331,391.8399963,118.868248,
378,124.1419373,297.9599915,117.6083984,297.9599915,90.51416779,297.9599915,91.14619446,297.9599915,93.28536987,378,91.04529572,378,54.32627106,297.9599915,36.63303375,297.9599915,36.39793396,392.9200134,119.2002792,
379.0700073,125.8597412,299.0599976,117.7506104,299.0599976,89.65930176,299.0599976,90.8377533,299.0599976,92.60840607,379.0700073,91.64506531,379.0700073,54.79339981,299.0599976,38.9902916,299.0599976,39.61291885,393.8399963,121.1607895,
380,124.538559,300,114.6167068,300,91.85848236,300,93.43159485,300,93.8961792,380,92.74662781,380,56.63955307,300,42.30462646,300,41.35337448,394.9200134,117.5277939,
381.0700073,125.2955933,301.0700073,117.5295258,301.0700073,89.99247742,301.0700073,95.56615448,301.0700073,92.97616577,381.0700073,91.67191315,381.0700073,54.47610092,301.0700073,46.23731232,301.0700073,42.8677597,395.8399963,119.0545273,
382,122.8776703,302,117.4329987,302,93.56119537,302,93.78022766,302,92.88460541,382,92.84492493,382,54.19851685,302,46.21439743,302,45.84123611,396.9200134,119.422142,
383.0700073,124.3597717,303.0700073,115.598381,303.0700073,91.64377594,303.0700073,93.08032227,303.0700073,94.04653168,383.0700073,89.92395782,383.0700073,53.40136337,303.0700073,51.09938812,303.0700073,49.62769318,397.8399963,117.0441971,
