CdS 180sec em380,,CdS 180sec ex310,,CdS 180sec em365,,CdS 180sec ex260,,CdS 180sec em285,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
265.9299927,36.90947342,346,81.06610107,265.9299927,38.42343903,291.0700073,158.8850098,245.9299927,16.70999527,
267.0299988,40.51705933,347.0700073,85.2591095,267.0299988,40.23066711,292,158.1593475,247.0299988,24.59309006,
267.9599915,41.5099411,348,88.98364258,267.9599915,43.00710297,293.0700073,150.8562775,247.9600067,32.18171692,
269.0599976,44.02212143,349.0700073,91.71408844,269.0599976,44.60958862,294,144.0650024,249.0599976,40.01833344,
270,48.90272522,350,95.93014526,270,49.1991539,295.0700073,137.8150635,250,49.0354805,
271.0700073,52.48814392,351.0700073,100.3079605,271.0700073,54.4034729,296,130.7631683,250.9299927,59.22491074,
272,54.59607697,352,105.2007904,272,57.18511963,297.0700073,122.8490753,252.0299988,72.91255188,
273.0700073,60.07414246,353.0700073,107.9045105,273.0700073,60.6900177,298,113.2394714,252.9600067,90.63304138,
274,62.62879944,354,113.9215927,274,65.37193298,299.0700073,103.827095,254.0599976,104.1557617,
275.0700073,65.90690613,355.0700073,118.9973373,275.0700073,71.00655365,300,98.22263336,255,120.0459595,
276,70.22982025,356,122.6218185,276,72.508255,300.9299927,93.35760498,255.9299927,136.0722198,
277.0700073,74.23300171,357.0700073,131.0772858,277.0700073,77.37625122,302.0299988,87.90708923,257.0299988,154.7893066,
278,76.78553009,358,132.2305145,278,80.25892639,302.9599915,81.88306427,257.9599915,171.4525146,
279.0700073,80.1654892,359.0700073,138.3743896,279.0700073,84.83013153,304.0599976,76.16119385,259.0599976,183.1881714,
280,82.58666229,360,140.5862579,280,86.70072174,305,72.07498932,260,188.1925507,
280.9299927,84.96811676,361.0700073,148.0275269,280.9299927,90.30580902,305.9299927,66.11805725,260.9299927,193.5196686,
282.0299988,89.10944366,362,149.6080475,282.0299988,95.36657715,307.0299988,62.27714539,262.0299988,187.798645,
282.9599915,90.14340973,363.0700073,157.2614746,282.9599915,96.70365906,307.9599915,55.97341156,262.9599915,187.1894379,
284.0599976,97.86610413,364,160.0290527,284.0599976,102.6370087,309.0599976,51.19749451,264.0599976,177.4364014,
285,96.74254608,365.0700073,156.8677368,285,107.7721939,310,48.93128204,265,171.6587219,
285.9299927,103.159523,366,163.0197449,285.9299927,108.3551788,311.0700073,44.12425995,265.9299927,164.7751923,
287.0299988,104.4317398,367.0700073,169.7902832,287.0299988,112.7942734,312,40.87216568,267.0299988,161.6851196,
287.9599915,109.9960022,368,172.6740265,287.9599915,115.1089859,313.0700073,38.71988678,267.9599915,159.4731903,
289.0599976,112.3788681,369.0700073,169.9164429,289.0599976,120.2123566,314,34.27789688,269.0599976,144.6709595,
290,117.7041397,370,169.3558807,290,122.7259827,315.0700073,31.8418808,270,123.5353241,
290.9299927,120.27845,371.0700073,170.7167053,290.9299927,129.2128906,316,30.26696014,271.0700073,95.9949646,
292.0299988,126.514061,372,173.3946228,292.0299988,128.5868225,317.0700073,28.61477661,272,74.45425415,
292.9599915,125.9144058,373.0700073,172.0252533,292.9599915,129.8860474,318,25.69066238,273.0700073,49.84405899,
294.0599976,130.5487366,374,176.9855652,294.0599976,137.0796509,319.0700073,23.98284149,274,30.41296768,
295,134.4148712,375.0700073,173.504837,295,142.3784637,320,21.53675079,275.0700073,15.21742249,
295.9299927,139.6720886,376,171.4124603,295.9299927,144.5674896,320.9299927,21.08121872,276,8.063533783,
297.0299988,142.8103638,377.0700073,173.0905457,297.0299988,144.0238647,322.0299988,20.20193863,277.0700073,4.814819336,
297.9599915,142.0398102,378,173.9527893,297.9599915,145.4231415,322.9599915,18.30728149,278,7.297063828,
299.0599976,142.5527802,379.0700073,173.8381348,299.0599976,144.6836548,324.0599976,18.16057587,279.0700073,20.26960754,
300,144.4140015,380,173.8729706,300,148.2256775,325,15.47400284,280,37.47855377,
301.0700073,145.5783386,381.0700073,170.0850372,301.0700073,150.7562866,325.9299927,15.34123993,,,
302,144.8422546,382,175.8656769,302,152.3386536,327.0299988,14.26074219,,,
303.0700073,150.97612,383.0700073,174.5941772,303.0700073,154.6988983,327.9599915,13.58916092,,,
304,154.3195648,384,173.6417542,304,154.3504181,329.0599976,12.49245834,,,
305.0700073,156.4392395,385.0700073,174.4859009,305.0700073,155.3477173,330,12.8277626,,,
306,161.2858124,386,169.7794037,306,156.7232819,331.0700073,12.07815933,,,
307.0700073,162.6271667,387.0700073,172.2970886,307.0700073,158.4868622,332,12.58195877,,,
308,167.7149963,388,173.434021,308,162.3757019,333.0700073,12.41442871,,,
309.0700073,167.014267,389.0700073,168.4101868,309.0700073,160.1065216,334,11.75299072,,,
310,171.2879944,390,167.7412872,310,162.4351349,335.0700073,10.05762291,,,
311.0700073,169.5295563,391.0700073,168.92836,311.0700073,162.4904175,336,12.00470352,,,
312,174.3079987,392,165.0672455,312,161.3088837,337.0700073,10.26841164,,,
313.0700073,169.6871948,393.0700073,161.9360504,313.0700073,160.5326233,338,11.38154602,,,
314,170.0553284,394,162.8046722,314,158.3681488,339.0700073,10.82078743,,,
315.0700073,167.5909424,395.0700073,161.5341949,315.0700073,154.5968781,340,11.47891617,,,
316,171.1948547,396,160.5695801,316,154.4081726,341.0700073,12.66571045,,,
317.0700073,165.6260834,397.0700073,154.0323334,317.0700073,149.3004608,342,12.55623627,,,
318,169.1670227,398,157.3225098,318,146.5259857,343.0700073,13.46009064,,,
