MEAS1,MEAS2,MEAS3,MEAS5,MEAS6,MEAS7,MEAS9,MEAS10,MEAS11
9.91e+37,9.91e+37,0.0004312593843843842,9.91e+37,4.002480998831e-09,0.0022972972972973,0.000249497751351966,0.0002183394980890569,9.91e+37
3.3029899295349e-09,9.91e+37,4.52389889889889e-05,9.91e+37,9.91e+37,0.0022660863988989,0.0002452790726628102,0.000221341477160786,9.91e+37
9.91e+37,5.8062346823938e-09,0.0004875125125125128,9.91e+37,9.91e+37,0.0575541244369369,0.0002465540056165117,0.0002104978777635745,9.91e+37
2.9639005802612e-09,6.1710411569941e-09,0.0004467905405405406,1.65507023214722e-08,9.91e+37,0.0022502971721722,0.0002509601919515043,0.0002078829025482256,9.91e+37
9.91e+37,4.380319851407e-09,0.0004531375125125123,9.91e+37,7.3560157171489e-09,0.0675079689064064,0.0002648654026454848,0.0002168257290483392,9.91e+37
3.211660024353e-09,9.91e+37,0.0083760792042042,1.4731705486908e-08,2.7102300790426e-09,0.0026870777027027,0.000254197256553366,0.000228727709381838,-9.94672732044914e-11
3.2532747532349e-09,9.8814711869915e-09,0.0001376798673673673,1.20844563267517e-08,9.91e+37,0.0022522522522523,0.0002487619257996267,0.0002272716584580693,-3.766452548453486e-10
9.91e+37,9.91e+37,0.0005205283408408408,9.91e+37,9.91e+37,0.00215526463964,0.0002445475306581044,0.0002207405927267201,9.91e+37
9.91e+37,9.91e+37,0.0135198995870871,1.08642328021241e-08,5.1153886167266e-09,0.0476703265765766,0.0002521555746714528,0.00022783882671097,1.0159870398729e-09
2.4951858964844e-09,9.91e+37,7.96499624624625e-05,1.12979828634643e-08,9.91e+37,0.0023370245245245,0.0002594511891583156,0.0002319468158665369,9.91e+37
3.1504864615784e-09,9.91e+37,0.0136962040165165,9.91e+37,6.9176357297908e-09,0.0029535081956957,0.0002454800020296651,0.0002213391934886787,9.91e+37
2.00313362851e-09,9.91e+37,0.0005046296296296302,3.8489205194092e-09,9.91e+37,0.002351539039039,0.0002429605537705174,0.0002223926018012683,9.287298933793948e-10
1.6941550447083e-09,9.91e+37,0.0160840215215215,9.91e+37,9.91e+37,0.0557967107732733,0.0002546740856321627,0.0002305989782491052,9.91e+37
1.8350855278625e-09,5.18612826056e-09,0.0004406672297297296,1.37761536154175e-08,5.2640099334555e-09,0.002367774024024,0.0002434236843199335,0.0002328914117522774,1.2297417530483e-09
9.91e+37,9.91e+37,7.18812562562562e-05,4.5401094613648e-09,9.91e+37,0.0620441535285285,0.0002291625141373305,0.0002311766767201551,8.237115164747961e-10
3.3923876728516e-09,1.18280007002765e-08,0.000436549049049049,1.59950072505188e-08,3.3378059045415e-09,0.1684511386386386,0.000243212672726576,0.0002223285986141206,9.91e+37
9.91e+37,9.91e+37,0.000418778153153153,1.01192708276367e-08,9.91e+37,0.002664039039039,0.0002427452594518131,0.00022840607512991,9.91e+37
3.0031559959412e-09,9.91e+37,0.0072530499249249,9.91e+37,9.91e+37,0.0458518283908909,0.0002345828726601918,0.0002275268461581101,9.91e+37
9.91e+37,9.91e+37,0.0102713260135135,1.19256007203674e-08,5.7998157634225e-09,0.0670615928428429,0.0002543148313552822,0.0002251287765160754,8.5725768982205e-10
9.91e+37,9.91e+37,0.015258226976977,9.91e+37,9.91e+37,0.0024318068068068,0.0002441870415875848,0.0002316116993955076,9.91e+37
9.91e+37,9.7581951839177e-09,0.013153925800801,8.5162176557923e-09,9.91e+37,0.0483839777277277,0.0009552175106622478,0.0002289662485362201,9.91e+37
9.91e+37,9.91e+37,0.0081022804054054,1.06222614573669e-08,6.8161303266439e-09,0.0642359938063063,0.0002545922240790622,0.0002188669301321439,-1.97217736106507e-08
2.8307541260376e-09,9.91e+37,0.0004855793293293297,1.10908956048585e-08,9.91e+37,0.00285179710961,0.0002522313030712552,0.0003235973911854533,1.320051895506773e-10
3.2110294300232e-09,9.91e+37,0.0100387903528529,9.91e+37,2.4407683375136e-09,0.0543171296296296,0.0002454725231946638,0.0002282917573300527,-1.05368223999377e-08
3.0649307576294e-09,6.3717165153144e-09,0.0005031453328328328,7.9704347454834e-09,9.91e+37,0.0683878566066066,0.000259059424928975,0.0002166876653986967,9.91e+37
