timestamp_iso,elapsed_s,t1_C
2025-10-30T12:33:16.581343,1159.422,13.050
2025-10-30T12:33:26.583753,1169.424,13.025
2025-10-30T12:33:36.590191,1179.430,12.952
2025-10-30T12:33:46.592331,1189.433,12.952
2025-10-30T12:33:56.594583,1199.435,12.976
2025-10-30T12:34:06.601598,1209.442,13.001
2025-10-30T12:34:16.603132,1219.443,12.854
2025-10-30T12:34:26.609516,1229.450,12.878
2025-10-30T12:34:36.611636,1239.452,12.829
2025-10-30T12:34:46.618323,1249.459,12.854
2025-10-30T12:34:56.620396,1259.461,12.927
2025-10-30T12:35:06.622316,1269.463,12.903
2025-10-30T12:35:16.628728,1279.469,12.903
2025-10-30T12:35:26.631218,1289.471,12.805
2025-10-30T12:35:36.637258,1299.477,12.903
2025-10-30T12:35:46.639683,1309.480,12.805
2025-10-30T12:35:56.645607,1319.486,12.829
2025-10-30T12:36:06.647722,1329.488,12.780
2025-10-30T12:36:16.650405,1339.491,12.683
2025-10-30T12:36:26.656897,1349.497,12.756
2025-10-30T12:36:36.658984,1359.499,12.683
2025-10-30T12:36:46.665385,1369.506,12.732
2025-10-30T12:36:56.667456,1379.508,12.634
2025-10-30T12:37:06.673757,1389.514,12.658
2025-10-30T12:37:16.676101,1399.516,12.609
2025-10-30T12:37:26.678560,1409.519,12.609
2025-10-30T12:37:36.684829,1419.525,12.756
2025-10-30T12:37:46.686846,1429.527,12.609
2025-10-30T12:37:56.693252,1439.533,12.609
2025-10-30T12:38:06.695505,1449.536,12.658
2025-10-30T12:38:16.701776,1459.542,12.609
2025-10-30T12:38:26.704072,1469.544,12.609
2025-10-30T12:38:36.706481,1479.547,12.634
2025-10-30T12:38:46.712481,1489.553,12.609
2025-10-30T12:38:56.714391,1499.555,12.585
2025-10-30T12:39:06.721706,1509.562,12.585
2025-10-30T12:39:16.724040,1519.564,12.585
2025-10-30T12:39:26.729591,1529.570,12.585
2025-10-30T12:39:36.731882,1539.572,12.585
2025-10-30T12:39:46.738051,1549.578,12.585
2025-10-30T12:39:56.741056,1559.581,12.560
2025-10-30T12:40:06.743283,1569.584,12.560
2025-10-30T12:40:16.749098,1579.589,12.560
2025-10-30T12:40:26.751386,1589.592,12.585
2025-10-30T12:40:36.757742,1599.598,12.560
2025-10-30T12:40:46.759844,1609.600,12.560
2025-10-30T12:40:56.766514,1619.607,12.560
2025-10-30T12:41:06.767973,1629.608,12.511
2025-10-30T12:41:16.774551,1639.615,12.536
2025-10-30T12:41:26.776921,1649.617,12.585
2025-10-30T12:41:36.779441,1659.620,12.536
2025-10-30T12:41:46.785789,1669.626,12.511
2025-10-30T12:41:56.787935,1679.628,12.511
2025-10-30T12:42:06.794212,1689.634,12.487
2025-10-30T12:42:16.795987,1699.636,12.438
2025-10-30T12:42:26.802323,1709.643,12.438
2025-10-30T12:42:36.804483,1719.645,12.462
2025-10-30T12:42:46.806893,1729.647,12.438
2025-10-30T12:42:56.813738,1739.654,12.487
2025-10-30T12:43:06.815874,1749.656,12.389
2025-10-30T12:43:16.822009,1759.662,12.438
2025-10-30T12:43:26.824361,1769.665,12.315
2025-10-30T12:43:36.830436,1779.671,12.340
2025-10-30T12:43:46.832643,1789.673,12.315
2025-10-30T12:43:56.835486,1799.676,12.291
2025-10-30T12:44:06.841518,1809.682,12.266
2025-10-30T12:44:16.843324,1819.684,12.291
2025-10-30T12:44:26.850704,1829.691,12.291
2025-10-30T12:44:36.852173,1839.692,12.266
2025-10-30T12:44:46.854677,1849.695,12.291
2025-10-30T12:44:56.861016,1859.701,12.193
2025-10-30T12:45:06.863264,1869.703,12.242
2025-10-30T12:45:16.869310,1879.710,12.193
2025-10-30T12:45:26.871894,1889.712,12.217
2025-10-30T12:45:36.873578,1899.714,12.168
2025-10-30T12:45:46.880368,1909.721,12.193
2025-10-30T12:45:56.882453,1919.723,12.193
2025-10-30T12:46:06.888930,1929.729,12.144
2025-10-30T12:46:16.891341,1939.732,12.119
2025-10-30T12:46:26.896965,1949.737,12.095
2025-10-30T12:46:36.899485,1959.740,12.168
2025-10-30T12:46:46.901641,1969.742,12.119
2025-10-30T12:46:56.908001,1979.748,12.119
2025-10-30T12:47:06.910187,1989.750,12.119
2025-10-30T12:47:16.916360,1999.757,12.070
2025-10-30T12:47:26.918879,2009.759,12.095
2025-10-30T12:47:36.921518,2019.762,12.095
2025-10-30T12:47:46.927322,2029.768,12.144
2025-10-30T12:47:56.929610,2039.770,12.119
2025-10-30T12:48:06.935852,2049.776,12.095
2025-10-30T12:48:16.938376,2059.779,12.144
2025-10-30T12:48:26.940349,2069.781,12.095
2025-10-30T12:48:36.946690,2079.787,12.095
2025-10-30T12:48:46.948720,2089.789,12.119
2025-10-30T12:48:56.954732,2099.795,12.070
2025-10-30T12:49:06.957964,2109.798,12.095
2025-10-30T12:49:16.959588,2119.800,12.095
2025-10-30T12:49:26.965862,2129.806,12.144
2025-10-30T12:49:36.968296,2139.809,12.095
2025-10-30T12:49:46.974665,2149.815,12.095
2025-10-30T12:49:56.977273,2159.818,12.070
2025-10-30T12:50:06.979460,2169.820,11.997
2025-10-30T12:50:16.985398,2179.826,12.070
2025-10-30T12:50:26.987880,2189.828,12.070
2025-10-30T12:50:36.993707,2199.834,11.997
2025-10-30T12:50:46.996112,2209.836,12.070
2025-10-30T12:50:56.997934,2219.838,12.021
2025-10-30T12:51:07.005279,2229.846,11.997
2025-10-30T12:51:17.006880,2239.847,12.070
2025-10-30T12:51:27.012969,2249.853,12.046
2025-10-30T12:51:37.015470,2259.856,12.046
2025-10-30T12:51:47.017466,2269.858,12.046
2025-10-30T12:51:57.024450,2279.865,12.070
2025-10-30T12:52:07.026523,2289.867,11.997
2025-10-30T12:52:17.032551,2299.873,12.046
2025-10-30T12:52:27.034771,2309.875,12.070
2025-10-30T12:52:37.036858,2319.877,12.046
2025-10-30T12:52:47.043300,2329.884,11.997
2025-10-30T12:52:57.045955,2339.886,11.997
2025-10-30T12:53:07.052538,2349.893,12.021
2025-10-30T12:53:17.054194,2359.894,12.021
2025-10-30T12:53:27.056623,2369.897,11.899
2025-10-30T12:53:37.063079,2379.903,11.997
2025-10-30T12:53:47.064926,2389.905,11.948
2025-10-30T12:53:57.071130,2399.911,12.070
2025-10-30T12:54:07.073212,2409.913,11.972
2025-10-30T12:54:17.075825,2419.916,11.948
2025-10-30T12:54:27.081829,2429.922,11.997
2025-10-30T12:54:37.084645,2439.925,11.899
2025-10-30T12:54:47.090839,2449.931,11.948
2025-10-30T12:54:57.092774,2459.933,11.899
2025-10-30T12:55:07.095214,2469.935,11.899
2025-10-30T12:55:17.101336,2479.942,11.850
2025-10-30T12:55:27.103732,2489.944,11.874
2025-10-30T12:55:37.110074,2499.950,11.825
2025-10-30T12:55:47.112503,2509.953,11.948
2025-10-30T12:55:57.114565,2519.955,11.899
2025-10-30T12:56:07.120655,2529.961,11.825
2025-10-30T12:56:17.123185,2539.963,11.825
2025-10-30T12:56:27.129302,2549.970,11.923
2025-10-30T12:56:37.131595,2559.972,11.923
2025-10-30T12:56:47.137473,2569.978,11.874
2025-10-30T12:56:57.139899,2579.980,11.850
2025-10-30T12:57:07.142448,2589.983,11.874
2025-10-30T12:57:17.148916,2599.989,11.825
2025-10-30T12:57:27.150912,2609.991,11.801
2025-10-30T12:57:37.156936,2619.997,11.874
2025-10-30T12:57:47.159721,2630.000,11.825
2025-10-30T12:57:57.161712,2640.002,11.874
2025-10-30T12:58:07.167666,2650.008,11.801
2025-10-30T12:58:17.170136,2660.010,11.899
