CdSe sonochem 120min ex330,,CdSe sonochem 120min ex345,,CdSe sonochem 120min ex360,,CdSe sonochem 120min em420,,CdSe sonochem 120min em523,,CdSe sonochem 120min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
383.0700073,118.1978226,397.8399963,129.8386993,413.0299988,115.3588791,282.9599915,-0.9263267517,303.0700073,25.7647686,437.8699951,92.08713531,
384,117.1753769,398.9200134,135.0481873,413.9299927,119.4706497,284.0599976,-0.461373806,304,27.98497581,438.9299927,92.28748322,
385.0700073,120.8419266,399.8399963,138.0627594,415,121.1962357,285,0.2399311066,305.0700073,30.81071663,439.8399963,94.14113617,
386,124.5192871,400.9200134,140.0209961,416.0599976,122.9604416,285.9299927,1.777696133,306,30.98932838,440.8999939,95.4841156,
387.0700073,127.8371277,401.8399963,142.9709015,416.9599915,126.8864517,287.0299988,2.141996861,307.0700073,33.77788544,441.9599915,95.36743164,
388,129.3233337,402.9200134,144.7165985,418.0299988,129.9411011,287.9599915,3.774239063,308,37.00395966,442.8699951,97.63750458,
389.0700073,133.7876282,403.8399963,149.9863434,418.9299927,130.4933319,289.0599976,4.785858631,309.0700073,38.95041656,443.9299927,97.21859741,
390,134.813385,404.9200134,147.5213318,420,133.9308624,290,6.08643198,310,39.50244141,444.8399963,98.66334534,
391.0700073,135.5151062,405.8399963,151.1504669,421.0700073,134.230835,290.9299927,6.900542736,311.0700073,41.96994019,445.8999939,98.77661133,
392,138.8822784,406.9200134,151.3150482,422,136.206192,292.0299988,8.876268387,312,43.63693237,446.9599915,100.6829071,
393.0700073,141.6885986,407.8399963,155.6132965,423.0700073,138.7017365,292.9599915,10.03992653,313.0700073,45.8157196,447.8699951,101.5651703,
394,142.2886353,408.9200134,156.1019287,424,139.3763428,294.0599976,12.47764778,314,47.7542572,448.9299927,102.803978,
395.0700073,144.959549,409.8399963,156.9709473,425.0700073,140.3219757,295,13.33478546,315.0700073,50.48210144,449.8399963,103.5406799,
396,147.9264374,410.8999939,161.2228088,426,141.6534882,295.9299927,15.2172718,316,52.52539825,450.8999939,105.1682281,
397.0700073,148.9120331,411.9599915,163.3935699,427.0700073,142.6674194,297.0299988,17.10566139,317.0700073,55.28795624,451.9599915,104.795845,
398,147.4537811,412.8699951,162.9709015,428,143.393692,297.9599915,18.96933746,318,58.57029724,452.8699951,105.2828827,
399.0700073,149.6884155,413.9299927,163.580246,429.0700073,143.4701385,299.0599976,21.14023209,319.0700073,59.132164,453.9299927,105.3009338,
400,150.5965881,414.8399963,167.5561676,430,142.60495,300,23.08361435,320,61.27892303,454.8399963,105.2805557,
401.0700073,151.7895966,415.8999939,166.3994904,431.0599976,140.9428558,301.0700073,24.43244743,320.9299927,65.73579407,455.8999939,106.7603531,
402,153.0616913,416.9599915,169.1116943,431.9599915,143.1251678,302,27.79994202,322.0299988,68.31747437,456.9599915,107.1490173,
403.0700073,152.1721039,417.8699951,165.5991211,433.0299988,144.3059998,303.0700073,31.07710266,322.9599915,71.27275085,457.8699951,105.7688065,
404,153.0417633,418.9299927,169.0371246,433.9299927,143.856842,304,34.36351013,324.0599976,71.9588623,458.9299927,106.0467606,
405.0700073,155.7676392,419.8399963,170.788208,435,142.94133,305.0700073,37.20630264,325,75.65973663,459.8399963,107.1093903,
406,153.0204468,420.9200134,166.8677826,436.0599976,143.1330719,306,39.78728104,325.9299927,75.90254211,460.8999939,103.3996201,
407.0700073,154.2172546,421.8399963,169.4989929,436.9599915,144.1010895,307.0700073,44.86006546,327.0299988,79.45761871,461.9599915,105.3091583,
408,154.5695648,422.9200134,168.9216919,438.0299988,141.401825,308,49.04348373,327.9599915,79.71580505,462.8699951,104.0964432,
409.0700073,151.8604889,423.8399963,168.1709442,438.9299927,144.0142517,309.0700073,53.07268906,329.0599976,81.97562408,463.9299927,104.2832718,
410,153.5116882,424.9200134,165.1442719,440,142.1165619,310,56.94863892,330,85.10787201,464.8399963,103.0501175,
411.0599976,153.8304138,425.8399963,169.0653229,441.0599976,142.1371613,311.0700073,61.84455109,331.0700073,86.52256012,465.8999939,102.4350662,
411.9599915,153.5280762,426.9200134,168.7434082,441.9599915,142.8024902,312,65.54872131,332,87.86636353,466.9599915,99.33338928,
413.0299988,150.9270782,427.8399963,164.90802,443.0299988,141.1206207,313.0700073,68.15853882,333.0700073,91.33983612,467.8699951,100.1212006,
413.9299927,151.1579895,428.9200134,165.6670837,443.9299927,141.4180908,314,71.65935516,334,92.20765686,468.9299927,99.07939911,
415,149.4211578,429.8399963,162.7395935,445,141.1614227,315.0700073,77.57205963,335.0700073,95.73883057,469.8399963,98.93563843,
416.0599976,152.5445709,430.8999939,161.1900635,446.0599976,139.6047058,316,82.61715698,336,99.48722839,470.8999939,96.64398193,
416.9599915,150.8287201,431.9599915,160.9718475,446.9599915,138.8742828,317.0700073,88.30760956,337.0700073,98.86631775,471.9599915,96.15155792,
418.0299988,149.3441467,432.8699951,159.0707245,448.0299988,138.5503082,318,92.62004089,338,103.332756,472.8699951,95.24141693,
418.9299927,149.4457397,433.9299927,159.7606354,448.9299927,138.6997528,319.0700073,94.36813354,339.0700073,105.603096,473.9299927,92.18604279,
420,149.9334412,434.8399963,156.2431335,450,139.0417633,320,100.5598221,340,105.0966568,474.8399963,91.91677856,
421.0700073,145.0292816,435.8999939,156.2085114,451.0599976,136.1722717,320.9299927,108.6666489,341.0700073,108.3636169,475.8999939,91.91734314,
422,145.5983276,436.9599915,156.408493,451.9599915,136.0686188,322.0299988,112.6180191,342,110.720932,476.9599915,89.76609039,
423.0700073,143.3069,437.8699951,152.470932,453.0299988,136.1866608,322.9599915,116.3164368,343.0700073,115.4736481,477.8699951,88.0754776,
424,142.5974579,438.9299927,151.4779968,453.9299927,134.9775848,324.0599976,120.6857986,344,114.9433365,478.9299927,86.36637115,
425.0700073,140.5337372,439.8399963,152.1708832,455,134.4315643,325,125.5514069,345.0700073,118.654007,479.8399963,85.47129059,
426,140.982666,440.8999939,149.5692902,456.0599976,133.529892,325.9299927,129.111969,346,118.8343735,480.8999939,84.2040863,
427.0700073,137.5132751,441.9599915,145.9614105,456.9599915,132.9230652,327.0299988,131.8117828,347.0700073,122.2316513,481.9599915,83.02125549,
428,136.8026428,442.8699951,147.8723145,458.0299988,131.5850372,327.9599915,137.361145,348,121.532753,482.8699951,83.0331955,
429.0700073,133.7746887,443.9299927,144.7507172,458.9299927,131.8750458,329.0599976,141.2203369,349.0700073,123.7032394,483.9299927,81.02490234,
