CdSe sonochem 150min ex330,,CdSe sonochem 150min ex345,,CdSe sonochem 150min ex360,,CdSe sonochem 150min em420,,CdSe sonochem 150min em528,,CdSe sonochem 150min ex390,,CdSe sonochem 150min ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
357.0700073,20.54469681,371.8399963,28.33898735,387.0700073,29.45576096,257.0299988,0.2710576057,287.0299988,8.039580345,416.9599915,28.82735443,446.9599915,18.31198502,
358,23.20040512,372.9200134,31.33603096,388,31.4174614,257.9599915,0.5363168716,287.9599915,10.02335072,418.0299988,31.51848602,448.0299988,19.64025116,
359.0700073,25.88028526,373.8399963,33.80633163,389.0700073,34.59113693,259.0599976,-0.02032518387,289.0599976,11.16609478,418.9299927,33.7447319,448.9299927,20.2165947,
360,27.30735207,374.9200134,35.95836258,390,36.58678818,260,0.228456974,290,11.70648098,420,35.26743317,450,21.84440613,
361.0700073,28.27144623,375.8399963,38.28139496,391.0700073,40.23251343,260.9299927,0.06140375137,290.9299927,13.11899662,421.0700073,38.16941833,451.0599976,23.41047287,
362,32.09869766,376.9200134,42.00656509,392,41.26978683,262.0299988,0.2624702454,292.0299988,14.16956806,422,39.74293518,451.9599915,23.93613052,
363.0700073,36.20721054,377.8399963,43.7018013,393.0700073,44.55448914,262.9599915,0.1887660027,292.9599915,16.35343552,423.0700073,43.68367004,453.0299988,25.50286484,
364,37.5197525,378.9200134,48.05548477,394,46.78834152,264.0599976,0.7247638702,294.0599976,17.65618515,424,44.46818924,453.9299927,26.31690598,
365.0700073,40.68091965,379.8399963,50.23194122,395.0700073,50.96202087,265,0.08609104156,295,19.69443893,425.0700073,48.0387764,455,28.09790039,
366,42.27119446,380.9200134,53.15782928,396,52.70133972,265.9299927,0.452641964,295.9299927,19.48820877,426,48.29940414,456.0599976,28.9367981,
367.0700073,44.00372696,381.8399963,55.96382523,397.0700073,54.83084869,267.0299988,0.5151948929,297.0299988,21.6624527,427.0700073,50.05332565,456.9599915,28.93029404,
368,48.40421677,382.9200134,58.78778076,398,57.49740601,267.9599915,0.441391468,297.9599915,22.02090454,428,53.24627304,458.0299988,30.17213821,
369.0700073,51.41440582,383.8399963,62.08757019,399.0700073,59.73874664,269.0599976,0.04243516922,299.0599976,24.09416962,429.0700073,54.12559891,458.9299927,31.17213058,
370,53.11791992,384.9200134,65.89134979,400,62.6672821,270,-0.07547950745,300,25.60956192,430,56.19537735,460,32.09768295,
371.0700073,56.49432755,385.8399963,66.97284698,401.0700073,63.92331696,271.0700073,-0.7527413368,301.0700073,26.47061157,431.0599976,58.22667313,461.0599976,32.99502563,
372,59.72751236,386.9200134,69.96395874,402,67.71856689,272,-0.592502594,302,28.82429123,431.9599915,59.1781044,461.9599915,33.4654541,
373.0700073,60.35726166,387.8399963,74.64967346,403.0700073,70.33007813,273.0700073,-0.7454781532,303.0700073,30.02965927,433.0299988,61.01732254,463.0299988,34.36820221,
374,64.69297791,388.9200134,77.58611298,404,71.91835022,274,-0.8030924797,304,31.22417068,433.9299927,63.32621384,463.9299927,35.37184143,
375.0700073,66.73030853,389.8399963,79.90897369,405.0700073,77.20922089,275.0700073,-0.9274215698,305.0700073,31.98445511,435,65.67401123,465,35.91376114,
376,68.89801025,390.9200134,82.31134796,406,77.24803162,276,-1.462578773,306,33.09375,436.0599976,65.45996094,466.0599976,36.52337265,
377.0700073,72.56263733,391.8399963,85.21292877,407.0700073,81.09801483,277.0700073,-1.417011261,307.0700073,36.48073959,436.9599915,67.03921509,466.9599915,36.54384613,
378,72.86660767,392.9200134,89.38114929,408,82.23326111,278,-1.719762325,308,36.25864792,438.0299988,68.9065094,468.0299988,37.71457291,
379.0700073,75.00402069,393.8399963,91.40757751,409.0700073,85.33377075,279.0700073,-1.475257397,309.0700073,38.997715,438.9299927,70.51826477,468.9299927,37.68418503,
380,78.29907227,394.9200134,95.6643219,410,86.95184326,280,-1.279864311,310,40.92051697,440,73.35414124,470,38.02697372,
381.0700073,82.89325714,395.8399963,99.34597778,411.0599976,89.23841858,280.9299927,-1.229345798,311.0700073,42.09594727,441.0599976,73.43435669,471.0599976,38.29763794,
382,84.75389099,396.9200134,99.96630859,411.9599915,91.25946808,282.0299988,-0.07890987396,312,42.40181351,441.9599915,74.7776947,471.9599915,38.41480255,
383.0700073,87.82223511,397.8399963,101.5006256,413.0299988,94.87151337,282.9599915,0.2597904205,313.0700073,44.02705383,443.0299988,77.02709961,473.0299988,38.76282883,
384,88.10250854,398.9200134,103.7474976,413.9299927,96.09294128,284.0599976,1.764819622,314,44.55578232,443.9299927,77.24102783,473.9299927,38.27184677,
385.0700073,92.04470062,399.8399963,105.0574417,415,98.51876068,285,2.649713993,315.0700073,46.43280029,445,79.63964844,475,39.13450623,
386,92.88869476,400.9200134,108.9588928,416.0599976,101.1684341,285.9299927,4.085268497,316,46.91480637,446.0599976,78.9513855,476.0599976,39.0123558,
387.0700073,94.9192276,401.8399963,112.8004456,416.9599915,102.1259308,287.0299988,4.541488171,317.0700073,49.03371429,446.9599915,80.74156189,476.9599915,39.16221619,
388,96.05776978,402.9200134,111.2668076,418.0299988,105.2824173,287.9599915,6.177659512,318,52.5630722,448.0299988,81.6204834,478.0299988,39.49311447,
389.0700073,101.2470703,403.8399963,115.055275,418.9299927,105.5644226,289.0599976,7.168715954,319.0700073,53.43453598,448.9299927,82.26522827,478.9299927,39.34239578,
390,99.11560059,404.9200134,114.3772125,420,110.0513992,290,8.704755783,320,55.42614365,450,83.13827515,480,39.93598557,
391.0700073,103.9876328,405.8399963,118.1427383,421.0700073,111.7680206,290.9299927,9.51468277,320.9299927,55.68718719,451.0599976,85.34092712,481.0599976,39.38138199,
392,102.3345566,406.9200134,118.889061,422,110.048111,292.0299988,11.60613823,322.0299988,57.82233047,451.9599915,86.06117249,481.9599915,39.40574646,
393.0700073,105.6162186,407.8399963,119.5597916,423.0700073,112.7271347,292.9599915,12.54626083,322.9599915,59.64818573,453.0299988,87.32714844,483.0299988,39.91945267,
394,108.7097778,408.9200134,121.8130875,424,111.7371674,294.0599976,15.53664207,324.0599976,62.80429077,453.9299927,86.61901855,483.9299927,40.17395782,
395.0700073,107.5237122,409.8399963,124.9235611,425.0700073,114.6501389,295,16.25766182,325,62.16410065,455,86.85206604,485,39.60189438,
396,108.7626495,410.8999939,124.7046432,426,114.605423,295.9299927,18.53309441,325.9299927,63.92848206,456.0599976,88.01544189,486.0599976,40.08423615,
397.0700073,111.1929169,411.9599915,125.915535,427.0700073,113.6767578,297.0299988,20.53004456,327.0299988,68.20448303,456.9599915,90.13761902,486.9599915,40.41819763,
398,110.9875946,412.8699951,129.0267029,428,115.8580017,297.9599915,22.34058762,327.9599915,68.46582794,458.0299988,86.88624573,488.0299988,41.68638992,
399.0700073,112.489502,413.9299927,128.7805481,429.0700073,116.466713,299.0599976,23.31600952,329.0599976,70.57748413,458.9299927,89.04721069,488.9299927,41.30894852,
400,113.952507,414.8399963,129.6894684,430,117.0823669,300,25.15124702,330,71.25551605,460,87.44580078,490,41.48886108,
401.0700073,114.6838989,415.8999939,129.5322113,431.0599976,118.2370758,301.0700073,28.43765831,331.0700073,74.62277222,461.0599976,88.83294678,491.0400085,42.68045425,
402,116.238739,416.9599915,130.548172,431.9599915,117.7247391,302,29.90051842,332,76.00569916,461.9599915,85.99401855,491.9400024,43.02420044,
403.0700073,114.4568405,417.8699951,132.187088,433.0299988,119.7047043,303.0700073,32.17430115,333.0700073,78.5019989,463.0299988,89.0562439,492.980011,44.23488617,
404,113.4849854,418.9299927,131.4482422,433.9299927,117.7573929,304,35.90538788,334,79.71668243,463.9299927,89.05471802,494.019989,45.17963028,
405.0700073,118.1277237,419.8399963,131.7938232,435,117.1492615,305.0700073,37.491642,335.0700073,79.51539612,465,88.03450012,495.0700073,46.85648346,
406,116.6817551,420.9200134,132.7062836,436.0599976,120.7103348,306,39.97154999,336,83.12010193,466.0599976,86.40753174,495.9700012,47.72024918,
407.0700073,118.6024017,421.8399963,133.0043182,436.9599915,117.5953369,307.0700073,42.95695114,337.0700073,85.6218338,466.9599915,85.8659668,497.0100098,49.56599808,
408,115.1521683,422.9200134,134.3074799,438.0299988,119.6088028,308,46.3551712,338,86.15626526,468.0299988,85.9861145,498.0499878,50.94408035,
409.0700073,113.8848877,423.8399963,132.5899963,438.9299927,118.4104385,309.0700073,48.42752838,339.0700073,88.72934723,468.9299927,83.74830627,498.9500122,53.23635483,
410,117.8186417,424.9200134,131.3152313,440,118.4964676,310,52.3236618,340,92.3420639,470,84.47599792,500,55.23392868,
