CdSe 120 sec em420,,CdSe 120 sec em410,,CdSe 120 sec ex345,,CdSe 120 sec em425,,CdSe 120 sec em435,,CdSe 120 sec em445,,CdSe 120 sec em455,,CdSe 120 sec em465,,CdSe 120 sec ex365,,CdSe 120 sec ex335,,CdSe 120 sec em500,,CdSe 120 sec ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
254.0599976,0.1181278229,254.0599976,-0.345281601,368.9200134,6.601608276,254.0599976,0.6857190132,254.0599976,0.3560066223,254.0599976,0.6201748848,254.0599976,0.7981185913,254.0599976,0.02751588821,388.9200134,7.941037178,358.9200134,5.772369385,274,-1.680259228,408.9200134,8.430955887,
255,0.3683977127,255,-0.2903928757,369.8399963,8.234048843,255,0.4981937408,255,0.5637159348,255,0.8107967377,255,0.7887158394,255,-0.1075043678,389.8399963,8.157399178,359.8399963,6.330309868,275.0700073,-1.654186964,409.8399963,8.725730896,
255.9299927,0.2650003433,255.9299927,-0.4195876122,370.9200134,8.668850899,255.9299927,0.5051579475,255.9299927,0.5837445259,255.9299927,0.6449894905,255.9299927,0.5804438591,255.9299927,-0.1004478931,390.9200134,8.871588707,360.9200134,7.58718586,276,-1.734428406,410.8999939,10.00252342,
257.0299988,-0.005070209503,257.0299988,-0.409907341,371.8399963,8.613137245,257.0299988,0.3761019707,257.0299988,0.627404213,257.0299988,0.7429943085,257.0299988,0.05351734161,257.0299988,-0.4190559387,391.8399963,10.15924168,361.8399963,7.856567383,277.0700073,-1.773792744,411.9599915,11.68675804,
257.9599915,0.4657683372,257.9599915,-0.1751198769,372.9200134,10.53193855,257.9599915,0.5028924942,257.9599915,0.281229496,257.9599915,0.7531476021,257.9599915,0.5159015656,257.9599915,-0.5098292828,392.9200134,10.53679562,362.9200134,8.159254074,278,-1.935698032,412.8699951,12.39910126,
259.0599976,0.240922451,259.0599976,-0.1259222031,373.8399963,10.63858509,259.0599976,0.1794462204,259.0599976,0.09927082062,259.0599976,0.5074081421,259.0599976,0.4099879265,259.0599976,-0.8063497543,393.8399963,11.41051006,363.8399963,9.702011108,279.0700073,-1.706889391,413.9299927,13.91664124,
260,-0.0004816055298,260,-0.4632987976,374.9200134,11.36197186,260,0.2924180031,260,0.1073555946,260,0.6744422913,260,0.2616407871,260,-0.4084997177,394.9200134,12.51292515,364.9200134,9.647057533,280,-1.619592905,414.8399963,14.64639854,
260.9299927,-0.1516590118,260.9299927,-0.3334035873,375.8399963,11.71994686,260.9299927,0.07638978958,260.9299927,0.3283047676,260.9299927,0.290558815,260.9299927,0.2742824554,260.9299927,-0.3997738361,395.8399963,12.03202629,365.8399963,11.27028179,280.9299927,-1.774940729,415.8999939,15.17136002,
262.0299988,-0.06505489349,262.0299988,-0.3159022331,376.9200134,12.91036606,262.0299988,0.2365112305,262.0299988,0.1612181664,262.0299988,0.4320812225,262.0299988,0.04687142372,262.0299988,-0.4871320724,396.9200134,14.88361454,366.9200134,12.05785275,282.0299988,-0.8199384212,416.9599915,17.71082115,
262.9599915,0.0613193512,262.9599915,-0.4341406822,377.8399963,13.91768932,262.9599915,0.09046888351,262.9599915,0.4287629128,262.9599915,0.386868,262.9599915,0.08000659943,262.9599915,-0.848033905,397.8399963,15.31420612,367.8399963,13.17073917,282.9599915,-0.5059247017,417.8699951,18.43243217,
264.0599976,-0.06296491623,264.0599976,-0.1735672951,378.9200134,13.87489986,264.0599976,0.08178710938,264.0599976,0.1859841347,264.0599976,0.9829912186,264.0599976,-0.01896691322,264.0599976,-0.3011152744,398.9200134,15.65614223,368.9200134,14.89451599,284.0599976,0.03918647766,418.9299927,18.99627113,
265,0.2616415024,265,0.1124019623,379.8399963,15.84889507,265,0.2021398544,265,0.2806429863,265,0.4227967262,265,0.193775177,265,-0.6196365356,399.8399963,17.07640457,369.8399963,14.13057709,285,0.7824611664,419.8399963,19.5722332,
265.9299927,-0.04672908783,265.9299927,-0.1382060051,380.9200134,16.95074654,265.9299927,0.4545512199,265.9299927,0.2712063789,265.9299927,0.4189090729,265.9299927,-0.06945872307,265.9299927,-0.8444845676,400.9200134,16.60626411,370.9200134,16.41797256,285.9299927,0.6097226143,420.9200134,21.02498245,
267.0299988,0.1020708084,267.0299988,-0.3860020638,381.8399963,17.90559959,267.0299988,-0.2055330276,267.0299988,0.07528877258,267.0299988,0.2789897919,267.0299988,-0.1491932869,267.0299988,-0.7854938507,401.8399963,18.4663372,371.8399963,17.00282669,287.0299988,1.326645374,421.8399963,22.12337494,
267.9599915,-0.2572278976,267.9599915,-0.6810181141,382.9200134,18.52773476,267.9599915,0.04756450653,267.9599915,-0.3360376358,267.9599915,0.1193482876,267.9599915,-0.2459592819,267.9599915,-1.096027851,402.9200134,19.31741142,372.9200134,16.79133797,287.9599915,1.662739277,422.9200134,23.44939995,
269.0599976,-0.4687914848,269.0599976,-0.5391230583,383.8399963,19.67614555,269.0599976,-0.1129441261,269.0599976,-0.3351202011,269.0599976,-0.01711368561,269.0599976,-0.5033516884,269.0599976,-0.9165389538,403.8399963,19.51548386,373.8399963,18.14167404,289.0599976,2.237706184,423.8399963,24.75018883,
270,-0.4703760147,270,-0.6708664894,384.9200134,21.22767448,270,-0.5601067543,270,-0.7184934616,270,0.1449773312,270,-0.4424974918,270,-1.252710104,404.9200134,20.61869049,374.9200134,20.23588943,290,2.661689281,424.9200134,25.16337013,
271.0700073,-0.7724294662,271.0700073,-0.8518979549,385.8399963,21.84496307,271.0700073,-0.3322424889,271.0700073,-0.7464849949,271.0700073,-0.5683903694,271.0700073,-0.7402086258,271.0700073,-1.37183094,405.8399963,22.43504143,375.8399963,20.89333534,290.9299927,3.265080452,425.8399963,26.52256012,
