CdSe sonochem 30min em420,,CdSe sonochem 30min ex345,,CdSe sonochem 30min em510,,CdSe sonochem 30min ex380,,CdSe sonochem 30min ex330,,CdSe sonochem 30min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
278,-3.13254261,392.9200134,197.8818359,297.9599915,24.88425446,428,151.3661194,378,172.0543213,408,177.1014557,
279.0700073,-3.089301109,393.8399963,205.8406067,299.0599976,27.19303894,429.0700073,156.8084412,379.0700073,180.2946472,409.0700073,181.1000519,
280,-2.520104408,394.9200134,211.3855286,300,28.7816391,430,159.5130005,380,186.4521179,410,185.9949188,
280.9299927,-1.71887207,395.8399963,217.7406769,301.0700073,30.18644333,431.0599976,161.594574,381.0700073,188.911377,411.0599976,191.1068115,
282.0299988,-0.4350404739,396.9200134,219.8456726,302,32.07361984,431.9599915,161.8335419,382,196.2154846,411.9599915,194.3360901,
282.9599915,1.312633514,397.8399963,224.2865601,303.0700073,34.34231186,433.0299988,167.6573792,383.0700073,197.0777893,413.0299988,198.8362885,
284.0599976,4.145837784,398.9200134,229.8010559,304,36.33990479,433.9299927,168.2767487,384,205.0527954,413.9299927,203.612854,
285,5.219225883,399.8399963,235.6290436,305.0700073,39.61776733,435,172.1508636,385.0700073,210.4321594,415,206.5323944,
285.9299927,6.848270416,400.9200134,237.2024231,306,41.0844841,436.0599976,174.4317322,386,209.9960022,416.0599976,208.9060974,
287.0299988,10.55410385,401.8399963,240.2184601,307.0700073,43.64716339,436.9599915,174.6990967,387.0700073,217.0032654,416.9599915,212.9894257,
287.9599915,12.87655258,402.9200134,241.7489471,308,44.19966507,438.0299988,178.0881958,388,220.7262573,418.0299988,215.5961456,
289.0599976,15.58336449,403.8399963,250.7874908,309.0700073,46.39561844,438.9299927,179.1678772,389.0700073,225.6014709,418.9299927,220.3056946,
290,18.33563805,404.9200134,250.8175201,310,46.80459213,440,178.7419891,390,226.2299194,420,225.4100647,
290.9299927,20.25324821,405.8399963,253.2556305,311.0700073,49.50285339,441.0599976,181.0978088,391.0700073,230.519989,421.0700073,228.8542633,
292.0299988,24.24054337,406.9200134,259.1108704,312,51.41390991,441.9599915,181.7068634,392,231.8930969,422,229.779892,
292.9599915,27.80571747,407.8399963,263.1039429,313.0700073,53.39409637,443.0299988,182.5741119,393.0700073,237.0572205,423.0700073,232.8366699,
294.0599976,32.798172,408.9200134,262.2972412,314,54.49938202,443.9299927,183.106308,394,241.5480957,424,232.304718,
295,35.43901443,409.8399963,265.5446167,315.0700073,57.15399933,445,185.0440826,395.0700073,244.0878296,425.0700073,234.578598,
295.9299927,39.897995,410.8999939,269.213623,316,60.76257324,446.0599976,186.3724365,396,244.3408813,426,237.537796,
297.0299988,43.27747345,411.9599915,269.9014282,317.0700073,62.05832672,446.9599915,186.5071869,397.0700073,245.8891602,427.0700073,235.9393768,
297.9599915,45.90520096,412.8699951,271.7420044,318,64.38718414,448.0299988,185.7672424,398,247.2548218,428,238.4922638,
299.0599976,49.92357254,413.9299927,274.8784485,319.0700073,67.24695587,448.9299927,190.9106445,399.0700073,252.5426331,429.0700073,238.7108917,
300,55.30649567,414.8399963,276.1772766,320,69.44763184,450,187.6386566,400,254.4017944,430,240.7366791,
301.0700073,58.40544891,415.8999939,277.697876,320.9299927,72.6545639,451.0599976,187.1692505,401.0700073,251.2032166,431.0599976,241.7205963,
302,63.40918732,416.9599915,276.7144165,322.0299988,75.12898254,451.9599915,188.8463135,402,250.1643982,431.9599915,239.8293915,
303.0700073,69.42781067,417.8699951,275.5480347,322.9599915,76.46073151,453.0299988,189.0067749,403.0700073,250.6231079,433.0299988,240.3545074,
304,73.07791138,418.9299927,281.1020203,324.0599976,82.1587677,453.9299927,190.5088806,404,252.8310547,433.9299927,241.3451691,
305.0700073,79.45469666,419.8399963,278.5807495,325,82.97956085,455,189.81633,405.0700073,254.3277893,435,239.8238678,
306,85.70429993,420.9200134,276.6255798,325.9299927,85.76597595,456.0599976,187.0943146,406,249.8621216,436.0599976,241.4695282,
307.0700073,91.99758911,421.8399963,276.000885,327.0299988,87.78094482,456.9599915,185.7574463,407.0700073,253.9847412,436.9599915,239.0289764,
308,93.90750122,422.9200134,278.1686707,327.9599915,89.03125763,458.0299988,184.2751465,408,252.9602051,438.0299988,237.1845856,
309.0700073,103.5002975,423.8399963,279.3759766,329.0599976,92.06360626,458.9299927,184.6799164,409.0700073,248.8389893,438.9299927,235.8922882,
310,108.652298,424.9200134,276.471283,330,94.04562378,460,184.8961182,410,249.2201233,440,237.3190765,
311.0700073,115.0402451,425.8399963,274.79422,331.0700073,98.91438293,461.0599976,186.2093353,411.0599976,252.0663452,441.0599976,234.5440216,
312,118.3777847,426.9200134,275.7444153,332,100.2353668,461.9599915,182.6854248,411.9599915,252.2773132,441.9599915,232.7784576,
