CdSe sonochem 180min ex330,,CdSe sonochem 180min ex330,,CdSe sonochem 180min ex345,,CdSe sonochem 180min ex360,,CdSe sonochem 180min em420,,CdSe sonochem 180min em460,,CdSe sonochem 180min ex385,,CdSe sonochem 180min em530,,CdSe sonochem 180min ex460,,CdSe sonochem 180min ex520,,CdSe sonochem 180min em535,,CdSe sonochem 180min ex460,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
349.0700073,0.1141909957,349.0700073,0.2605864704,363.8399963,0.3528937995,379.0700073,0.4920839965,249.0599976,-0.07974249125,249.0599976,-0.01902097464,403.8399963,0.9321112633,279.0700073,-0.446064353,478.9299927,1.682549,538.9500122,-7.242259979,279.0700073,-0.7348536253,478.9299927,1.542416573,
350,0.3789978027,350,0.1438400447,364.9200134,0.3559621871,380,0.5837064981,250,-0.1022140384,250,0.07017356157,404.9200134,1.115616798,280,-0.8180276752,480,1.856348038,540,-8.34532547,280,-1.121141195,480,1.813812733,
351.0700073,0.01431035995,351.0700073,0.2689169943,365.8399963,0.4269269407,381.0700073,0.6451237202,250.9299927,-0.1070477962,250.9299927,0.1402772069,405.8399963,1.244864702,280.9299927,-0.8393554688,481.0599976,1.947202206,541.0200195,-8.659805298,280.9299927,-1.119215012,481.0599976,2.158761978,
352,-0.1719692498,352,0.1971225441,366.9200134,0.4844053686,382,0.7409107685,252.0299988,-0.07967728376,252.0299988,0.04128998518,406.9200134,1.545110464,282.0299988,-0.7814349532,481.9599915,2.00164032,542.0499878,-11.9274826,282.0299988,-1.336802006,481.9599915,2.218201637,
353.0700073,0.1461672485,353.0700073,0.1732640266,367.8399963,0.5568164587,383.0700073,0.8365535736,252.9600067,0.01022452116,252.9600067,0.07369881868,407.8399963,1.595268726,282.9599915,-0.819847405,483.0299988,2.175842762,542.9400024,-12.23281097,282.9599915,-1.030006051,483.0299988,2.202985764,
354,0.1843945086,354,0.3962744474,368.9200134,0.6396676302,384,0.9585789442,254.0599976,0.08899509907,254.0599976,0.06685501337,408.9200134,1.83858633,284.0599976,-0.7271140218,483.9299927,2.439596653,543.9699707,-14.56719208,284.0599976,-1.073774576,483.9299927,2.520432949,
355.0700073,0.1969066262,355.0700073,0.3856365085,369.8399963,0.7509450912,385.0700073,1.016651034,255,0.02985352278,255,0.03699415922,409.8399963,2.040078163,285,-0.6553674936,485,2.443374634,545,-16.34156418,285,-1.034576535,485,2.454651356,
356,0.5338400006,356,0.5356039405,370.9200134,0.8307658434,386,1.212747455,255.9299927,0.06896066666,255.9299927,0.04582756758,410.8999939,2.255625486,285.9299927,-0.6698111296,486.0599976,2.595840454,546.0200195,-17.13647079,285.9299927,-1.083840489,486.0599976,2.509236336,
357.0700073,0.523357749,357.0700073,0.5228261948,371.8399963,0.9139909744,387.0700073,1.322181582,257.0299988,0.0348341465,257.0299988,0.1481299996,411.9599915,2.581648827,287.0299988,-0.6208021641,486.9599915,2.637087822,547.0499878,-18.03839493,287.0299988,-0.9786285162,486.9599915,2.595063686,
358,0.4215549827,358,0.5070202351,372.9200134,1.027020574,388,1.407871127,257.9599915,-0.01058858633,257.9599915,0.03662508726,412.8699951,2.861167431,287.9599915,-0.5707511902,488.0299988,2.96739006,547.9400024,-20.51436234,287.9599915,-0.8024686575,488.0299988,2.990148544,
359.0700073,0.4772613049,359.0700073,0.5862280726,373.8399963,0.9920060635,389.0700073,1.546153784,259.0599976,-0.05470353365,259.0599976,0.09713852406,413.9299927,2.975363493,289.0599976,-0.474853158,488.9299927,2.992900372,548.9699707,-21.08589172,289.0599976,-0.7384246588,488.9299927,3.081192493,
360,0.622516036,360,0.6239810586,374.9200134,1.255620718,390,1.679949164,260,-0.01158672571,260,-0.005452871323,414.8399963,3.222982645,290,-0.4160438776,490,3.192865849,550,-22.08322525,290,-0.6861569881,490,2.88102293,
361.0700073,0.5574097037,361.0700073,0.71753335,375.8399963,1.167330623,391.0700073,1.873262525,260.9299927,-0.006496071815,260.9299927,0.06472140551,415.8999939,3.539548159,290.9299927,-0.3615686893,491.0400085,3.569423199,551.039978,-24.22758484,290.9299927,-0.689381361,491.0400085,3.388720512,
362,1.020700455,362,0.6823254824,376.9200134,1.403925061,392,1.991747022,262.0299988,0.02915680408,262.0299988,0.07990276814,416.9599915,3.789890051,292.0299988,-0.1578909159,491.9400024,3.835669041,551.9400024,-24.40618134,292.0299988,-0.4099217653,491.9400024,3.613202095,
363.0700073,0.935392797,363.0700073,0.902639389,377.8399963,1.465472937,393.0700073,2.254682302,262.9599915,-0.005287945271,262.9599915,0.009886801243,417.8699951,4.126102448,292.9599915,-0.04277360439,492.980011,4.118190289,552.9799805,-25.89500427,292.9599915,-0.434076786,492.980011,4.215107441,
364,0.6243709326,364,1.007234812,378.9200134,1.694006801,394,2.28971386,264.0599976,-0.04327458143,264.0599976,-0.02065712214,418.9299927,4.378720284,294.0599976,-0.02791500092,494.019989,4.427113056,554.0200195,-26.15956879,294.0599976,-0.2849684954,494.019989,4.405479908,
365.0700073,0.9721319079,365.0700073,0.9923124313,379.8399963,1.641297221,395.0700073,2.544933081,265,0.01763921976,265,0.03014045954,419.8399963,4.735581398,295,0.1263076067,495.0700073,4.786163807,555.0700073,-27.03462601,295,-0.3088365793,495.0700073,4.612810612,
366,0.8895581365,366,1.12182641,380.9200134,1.714448214,396,2.588925362,265.9299927,0.01896351576,265.9299927,-0.01627039909,420.9200134,5.001257896,295.9299927,0.2798045874,495.9700012,5.112834454,555.9699707,-26.4248085,295.9299927,-0.1001888514,495.9700012,5.102611065,
367.0700073,1.232456684,367.0700073,1.252180099,381.8399963,1.783954859,397.0700073,2.868752956,267.0299988,0.08147102594,267.0299988,-0.02042704821,421.8399963,5.076731682,297.0299988,0.3184108734,497.0100098,5.519850254,557.0100098,-28.33259201,297.0299988,-0.07824313641,497.0100098,5.706739902,
368,1.514664173,368,1.323548555,382.9200134,2.115175009,398,3.075763702,267.9599915,-0.01091176271,267.9599915,-0.112986505,422.9200134,5.568249702,297.9599915,0.604162693,498.0499878,6.193256855,558.0499878,-29.29408264,297.9599915,-0.01537442207,498.0499878,6.432479382,
369.0700073,1.222112179,369.0700073,1.402168393,383.8399963,2.123630047,399.0700073,3.133155346,269.0599976,-0.02011191845,269.0599976,-0.03812158108,423.8399963,5.81351757,299.0599976,0.6273188591,498.9500122,6.717782497,558.9500122,-29.44298935,299.0599976,0.1535999775,498.9500122,6.868182659,
370,1.070829868,370,1.520430684,384.9200134,2.423902512,400,3.361872196,270,-0.07835024595,270,-0.09033852816,424.9200134,5.964802742,300,0.7758700848,500,7.574776173,560,-29.18957901,300,0.4446208477,500,7.276546955,
371.0700073,1.481461763,371.0700073,1.447401047,385.8399963,2.531578779,401.0700073,3.60951972,271.0700073,-0.1019841433,271.0700073,-0.1515681744,425.8399963,6.183631897,301.0700073,1.074946642,501.0400085,8.434938431,561.039978,-30.91693497,301.0700073,0.5739471912,501.0400085,8.408435822,
372,1.675157547,372,1.580390096,386.9200134,2.678446293,402,3.72026372,272,-0.07184952497,272,-0.1866181493,426.9200134,6.35972023,302,0.9133923054,501.9400024,9.137306213,561.9400024,-30.90524292,302,0.3547873497,501.9400024,8.8536129,
373.0700073,2.018300295,373.0700073,1.721297979,387.8399963,2.664755583,403.0700073,4.048489094,273.0700073,-0.1545280218,273.0700073,-0.1651346684,427.8399963,6.782250404,303.0700073,1.262759447,502.980011,10.00258446,562.9799805,-30.32820892,303.0700073,0.7199077606,502.980011,10.22322464,
374,1.89325428,374,1.782730222,388.9200134,3.111663818,404,4.113153934,274,-0.1543443203,274,-0.2267783284,428.9200134,6.894351959,304,1.429853439,504.019989,11.53417778,564.0200195,-31.19035721,304,1.226269722,504.019989,11.47483444,
375.0700073,1.619356394,375.0700073,2.132385254,389.8399963,3.169036627,405.0700073,4.425499916,275.0700073,-0.1834441125,275.0700073,-0.2924184799,429.8399963,7.083649635,305.0700073,1.573454142,505.0700073,12.73522949,565.0700073,-32.03085709,305.0700073,1.216118336,505.0700073,12.38489914,
376,2.039160728,376,2.033577442,390.9200134,3.404294968,406,4.501729965,276,-0.2301931083,276,-0.2920364738,430.8999939,7.334814072,306,1.649311304,505.9700012,14.09623337,565.9699707,-32.09841537,306,1.767088413,505.9700012,13.77821541,
377.0700073,1.884761095,377.0700073,2.210337162,391.8399963,3.267211914,407.0700073,4.673147678,277.0700073,-0.2456200719,277.0700073,-0.3645503521,431.9599915,7.822619438,307.0700073,2.144209623,507.0100098,15.34929276,567.0100098,-33.64715195,307.0700073,1.31878829,507.0100098,15.12688065,
378,2.084596395,378,2.201155663,392.9200134,3.727219582,408,5.284148693,278,-0.2736341953,278,-0.34132725,432.8699951,7.820777893,308,2.086802959,508.0499878,16.8144207,568.0499878,-32.86075974,308,1.612570286,508.0499878,16.18637657,
379.0700073,2.136897087,379.0700073,2.460800648,393.8399963,3.852072716,409.0700073,5.368178844,279.0700073,-0.3133084178,279.0700073,-0.3507373333,433.9299927,8.097566605,309.0700073,2.472587585,508.9500122,18.46935654,568.9500122,-34.16606903,309.0700073,2.084253788,508.9500122,18.50948524,
380,2.173892021,380,2.495953083,394.9200134,3.994223118,410,5.376873493,280,-0.3658929169,280,-0.5135047436,434.8399963,8.369204521,310,2.423080921,510,20.61333847,570,-33.3603096,310,2.058447838,510,20.6598568,
381.0700073,2.128943443,381.0700073,2.386418343,395.8399963,3.850198746,411.0599976,5.572668076,280.9299927,-0.3453907371,280.9299927,-0.4847826362,435.8999939,8.480893135,311.0700073,2.797249317,511.0599976,22.65880203,571.0200195,-34.91125488,311.0700073,2.115164757,511.0599976,22.15923309,
382,1.944512844,382,2.629624844,396.9200134,4.43181181,411.9599915,5.981925488,282.0299988,-0.3045345247,282.0299988,-0.3951598406,436.9599915,8.817049026,312,2.91603899,511.9599915,23.9948597,572.0499878,-34.49526215,312,2.767720699,511.9599915,24.1413517,
383.0700073,2.48172164,383.0700073,2.699204445,397.8399963,4.285748005,413.0299988,6.093413353,282.9599915,-0.3785960972,282.9599915,-0.4841378033,437.8699951,9.151391983,313.0700073,3.038908958,513.0300293,26.23297882,572.9400024,-34.84103012,313.0700073,2.807048798,513.0300293,25.85827255,
384,2.832327366,384,2.970877171,398.9200134,4.504536629,413.9299927,6.488757133,284.0599976,-0.3099089861,284.0599976,-0.4814001918,438.9299927,9.336200714,314,3.274233341,513.9299927,27.89269257,573.9699707,-35.52861404,314,2.740221024,513.9299927,27.71099281,
385.0700073,3.017458439,385.0700073,3.026157856,399.8399963,4.686429501,415,6.445221424,285,-0.3502228856,285,-0.5420041084,439.8399963,9.567293167,315.0700073,3.599763393,515,30.08792496,575,-35.68881989,315.0700073,2.689211845,515,30.47173119,
386,2.810947418,386,2.918488026,400.9200134,4.99000597,416.0599976,6.721702099,285.9299927,-0.3103770614,285.9299927,-0.4317538738,440.8999939,9.948237419,316,3.896741867,516.0599976,32.65865326,576.0200195,-34.94789886,316,3.552416325,516.0599976,32.73412323,
387.0700073,2.800525188,387.0700073,3.101283073,401.8399963,5.0699296,416.9599915,6.956847191,287.0299988,-0.3468582332,287.0299988,-0.4629953802,441.9599915,10.00088406,317.0700073,3.914552689,516.960022,34.31573868,577.0499878,-36.33222198,317.0700073,3.476644993,516.960022,34.37756348,
388,3.282641888,388,3.210793018,402.9200134,5.145139694,418.0299988,7.287510872,287.9599915,-0.2786702514,287.9599915,-0.5491182804,442.8699951,10.37818432,318,4.202608109,518.0300293,36.0265007,577.9400024,-36.65647125,318,3.765039921,518.0300293,35.73810959,
