CdSe 60 sec ex380,,CdSe 60 sec em520,,CdSe 60 sec ex400,,CdSe 60 sec em445,,CdSe 60 sec ex375,,CdSe 60 sec ex330,,CdSe 60 sec em410,,CdSe 60 sec ex340,,CdSe 60 sec em425,,CdSe 60 sec ex350,,CdSe 60 sec em455,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
410,7.889875412,290,0.9534248114,430,8.920211792,260,-0.1408545971,404.9200134,7.216503143,360,3.360230684,260,0.3065593243,370,5.287128925,260,-0.1460614204,380,5.421859741,260,-0.445543766,
411.0599976,8.668395996,290.9299927,1.148385167,431.0599976,9.686861038,260.9299927,-0.2847204208,405.8399963,7.426341057,361.0700073,4.246548176,260.9299927,0.3719832897,371.0700073,5.261633873,260.9299927,-0.187674284,381.0700073,6.11321497,260.9299927,-0.3844480515,
411.9599915,9.200418472,292.0299988,1.171517253,431.9599915,9.893119812,262.0299988,-0.3842184544,406.9200134,8.513848305,362,5.166231155,262.0299988,0.3955776691,372,5.751276016,262.0299988,0.06399178505,382,6.225657463,262.0299988,-0.1882023811,
413.0299988,9.925971985,292.9599915,1.613841653,433.0299988,10.23542881,262.9599915,-0.3681185246,407.8399963,8.040042877,363.0700073,4.56630373,262.9599915,0.5365252495,373.0700073,6.569018841,262.9599915,0.02933263779,383.0700073,7.257022858,262.9599915,-0.3829991817,
413.9299927,10.76653767,294.0599976,1.614529014,433.9299927,11.23225689,264.0599976,-0.05577898026,408.9200134,9.686262131,364,5.83719635,264.0599976,0.3021330833,374,6.551188946,264.0599976,-0.159383297,384,7.197650909,264.0599976,-0.4900455475,
415,11.36786079,295,1.914689183,435,11.26223373,265,-0.2810180187,409.8399963,9.572813988,365.0700073,5.815188408,265,0.4029068947,375.0700073,6.86339283,265,-0.009177446365,385.0700073,7.590988159,265,-0.7078151703,
416.0599976,11.66040707,295.9299927,2.19635582,436.0599976,12.17972851,265.9299927,-0.3996253014,410.8999939,10.42423153,366,6.547938347,265.9299927,0.4110000134,376,7.69614315,265.9299927,0.007448911667,386,7.654568672,265.9299927,-0.6081137657,
416.9599915,12.47732639,297.0299988,2.543911457,436.9599915,12.01717091,267.0299988,-0.4767093658,411.9599915,10.79011536,367.0700073,6.868664742,267.0299988,0.387193203,377.0700073,8.218610764,267.0299988,-0.3153095245,387.0700073,8.207215309,267.0299988,-0.3520834446,
418.0299988,13.04204464,297.9599915,2.818813324,438.0299988,12.81943035,267.9599915,-0.5048472881,412.8699951,11.55597019,368,6.622330189,267.9599915,0.283005476,378,8.716943741,267.9599915,-0.2070538998,388,8.948085785,267.9599915,-0.6037287712,
418.9299927,13.44935417,299.0599976,2.728919029,438.9299927,13.69895458,269.0599976,-0.3874437809,413.9299927,12.72117329,369.0700073,7.182642937,269.0599976,0.2381579876,379.0700073,8.999750137,269.0599976,-0.2093732357,389.0700073,9.636036873,269.0599976,-0.6705744267,
