CdSe sonochem 60min em420,,CdSe sonochem 60min ex345,,CdSe sonochem 60min em510,,CdSe sonochem 60min ex385,,CdSe sonochem 60min ex330,,CdSe sonochem 60min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,0.04561901093,354.9200134,0.4917707443,260,0.4555950165,394.9200134,-0.1407318115,340,-0.2291479111,370,-0.0442905426,
240.9299927,-0.1579384804,355.8399963,1.460831642,260.9299927,0.3019504547,395.8399963,2.250398636,341.0700073,0.9968576431,371.0700073,0.9761619568,
242.0299988,-0.1628308296,356.9200134,2.758500099,262.0299988,0.7330465317,396.9200134,2.872688293,342,1.646349907,372,2.805381775,
242.9600067,0.08508348465,357.8399963,5.259307861,262.9599915,0.8927850723,397.8399963,4.328975677,343.0700073,2.831139565,373.0700073,4.467021942,
244.0599976,-0.3719496727,358.9200134,7.03534317,264.0599976,0.54139328,398.9200134,7.346851349,344,3.621892929,374,7.26379776,
245,-0.8232483864,359.8399963,8.68255043,265,0.7897691727,399.8399963,8.233108521,345.0700073,6.138474464,375.0700073,10.0912075,
245.9299927,-0.2935810089,360.9200134,10.08548927,265.9299927,0.6460227966,400.9200134,11.63773155,346,6.682319641,376,11.30875397,
247.0299988,-0.2113871574,361.8399963,12.64543724,267.0299988,0.6173086166,401.8399963,13.38414383,347.0700073,9.088972092,377.0700073,14.74838448,
247.9600067,-0.4791164398,362.9200134,15.38268661,267.9599915,0.2654371262,402.9200134,16.25054169,348,11.19488811,378,16.32125664,
249.0599976,0.5376877785,363.8399963,18.76713371,269.0599976,-0.5730228424,403.8399963,16.9765892,349.0700073,13.98235035,379.0700073,19.41822243,
250,-0.224524498,364.9200134,21.99373627,270,-0.4948859215,404.9200134,20.92667389,350,15.29471302,380,23.37189293,
250.9299927,0.03410577774,365.8399963,24.68221664,271.0700073,-0.8926105499,405.8399963,23.04797363,351.0700073,18.51539612,381.0700073,26.41612816,
252.0299988,0.4163241386,366.9200134,27.00610733,272,-1.295118332,406.9200134,26.73565674,352,20.22557831,382,29.61519432,
252.9600067,0.6703019142,367.8399963,30.71321106,273.0700073,-1.752409458,407.8399963,29.36810684,353.0700073,23.82845306,383.0700073,33.35793304,
254.0599976,1.200922489,368.9200134,35.35517502,274,-1.997170448,408.9200134,32.46340179,354,26.58353424,384,35.62242126,
255,1.397964954,369.8399963,39.25074768,275.0700073,-2.017350197,409.8399963,35.21623611,355.0700073,28.07324982,385.0700073,38.62812042,
255.9299927,1.598413944,370.9200134,43.35799408,276,-2.122941017,410.8999939,38.11273956,356,31.26504898,386,42.54347992,
257.0299988,0.501516819,371.8399963,46.71377182,277.0700073,-2.238368511,411.9599915,42.03917694,357.0700073,36.29924011,387.0700073,47.6231308,
257.9599915,0.7126040459,372.9200134,51.84972,278,-2.388451099,412.8699951,45.50308609,358,38.84286499,388,51.65753937,
259.0599976,1.007765293,373.8399963,56.16904831,279.0700073,-1.882842064,413.9299927,48.70753098,359.0700073,42.62540436,389.0700073,54.466362,
260,0.7237324715,374.9200134,61.97560501,280,-2.175384045,414.8399963,52.08076096,360,45.56156921,390,59.62956238,
260.9299927,0.5408482552,375.8399963,66.3145752,280.9299927,-0.9195990562,415.8999939,55.22035599,361.0700073,49.72415543,391.0700073,62.74433136,
262.0299988,0.7195057869,376.9200134,69.23149109,282.0299988,0.1806411743,416.9599915,58.8559761,362,53.91575623,392,67.70935822,
262.9599915,1.017467976,377.8399963,71.7388916,282.9599915,2.106014252,417.8699951,62.7555275,363.0700073,57.69805908,393.0700073,71.42362213,
264.0599976,1.02910471,378.9200134,79.33384705,284.0599976,4.474603653,418.9299927,66.57833862,364,62.01463318,394,74.37796021,
265,1.515491962,379.8399963,81.6633606,285,6.224689484,419.8399963,68.5333252,365.0700073,67.64202118,395.0700073,77.9274292,
265.9299927,1.43309927,380.9200134,86.50465393,285.9299927,7.871912956,420.9200134,73.41387939,366,70.69451904,396,82.07077026,
267.0299988,0.7327694893,381.8399963,89.08554077,287.0299988,10.24627876,421.8399963,74.8321228,367.0700073,74.25386047,397.0700073,86.48069,
267.9599915,1.402006626,382.9200134,96.28497314,287.9599915,11.70268822,422.9200134,78.6436615,368,78.96329498,398,90.33153534,
269.0599976,0.611386776,383.8399963,101.825592,289.0599976,14.14153481,423.8399963,82.44869995,369.0700073,83.73838806,399.0700073,95.77490997,
270,-0.1525650024,384.9200134,106.7536621,290,16.05718422,424.9200134,87.82267761,370,88.83465576,400,98.99327087,
271.0700073,0.05250787735,385.8399963,109.5549316,290.9299927,17.29820251,425.8399963,89.64241028,371.0700073,93.02548981,401.0700073,102.2980652,
272,0.232278347,386.9200134,116.1322937,292.0299988,19.47327232,426.9200134,90.85969543,372,96.29354858,402,107.0078049,
273.0700073,-0.8463754654,387.8399963,121.1978302,292.9599915,21.27838326,427.8399963,95.03875732,373.0700073,103.8639755,403.0700073,110.3640594,
274,-1.210382462,388.9200134,124.8223267,294.0599976,22.6535759,428.9200134,97.17149353,374,102.7937775,404,114.8023682,
275.0700073,-0.9433336258,389.8399963,130.4682465,295,24.5723362,429.8399963,100.6713562,375.0700073,111.1060028,405.0700073,119.0552521,
276,-1.101341248,390.9200134,134.7211609,295.9299927,26.95438576,430.8999939,101.7098999,376,113.7467651,406,122.790863,
277.0700073,-1.437054634,391.8399963,138.6877136,297.0299988,27.86855888,431.9599915,102.6100311,377.0700073,119.2514267,407.0700073,126.8894653,
278,-1.645306587,392.9200134,142.5446777,297.9599915,28.67663765,432.8699951,107.3234253,378,122.0288162,408,130.7690582,
279.0700073,-1.822577953,393.8399963,148.3599243,299.0599976,30.43400764,433.9299927,109.3423309,379.0700073,125.8915787,409.0700073,133.5685425,
280,-1.571800232,394.9200134,150.4276276,300,32.94795227,434.8399963,109.8276367,380,128.8612976,410,134.4489899,
280.9299927,-0.7395329475,395.8399963,155.6292572,301.0700073,34.83058167,435.8999939,112.7133636,381.0700073,133.6380615,411.0599976,139.6115723,
282.0299988,-0.2163286209,396.9200134,161.5718384,302,37.00512695,436.9599915,114.7680817,382,135.5639038,411.9599915,142.3949738,
282.9599915,0.975461483,397.8399963,162.4708099,303.0700073,38.7215271,437.8699951,116.1171112,383.0700073,142.8860626,413.0299988,147.9590607,
284.0599976,2.872478008,398.9200134,166.7536163,304,39.81957245,438.9299927,117.861908,384,145.2160339,413.9299927,147.0695038,
285,4.015326023,399.8399963,170.0530243,305.0700073,42.79528046,439.8399963,120.1515961,385.0700073,149.5615845,415,151.0391235,
285.9299927,6.14576292,400.9200134,169.4039459,306,45.29328918,440.8999939,123.8265228,386,150.8858337,416.0599976,154.6757965,
287.0299988,8.102214813,401.8399963,176.3582001,307.0700073,46.27713013,441.9599915,125.2388458,387.0700073,155.3986053,416.9599915,157.2409515,
287.9599915,10.05112076,402.9200134,178.0714569,308,47.88066864,442.8699951,124.6124878,388,157.5898438,418.0299988,161.4931793,
289.0599976,12.42865562,403.8399963,179.9196167,309.0700073,50.82222748,443.9299927,124.509903,389.0700073,159.2358704,418.9299927,164.8997345,
290,14.11952591,404.9200134,183.8461609,310,52.0982666,444.8399963,125.8686676,390,163.5175476,420,164.1368866,
290.9299927,16.32377434,405.8399963,185.5747833,311.0700073,54.14042664,445.8999939,127.388092,391.0700073,167.4207611,421.0700073,165.7310333,
292.0299988,18.48973465,406.9200134,187.3560486,312,56.81509399,446.9599915,128.2836761,392,168.9584503,422,169.4715118,
292.9599915,20.59614754,407.8399963,191.2373199,313.0700073,58.10089874,447.8699951,128.3738861,393.0700073,170.792572,423.0700073,173.0961151,
294.0599976,24.21653748,408.9200134,193.5792236,314,60.16916656,448.9299927,131.131958,394,170.4946899,424,172.9406738,
295,27.80372238,409.8399963,191.6347351,315.0700073,60.83703613,449.8399963,130.5991058,395.0700073,174.7942047,425.0700073,173.4687958,
295.9299927,29.57798386,410.8999939,195.9817963,316,63.81275177,450.8999939,132.5735779,396,176.8500977,426,176.6929321,
297.0299988,32.31619644,411.9599915,195.9143677,317.0700073,66.25379181,451.9599915,131.8209991,397.0700073,178.2131042,427.0700073,175.4594269,
297.9599915,35.0121727,412.8699951,199.5769958,318,67.20813751,452.8699951,134.5214996,398,181.7258911,428,176.7836304,
299.0599976,37.13140869,413.9299927,198.8443298,319.0700073,70.4334259,453.9299927,133.9892731,399.0700073,179.613266,429.0700073,174.723526,
300,41.15564346,414.8399963,204.2266083,320,74.20816803,454.8399963,133.1663818,400,182.8539429,430,178.1841888,
301.0700073,44.15685272,415.8999939,198.181488,320.9299927,74.27210236,455.8999939,134.3609161,401.0700073,184.3391266,431.0599976,176.6646118,
302,47.78404617,416.9599915,203.9358215,322.0299988,79.28286743,456.9599915,135.1755371,402,183.2115631,431.9599915,177.5843506,
303.0700073,49.74714661,417.8699951,202.0953064,322.9599915,81.68882751,457.8699951,134.4425201,403.0700073,188.4302063,433.0299988,177.2608032,
304,54.76160049,418.9299927,205.4853821,324.0599976,83.52320099,458.9299927,134.0928192,404,183.7688751,433.9299927,177.6855927,
305.0700073,58.78544235,419.8399963,206.582901,325,85.14955139,459.8399963,133.0470886,405.0700073,183.329071,435,177.442749,
306,64.0903244,420.9200134,205.1745911,325.9299927,88.57737732,460.8999939,132.4941559,406,182.9116211,436.0599976,176.265564,
307.0700073,67.95082092,421.8399963,206.1507874,327.0299988,90.16331482,461.9599915,132.6552887,407.0700073,187.7363739,436.9599915,177.1072388,
308,72.24124146,422.9200134,208.4025726,327.9599915,91.80828094,462.8699951,130.539917,408,184.7788544,438.0299988,175.8264008,
309.0700073,76.09065247,423.8399963,202.6891327,329.0599976,94.59978485,463.9299927,129.3082733,409.0700073,182.4558563,438.9299927,177.0744019,
310,80.59020233,424.9200134,201.9445343,330,97.72931671,464.8399963,127.7432251,410,182.2578735,440,174.5546875,
